Date,HII,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-04-01,1.0,-0.23044930956330756,-0.15100820112619456,-0.3264094955489614,-0.3768779644384215,-0.2517815836818617,0.0
2020-04-02,1.0,-0.23289614436537837,-0.1376912701734803,-0.3240779498627971,-0.3801683642621273,-0.25063950513929584,0.0
2020-04-03,1.0,-0.23709993468321358,-0.13319958943734253,-0.3236213492581879,-0.39185406363721187,-0.2469441074927685,0.0
2020-04-06,1.0,-0.2367282371004513,-0.11903875680454101,-0.32270971944353977,-0.3951286465360815,-0.2527334480993812,0.0
2020-04-07,1.0,-0.23022976838608472,-0.11149303312724924,-0.31837685706376306,-0.3946433514810372,-0.25219156593153086,0.0
2020-04-08,1.0,-0.23265098889940228,-0.11049825759848608,-0.3245020885740002,-0.39553668274445547,-0.2446516350880432,0.0
2020-04-09,1.0,-0.23607915324436263,-0.10326737229636448,-0.33094799815922693,-0.39376438104003686,-0.2369075011504832,0.0
2020-04-13,1.0,-0.25196741681623636,-0.06528142114225229,-0.3420774080721616,-0.3977863684476966,-0.2439826959363063,0.0
2020-04-14,1.0,-0.25872387441303746,-0.05528956817972562,-0.3504281373722493,-0.39685572230917965,-0.24051652702329435,0.0
2020-04-15,1.0,-0.24533149805001145,-0.06267492544161504,-0.34076623078687773,-0.3972011929341592,-0.24813030511585227,0.0
2020-04-16,1.0,-0.23151067062799086,-0.07466037693057855,-0.3348150500079378,-0.37960674029891367,-0.2473181684167555,0.0
2020-04-17,1.0,-0.23088255292144508,-0.07225420425184714,-0.33550156384570057,-0.379425230043969,-0.24840215765377816,0.0
2020-04-20,1.0,-0.23587468308583848,-0.06526168055052518,-0.34000362187613187,-0.3773994929373416,-0.245133103947845,0.0
2020-04-21,1.0,-0.23813407644033618,-0.06726477718117764,-0.3393597498810576,-0.3773307052719817,-0.2434808219488434,0.0
2020-04-22,1.0,-0.2368254255704455,-0.06569177834118073,-0.33932452010141256,-0.3788256066642521,-0.24300525172039117,0.0
2020-04-23,1.0,-0.2311412429378531,-0.07021468926553673,-0.33559322033898303,-0.3775367231638418,-0.2454237288135593,0.0
2020-04-24,1.0,-0.2308405089610595,-0.07121386760684341,-0.335254367527742,-0.37722331457499947,-0.24550817004542683,0.0
2020-04-27,1.0,-0.23658470316533078,-0.07331431417832722,-0.3294162930761219,-0.3791377983063895,-0.2457320110492234,0.0
2020-04-28,1.0,-0.2371668591354754,-0.0734777981568281,-0.32785363313180715,-0.3793220569254806,-0.24651857890088985,0.0
2020-04-29,1.0,-0.2291822361120547,-0.08261430803723079,-0.32015309011028825,-0.3765654369635619,-0.25613153067463823,0.0
2020-04-30,1.0,-0.22780777659790788,-0.07338288786968211,-0.3222249836198911,-0.3797022209168342,-0.256230089695217,0.0
2020-05-01,1.0,-0.225375663766806,-0.07556208338040898,-0.3221556886227545,-0.3787820585244605,-0.2577561857417241,0.0
2020-05-04,1.0,-0.2300733220530175,-0.07176536943034405,-0.3187591652566272,-0.3801917653694304,-0.2552509870276368,0.0
2020-05-05,1.0,-0.22831762392350985,-0.07022897312447729,-0.30745236319251373,-0.38948034628512007,-0.26484482719649194,0.0
2020-05-06,1.0,-0.22849134228491344,-0.0699398706993987,-0.30919119309191195,-0.38971020389710204,-0.26316741263167415,0.0
2020-05-07,1.0,-0.22395821556967463,-0.06860062857530468,-0.30899676668098675,-0.39150292807560994,-0.26798109751961474,0.0
2020-05-08,1.0,-0.22167353780636978,-0.06492094413989942,-0.3190549540162189,-0.3919947447107326,-0.2675667104607439,0.0
2020-05-11,1.0,-0.2165058462935634,-0.07367465092519014,-0.31515495515949593,-0.39060052219321145,-0.2744465887160858,0.0
2020-05-12,1.0,-0.21425813631305216,-0.07569666825645568,-0.30803297676636915,-0.39306397765210876,-0.2800981126933297,0.0
2020-05-13,1.0,-0.21285094986268413,-0.07285685104065004,-0.308472729748746,-0.394766109081005,-0.2807144964706417,0.0
2020-05-14,1.0,-0.21367637716671206,-0.06820038115981487,-0.30613032035574916,-0.39685996914420546,-0.2839186859061621,0.0
2020-05-15,1.0,-0.2241078113301722,-0.06772239489983438,-0.30739387889375414,-0.39628377611906435,-0.2732490868253284,0.0
2020-05-18,1.0,-0.2253434767798342,-0.06167821051436357,-0.30187350970818666,-0.3970705120926536,-0.28495514931304644,0.0
2020-05-19,1.0,-0.21927529968382503,-0.07588199167481746,-0.2826240247480836,-0.3969019402679526,-0.29997952823965607,0.0
2020-05-20,1.0,-0.21732983696271807,-0.07928400410443508,-0.28065214912780756,-0.40241705620795803,-0.3005586592178771,0.0
2020-05-21,1.0,-0.2154312269351679,-0.07480978632283931,-0.28363478973985146,-0.4027973939587225,-0.3013349127522894,0.0
2020-05-22,1.0,-0.21925097054121945,-0.08794245261475223,-0.2769582096369034,-0.4030143868463119,-0.296437542817995,0.0
2020-05-26,1.0,-0.21826971313905233,-0.08644593423632964,-0.2736580471564738,-0.40240342956172753,-0.29949377479819406,0.0
2020-05-27,1.0,-0.20535182896122325,-0.09604907750766835,-0.24579956965618274,-0.4085061575790871,-0.33335622396191,0.0
2020-05-28,1.0,-0.19302967563837128,-0.10499194847020935,-0.23982056590752243,-0.40892569588221767,-0.3536231884057971,0.0
2020-05-29,1.0,-0.18974005060961582,-0.10823556475730389,-0.23763515067862895,-0.4057971014492754,-0.35900621118012427,0.0
2020-06-01,1.0,-0.18878642227997147,-0.10939907550077042,-0.2341604765080606,-0.4064576961111239,-0.36094565692339536,0.0
2020-06-02,1.0,-0.18871008587149204,-0.10518682229435736,-0.23479982503395724,-0.4105946543269563,-0.3629164076708797,0.0
2020-06-03,1.0,-0.18912573085953685,-0.10489848533677087,-0.23705170111873305,-0.40960360941024815,-0.36124027438884027,0.0
2020-06-04,1.0,-0.1881318074009257,-0.10716835148640247,-0.2318373362194027,-0.4106661754208212,-0.36493425748958025,0.0
2020-06-05,1.0,-0.1903632217794873,-0.10733122970265103,-0.23239744800423798,-0.4109680539880692,-0.36218531911463253,0.0
2020-06-08,1.0,-0.1901748734468477,-0.10402669121030833,-0.23748274275195583,-0.40913483663138517,-0.360147261849977,0.0
2020-06-09,1.0,-0.1950130085418921,-0.10404531116892686,-0.23799875670573067,-0.4099187253931343,-0.35544401722192803,0.0
2020-06-10,1.0,-0.18769890687698906,-0.10769798441031317,-0.2298325722983257,-0.41344956413449563,-0.3674876620082099,0.0
2020-06-11,1.0,-0.1897390943274355,-0.10683060739578767,-0.23368474474613027,-0.4123509192830284,-0.36427599252577914,0.0
2020-06-12,1.0,-0.19468842455621302,-0.1141826923076923,-0.23610854289940827,-0.40615754437869817,-0.36025332840236685,0.0
2020-06-15,1.0,-0.19683765228045033,-0.11075151991493101,-0.23858619015696156,-0.4070829191613306,-0.3583994082156315,0.0
2020-06-16,1.0,-0.19626621128905708,-0.1082060275995754,-0.23203489177089584,-0.40753219181243366,-0.3635713296718512,0.0
2020-06-17,1.0,-0.19543913855518918,-0.10726555834812884,-0.23134035832045932,-0.4069957803961355,-0.36475362586179066,0.0
2020-06-18,1.0,-0.1949330321123124,-0.10802462020793471,-0.23054934415270062,-0.4066944835058438,-0.3650844878858434,0.0
2020-06-19,1.0,-0.1946865919468659,-0.10811309441446428,-0.2311009639776763,-0.40653106406531064,-0.36573497532401644,0.0
2020-06-22,1.0,-0.19479291578267688,-0.107739138455862,-0.22668573009869936,-0.40955631399317405,-0.36726316760446454,0.0
2020-06-23,1.0,-0.19332303506789936,-0.10524980978950038,-0.22636202245636686,-0.4100246697254052,-0.3706222765314827,0.0
2020-06-24,1.0,-0.19212151945417663,-0.10662917204499354,-0.22706527752166697,-0.40883735939516874,-0.3703439055873133,0.0
2020-06-25,1.0,-0.19401225291873772,-0.10801063460871575,-0.224390243902439,-0.41370939775748466,-0.37174893075944976,0.0
2020-06-26,1.0,-0.19467981664120015,-0.11059406399036903,-0.2257720979765708,-0.41475667916840303,-0.3693105523915359,0.0
2020-06-29,1.0,-0.19140281950543103,-0.10610122486711347,-0.2279408366073492,-0.4122948925352439,-0.3733071412063786,0.0
2020-06-30,1.0,-0.18900661638828484,-0.11425993614953964,-0.2254661546291584,-0.4123906907879517,-0.372275945033082,0.0
2020-07-01,1.0,-0.1856220942335716,-0.11491221983207273,-0.2203178127819027,-0.4207434135960956,-0.3714523627784332,0.0
2020-07-02,1.0,-0.18403219464810233,-0.11714503781483453,-0.21978860698013278,-0.41938617387885374,-0.37245877373545805,0.0
2020-07-06,1.0,-0.18571626809750683,-0.11709607289883898,-0.2191128174291133,-0.41935334659327445,-0.3715250474119987,0.0
