Date,EPAC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-06-20,1.0,-0.0,-0.6176187070493485,-0.0,-0.7564600889331136,-0.7354706303056687,0.0
2019-06-21,1.0,-0.0,-0.6190491007530027,-0.0,-0.7575144688530712,-0.7349866202003859,0.0
2019-06-24,1.0,-0.0,-0.6079444634685427,-0.0,-0.7447311894903963,-0.7603897518911683,0.0
2019-06-25,1.0,-0.0,-0.6007035238451002,-0.0,-0.7488482131739509,-0.7633856306811106,0.0
2019-06-26,1.0,-0.0,-0.6048479945234465,-0.0,-0.7200734356038212,-0.7867566978871706,0.0
2019-06-27,1.0,-0.0,-0.6259708968709381,-0.0,-0.8088640902894461,-0.7354405097803,0.0
2019-06-28,1.0,-0.0,-0.6782882796828732,-0.0,-0.7707199032062916,-0.7349953831948292,0.0
2019-07-01,1.0,-0.0,-0.6812250757696602,-0.0,-0.7620035093316319,-0.7470728983888977,0.0
2019-07-02,1.0,-0.0,-0.6854838709677419,-0.0,-0.753888818054316,-0.7481830932041311,0.0
2019-07-03,1.0,-0.0,-0.6985780476114395,-0.0,-0.7398306438728232,-0.7569899344943282,0.0
2019-07-05,1.0,-0.0,-0.6996072671541237,-0.0,-0.7345062102876847,-0.7588364890322168,0.0
2019-07-08,1.0,-0.0,-0.6981698553131688,-0.0,-0.7357628796831582,-0.7600370500495066,0.0
2019-07-09,1.0,-0.0,-0.693686224489796,-0.0,-0.7315688775510205,-0.7635522959183674,0.0
2019-07-10,1.0,-0.0,-0.6915647960984375,-0.0,-0.7359065678441942,-0.7810825552667886,0.0
2019-07-11,1.0,-0.0,-0.7002508361204013,-0.0,-0.7261384100848983,-0.7894906097247234,0.0
2019-07-12,1.0,-0.0,-0.7082381702962653,-0.0,-0.7290828963875575,-0.7794898188953583,0.0
2019-07-15,1.0,-0.0,-0.7157165861513688,-0.0,-0.7253140096618357,-0.7795813204508857,0.0
2019-07-16,1.0,-0.0,-0.7091553836234689,-0.0,-0.7313346228239846,-0.7832366215344939,0.0
2019-07-17,1.0,-0.0,-0.7045176652294227,-0.0,-0.7259797927794581,-0.787212819357745,0.0
2019-07-18,1.0,-0.0,-0.7040747302303109,-0.0,-0.7255918827508455,-0.7914640038653568,0.0
2019-07-19,1.0,-0.0,-0.7068392344188749,-0.0,-0.735435561436917,-0.7853016170157828,0.0
2019-07-22,1.0,-0.0,-0.6992573458185342,-0.0,-0.7289958023894092,-0.8006780755569907,0.0
2019-07-23,1.0,-0.0,-0.706013219409963,-0.0,-0.7252619700145092,-0.7929711429953249,0.0
2019-07-24,1.0,-0.0,-0.7036953218453978,-0.0,-0.7279751705408815,-0.8013319970256377,0.0
2019-07-25,1.0,-0.0,-0.6929439131558542,-0.0,-0.7427952959421039,-0.7950697854742828,0.0
2019-07-26,1.0,-0.0,-0.6951807618862672,-0.0,-0.7425963685794736,-0.7987830533708773,0.0
2019-07-29,1.0,-0.0,-0.6933575388206308,-0.0,-0.7479819755567801,-0.8004668201121664,0.0
2019-07-30,1.0,-0.0,-0.6969353007945517,-0.0,-0.7465542403113344,-0.7995784011675044,0.0
2019-07-31,1.0,-0.0,-0.7189243544829376,-0.0,-0.737349163098482,-0.7874983780978332,0.0
2019-08-01,1.0,-0.0,-0.7313200699889832,-0.0,-0.7306396215410537,-0.7782710128961181,0.0
2019-08-02,1.0,-0.0,-0.7346227735990362,-0.0,-0.7274592165673537,-0.7940802969620007,0.0
2019-08-05,1.0,-0.0,-0.7306891390642285,-0.0,-0.7310145116158001,-0.7920218650354656,0.0
2019-08-06,1.0,-0.0,-0.7302186109498936,-0.0,-0.7029728509705293,-0.7911265879925194,0.0
2019-08-07,1.0,-0.0,-0.7334642247899835,-0.0,-0.6919115517074897,-0.7932666001480575,0.0
2019-08-08,1.0,-0.0,-0.7303667450172264,-0.0,-0.6937566410149081,-0.7957626300028978,0.0
2019-08-09,1.0,-0.0,-0.7283192385607254,-0.0,-0.6898935657095083,-0.7973246728190618,0.0
2019-08-12,1.0,-0.0,-0.7283411470040461,-0.0,-0.6991843812215015,-0.7835720249181171,0.0
2019-08-13,1.0,-0.0,-0.7266957302218233,-0.0,-0.6961789973073471,-0.7826323887677907,0.0
2019-08-14,1.0,-0.0,-0.731967003453127,-0.0,-0.6849341347998466,-0.7804706484205142,0.0
2019-08-15,1.0,-0.0,-0.7501422699968384,-0.0,-0.6747075561176098,-0.7367056591843186,0.0
2019-08-16,1.0,-0.0,-0.746774601568429,-0.0,-0.6774601568429042,-0.7379521882114849,0.0
2019-08-19,1.0,-0.0,-0.7358811843723393,-0.0,-0.6837889824362248,-0.7336108220603538,0.0
2019-08-20,1.0,-0.0,-0.7370029617493226,-0.0,-0.6824941710252694,-0.7312685109332661,0.0
2019-08-21,1.0,-0.0,-0.7410576650832101,-0.0,-0.6854374429798346,-0.7194765155566741,0.0
2019-08-22,1.0,-0.0,-0.7432521602513747,-0.0,-0.6745954438334643,-0.7243362136684997,0.0
2019-08-23,1.0,-0.0,-0.7456614688128773,-0.0,-0.677408199195171,-0.7207935110663984,0.0
2019-08-26,1.0,-0.0,-0.7369143427537589,-0.0,-0.6723438767234389,-0.7100567721005677,0.0
2019-08-27,1.0,-0.0,-0.7347892457708962,-0.0,-0.6696470295024767,-0.7109255740054207,0.0
2019-08-28,1.0,-0.0,-0.7259881730469966,-0.0,-0.6768129474011827,-0.7095238095238096,0.0
2019-08-29,1.0,-0.0,-0.7177060306983406,-0.0,-0.6800024907375697,-0.7157134406426103,0.0
2019-08-30,1.0,-0.0,-0.7132856253889235,-0.0,-0.6834163036714375,-0.7146857498444306,0.0
2019-09-03,1.0,-0.0,-0.7292773067486568,-0.0,-0.6757352712817168,-0.7006739339731047,0.0
2019-09-04,1.0,-0.0,-0.7263608980529765,-0.0,-0.6762413439741639,-0.70269850635034,0.0
