Date,HVT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-04-22,1.0,-0.15306566911783545,-0.6455456199236465,-0.22621640318737346,-0.38356094186374234,-0.1538087063465628,0.0
2020-04-23,1.0,-0.14467258175867448,-0.6534812958654019,-0.2210488634329694,-0.38162571275154056,-0.15612774553171904,0.0
2020-04-24,1.0,-0.14297059124910338,-0.6622604775079415,-0.21826006762988012,-0.3811609796085665,-0.1570601496054924,0.0
2020-04-27,1.0,-0.1515564352363571,-0.6616970413592782,-0.21638434053929004,-0.38174433848289335,-0.15913939798987226,0.0
2020-04-28,1.0,-0.14814814814814814,-0.6710163951303632,-0.21414047821275062,-0.380228039018866,-0.16027076416235556,0.0
2020-04-29,1.0,-0.14462171899125065,-0.6759907359752959,-0.20864642305712816,-0.37828100874935666,-0.16577457539886775,0.0
2020-04-30,1.0,-0.1478989857172428,-0.6921703581039124,-0.20702235561995447,-0.37712171393086313,-0.16324259987580209,0.0
2020-05-01,1.0,-0.13894071310116088,-0.7047574626865671,-0.20561256218905474,-0.3731343283582089,-0.1687655472636816,0.0
2020-05-04,1.0,-0.14359186416147623,-0.7048820200036182,-0.20019124906313804,-0.37391776290285067,-0.16183805856356445,0.0
2020-05-05,1.0,-0.14343669250645993,-0.7039276485788113,-0.20015503875968993,-0.37397932816537466,-0.16248062015503878,0.0
2020-05-06,1.0,-0.14194506697242923,-0.704487413352791,-0.19263042685151402,-0.39141085109709695,-0.1754834002188982,0.0
2020-05-07,1.0,-0.1638003355704698,-0.7092072147651006,-0.19966442953020136,-0.3903628355704698,-0.1586094798657718,0.0
2020-05-08,1.0,-0.1612429911439501,-0.7109469161033382,-0.20127862495414767,-0.38890635644290733,-0.1577844154483048,0.0
2020-05-11,1.0,-0.15837720332102356,-0.7082056520258767,-0.2014876509258532,-0.38985359210078313,-0.16120583536313873,0.0
2020-05-12,1.0,-0.19858156028368792,-0.7047066408768536,-0.2629217709004943,-0.407317859445519,-0.11291102514506769,0.0
2020-05-13,1.0,-0.1968537757375641,-0.7065850581192451,-0.2638855332742745,-0.40868701511368816,-0.10848030925344286,0.0
2020-05-14,1.0,-0.19732818284242717,-0.7050270937282043,-0.26659155534095175,-0.4108589516604968,-0.1027415633885938,0.0
2020-05-15,1.0,-0.17984317095440142,-0.6958483269778184,-0.2613727912347602,-0.4139320049411891,-0.13443256888125035,0.0
2020-05-18,1.0,-0.18327186583034968,-0.7046329447869275,-0.26712789727299646,-0.4133846609416642,-0.12359006110856866,0.0
2020-05-19,1.0,-0.19091788998225523,-0.6866698929934937,-0.29155240092488033,-0.4157928698177126,-0.10367263537129644,0.0
2020-05-20,1.0,-0.1880167507784817,-0.6809298829593041,-0.2922527649522173,-0.4175077848169226,-0.10568560077311286,0.0
2020-05-21,1.0,-0.1891318931973702,-0.6765866094190259,-0.29682007245404535,-0.41792566751643634,-0.10304575338789748,0.0
2020-05-22,1.0,-0.19069343065693428,-0.6847359381708887,-0.2908437097466724,-0.4161120652640618,-0.10117003005581793,0.0
2020-05-26,1.0,-0.19452216960826518,-0.6884954799827809,-0.2939894532931554,-0.4185589754627637,-0.09494726646577702,0.0
2020-05-27,1.0,-0.1902482317187962,-0.6889438721996611,-0.2797514993410967,-0.41898179275475356,-0.11150256837802221,0.0
2020-05-28,1.0,-0.19494487765528365,-0.686555525678946,-0.2822801828448508,-0.42027426727614947,-0.10481312180693735,0.0
2020-05-29,1.0,-0.19478948217454428,-0.6867505511641663,-0.2824380276388665,-0.42111630908211,-0.10351131902995107,0.0
2020-06-01,1.0,-0.19434210880146288,-0.6836528894506145,-0.2856643450668245,-0.4213569258074058,-0.10412240836851588,0.0
2020-06-02,1.0,-0.1965080821437245,-0.6761745419219041,-0.2846425776506463,-0.4302291065115902,-0.11099117575626737,0.0
2020-06-03,1.0,-0.19857714780350574,-0.6764769530404675,-0.2796202120753084,-0.43643150833153,-0.11390932698550098,0.0
2020-06-04,1.0,-0.1996592107754307,-0.6740324020230979,-0.2860465745273578,-0.4356151786438753,-0.10929597273686203,0.0
2020-06-05,1.0,-0.19764203239501366,-0.6728860766339472,-0.28479489467564423,-0.4351964522322273,-0.1135718341851221,0.0
2020-06-08,1.0,-0.19814249844758228,-0.6695375145117308,-0.29398741866681066,-0.4304651853451767,-0.1076972920435217,0.0
2020-06-09,1.0,-0.2024816847341245,-0.669541239761023,-0.29393636289908354,-0.431780703414344,-0.10564731961828551,0.0
2020-06-10,1.0,-0.2179521925307605,-0.6622852187110413,-0.30603284730879726,-0.4333568215079408,-0.0905469131118218,0.0
2020-06-11,1.0,-0.20804148341206494,-0.6777705380898084,-0.28519845794646254,-0.43791062605201714,-0.10596188304284086,0.0
2020-06-12,1.0,-0.2080859332829537,-0.6577512684875311,-0.29455899816474146,-0.4270484724171435,-0.11146496815286625,0.0
2020-06-15,1.0,-0.2087280382155291,-0.65649205192562,-0.29603540873883355,-0.427576714436078,-0.11003157639057566,0.0
