Date,FOXF,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-19,1.0,-0.0,-0.8475227123723892,-1.1987917954481595,-1.0122225344197808,-0.6244263369860447,0.0
2020-02-20,1.0,-0.0,-0.8450883993570956,-1.2249692729507422,-1.0278434338659355,-0.6293372411837005,0.0
2020-02-21,1.0,-0.0,-0.8590956390123925,-1.2261848453315676,-1.0177372055623877,-0.6269037933970296,0.0
2020-02-24,1.0,-0.0,-0.8567467218122856,-1.2192978333411666,-0.9992010151807117,-0.6246651313625041,0.0
2020-02-25,1.0,-0.0,-0.8936170212765958,-1.2328071379547014,-0.873713109128346,-0.5755204758636467,0.0
2020-02-26,1.0,-0.0,-0.8663645652849971,-1.189168776933671,-0.862366164645253,-0.5248122973033009,0.0
2020-02-27,1.0,-0.0,-0.8697065502961215,-1.1965979427350049,-0.8563031571447656,-0.5303914147036559,0.0
2020-02-28,1.0,-0.0,-0.9564173825164225,-1.060847229240357,-0.6950901128516085,-0.49856830048846223,0.0
2020-03-02,1.0,-0.0,-0.9538513173351234,-1.06427252894781,-0.6824970632656486,-0.49471387816747775,0.0
2020-03-03,1.0,-0.0,-1.0681252509032517,-0.8917703733440386,-0.6034122842232036,-0.45114411882778,0.0
2020-03-04,1.0,-0.0,-1.0926929619812478,-0.8867745381176564,-0.5282668038137438,-0.4484313803062073,0.0
2020-03-05,1.0,-0.0,-1.1272327456502451,-0.812893021102581,-0.4835847382431233,-0.4341653485590834,0.0
2020-03-06,1.0,-0.0,-1.1853561753596094,-0.7752298828646649,-0.4527833950169789,-0.402113777709947,0.0
2020-03-09,1.0,-0.0,-1.1573744413302023,-0.7752064237557761,-0.4436406332853572,-0.41137035073100525,0.0
2020-03-10,1.0,-0.16964685615848404,-0.8186391042204995,-0.6751076658053402,-0.45433247200689053,-0.3275452196382429,0.0
2020-03-11,1.0,-0.061021759697256386,-0.9874983105825113,-0.7241519124205974,-0.36934045141235305,-0.23678875523719423,0.0
2020-03-12,1.0,-0.09556113629692443,-0.8977854603568052,-0.6591109226704934,-0.3720361371122925,-0.23697857212745835,0.0
2020-03-13,1.0,-0.20993942316385883,-0.7266809318585938,-0.5304843133118351,-0.35047165546547726,-0.19622675627618216,0.0
2020-03-16,1.0,-0.1554767285522213,-0.8162313699688187,-0.49509397259490234,-0.3043167319850102,-0.08956718253854735,0.0
2020-03-17,1.0,-0.22710337988152993,-0.5719799512182048,-0.33956954086145436,-0.35447211128682093,-0.18722024176472166,0.0
2020-03-18,1.0,-0.23178700653453582,-0.5643732786088459,-0.35848139547442887,-0.3591834530431495,-0.18636928228114705,0.0
2020-03-19,1.0,-0.23358386604969644,-0.541712359911199,-0.3521277449380801,-0.35525717495386094,-0.1920453633615963,0.0
2020-03-20,1.0,-0.28165575089049755,-0.7945823279328968,-0.3254624842008503,-0.39891416752843845,-0.07192921980926117,0.0
2020-03-23,1.0,-0.29297613421550095,-0.7507384215500945,-0.39741847826086957,-0.42441517013232516,-0.08813799621928166,0.0
2020-03-24,1.0,-0.2902497027348395,-0.737871581450654,-0.417538644470868,-0.43219381688466113,-0.09479785969084424,0.0
2020-03-25,1.0,-0.29225260604660563,-0.7250440356905662,-0.3610926626432964,-0.4223383673587248,-0.08688747076318905,0.0
2020-03-26,1.0,-0.38966262456477363,-0.7470284547964942,-0.3246788329931564,-0.46224036498979465,-0.07795053427782446,0.0
2020-03-27,1.0,-0.3951350712301236,-0.7383105751610806,-0.2915114973103978,-0.4689070166105102,-0.06174262576106875,0.0
