Date,INS,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-30,1.0,-1.2775858934739137,-0.9296491546991456,-7.19214688238502,-5.436829667333212,-2.3424831848754772,0.0
2019-12-31,1.0,-1.247824510514866,-0.9474256707759245,-7.189267585206672,-5.417331399564902,-2.32741116751269,0.0
2020-01-02,1.0,-1.255573681348559,-0.9682798622439732,-7.183070509334783,-5.404023926046765,-2.3148450244698204,0.0
2020-01-03,1.0,-1.2274646594455665,-1.0011015237745549,-7.286946943271526,-5.449788874609878,-2.3936111621075824,0.0
2020-01-06,1.0,-1.299379815824093,-1.0825032888554782,-7.468145085510242,-5.522270249953016,-2.4211614358203346,0.0
2020-01-07,1.0,-1.2784262048192772,-1.0901731927710845,-7.491905120481928,-5.514495481927711,-2.450301204819277,0.0
2020-01-08,1.0,-1.2742846385542168,-1.0775602409638554,-7.496611445783133,-5.506777108433735,-2.4698795180722892,0.0
2020-01-09,1.0,-1.2890743550834598,-1.1177921092564491,-7.522382397572078,-5.519916540212443,-2.5191578148710168,0.0
2020-01-10,1.0,-1.336330591161278,-1.1453988903768892,-7.562655442892673,-5.537210637076718,-2.5498373828199736,0.0
2020-01-13,1.0,-1.3484587401876318,-1.1445529389239901,-7.582232433467356,-5.534941604441892,-2.5358989086731767,0.0
2020-01-14,1.0,-1.5589553693237186,-1.0549600467745077,-7.792827908789709,-5.633794581952835,-2.4490352757747025,0.0
2020-01-15,1.0,-1.5513428120063193,-1.0912322274881516,-7.915086887835703,-5.699249605055292,-2.490521327014218,0.0
2020-01-16,1.0,-1.5714005492349943,-1.0794429187916832,-7.819733228717144,-5.661435857198901,-2.4837191055315815,0.0
2020-01-17,1.0,-1.6324271844660196,-1.0844660194174758,-7.669708737864078,-5.626019417475728,-2.404854368932039,0.0
2020-01-21,1.0,-1.658394726638232,-1.097712291585886,-7.622140364482357,-5.621364870104691,-2.387941062427297,0.0
2020-01-22,1.0,-1.655486622721985,-1.0996510275300504,-7.620007754943776,-5.620783249321443,-2.3914307871267932,0.0
2020-01-23,1.0,-1.7080249318270357,-1.0605765485001948,-7.576353720296066,-5.656018698870278,-2.477015971951695,0.0
2020-01-24,1.0,-1.7117292355572846,-1.0606885819879401,-7.552227193153083,-5.641314919276406,-2.485508655903521,0.0
2020-01-27,1.0,-1.6569834551750673,-1.0565602154674874,-7.512504809542132,-5.524240092343209,-2.4878799538283953,0.0
2020-01-28,1.0,-1.5793236714975845,-1.208695652173913,-7.673429951690822,-5.503381642512077,-2.358840579710145,0.0
2020-01-29,1.0,-1.5162213740458015,-1.2110687022900763,-7.588358778625953,-5.426717557251909,-2.341412213740458,0.0
2020-01-30,1.0,-1.5598933536469244,-1.1866311178823081,-7.551513997333841,-5.447343363168921,-2.2984193486954867,0.0
2020-01-31,1.0,-1.463544641157434,-1.27831715210356,-7.546544831524843,-5.441271654292785,-2.307062630877594,0.0
2020-02-03,1.0,-1.455748090180734,-1.2159493199180174,-7.381777529346002,-5.299981367616917,-2.2787404509036704,0.0
2020-02-04,1.0,-1.3745641402092126,-1.1866397504129198,-7.2435309231051574,-5.249403560286292,-2.2976692971187376,0.0
2020-02-05,1.0,-1.2630637079455977,-1.192555476020043,-7.0817823908375095,-5.147458840372226,-2.210450966356478,0.0
2020-02-06,1.0,-1.3508740635033893,-1.1915804495183733,-7.1362825544059945,-5.075811630396005,-2.083303603282198,0.0
2020-02-07,1.0,-1.3232069027503146,-1.2376415603091857,-7.1865899694409485,-5.121337407873449,-2.1071364371741867,0.0
2020-02-10,1.0,-1.3227712137486574,-1.2123165055495884,-7.168098818474758,-5.107590404582886,-2.0911206587898317,0.0
2020-02-11,1.0,-1.2735747579777699,-1.2002509860164932,-7.167084976694156,-5.114377913230548,-2.172104697024023,0.0
2020-02-12,1.0,-1.289379260853965,-1.1905274488697526,-7.170075349838537,-5.127735916756369,-2.16254036598493,0.0
2020-02-13,1.0,-1.2759665063246037,-1.2283983609477998,-7.127917334758596,-5.094245501514342,-2.089257081774452,0.0
2020-02-14,1.0,-1.271313672922252,-1.2530831099195712,-7.171581769436997,-5.067917783735479,-2.1092046470062558,0.0
2020-02-18,1.0,-1.2608385370205173,-1.2592328278322926,-7.157359500446031,-5.052453166815343,-2.111329170383586,0.0
2020-02-19,1.0,-1.2476224654584602,-1.3804055266463304,-7.184999102817154,-5.020635205454871,-2.109815180333752,0.0
2020-02-20,1.0,-1.278811055101686,-1.3446897270989049,-6.891187206674779,-4.842516947679472,-2.0250304189118724,0.0
