Date,IAA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-06-12,1.0,-0.27423822714681445,-0.4600908130336694,-0.44184253362652426,-0.5411657195076678,-0.13838992489362312,0.0
2020-06-15,1.0,-0.2641874218128057,-0.4649721369271011,-0.436312976231093,-0.5350278630728988,-0.14267030592516777,0.0
2020-06-16,1.0,-0.26505510737416205,-0.4593512100897625,-0.43068969435291443,-0.5375241449835246,-0.1479377343483695,0.0
2020-06-17,1.0,-0.2635656714723578,-0.45865024406856625,-0.4323986831649449,-0.5364400045408105,-0.14695198092859574,0.0
2020-06-18,1.0,-0.26297273526824977,-0.45941498567253947,-0.4314693449087865,-0.5360172496950094,-0.14724657417652567,0.0
2020-06-19,1.0,-0.2626947858420141,-0.45877210411285513,-0.4320910561721211,-0.5358633022054441,-0.1489881070648009,0.0
2020-06-22,1.0,-0.2676092398725535,-0.4591488393263541,-0.42111401911697766,-0.5467114246700046,-0.15020482476103778,0.0
2020-06-23,1.0,-0.26481966093981113,-0.45451700989873706,-0.4206109910114917,-0.5478438957788144,-0.15667311411992263,0.0
2020-06-24,1.0,-0.2626380176549062,-0.4606738383809713,-0.4191195254179558,-0.5431580142488149,-0.15281995969458714,0.0
2020-06-25,1.0,-0.2595767555027443,-0.4592315962202229,-0.42168845130990773,-0.5433146607819838,-0.14539127482600578,0.0
2020-06-26,1.0,-0.2580171220297799,-0.4588760489362303,-0.4185573418472579,-0.5427626931879185,-0.14723250360240725,0.0
2020-06-29,1.0,-0.2547404063205418,-0.45778781038374716,-0.4195541760722347,-0.541704288939052,-0.14788374717832956,0.0
2020-06-30,1.0,-0.2563827686405055,-0.45261940361666714,-0.4211639913109713,-0.5423308037351539,-0.1486162439698705,0.0
2020-07-01,1.0,-0.2565481890384724,-0.4536416380330085,-0.41407086126288517,-0.5460203909198446,-0.14611614938320286,0.0
2020-07-02,1.0,-0.25381539674494563,-0.45694655628766123,-0.41282311201216415,-0.543841865179929,-0.14836402545475025,0.0
2020-07-06,1.0,-0.2545480146437623,-0.4558997465502675,-0.41382709096029285,-0.5436215150661785,-0.14821177133201915,0.0
2020-07-07,1.0,-0.2486072815260818,-0.4629171121490068,-0.409346688424962,-0.5449890270665692,-0.14768442968881887,0.0
2020-07-08,1.0,-0.24858693512555893,-0.46030764039256494,-0.4110964258597902,-0.5469193779702484,-0.1451590225246759,0.0
2020-07-09,1.0,-0.2484472049689441,-0.46314044012253724,-0.4082515949523622,-0.5446165088108822,-0.14603299513785448,0.0
