Date,AA,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-11-19,1.0,-0.0,-0.8135891913060505,-0.0,-0.2765485281639579,-0.0,-0.0,-1.117812153253704,-0.40212779844657653,-0.05384766007440767,-0.6701259708896286,-0.0,-0.0,-0.0,-0.0,-0.15860583512825532,-1.8464852163696883,-0.0,-0.1877162065139351
2019-11-20,1.0,-0.0,-0.8315660157765421,-0.0,-0.29024957972326393,-0.0,-0.0,-1.153045389887495,-0.39583602741497476,-0.09349540928488298,-0.6341652657442132,-0.0,-0.0,-0.0,-0.0,-0.1205870942713048,-1.7878572352256563,-0.031229794387689126,-0.12789344368291736
2019-11-21,1.0,-0.0,-0.8321076822061722,-0.0,-0.2325016414970453,-0.0,-0.0,-1.2171372291529876,-0.6122783978988838,-0.0,-0.6533158240315168,-0.0,-0.0,-0.0,-0.0,-0.15075508864084047,-1.8679579776756405,-0.0,-0.0
2019-11-22,1.0,-0.0,-0.9016892110543007,-0.0,-0.022781696977541906,-0.0,-0.0,-1.3005630703514335,-0.7171704096822212,-0.0,-0.567859685457252,-0.0,-0.0,-0.0,-0.0,-0.0,-1.819946929001359,-0.0,-0.14212672318943756
2019-11-25,1.0,-0.0,-0.8747843397478434,-0.0,-0.13158593231585933,-0.0,-0.0,-1.2627073656270735,-0.7568015925680159,-0.0,-0.5115461181154612,-0.0,-0.0,-0.0,-0.0,-0.040013271400132715,-1.9300597213005972,-0.0,-0.12826808228268083
2019-11-26,1.0,-0.0,-0.6926210033263186,-0.0,-0.1481230059059127,-0.0,-0.0,-1.2633901296585432,-0.8393184440974816,-0.0,-0.6088520806462563,-0.0,-0.0,-0.0,-0.0,-0.05274590998574435,-2.037064693503496,-0.0,-0.1461543683388772
2019-11-27,1.0,-0.0,-0.6871455576559546,-0.0,-0.15129624628679447,-0.0,-0.0,-1.2524979746151768,-0.8329732649203349,-0.0,-0.6105184985147177,-0.0,-0.0,-0.0,-0.0,-0.0428706454226303,-2.0011477180664325,-0.0,-0.17276532541182826
2019-11-29,1.0,-0.0,-0.6858436992969172,-0.0,-0.16123580313683072,-0.0,-0.0,-1.2481070849107627,-0.8364656571119524,-0.0,-0.6126960519199568,-0.0,-0.0,-0.0,-0.0,-0.043469442942130884,-2.010884261763115,-0.0,-0.16170903190914007
2019-12-02,1.0,-0.0,-0.716166047924401,-0.0,-0.14026324670941612,-0.0,-0.0,-1.249881876476544,-0.849746878164023,-0.0,-0.6004049949375633,-0.0,-0.0,-0.0,-0.0,-0.01471481606479919,-2.0498818764765443,-0.0,-0.12885588930138372
2019-12-03,1.0,-0.0,-0.7210604425256341,-0.0,-0.2251753912574204,-0.0,-0.0,-1.1636535348084187,-0.844441446303292,-0.0,-0.6038855909336212,-0.0,-0.0,-0.0,-0.0,-0.0,-2.081017269293038,-0.0,-0.10665137614678899
