Date,IWF,IWM,MTUM,SPY,TPVG,VLUE,VXX
2019-12-19,-0.0,-0.05881011338459533,-1.07536165776098,-0.9279291020461358,1.0,-0.1960771536556757,0.0
2019-12-20,-0.0,-0.0647406777999281,-1.0787607438151574,-0.9322526879963399,1.0,-0.19232654661917056,0.0
2019-12-23,-0.0,-0.07713381820553798,-1.0738723459769741,-0.9266821043018819,1.0,-0.1837513453572943,0.0
2019-12-24,-0.0,-0.07403039832285115,-1.0907036163522013,-0.9227594339622642,1.0,-0.188187893081761,0.0
2019-12-26,-0.0,-0.07512044836288552,-1.0931467339647996,-0.9197010914096556,1.0,-0.1895381993379437,0.0
2019-12-27,-0.0,-0.08637273891205148,-1.1028528282065593,-0.9085387873017957,1.0,-0.18515478808968847,0.0
2019-12-30,-0.0,-0.0929672288043299,-1.1241543183393288,-0.9235668789808916,1.0,-0.15946668426784594,0.0
2019-12-31,-0.0,-0.0836142291455313,-1.1252086265012926,-0.9046699610563864,1.0,-0.15911247831920672,0.0
2020-01-02,-0.0,-0.08606275204091669,-1.1282908757089931,-0.9064620832103866,1.0,-0.15773253335956197,0.0
2020-01-03,-0.0,-0.08201145264266438,-1.1337787138813926,-0.9043638517738432,1.0,-0.17080234318436122,0.0
2020-01-06,-0.0,-0.09276063054709233,-1.147834150218572,-0.9015763677308252,1.0,-0.16952576500198702,0.0
2020-01-07,-0.0,-0.09176774706701132,-1.1476436667329488,-0.908961357460065,1.0,-0.16570557433552066,0.0
2020-01-08,-0.0,-0.09423217005496325,-1.142871333024303,-0.9048076286338653,1.0,-0.16916098271637642,0.0
2020-01-09,-0.0,-0.09627421758569299,-1.1421096207981454,-0.9019374068554398,1.0,-0.17148534525583706,0.0
2020-01-10,-0.0,-0.10606567244031298,-1.156490336387347,-0.8986825386210125,1.0,-0.18257205911857155,0.0
2020-01-13,-0.0,-0.10665417684252784,-1.1582081563012279,-0.8987320598173363,1.0,-0.1818942156501957,0.0
2020-01-14,-0.0,-0.0992629657177632,-1.1889580093312597,-0.9195347893704781,1.0,-0.17316924741361825,0.0
2020-01-15,-0.0,-0.10583718401739603,-1.1962489807012775,-0.9150924164175047,1.0,-0.180449850502854,0.0
2020-01-16,-0.0,-0.09312126155519304,-1.1860046220772158,-0.9171764545948885,1.0,-0.20228384991843396,0.0
2020-01-17,-0.0,-0.07963308985901138,-1.1873280108714117,-0.9211822660098522,1.0,-0.20917275352471548,0.0
