Date,IWF,IWM,MTUM,PTGX,SPY,VLUE,VXX
2020-04-06,-1.5204595530374567,-1.3072080579162733,-1.4325621655649983,1.0,-1.6508498583569406,-0.9579792256846081,0.0
2020-04-07,-1.4575847168523994,-1.234174816162535,-1.3749526192100674,1.0,-1.610112955803199,-0.9041012811765599,0.0
2020-04-08,-1.4594963592233008,-1.2357402912621358,-1.3777305825242716,1.0,-1.6107402912621358,-0.9012439320388348,0.0
2020-04-09,-1.454531790169848,-1.2062227566511348,-1.3774988726890125,1.0,-1.5986021343754697,-0.8785510296107019,0.0
2020-04-13,-1.4652017399130044,-1.1669416529173542,-1.388405579721014,1.0,-1.5995200239988001,-0.8795560221988901,0.0
2020-04-14,-1.4689913760779905,-1.156055493063367,-1.3976002999625048,1.0,-1.5992500937382828,-0.8771653543307087,0.0
2020-04-15,-1.443723428059969,-1.1659580815991646,-1.372715745506079,1.0,-1.592675468039084,-0.883642873125979,0.0
2020-04-16,-1.4508842324268092,-1.1440035666518056,-1.3788081438549562,1.0,-1.5913954525189478,-0.8654331995838906,0.0
2020-04-17,-1.4524695031240702,-1.1497322225528117,-1.3784587920261828,1.0,-1.591936923534662,-0.8658137459089557,0.0
2020-04-20,-1.4659352064645266,-1.117429016235451,-1.3929868781970494,1.0,-1.587219215657202,-0.8499518125880346,0.0
2020-04-21,-1.4604630520008877,-1.1188697388860123,-1.390043642281234,1.0,-1.5771136918411126,-0.8505066942821214,0.0
2020-04-22,-1.4377610081324639,-1.124111656531614,-1.3630302586270058,1.0,-1.5639240970034436,-0.8377903143087405,0.0
2020-04-23,-1.4040083627712494,-1.11304159757768,-1.3288155143825249,1.0,-1.5318289957465214,-0.831591089323048,0.0
2020-04-24,-1.4031572118503568,-1.1104303323001514,-1.3317234916744756,1.0,-1.5324010668204426,-0.8306062135082535,0.0
2020-04-27,-1.4169565217391302,-1.1217391304347826,-1.3252898550724637,1.0,-1.5400724637681158,-0.842391304347826,0.0
2020-04-28,-1.43001014345747,-1.0973047384437038,-1.3325604984784813,1.0,-1.5477467033763224,-0.837777133748732,0.0
2020-04-29,-1.4260768335273575,-1.1167054714784632,-1.3278521536670547,1.0,-1.552313736903376,-0.8528812572759022,0.0
2020-04-30,-1.427143684820394,-1.0795191193511007,-1.3386442641946696,1.0,-1.5606170336037077,-0.8362543453070683,0.0
2020-05-01,-1.4333863734992045,-1.0713149139302764,-1.337118472443223,1.0,-1.5624186315637205,-0.8285115000723275,0.0
2020-05-04,-1.4365050781531368,-1.052654325433984,-1.3407044586904846,1.0,-1.5659439602391414,-0.8072462724195059,0.0
2020-05-05,-1.4608435929190646,-1.0648357252130836,-1.3688351424200482,1.0,-1.5866540394842281,-0.803817294383332,0.0
2020-05-06,-1.4645904748012544,-1.0653489898621544,-1.3705783677339363,1.0,-1.5909853402377652,-0.801837940339873,0.0
2020-05-07,-1.4671969641684302,-1.0719550463402172,-1.3667080201415747,1.0,-1.5906005984091072,-0.8012114135590745,0.0
2020-05-08,-1.4696371085747733,-1.0722124670763828,-1.3770119988293825,1.0,-1.5945273631840795,-0.8029704419081065,0.0
2020-05-11,-1.8517284068183983,-1.583087325016665,-1.780782782592134,1.0,-1.9731454147224072,-1.3340634225311874,0.0
2020-05-12,-1.8532914165952177,-1.5836905782604553,-1.7825092883681053,1.0,-1.974087834619415,-1.3328570067638374,0.0
2020-05-13,-1.8767636049524905,-1.5706881658508491,-1.811978116901814,1.0,-2.0002879355024477,-1.338132258374124,0.0
2020-05-14,-1.8848665258306125,-1.5579028231227194,-1.8245630881505668,1.0,-2.0059535241021704,-1.3291722681006337,0.0
2020-05-15,-1.8854016700259142,-1.561378251271715,-1.8256070640176598,1.0,-2.004702946539975,-1.3207601497264614,0.0
2020-05-18,-1.8895835337116473,-1.562758488025392,-1.8207175146676924,1.0,-2.006925074540733,-1.3382706549966337,0.0
2020-05-19,-1.9044793261868298,-1.5041156202143953,-1.864950229709035,1.0,-2.0057427258805514,-1.2919218989280243,0.0
2020-05-20,-1.9016142898080046,-1.4984239182347885,-1.863119686694049,1.0,-1.998185117967332,-1.2906676855478076,0.0
2020-05-21,-1.9220841760570162,-1.4923432533949725,-1.896946932485794,1.0,-2.019165944332081,-1.3005874987961088,0.0
2020-05-22,-1.9240188988525697,-1.4990839841866743,-1.8969241153215697,1.0,-2.020923729630701,-1.3013209912255328,0.0
2020-05-26,-1.9235441573467025,-1.4981681450057847,-1.8959699190127264,1.0,-2.020921712302352,-1.302834554569996,0.0
2020-05-27,-1.931842282849706,-1.4883833028053601,-1.9097657379735853,1.0,-2.0214981201195408,-1.2890195700375975,0.0
2020-05-28,-1.9342953342953342,-1.4787878787878788,-1.9113035113035113,1.0,-2.0197210197210196,-1.275998075998076,0.0
2020-05-29,-1.9363400326954516,-1.474084046542937,-1.9135493797480527,1.0,-2.021155880373113,-1.271179921146264,0.0
2020-06-01,-1.9349101047976156,-1.476684934140948,-1.90952793000673,1.0,-2.0205749447168544,-1.2727622344005383,0.0
2020-06-02,-1.9352760146181958,-1.4761492594729755,-1.908155414502789,1.0,-2.0216387766878245,-1.2761107905366416,0.0
2020-06-03,-1.935282238676796,-1.4756226560246177,-1.9101836715068758,1.0,-2.0206750649100877,-1.274545629387441,0.0
2020-06-04,-1.950878208839992,-1.4663192433893069,-1.9385253812005403,1.0,-2.0303995367689636,-1.2645242231229492,0.0
2020-06-05,-1.9453720683331726,-1.468777145063218,-1.935527458739504,1.0,-2.029533828781006,-1.272367532091497,0.0
2020-06-08,-1.9513654347196758,-1.4509311975296728,-1.9574447553797163,1.0,-2.0295281289201967,-1.2604458168484032,0.0
2020-06-09,-1.9582046332046332,-1.447104247104247,-1.9625482625482626,1.0,-2.0314671814671814,-1.2531853281853282,0.0
2020-06-10,-1.9606291614397375,-1.4436939110296245,-1.9663224934864423,1.0,-2.0312650776802084,-1.2478046897616522,0.0
2020-06-11,-1.9640926640926641,-1.4406370656370655,-1.972779922779923,1.0,-2.030888030888031,-1.244208494208494,0.0
2020-06-12,-1.9433747510196338,-1.37294887603149,-1.9797021720572892,1.0,-2.0038888361946317,-1.1850516930664896,0.0
2020-06-15,-1.9458665149791428,-1.3657565415244595,-1.984357224118316,1.0,-2.004455821008722,-1.1800341296928327,0.0
2020-06-16,-1.9487155180585838,-1.3566214807090717,-1.9830315669731726,1.0,-2.0081524315100956,-1.1831453218314532,0.0
2020-06-17,-1.9443708609271524,-1.349101229895932,-1.9815515610217596,1.0,-2.004919583727531,-1.1807000946073793,0.0
2020-06-18,-1.9442133131618757,-1.346161119515885,-1.9820347957639939,1.0,-2.003687594553706,-1.1792738275340393,0.0
2020-06-19,-1.952317755237463,-1.3501753720731824,-1.9884349227414921,1.0,-2.011185894397573,-1.1773627832021993,0.0
2020-06-22,-1.9515915119363394,-1.3493747631678668,-1.9872110647972718,1.0,-2.0094732853353543,-1.1757294429708223,0.0
2020-06-23,-1.9507155719836982,-1.3479291062458536,-1.9873945597573688,1.0,-2.0108994408112975,-1.1808359397213535,0.0
2020-06-24,-1.9495973472288013,-1.3483657034580767,-1.9865466603505446,1.0,-2.0096636665087635,-1.180104216011369,0.0
2020-06-25,-1.944544166273028,-1.3368918280585735,-1.9894189891355691,1.0,-2.0036844591402927,-1.172697213037317,0.0
2020-06-26,-1.9439305267132339,-1.3332074759297716,-1.9885784406267697,1.0,-2.003492542948839,-1.1700962809137248,0.0
2020-06-29,-1.9368470588235294,-1.3240470588235294,-1.9867294117647059,1.0,-1.9964235294117647,-1.1678117647058823,0.0
2020-06-30,-1.9561312281365226,-1.3095395669849672,-2.009076297626926,1.0,-2.0098326557625033,-1.1698969462040276,0.0
2020-07-01,-1.9517514871116985,-1.3086582947785856,-2.003021433292418,1.0,-2.0106694363138513,-1.16787838730998,0.0
2020-07-02,-1.949277415698498,-1.3134976858411258,-2.0010390101067346,1.0,-2.0099178237461035,-1.1718144894682156,0.0
2020-07-06,-1.9497686715135492,-1.31234066660372,-2.000377679161552,1.0,-2.00925313945803,-1.17033330186007,0.0
2020-07-07,-1.9373294438693893,-1.3147642796650043,-1.985885009880493,1.0,-2.0029170979580315,-1.1690975816316929,0.0
2020-07-08,-1.9386410690758518,-1.3146997929606625,-1.9893657067570112,1.0,-2.002352719744024,-1.165913796348579,0.0
2020-07-09,-1.9355597365945436,-1.3148635936030104,-1.9871119473189087,1.0,-2.001599247412982,-1.1682031984948258,0.0
2020-07-10,-1.9366468982396685,-1.3193071637014024,-1.9865386425680127,1.0,-2.0031064670996894,-1.1679374941165395,0.0
2020-07-13,-1.9552154195011338,-1.3195389266817839,-2.000472411186697,1.0,-2.013227513227513,-1.159769463340892,0.0
2020-07-14,-1.950188679245283,-1.3160377358490567,-1.9956603773584907,1.0,-2.0132075471698117,-1.158867924528302,0.0
2020-07-15,-1.9520799924535424,-1.3111970568814264,-1.9983020469767006,1.0,-2.0133006320158477,-1.1581926233374211,0.0
2020-07-16,-1.9538635720350976,-1.3089914142843664,-1.9996226059062174,1.0,-2.0153788093216343,-1.1569015944900463,0.0
2020-07-17,-1.956373937677054,-1.310576015108593,-2.0018885741265344,1.0,-2.01614730878187,-1.1578847969782815,0.0
2020-07-20,-1.9731244064577398,-1.3191832858499526,-2.0138651471984805,1.0,-2.0267806267806265,-1.1637226970560304,0.0
