Date,IWF,IWM,LNTH,MTUM,SPY,VLUE,VXX
2019-05-15,-0.0,-0.9634689178818112,1.0,-0.0,-1.799283704272192,-1.3535942696341776,0.0
2019-05-16,-0.0,-0.9645034062387953,1.0,-0.0,-1.8034113609588691,-1.3542488347077808,0.0
2019-05-17,-0.0,-0.9652578796561605,1.0,-0.0,-1.7847421203438396,-1.3666598444535407,0.0
2019-05-20,-0.0,-0.9780535329709773,1.0,-0.0,-1.7844836427033124,-1.3651420367141833,0.0
2019-05-21,-0.0,-1.0062765742053046,1.0,-0.0,-1.7202368900587162,-1.3352399271107511,0.0
2019-05-22,-0.0,-0.9996457489878543,1.0,-0.0,-1.726315789473684,-1.3347672064777327,0.0
2019-05-23,-0.0,-0.9876680481148287,1.0,-0.0,-1.7475993126453047,-1.3188112807035277,0.0
2019-05-24,-0.0,-0.9601747689835276,1.0,-0.0,-1.7476898352752108,-1.3142326235435917,0.0
2019-05-28,-0.0,-0.9590704647676161,1.0,-0.0,-1.739480259870065,-1.299000499750125,0.0
2019-05-29,-0.0,-0.9827852131946864,1.0,-0.0,-1.7360067665057963,-1.2565799293497188,0.0
2019-05-30,-0.0,-0.9767696363726808,1.0,-0.0,-1.7321295329055366,-1.2654827637666022,0.0
2019-05-31,-0.0,-0.993607532210109,1.0,-0.0,-1.721209117938553,-1.2406342913776016,0.0
2019-06-03,-0.0,-0.9959576041409908,1.0,-0.0,-1.7236381562731082,-1.2101552871579986,0.0
2019-06-04,-0.0,-0.9535477534986496,1.0,-0.0,-1.7868401669531058,-1.1699975448072675,0.0
2019-06-05,-0.0,-0.944263727727339,1.0,-0.0,-1.7956013011603633,-1.1152109530514154,0.0
2019-06-06,-0.0,-0.9811610918877356,1.0,-0.0018742791234140717,-1.7537004998077663,-1.0691080353710112,0.0
2019-06-07,-0.0,-1.005866230706352,1.0,-0.0038947925181516563,-1.7338077607347215,-1.0648170409193636,0.0
2019-06-10,-0.0,-1.0175405147759773,1.0,-0.03207816968541468,-1.6624404194470925,-1.0544327931363204,0.0
2019-06-11,-0.0,-1.0171123504456836,1.0,-0.02397635730969064,-1.673721340388007,-1.0518613851947185,0.0
2019-06-12,-0.0,-1.011319318938457,1.0,-0.029439741272709978,-1.6704556263673547,-1.044754113954152,0.0
2019-06-13,-0.0,-1.026271873360988,1.0,-0.05082725408859009,-1.6699089305297286,-1.0210747151099033,0.0
2019-06-14,-0.0,-1.0169539956186304,1.0,-0.05419563767977902,-1.6754452805029052,-1.0157634060386704,0.0
2019-06-17,-0.0,-1.0108540417023708,1.0,-0.05574597733980768,-1.684804341616681,-1.0090926401980387,0.0
2019-06-18,-0.0,-1.013136601618277,1.0,-0.05387910518800571,-1.6859114707282248,-1.0067586863398381,0.0
2019-06-19,-0.0,-1.0039409334789422,1.0,-0.07050947248468734,-1.683300887897061,-0.9903613313707801,0.0
2019-06-20,-0.0,-1.0158624303339208,1.0,-0.07350069070642595,-1.6815128852474632,-0.9926165864812081,0.0
2019-06-21,-0.0,-1.0287930706263089,1.0,-0.07076908433276223,-1.6652389110984198,-0.9943841614315628,0.0
2019-06-24,-0.0,-1.0190703218116806,1.0,-0.07404052443384983,-1.6637425506555423,-1.0106793802145413,0.0
2019-06-25,-0.0,-1.0030986318348667,1.0,-0.07670305572770177,-1.6722124231300948,-1.01511178910235,0.0
2019-06-26,-0.0,-1.0008592295574967,1.0,-0.062055468041433956,-1.6475726765000716,-1.0630579025251803,0.0
2019-06-27,-0.0,-0.9949753553141599,1.0,-0.10743168875915204,-1.6586591376752644,-1.0242618557687708,0.0
2019-06-28,-0.0,-0.9725469778009183,1.0,-0.09958820466701376,-1.6523406068064561,-1.0087565674255692,0.0
2019-07-01,-0.0,-0.9675115861155773,1.0,-0.10186323654591885,-1.6577603329234842,-1.0018916107065166,0.0
2019-07-02,-0.0,-0.9749197052711128,1.0,-0.098242962403174,-1.6519931985641414,-0.9981107122614775,0.0
2019-07-03,-0.0,-0.981558343552495,1.0,-0.09433072351664938,-1.6399396283369494,-1.0006603150646165,0.0
2019-07-05,-0.0,-0.9780333741868578,1.0,-0.09078910153672103,-1.6380220609031773,-1.0070236636183652,0.0
