Date,CCBG,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-03-09,1.0,-0.0,-0.7664720825901301,-0.25244581373979785,-0.39300578347116366,-0.290632938760067,0.0
2020-03-10,1.0,-0.051085702297283125,-0.6229413615860695,-0.2705339347529634,-0.36795866988356235,-0.3099234238959404,0.0
2020-03-11,1.0,-0.026549130108833335,-0.6563865263810977,-0.2700411033270429,-0.3422433627174728,-0.28989478582322986,0.0
2020-03-12,1.0,-0.03819849029839404,-0.6167992299508587,-0.24259081007143216,-0.34279852069507066,-0.29266933481939306,0.0
2020-03-13,1.0,-0.11540686463555726,-0.5195478210566911,-0.20955456999614347,-0.31351234091785574,-0.252313922097956,0.0
2020-03-16,1.0,-0.09157140179910045,-0.5684970014992504,-0.19028766866566715,-0.29233039730134935,-0.19989224137931036,0.0
2020-03-17,1.0,-0.15769496204278813,-0.43680699332873246,-0.18063031976075458,-0.29383482861743737,-0.23144697492523583,0.0
2020-03-18,1.0,-0.22377329882623584,-0.416673202101796,-0.3845972864873343,-0.3704807466081092,-0.21867565942540457,0.0
2020-03-19,1.0,-0.23936000000000002,-0.5880436363636363,-0.49102545454545454,-0.44282181818181815,-0.14784,0.0
2020-03-20,1.0,-0.2566616989567809,-0.7304918032786885,-0.4605663189269746,-0.45189269746646793,-0.08104321907600595,0.0
2020-03-23,1.0,-0.2594290165063958,-0.7184326413229083,-0.4755699349929601,-0.45567837991671906,-0.08660615320092269,0.0
2020-03-24,1.0,-0.27794390287662224,-0.7293224089468333,-0.44228814066144373,-0.4466240057412834,-0.09407332097362599,0.0
2020-03-25,1.0,-0.27951086325084235,-0.7233647031486,-0.3825665156268154,-0.4373765539677007,-0.08176484257000118,0.0
2020-03-26,1.0,-0.2922603673931338,-0.7242229896398619,-0.3677413738065527,-0.4361705214893061,-0.08160422531123944,0.0
2020-03-27,1.0,-0.29057749019383283,-0.7197583531365419,-0.34597875569044007,-0.4364818049073782,-0.07031809202049989,0.0
2020-03-30,1.0,-0.28757758645347675,-0.724922056005263,-0.3464431795429193,-0.43757329595835365,-0.06381396413146077,0.0
2020-03-31,1.0,-0.28790089548822706,-0.7254599032987155,-0.34732354876548505,-0.43838869338826425,-0.06194031985809515,0.0
2020-04-01,1.0,-0.292652944539737,-0.7433390508862207,-0.33061749571183535,-0.4405374499714122,-0.0516295025728988,0.0
2020-04-02,1.0,-0.3032812455687587,-0.7160035166331076,-0.3246079237684695,-0.4495901988032104,-0.04253991662176342,0.0
2020-04-03,1.0,-0.3031327473518143,-0.7175738111336488,-0.32076853729997745,-0.4362745098039216,-0.03946923597025017,0.0
2020-04-06,1.0,-0.3025992718652104,-0.7220105551322215,-0.3231733130132927,-0.4347924251404059,-0.0396240792481585,0.0
2020-04-07,1.0,-0.28868013673883436,-0.7040382424057141,-0.31308190433840083,-0.4379811567216031,-0.03546316111280954,0.0
2020-04-08,1.0,-0.3033575825405708,-0.703917179630666,-0.3417179630665921,-0.4466983771684387,-0.002294348069390039,0.0
2020-04-09,1.0,-0.3110286734352337,-0.6790974004239652,-0.35359254713823496,-0.44552605154524155,-0.0,0.0
2020-04-13,1.0,-0.2906279050114087,-0.7395701287360207,-0.34085467196259045,-0.445928054311389,-0.0,0.0
2020-04-14,1.0,-0.28449345667870035,-0.7508743231046933,-0.3353734205776173,-0.4496277075812275,-0.0,0.0
2020-04-15,1.0,-0.25941882074674777,-0.7762009348425973,-0.315424902855212,-0.45973418933378385,-0.005040265810666216,0.0
2020-04-16,1.0,-0.24456228908487648,-0.8026259819073817,-0.3050222612937073,-0.46646626775940786,-0.017156793239372713,0.0
2020-04-17,1.0,-0.2426047250347429,-0.8103179330100116,-0.2991009387674069,-0.465696701551377,-0.01846337105419893,0.0
2020-04-20,1.0,-0.23660777787260676,-0.8214844527893944,-0.2925948052686979,-0.47076896816591274,-0.023441722852834915,0.0
2020-04-21,1.0,-0.2414254404690747,-0.8248370477898272,-0.29439558250078274,-0.4679645916944184,-0.017704152790823442,0.0
2020-04-22,1.0,-0.23188611292289368,-0.840115702010606,-0.2835833593284746,-0.4699827014150809,-0.01026571760769078,0.0
2020-04-23,1.0,-0.21973081490697283,-0.8508171690324041,-0.27393541819826955,-0.4667477238025222,-0.01634338064808008,0.0
2020-04-24,1.0,-0.218208051602682,-0.8557161852491018,-0.2720457181656152,-0.46583868503691966,-0.017257475881970182,0.0
2020-04-27,1.0,-0.2261037230271926,-0.8530070604247597,-0.2683244959877506,-0.46530751127116,-0.0227691609720135,0.0
2020-04-28,1.0,-0.21998294485503128,-0.8709494030699261,-0.26446844798180785,-0.4627060830017055,-0.02441728254690165,0.0
2020-04-29,1.0,-0.2015848583319081,-0.8950743971267316,-0.2459095832620717,-0.45852573969557037,-0.04937004731771278,0.0
2020-04-30,1.0,-0.20246730253012737,-0.9039922325661089,-0.245131075446913,-0.458507053515335,-0.04560511736821064,0.0
2020-05-01,1.0,-0.20231296402055968,-0.9107652769845802,-0.24091947458595087,-0.45719588806396344,-0.04431753283837807,0.0
2020-05-04,1.0,-0.20450334900954822,-0.9117856633889126,-0.23950406156477125,-0.46056719395753176,-0.03386062419837538,0.0
2020-05-05,1.0,-0.20337485391785196,-0.9105549696434171,-0.23375994071202577,-0.46352934469686174,-0.03916426759399139,0.0
2020-05-06,1.0,-0.19983418622602134,-0.9113468080848509,-0.2195603076131393,-0.47136853540695844,-0.056719746133394325,0.0
2020-05-07,1.0,-0.20010875475802065,-0.9133682493345926,-0.21510546349560689,-0.4735411121604991,-0.05981511691136487,0.0
2020-05-08,1.0,-0.19830644238471223,-0.9102872182171873,-0.2194759125758096,-0.47256551092802385,-0.060075523515276355,0.0
2020-05-11,1.0,-0.20269922511651844,-0.8994367083178453,-0.22494495753867272,-0.4773682555113945,-0.054870900408886855,0.0
2020-05-12,1.0,-0.1989236538516589,-0.9015257779177283,-0.2122062233418258,-0.48258094065783075,-0.06741476540806687,0.0
2020-05-13,1.0,-0.19701227204954694,-0.9151852276637229,-0.20805138203922466,-0.4846312650533318,-0.06242114921435945,0.0
