Date,IWF,IWM,MTUM,SCU,SPY,VLUE,VXX
2020-01-27,-0.001928728875826598,-0.7262123438648053,-3.4545371050698015,1.0,-2.7129867744305654,-1.2888501102130787,0.0
2020-01-28,-0.0,-0.7801947756439429,-3.4630017293164648,1.0,-2.6590516064439798,-1.1994174934012927,0.0
2020-01-29,-0.0,-0.7853015529071867,-3.4433911159263273,1.0,-2.6247742867461175,-1.175063199711087,0.0
2020-01-30,-0.0,-0.7933177233429395,-3.4283141210374644,1.0,-2.633555475504323,-1.1504863112391932,0.0
2020-01-31,-0.0,-0.8487857723210257,-3.405705515933917,1.0,-2.618398483343866,-1.1547350365622462,0.0
2020-02-03,-0.0,-0.8132562277580072,-3.3621886120996445,1.0,-2.5737544483985766,-1.1475978647686833,0.0
2020-02-04,-0.0,-0.7815602836879433,-3.3436170212765957,1.0,-2.5695035460992908,-1.1704787234042555,0.0
2020-02-05,-0.0,-0.7844253679046952,-3.3065872459705674,1.0,-2.5340749824807287,-1.134635599159075,0.0
2020-02-06,-0.0,-0.8109180703765764,-3.291207337507717,1.0,-2.5541053002910306,-1.1628009524649439,0.0
2020-02-07,-0.0,-0.8153979238754325,-3.177249134948097,1.0,-2.499740484429066,-1.1581314878892734,0.0
2020-02-10,-0.0,-0.802521371211467,-3.177618513081772,1.0,-2.501942837406096,-1.1527501942837408,0.0
2020-02-11,-0.0,-0.7899853738277554,-3.158909059623161,1.0,-2.481631248386819,-1.1731050503312397,0.0
2020-02-12,-0.0,-0.7923229193562269,-3.1483776572854807,1.0,-2.4769773646613307,-1.1890007745933384,0.0
2020-02-13,-0.0,-0.8017754029130398,-3.165388261656468,1.0,-2.478324571231578,-1.1729725071102302,0.0
2020-02-14,-0.0,-0.7912469607502606,-3.1751476207016323,1.0,-2.4893192080583533,-1.2278568947551234,0.0
2020-02-18,-0.0,-0.7901622187336473,-3.207919065061922,1.0,-2.5084597941740796,-1.2149834292691435,0.0
2020-02-19,-0.0,-0.8601465712790088,-3.1965625545280054,1.0,-2.4557668818705287,-1.2120921305182342,0.0
2020-02-20,-0.0,-0.861091973820186,-3.1119531519118153,1.0,-2.439459180158457,-1.1991904925938686,0.0
2020-02-21,-0.0,-0.8379353755770037,-3.0221569450272767,1.0,-2.3697020562316404,-1.1629878304657995,0.0
2020-02-24,-0.0,-0.8702616571620262,-3.0107346528010734,1.0,-2.3616236162361623,-1.1439114391143912,0.0
2020-02-25,-0.0,-0.9596207032793364,-2.8365863295140263,1.0,-2.0615566969577244,-1.0442512840774396,0.0
2020-02-26,-0.0,-0.8952511833867766,-2.760192395785616,1.0,-2.035730645900137,-0.9435791723927317,0.0
2020-02-27,-0.0,-0.8887026738782662,-2.7471623371676697,1.0,-2.0476117924887633,-0.9344099946674793,0.0
2020-02-28,-0.0,-1.050234474918289,-2.460352422907489,1.0,-1.7295722609066362,-0.8651413954810288,0.0
2020-03-02,-0.0,-1.0041128917883988,-2.4492270599914905,1.0,-1.764430577223089,-0.8734222096156573,0.0
2020-03-03,-0.0,-1.1782112083361163,-2.115623538841761,1.0,-1.5936143210206397,-0.7921314541446797,0.0
2020-03-04,-0.0,-1.3418388011340625,-2.277440259214257,1.0,-1.487039287160794,-0.6440529229107601,0.0
2020-03-05,-0.0,-1.544905120873408,-2.0492591629841437,1.0,-1.3515726540161166,-0.5528333766571355,0.0
2020-03-06,-0.0,-1.6574896199297349,-1.9723411050782498,1.0,-1.2671989779623125,-0.49076972213350367,0.0
2020-03-09,-0.0,-1.6693037974683542,-1.9587341772151896,1.0,-1.246898734177215,-0.45424050632911395,0.0
2020-03-10,-0.38050557456672923,-1.082900982448394,-1.6447731537697317,1.0,-1.0888619052875594,-0.3223313831548736,0.0
2020-03-11,-0.24244841523080193,-1.2643586470963624,-1.6432673899170387,1.0,-0.9566581578387576,-0.21128483301425227,0.0
2020-03-12,-0.29414432574077803,-1.1249748034670428,-1.492592219310623,1.0,-0.939679500100786,-0.18786534972787744,0.0
2020-03-13,-0.4601069707819476,-0.869248110330195,-1.1624895018344163,1.0,-0.7992308712372365,-0.12920479158378642,0.0
2020-03-16,-0.2990443830961988,-1.1315778296878318,-1.124187725631769,1.0,-0.6923763007007857,-0.0,0.0
2020-03-17,-0.42117780294450735,-0.794412986032465,-0.734239335598339,1.0,-0.7531143827859569,-0.0720649301623254,0.0
2020-03-18,-0.4085929982976833,-0.8435348974909332,-0.6144992968692177,1.0,-0.7556435497002443,-0.07841758567093479,0.0
2020-03-19,-0.4082256968048946,-0.8946295037389531,-0.6392854445199788,1.0,-0.7741898934964876,-0.06038975753455699,0.0
2020-03-20,-0.40664527090806124,-0.886652822352275,-0.6426279025863697,1.0,-0.7750802340947707,-0.06471587691145932,0.0
2020-03-23,-0.40454596349792854,-0.920613593102676,-0.5892957115664539,1.0,-0.7604971447766208,-0.05736572985481282,0.0
2020-03-24,-0.41451200059353793,-0.9146789331157029,-0.5692028044663724,1.0,-0.7455577401046111,-0.06566012538487222,0.0
2020-03-25,-0.4293018335684062,-0.9073342736248237,-0.4235543018335684,1.0,-0.7395627644569817,-0.026339915373765867,0.0
2020-03-26,-0.4419554804170189,-0.9078613693998309,-0.40927021696252464,1.0,-0.7374260355029586,-0.0256058044519583,0.0
2020-03-27,-0.481245130412199,-0.9218639854561644,-0.475716988832412,1.0,-0.7731606871220272,-0.05821244388379772,0.0
2020-03-30,-0.4693319538870825,-0.9215563109665977,-0.4876219331953887,1.0,-0.7753473248595921,-0.04105084244753178,0.0
2020-03-31,-0.45228108903605596,-0.9391832229580575,-0.48233995584988965,1.0,-0.7617365710080942,-0.04367181751287712,0.0
2020-04-01,-0.4522871968498141,-0.930519265447319,-0.4851875023000773,1.0,-0.760755161373422,-0.051411327420601324,0.0
2020-04-02,-0.46883862991782416,-0.8829176059922915,-0.4736746418442295,1.0,-0.7755799578212493,-0.0350883572103847,0.0
2020-04-03,-0.5021582733812949,-0.9418780764861795,-0.5272624006058312,1.0,-0.7621355547141234,-0.05301022340022719,0.0
2020-04-06,-0.506958174904943,-0.972699619771863,-0.5261596958174904,1.0,-0.7549429657794676,-0.04152091254752851,0.0
2020-04-07,-0.48479547400156325,-0.9444671902333717,-0.5050433617448915,1.0,-0.7476830312279004,-0.040049130904083075,0.0
2020-04-08,-0.4802236565595917,-0.9521915340738518,-0.47898528970279197,1.0,-0.7575803062143501,-0.0836460522365656,0.0
2020-04-09,-0.48000601888424926,-0.958206372493699,-0.4775984651845164,1.0,-0.7605612609562502,-0.08546815634051838,0.0
2020-04-13,-0.4803925254727977,-0.9557092905214876,-0.4765575064856939,1.0,-0.7603113133060121,-0.08681430236492838,0.0
