Date,CIB,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-16,1.0,-0.0,-0.13745815469548364,-0.24869325189405062,-1.1632701004287307,-0.38709109062077873,0.0
2019-10-17,1.0,-0.0,-0.11971395779994704,-0.27435920072981956,-1.153056119596245,-0.3956622818633942,0.0
2019-10-18,1.0,-0.0,-0.10419158183356182,-0.24959892658168767,-1.1780765977306535,-0.38503048157979175,0.0
2019-10-21,1.0,-0.0,-0.07852868194424172,-0.25313092979127133,-1.1749233688512626,-0.41269887607648514,0.0
2019-10-22,1.0,-0.0,-0.06688855799830662,-0.2545911068289977,-1.176403608653762,-0.42173951125514586,0.0
2019-10-23,1.0,-0.0,-0.06524984631597436,-0.22607652000819645,-1.1840988261467755,-0.45191885483446026,0.0
2019-10-24,1.0,-0.0,-0.06373729659871938,-0.2415261704752394,-1.1757034600246725,-0.4562063091112025,0.0
2019-10-25,1.0,-0.0,-0.06342867210900335,-0.24631467668996299,-1.17116931931638,-0.455629294649674,0.0
2019-10-28,1.0,-0.0,-0.07013874569181372,-0.25477950923498394,-1.1523845995227855,-0.46843609155448196,0.0
2019-10-29,1.0,-0.0,-0.0712894659191502,-0.2665092947772204,-1.1499262319268222,-0.46299793449395105,0.0
2019-10-30,1.0,-0.0,-0.07697306238185254,-0.26875590737240074,-1.1467686672967863,-0.46115902646502827,0.0
2019-10-31,1.0,-0.0,-0.0695780032348184,-0.2750771945302161,-1.1014556682840757,-0.49460373474489044,0.0
2019-11-01,1.0,-0.0,-0.05191494292832725,-0.24601657106437222,-1.098470363288719,-0.5006663190219596,0.0
2019-11-04,1.0,-0.0,-0.05184198331788693,-0.2550683503243744,-1.0861909175162188,-0.5031278962001854,0.0
2019-11-05,1.0,-0.0,-0.06178236288395407,-0.2917468088826718,-1.0612869382759222,-0.4994462901439646,0.0
2019-11-06,1.0,-0.0,-0.05852110814066218,-0.28711184229853987,-1.061664561238579,-0.5305091218895972,0.0
2019-11-07,1.0,-0.0,-0.06018219218336762,-0.2828386717602116,-1.0651777843079637,-0.5303849544519542,0.0
2019-11-08,1.0,-0.0,-0.07012659711639901,-0.28203024264447313,-1.0566756534990036,-0.5216270073848318,0.0
2019-11-11,1.0,-0.0,-0.06866233422530656,-0.2800011762284236,-1.0676625400652808,-0.5242450083806275,0.0
2019-11-12,1.0,-0.0,-0.028659998830204127,-0.2739954377961045,-1.0828507925367021,-0.5389834473884306,0.0
2019-11-13,1.0,-0.0,-0.042487812084502884,-0.3581326636135323,-1.0266509085537008,-0.5273747968680751,0.0
2019-11-14,1.0,-0.0,-0.0424567433041005,-0.3449277079876748,-1.0256281109267598,-0.5497748281583313,0.0
2019-11-15,1.0,-0.0,-0.03988183161004431,-0.36709010339734116,-0.9964254062038403,-0.5508124076809453,0.0
2019-11-18,1.0,-0.0,-0.047267182735163026,-0.35978184377199157,-0.9807353976073188,-0.5444229415904293,0.0
2019-11-19,1.0,-0.0,-0.10170250896057347,-0.34901433691756273,-0.9872461170848268,-0.54889486260454,0.0
