Date,GATX,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-12,1.0,-0.0,-0.5849073628488932,-0.13453440808469683,-0.5337163137632339,-0.7545115495668914,0.0
2019-12-13,1.0,-0.0,-0.5867353082851637,-0.15390173410404623,-0.5247772157996146,-0.7451830443159922,0.0
2019-12-16,1.0,-0.0,-0.5871551361423334,-0.14155196249323798,-0.5213680351024824,-0.7553044419065937,0.0
2019-12-17,1.0,-0.0,-0.5876369563248921,-0.15444749630255653,-0.5296550058857263,-0.7465817512299658,0.0
2019-12-18,1.0,-0.0,-0.5954534268487757,-0.17854066691275994,-0.5465423895656454,-0.7556293835363603,0.0
2019-12-19,1.0,-0.0,-0.6301264969830622,-0.1779227541425465,-0.5023737327330087,-0.7524273331495605,0.0
2019-12-20,1.0,-0.0,-0.6286763580719205,-0.17554705432287682,-0.5027390971690895,-0.753511859219587,0.0
2019-12-23,1.0,-0.0,-0.6329191406010897,-0.17784783007896188,-0.49476648099406256,-0.7550039786986595,0.0
2019-12-24,1.0,-0.0,-0.6325194296554678,-0.17740652346857597,-0.49467596842298517,-0.755216938987822,0.0
2019-12-26,1.0,-0.0,-0.6262663361185076,-0.1768126587702384,-0.49233311908915617,-0.7652189881553576,0.0
2019-12-27,1.0,-0.0,-0.6270396270396271,-0.18105140473561526,-0.4950312845049687,-0.7639860139860141,0.0
2019-12-30,1.0,-0.0,-0.6324583807736098,-0.19687971197341292,-0.505769763362772,-0.7420684986306428,0.0
2019-12-31,1.0,-0.0,-0.6307549791570171,-0.19786938397406204,-0.5144974525243168,-0.7447274972981318,0.0
2020-01-02,1.0,-0.0,-0.6304435048300978,-0.19700009258973486,-0.5141816610598438,-0.7446992376778494,0.0
2020-01-03,1.0,-0.0,-0.6265511372427666,-0.19876218474392696,-0.517406777038527,-0.7517870957759554,0.0
2020-01-06,1.0,-0.0,-0.6338246702870443,-0.2097129557796742,-0.5124903025601242,-0.7471528316524438,0.0
2020-01-07,1.0,-0.0,-0.630930529197648,-0.2198923560339732,-0.5010733285629843,-0.7592010702174657,0.0
2020-01-08,1.0,-0.0,-0.6302447824328947,-0.2194021958881528,-0.4990202482037883,-0.7616248328201299,0.0
2020-01-09,1.0,-0.0,-0.626065395939873,-0.21704633503796683,-0.49186424918642496,-0.7643266697660003,0.0
2020-01-10,1.0,-0.0,-0.6258370535714285,-0.22327628968253968,-0.4908234126984126,-0.7602616567460317,0.0
2020-01-13,1.0,-0.0,-0.6298871889970639,-0.22713645495286663,-0.48165662185133673,-0.7520012362849636,0.0
2020-01-14,1.0,-0.0,-0.6259707983845915,-0.2427772600186393,-0.4917986952469711,-0.7459770114942529,0.0
2020-01-15,1.0,-0.0,-0.6228430822899147,-0.24992213293465396,-0.5131439606304118,-0.7287734379866692,0.0
2020-01-16,1.0,-0.0,-0.6189497930089956,-0.246988514333738,-0.5105363090235627,-0.7361720671086625,0.0
2020-01-17,1.0,-0.0,-0.6212771249145059,-0.2400671516508114,-0.5170055337934465,-0.7304918236647392,0.0
2020-01-21,1.0,-0.0,-0.638245240480962,-0.23756888777555113,-0.5255511022044088,-0.7298972945891784,0.0
2020-01-22,1.0,-0.0,-0.6464427930893927,-0.22484557739942934,-0.5245665192989057,-0.739598030915875,0.0
2020-01-23,1.0,-0.0,-0.6407605279698303,-0.22133878064110626,-0.5314896291640477,-0.7490571967316154,0.0
2020-01-24,1.0,-0.0,-0.6212304397388511,-0.3868181975197761,-0.6578465577394728,-0.7884555597775398,0.0
2020-01-27,1.0,-0.0,-0.6112260377878913,-0.3905323403668459,-0.6489794511101917,-0.7970969521445318,0.0
2020-01-28,1.0,-0.0,-0.61305474011397,-0.3895009497496115,-0.6537730961837335,-0.7973061647383872,0.0
2020-01-29,1.0,-0.0,-0.6163043103745306,-0.38876063811459877,-0.6454880611928471,-0.7949557247700101,0.0
2020-01-30,1.0,-0.0,-0.6052703909846767,-0.3796811653954511,-0.6612038754895898,-0.7895966467395039,0.0
2020-01-31,1.0,-0.0,-0.6132020247236665,-0.3794635170965187,-0.6604800110189043,-0.7902620433180676,0.0
2020-02-03,1.0,-0.0,-0.6093344266776001,-0.3674320076534099,-0.6509498428317616,-0.7889845565122318,0.0
2020-02-04,1.0,-0.0,-0.5967884903859266,-0.3639029046774853,-0.6500068184917496,-0.7985135687985817,0.0
2020-02-05,1.0,-0.0,-0.6017172604962476,-0.36731796362652963,-0.6292677979852613,-0.7820972212832127,0.0
2020-02-06,1.0,-0.0,-0.6051190154179064,-0.3916012983500135,-0.6223965377332972,-0.7620029753854476,0.0
2020-02-07,1.0,-0.0,-0.6165894252562498,-0.3926118872839214,-0.6160819999323434,-0.7575860085924022,0.0
2020-02-10,1.0,-0.0,-0.6178300865800866,-0.3917748917748918,-0.615530303030303,-0.7568655303030303,0.0
2020-02-11,1.0,-0.0,-0.612785140494187,-0.40046774904247023,-0.6143443039690878,-0.761888621496119,0.0
2020-02-12,1.0,-0.0,-0.6099513579246048,-0.38413727874611536,-0.6152546953114444,-0.7685785704634509,0.0
2020-02-13,1.0,-0.0,-0.6299321099684076,-0.36862270619076426,-0.6160852322376823,-0.7462189957652752,0.0
2020-02-14,1.0,-0.0,-0.6263055050198775,-0.36719223771983023,-0.6162657502863689,-0.7592817195606766,0.0
2020-02-18,1.0,-0.0,-0.6270592595088098,-0.3620927803793417,-0.6133477074419702,-0.7664656537411987,0.0
2020-02-19,1.0,-0.0,-0.6470588235294118,-0.36736003241709997,-0.6034983453771864,-0.7588640507867901,0.0
2020-02-20,1.0,-0.0,-0.6471801460643765,-0.36516094130375976,-0.6101906951582363,-0.758588044360292,0.0
2020-02-21,1.0,-0.0,-0.66752656053766,-0.3698109364923119,-0.5991649977936935,-0.7578154169919554,0.0
2020-02-24,1.0,-0.0,-0.6788604066090976,-0.3696879037193173,-0.5970286258244373,-0.7541646834840552,0.0
2020-02-25,1.0,-0.0,-0.6884955159951813,-0.37990228885022087,-0.5515660554142685,-0.7262749297282828,0.0
2020-02-26,1.0,-0.0,-0.6704564070639888,-0.36148881098260216,-0.5530945906097441,-0.691425575833033,0.0
2020-02-27,1.0,-0.0,-0.6610978520286397,-0.35573936639748915,-0.5695229999673064,-0.6830025827966131,0.0
2020-02-28,1.0,-0.0,-0.7085699940377193,-0.2916810493614084,-0.4770138387673769,-0.6607776069287978,0.0
2020-03-02,1.0,-0.0,-0.687073552425665,-0.28638497652582157,-0.49133020344287953,-0.665133020344288,0.0
2020-03-03,1.0,-0.0,-0.7447937072420964,-0.1880292938729996,-0.4419698019951177,-0.6389801392363099,0.0
2020-03-04,1.0,-0.0,-0.7817270992366413,-0.20306536259541982,-0.3834685114503817,-0.6136092557251909,0.0
2020-03-05,1.0,-0.0,-0.8293044337265385,-0.14053692835144402,-0.34601080829798364,-0.5896042768318903,0.0
2020-03-06,1.0,-0.0,-0.7810557251045552,-0.14829885837006895,-0.3078727252175879,-0.5885610941562112,0.0
2020-03-09,1.0,-0.0,-0.780422610506176,-0.1459722573928702,-0.30269266480965645,-0.5845924425311613,0.0
2020-03-10,1.0,-0.031079160288650775,-0.6476875136671769,-0.190356439973759,-0.3348731685982943,-0.5294390990596982,0.0
2020-03-11,1.0,-0.025012900247141576,-0.6558757230928003,-0.18807202411667256,-0.3251677032128405,-0.5217403112354363,0.0
2020-03-12,1.0,-0.030489284270117267,-0.6459091521768433,-0.1753875185334951,-0.32411376196252867,-0.519854427820461,0.0
2020-03-13,1.0,-0.11436204045286857,-0.5472077343849383,-0.14916677267523215,-0.31016410125938176,-0.4232794809820633,0.0
2020-03-16,1.0,-0.16132020538880948,-0.49782965433275106,-0.1922873325922397,-0.3368535281350908,-0.4584722883912975,0.0
2020-03-17,1.0,-0.21503805643115245,-0.40529458496706905,-0.17780169652238537,-0.3536300966146434,-0.41095820199379823,0.0
2020-03-18,1.0,-0.213917394190024,-0.4080257313524277,-0.16786644202787565,-0.35168734364629606,-0.41124215040588147,0.0
2020-03-19,1.0,-0.20776050366182708,-0.43150456122317876,-0.1724013876397276,-0.3558524990363613,-0.4022099447513812,0.0
2020-03-20,1.0,-0.21054804417380535,-0.48606667354732164,-0.15422128186603362,-0.3535968624213025,-0.3758385798328001,0.0
2020-03-23,1.0,-0.21142930525234369,-0.49831770900218314,-0.1366123025555413,-0.3498651598818544,-0.37218440991395924,0.0
2020-03-24,1.0,-0.22348659593008355,-0.5038956379107079,-0.11940642780255266,-0.3436362704392844,-0.37249474601465987,0.0
2020-03-25,1.0,-0.22810264619078585,-0.5013756190285629,-0.0731829323195438,-0.33997799009554297,-0.3584863188434796,0.0
2020-03-26,1.0,-0.23085768567357448,-0.5012374071944604,-0.07109466789990751,-0.338974576906732,-0.357648176386771,0.0
2020-03-27,1.0,-0.23024012622651743,-0.49538977367979886,-0.050342685271929394,-0.337384744341995,-0.35200433903653666,0.0
2020-03-30,1.0,-0.23169048792508626,-0.497486446525382,-0.04438146870379498,-0.3372597338590439,-0.35344997535731887,0.0
2020-03-31,1.0,-0.23022574530415302,-0.49860909381846824,-0.04571527042662662,-0.33571305482385955,-0.35149307008690084,0.0
2020-04-01,1.0,-0.24224720209042053,-0.5231228122072672,-0.01397722230439284,-0.34583148449440415,-0.33991519992111624,0.0
2020-04-02,1.0,-0.2437424774630935,-0.5185822013706369,-0.007712903146569723,-0.3473754022254427,-0.3389501608901771,0.0
2020-04-03,1.0,-0.24210888027097346,-0.5280300427077708,-0.011094202542830493,-0.3311324922684208,-0.3421039713317952,0.0
2020-04-06,1.0,-0.2428304851699077,-0.5288744843842075,-0.011392653702612453,-0.33102533883323515,-0.3411903358868592,0.0
2020-04-07,1.0,-0.23626627723013266,-0.5191919191919192,-0.005062674942193014,-0.3317269076305221,-0.3417305585980285,0.0
2020-04-08,1.0,-0.23033142801069598,-0.5153693300296838,-0.0,-0.3404067414076491,-0.3670976130314256,0.0
2020-04-09,1.0,-0.24289449888804712,-0.4888682519123146,-0.004912143503018158,-0.3451208485055842,-0.36205674625479606,0.0
2020-04-13,1.0,-0.2831845347893455,-0.40382203202243044,-0.03571165055707223,-0.36129762168277624,-0.37546422686244124,0.0
2020-04-14,1.0,-0.2735193367422926,-0.4402025517549521,-0.012957354912376508,-0.3745469890284466,-0.3810256664846349,0.0
