Date,IWF,IWM,MTUM,SPY,TLK,VLUE,VXX
2020-02-25,-0.0,-0.15632309121783985,-1.0372625036044985,-0.7226298420428695,1.0,-0.2878151933613149,0.0
2020-02-26,-0.0,-0.13397794322078405,-0.9894349881066388,-0.7101726854283155,1.0,-0.2555682555373637,0.0
2020-02-27,-0.0,-0.13338478160209907,-0.9869732983485106,-0.7124864948294489,1.0,-0.25408242012656274,0.0
2020-02-28,-0.0,-0.18626275622094216,-0.8932717330916108,-0.6065089622503581,1.0,-0.23801865551624315,0.0
2020-03-02,-0.0,-0.17262441464762515,-0.8911317297344463,-0.6068468049213228,1.0,-0.23798027980570666,0.0
2020-03-03,-0.0,-0.2319829187810221,-0.7785819260738152,-0.5491223691872557,1.0,-0.21326567395945983,0.0
2020-03-04,-0.0,-0.31102428132849563,-0.8532235556795981,-0.4710298632430924,1.0,-0.1556516885291655,0.0
2020-03-05,-0.0,-0.3330233830165459,-0.809818132093532,-0.44463284561739375,1.0,-0.1473813756324354,0.0
2020-03-06,-0.0,-0.3605808231031313,-0.790871234654697,-0.4205829863176681,1.0,-0.13195608674490295,0.0
2020-03-09,-0.0,-0.3422642218583049,-0.7882359257966657,-0.4156084727106768,1.0,-0.13852720878412844,0.0
2020-03-10,-0.06395512639909842,-0.27669492610711266,-0.670696411648695,-0.39589683169838386,1.0,-0.15403529441897396,0.0
2020-03-11,-0.03958800271978645,-0.31071041829308216,-0.6662469465360498,-0.3680273993301266,1.0,-0.13372283361454582,0.0
2020-03-12,-0.049535756617937576,-0.2778792967206638,-0.6406311734492296,-0.3664806400632161,1.0,-0.13487751876728565,0.0
2020-03-13,-0.1305567241621091,-0.22998176973776469,-0.5393586687234142,-0.331837516944795,1.0,-0.10547842752302156,0.0
2020-03-16,-0.12035131055303966,-0.262202095055121,-0.5116417364255981,-0.3145556012991172,1.0,-0.0784273363524084,0.0
2020-03-17,-0.18467903435223695,-0.20842411038489472,-0.36988622609537647,-0.310842631104069,1.0,-0.12682379349046016,0.0
2020-03-18,-0.17982009320472528,-0.23834399046277233,-0.304996206784437,-0.31654925761352554,1.0,-0.1278422022325783,0.0
2020-03-19,-0.17318684251495675,-0.291417387629829,-0.33209527833996844,-0.33058292373729514,1.0,-0.09676845406222895,0.0
2020-03-20,-0.18956710657082765,-0.1355074306053112,-0.42898745001964544,-0.3804978389996995,1.0,-0.17667044167610418,0.0
2020-03-23,-0.20678397777263255,-0.22484371382264412,-0.34542718221810603,-0.3866635795322992,1.0,-0.15160916878907155,0.0
2020-03-24,-0.20666759530110973,-0.22403305938617263,-0.3506987974183962,-0.3868458931141756,1.0,-0.15334076240887773,0.0
2020-03-25,-0.2170131902526269,-0.225843952604516,-0.27520679633355694,-0.3852000894254416,1.0,-0.13239436619718312,0.0
2020-03-26,-0.22131019561483728,-0.22545892534516987,-0.2663216826890906,-0.38355675506881093,1.0,-0.13382999130105055,0.0
2020-03-27,-0.2245252771568561,-0.23068933595249383,-0.2779471200523832,-0.38978075820181085,1.0,-0.134954503375556,0.0
2020-03-30,-0.21071943093823156,-0.22422564379614623,-0.3003781739600216,-0.3933459391320007,1.0,-0.12238879884746984,0.0
2020-03-31,-0.21387478849407784,-0.2221094190637338,-0.30285391990975746,-0.3969317540891145,1.0,-0.12027072758037226,0.0
2020-04-01,-0.21107001082641647,-0.22482858173944426,-0.3112369180801155,-0.39272825694695057,1.0,-0.11563966077228438,0.0
2020-04-02,-0.21512122977636355,-0.2064491552010039,-0.3080939362703357,-0.3977277820104872,1.0,-0.1134316317841617,0.0
2020-04-03,-0.2214653447539399,-0.2005125784042625,-0.30673770823497676,-0.4119961331804591,1.0,-0.10741664980553496,0.0
2020-04-06,-0.22230202908960314,-0.1903842700664392,-0.30562039863530255,-0.41497575866403297,1.0,-0.11128568863350691,0.0
2020-04-07,-0.21182812396015882,-0.18491980744914482,-0.30215843297322476,-0.4124093258501741,1.0,-0.1070343175314448,0.0
2020-04-08,-0.2144157343278281,-0.18478067838749776,-0.3079160007103534,-0.4131814952939087,1.0,-0.09956046883324454,0.0
2020-04-09,-0.22842077277561149,-0.15358029067706488,-0.3239099610067352,-0.4185572492024105,1.0,-0.09103598014888338,0.0
2020-04-13,-0.2255414323043536,-0.15988307719562425,-0.31978829886177423,-0.4175118472917313,1.0,-0.0917223969174897,0.0
2020-04-14,-0.22749822820694546,-0.14721385542168675,-0.3326541459957477,-0.41628277817150955,1.0,-0.09107016300496101,0.0
2020-04-15,-0.22028543655001767,-0.15034022622834925,-0.32732414280664546,-0.41602598091198306,1.0,-0.09528543655001769,0.0
2020-04-16,-0.2125077509079635,-0.15712197714589424,-0.32186198954734696,-0.4202542297812029,1.0,-0.10279918504739127,0.0
2020-04-17,-0.20408253827379633,-0.1724650543598846,-0.30736631905924117,-0.4236520967384069,1.0,-0.11120479254493011,0.0
2020-04-20,-0.19034033471863418,-0.202695720543637,-0.29666404582724926,-0.43668426373132657,1.0,-0.12004942154330002,0.0
2020-04-21,-0.19406284541291646,-0.20037896731406918,-0.2925717894926801,-0.44332408472626383,1.0,-0.12542013489431775,0.0
2020-04-22,-0.18938200477112122,-0.203650357834091,-0.28872034928208123,-0.44553720124229196,1.0,-0.12321645586712877,0.0
2020-04-23,-0.19728813559322034,-0.19844067796610168,-0.2944858757062147,-0.4501920903954802,1.0,-0.11945762711864406,0.0
2020-04-24,-0.19937109763822278,-0.1929689620848792,-0.2987059994570627,-0.4528549452538232,1.0,-0.11838295176907068,0.0
