Date,IWF,IWM,LQDT,MTUM,SPY,VLUE,VXX
2019-12-11,-0.0,-0.44319775596072936,1.0,-1.8797919588592802,-1.5343618513323984,-0.9865007012622721,0.0
2019-12-12,-0.0,-0.449057714958775,1.0,-1.8981743227326264,-1.5534157832744404,-0.9886925795053003,0.0
2019-12-13,-0.0,-0.47013234768093476,1.0,-2.0356504113509,-1.5386312149755572,-0.9171932753070227,0.0
2019-12-16,-0.0,-0.4756264508064996,1.0,-2.0569608951848104,-1.5303850961252308,-0.8891137432295698,0.0
2019-12-17,-0.0,-0.42176090760967955,1.0,-2.1669181099511197,-1.6005672560497255,-0.8453925532556876,0.0
2019-12-18,-0.0,-0.46942549257157434,1.0,-2.3107823758209527,-1.7036281323726326,-0.8924950583434292,0.0
2019-12-19,-0.0,-0.45950413223140496,1.0,-2.3005085823267644,-1.705022250476796,-0.8922441195168468,0.0
2019-12-20,-0.0,-0.4798541826554106,1.0,-2.318495778971604,-1.715528268099258,-0.8816193399846508,0.0
2019-12-23,-0.0,-0.4965477560414269,1.0,-2.31038230405319,-1.7206878915739674,-0.8653624856156502,0.0
2019-12-24,-0.0,-0.4964865210169924,1.0,-2.300753800945445,-1.726587453685959,-0.8643158298198543,0.0
2019-12-26,-0.0,-0.5139074533766151,1.0,-2.29240659410604,-1.7275157532938705,-0.8310737699700846,0.0
2019-12-27,-0.0,-0.5377364499076492,1.0,-2.307814788866951,-1.70384051971212,-0.819629322973059,0.0
2019-12-30,-0.0,-0.5358188064639268,1.0,-2.30455528693218,-1.701425117699453,-0.8203333757475506,0.0
2019-12-31,-0.0,-0.5189029376611939,1.0,-2.29804365603573,-1.6601245518022267,-0.813361011511606,0.0
2020-01-02,-0.0,-0.5285446595877576,1.0,-2.2776389756402247,-1.6359150530918176,-0.8040599625234229,0.0
2020-01-03,-0.0,-0.535297073232006,1.0,-2.3028514005778167,-1.6081522421806305,-0.8343172968220074,0.0
2020-01-06,-0.0,-0.5740882427952052,1.0,-2.36846467737822,-1.608645753634277,-0.8247895944912012,0.0
2020-01-07,-0.0,-0.5760821062025882,1.0,-2.3697966469050806,-1.5953337158156433,-0.8334927009625804,0.0
2020-01-08,-0.0,-0.5645948375497625,1.0,-2.389816360601002,-1.5927186336201362,-0.8738281751637345,0.0
2020-01-09,-0.0,-0.585780228234389,1.0,-2.3719707654827538,-1.5800102577253494,-0.8733170919348634,0.0
2020-01-10,-0.0,-0.6062817672357617,1.0,-2.408705851687736,-1.598331812850254,-0.9030366219210217,0.0
2020-01-13,-0.0,-0.6061297685034236,1.0,-2.418258884903815,-1.5958265405934138,-0.9008803390935768,0.0
2020-01-14,-0.0,-0.5901606425702811,1.0,-2.510508701472557,-1.6703480589022757,-0.9224230254350735,0.0
2020-01-15,-0.0,-0.595092847087216,1.0,-2.5169940336528795,-1.6776161426560299,-0.9140577864181806,0.0
2020-01-16,-0.0,-0.592265489094072,1.0,-2.5040144520272984,-1.6797805432891744,-0.9147598019537,0.0
2020-01-17,-0.0,-0.6303251493032516,1.0,-2.4493696084936962,-1.686728599867286,-0.8692767086927671,0.0
2020-01-21,-0.0,-0.6353580181493013,1.0,-2.433529840365636,-1.6928528846790756,-0.8620255679936412,0.0
