Date,IWF,IWM,MTUM,SPY,TPIC,VLUE,VXX
2019-05-10,-0.0,-0.3477923714438036,-0.0,-1.9404352251248,1.0,-1.5583773566616583,0.0
2019-05-13,-0.0,-0.34521675950593367,-0.0,-1.9341729232259628,1.0,-1.56439815936062,0.0
2019-05-14,-0.0,-0.2665208709708092,-0.0,-1.9319672910525816,1.0,-1.5557668536654938,0.0
2019-05-15,-0.0,-0.27169027019188946,-0.0,-2.0189472666634445,1.0,-1.542848856880468,0.0
2019-05-16,-0.0,-0.27184701040910186,-0.0,-2.0252723311546843,1.0,-1.5443234083756958,0.0
2019-05-17,-0.0,-0.24597845514709435,-0.018163373750060382,-2.0025119559441573,1.0,-1.5640790299985508,0.0
2019-05-20,-0.0,-0.23826767091541134,-0.022112784859018925,-2.002848590189262,1.0,-1.564841637697953,0.0
2019-05-21,-0.0,-0.23520331870146158,-0.029521007187304035,-1.9952727798948435,1.0,-1.5636968790699919,0.0
2019-05-22,-0.0,-0.23286280576235135,-0.030455380450546264,-1.999564923136421,1.0,-1.5712559218795321,0.0
2019-05-23,-0.0,-0.22232405576190248,-0.03255993439776181,-2.0052578264434904,1.0,-1.563552168250446,0.0
2019-05-24,-0.0,-0.1981154752175376,-0.03879621172059036,-2.006826594875246,1.0,-1.5637709725493967,0.0
2019-05-28,-0.0,-0.16863161963664475,-0.04807692307692308,-2.0309238500193274,1.0,-1.5841708542713566,0.0
2019-05-29,-0.0,-0.1846042471042471,-0.05212355212355213,-2.0385135135135135,1.0,-1.5510135135135135,0.0
2019-05-30,-0.0,-0.18013411163104828,-0.049013459404698735,-2.0381591007766895,1.0,-1.5569009600077188,0.0
2019-05-31,-0.0,-0.19083526682134572,-0.03499613302397525,-2.038089713843774,1.0,-1.569798917246713,0.0
2019-06-03,-0.0,-0.18975122466621844,-0.05609451541638651,-2.0292479108635098,1.0,-1.5275189703198542,0.0
2019-06-04,-0.0,-0.19270129368603975,-0.035431550492373044,-2.0179088627148096,1.0,-1.581145008688936,0.0
2019-06-05,-0.0,-0.17595419847328245,-0.07452290076335878,-2.032824427480916,1.0,-1.4876908396946564,0.0
2019-06-06,-0.0,-0.08480973313796013,-0.012033213445228898,-1.9189645220016873,1.0,-1.4245370987078727,0.0
2019-06-07,-0.0,-0.12472745071864014,-0.006630178436345837,-1.9010367997152136,1.0,-1.4173897565968048,0.0
2019-06-10,-0.0,-0.12739335648766587,-0.022753584468786177,-1.889215424347671,1.0,-1.4133938908184165,0.0
2019-06-11,-0.0,-0.12516198221546987,-0.051610885204879574,-1.880468296170517,1.0,-1.4112784306716117,0.0
2019-06-12,-0.0,-0.129838205059444,-0.04844909269688031,-1.8762849736301064,1.0,-1.4149459193706981,0.0
2019-06-13,-0.0,-0.15868691380080394,-0.0690040196516302,-1.8426083072800357,1.0,-1.395935685573917,0.0
2019-06-14,-0.0,-0.18061219916640525,-0.034957199838659074,-1.8348048223009008,1.0,-1.431362882624479,0.0
2019-06-17,-0.0,-0.18430018829014613,-0.03537164888370842,-1.8332735586837623,1.0,-1.4301981529633283,0.0
2019-06-18,-0.0,-0.2053090190441969,-0.03162055335968379,-1.8343514193316564,1.0,-1.420274883219547,0.0
2019-06-19,-0.0,-0.20294012190749372,-0.03867873789888849,-1.8298673359627105,1.0,-1.4104069558981713,0.0
2019-06-20,-0.0,-0.2014153267344471,-0.049760379809199624,-1.8208447171585973,1.0,-1.4069064361535362,0.0
2019-06-21,-0.0,-0.21136719624076974,-0.04949653166256433,-1.808100246140076,1.0,-1.406265383754755,0.0
2019-06-24,-0.0,-0.18635570079233627,-0.058149424772818835,-1.789963740543444,1.0,-1.4420072518913112,0.0
2019-06-25,-0.0,-0.2335096385015518,-0.052454430213751804,-1.6993486908248459,1.0,-1.3858897582725007,0.0
2019-06-26,-0.0,-0.2291803422169708,-0.04345542864644873,-1.6886788324362174,1.0,-1.4148614940265196,0.0
2019-06-27,-0.0,-0.21783823979703423,-0.07466864966536896,-1.6850531472813963,1.0,-1.396701806570141,0.0
