Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WRI
2019-05-22,-0.0,-0.1992877458830278,-0.0,-0.7540333181959415,-0.4367934224049332,0.0,1.0
2019-05-23,-0.0,-0.1974294041760237,-0.0,-0.7663051268574704,-0.42529504515265903,0.0,1.0
2019-05-24,-0.0,-0.18128515587758606,-0.0,-0.7720945752693298,-0.4300695967203737,0.0,1.0
2019-05-28,-0.0,-0.18330831725156646,-0.0,-0.7714959616896576,-0.42767969885402524,0.0,1.0
2019-05-29,-0.0,-0.18058722919042192,-0.0,-0.7707620676548841,-0.4241733181299886,0.0,1.0
2019-05-30,-0.0,-0.1820634807924448,-0.0,-0.7674501171625364,-0.4174063291438851,0.0,1.0
2019-05-31,-0.0,-0.18027202838557066,-0.0,-0.7619633353045535,-0.4232288586635127,0.0,1.0
2019-06-03,-0.0,-0.1849390919158361,-0.0,-0.7668056831837139,-0.404467378242737,0.0,1.0
2019-06-04,-0.0,-0.18187174471494896,-0.0,-0.7652895288821852,-0.40960618415780914,0.0,1.0
2019-06-05,-0.0,-0.17930615298298114,-0.0,-0.7961006171685058,-0.3623527211520479,0.0,1.0
2019-06-06,-0.0,-0.16007647113680873,-0.0,-0.8167723584817681,-0.35458826820852374,0.0,1.0
2019-06-07,-0.0,-0.17575279543451025,-0.0,-0.7968264278754698,-0.34728344082030344,0.0,1.0
2019-06-10,-0.0,-0.18254537047740146,-0.0,-0.7786614264246908,-0.35066466304473476,0.0,1.0
2019-06-11,-0.0,-0.18274358855446832,-0.0,-0.7920975745489961,-0.3439224597690489,0.0,1.0
2019-06-12,-0.0,-0.1861920322603073,-0.0,-0.7882685577881295,-0.3430902222531229,0.0,1.0
2019-06-13,-0.0,-0.19451851508335846,-0.0,-0.787302617849607,-0.33688872400120573,0.0,1.0
2019-06-14,-0.0,-0.19346611328804283,-0.0,-0.7925525748336386,-0.33260683067077834,0.0,1.0
2019-06-17,-0.0,-0.19084482558813304,-0.0,-0.7984934523119712,-0.3284042183335265,0.0,1.0
2019-06-18,-0.0,-0.2126197417742607,-0.0,-0.7863158868989774,-0.31491508167893006,0.0,1.0
2019-06-19,-0.0,-0.19801865878440794,-0.0,-0.8011731017919823,-0.3100868280066507,0.0,1.0
2019-06-20,-0.0,-0.20009245348434068,-0.0,-0.8006471743903848,-0.31057436727146653,0.0,1.0
2019-06-21,-0.0,-0.20455753541796667,-0.0,-0.7940557905197716,-0.31251011116503735,0.0,1.0
2019-06-24,-0.0,-0.20090371915189434,-0.007716371220020855,-0.7808133472367049,-0.3277951569922373,0.0,1.0
2019-06-25,-0.0,-0.2084504424984321,-0.0038791201133539293,-0.780841327727579,-0.3296555248426285,0.0,1.0
2019-06-26,-0.0,-0.20658139534883724,-0.0012790697674418606,-0.777093023255814,-0.34062790697674417,0.0,1.0
2019-06-27,-0.0,-0.21381039411406344,-0.019424527859787245,-0.7981161254041895,-0.311753128075355,0.0,1.0
2019-06-28,-0.0,-0.21430245091147665,-0.018206101504287923,-0.7986550447537373,-0.3119640095599607,0.0,1.0
2019-07-01,-0.0,-0.21089470480827754,-0.020249075331242098,-0.8000374549370289,-0.30977573856453955,0.0,1.0
2019-07-02,-0.0,-0.22054861908219917,-0.01532010588207735,-0.7944201082246012,-0.31223500199114523,0.0,1.0
2019-07-03,-0.0,-0.21263666651025293,-0.022242034630003286,-0.7999389986392004,-0.311388484820046,0.0,1.0
2019-07-05,-0.0,-0.18969834546348083,-0.03325454588004025,-0.8006599424305538,-0.31660855116894054,0.0,1.0
2019-07-08,-0.0,-0.19102725955019406,-0.03336138775891897,-0.7992939636227615,-0.31418618787113667,0.0,1.0
2019-07-09,-0.0,-0.18637850467289718,-0.033971962616822435,-0.8001401869158878,-0.31595794392523363,0.0,1.0
2019-07-10,-0.0,-0.1696217908286028,-0.02927091363562034,-0.8180904992174177,-0.319083327493167,0.0,1.0
2019-07-11,-0.0,-0.16710695499707773,-0.03268264172998246,-0.820572764465225,-0.3174517825832846,0.0,1.0
2019-07-12,-0.0,-0.17979239402957098,-0.03219532769407409,-0.8249642664667151,-0.3062539541204865,0.0,1.0
2019-07-15,-0.0,-0.15722524533742616,-0.021603646342030602,-0.8334263522626854,-0.3132179898609367,0.0,1.0
2019-07-16,-0.0,-0.1651991032841064,-0.06043587788023758,-0.8116896623448658,-0.27379879359356585,0.0,1.0
2019-07-17,-0.0,-0.16543386805972907,-0.06035319680088762,-0.8121908372243539,-0.273542600896861,0.0,1.0
2019-07-18,-0.0,-0.16525189149289535,-0.05729839453773759,-0.8163637202435874,-0.2677846466137664,0.0,1.0
2019-07-19,-0.0,-0.16714364844903987,-0.057676329394387,-0.8185699778434269,-0.26456333087149186,0.0,1.0
2019-07-22,-0.0,-0.17254693424581521,-0.06203181355775455,-0.8244474243965597,-0.25300564135762504,0.0,1.0
2019-07-23,-0.0,-0.17869836141241632,-0.06330486960535425,-0.8186475882760211,-0.24719593814908838,0.0,1.0
2019-07-24,-0.0,-0.17639555648322086,-0.055636726269162086,-0.8292863934692363,-0.2578213780468007,0.0,1.0
2019-07-25,-0.0,-0.172314681748644,-0.05727597237031199,-0.8334337768300032,-0.25487923601131146,0.0,1.0
2019-07-26,-0.0,-0.16819224619377565,-0.05661251824902092,-0.8367436794660857,-0.2557643732764813,0.0,1.0
2019-07-29,-0.0,-0.16543146972995507,-0.059173653249339944,-0.8308629394599102,-0.26052619389503917,0.0,1.0
2019-07-30,-0.0,-0.16192286297051736,-0.0622798071574263,-0.826835712961246,-0.26678101242351193,0.0,1.0
2019-07-31,-0.0,-0.1681938081354991,-0.06166412143088528,-0.8227358970799203,-0.2612568837058633,0.0,1.0
2019-08-01,-0.0,-0.18448642157768336,-0.06262700905228154,-0.8126731941622022,-0.24946887123591355,0.0,1.0
2019-08-02,-0.0,-0.18153881700554528,-0.06178373382624769,-0.8130776340110906,-0.25411275415896484,0.0,1.0
2019-08-05,-0.0,-0.17700219577025308,-0.056743326014099156,-0.8289841673408066,-0.2485843060210332,0.0,1.0
2019-08-06,-0.0,-0.1804707335483428,-0.058189803060454265,-0.8045243486813513,-0.24415014067110408,0.0,1.0
2019-08-07,-0.0,-0.19379491274096042,-0.05235542374814646,-0.7926542717006957,-0.24245465951864947,0.0,1.0
2019-08-08,-0.0,-0.19948446553218668,-0.06193256991651079,-0.7876043615128429,-0.23208175555454172,0.0,1.0
2019-08-09,-0.0,-0.18956786338760587,-0.05890501169471127,-0.7781411086132116,-0.24422644594318416,0.0,1.0
2019-08-12,-0.0,-0.18776945768096212,-0.06371681415929203,-0.7813932380304062,-0.23623780349444065,0.0,1.0
2019-08-13,-0.0,-0.17268029554417297,-0.06248583473097321,-0.7869996826979738,-0.2442772313131771,0.0,1.0
2019-08-14,-0.0,-0.18159730033745783,-0.06152980877390326,-0.7756355455568055,-0.23095613048368954,0.0,1.0
2019-08-15,-0.0,-0.18913912014820436,-0.07126754904805482,-0.758676874316452,-0.21290984978684466,0.0,1.0
2019-08-16,-0.0,-0.19374247894103488,-0.07044168115166911,-0.7525293042741898,-0.21174845121896865,0.0,1.0
2019-08-19,-0.0,-0.18724435354792815,-0.07149208607504891,-0.7556242219455807,-0.208651965143162,0.0,1.0
2019-08-20,-0.0,-0.1865544357071658,-0.07996455864436815,-0.7462177428286632,-0.20234798981061025,0.0,1.0
2019-08-21,-0.0,-0.18451418573232042,-0.0959225709286616,-0.7365063896702176,-0.19784722376027108,0.0,1.0
2019-08-22,-0.0,-0.1874516221774996,-0.08877192206471017,-0.7335957715018687,-0.2017382842736139,0.0,1.0
2019-08-23,-0.0,-0.1885841822641593,-0.08713234481691821,-0.7330121759883323,-0.2010474443683292,0.0,1.0
2019-08-26,-0.0,-0.1865205141750308,-0.0879556259904913,-0.7303442507483712,-0.1962713505898926,0.0,1.0
2019-08-27,-0.0,-0.1845582254270451,-0.08732165234022907,-0.7281201222327258,-0.19840833644777628,0.0,1.0
2019-08-28,-0.0,-0.18655698763911496,-0.08426076628689569,-0.7272247393656798,-0.2014252408393085,0.0,1.0
2019-08-29,-0.0,-0.1827852998065764,-0.08785387726393529,-0.7301081413750661,-0.19727008967821347,0.0,1.0
2019-08-30,-0.0,-0.18845289768141865,-0.09219796278927739,-0.7106244683403494,-0.18987065674962375,0.0,1.0
