Date,FIVN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-05-01,1.0,-0.24756315386578207,-1.0249043123245725,-0.8391426384281704,-1.3809134983414135,-0.6108190865016586,0.0
2019-05-02,1.0,-0.2488011427405367,-1.02020202020202,-0.8375165799408224,-1.3749617385981021,-0.6199877563513927,0.0
2019-05-03,1.0,-0.2563250038963063,-0.9801028624863629,-0.8333419917917814,-1.4510883682269209,-0.6741648916826848,0.0
2019-05-06,1.0,-0.24686365992742357,-0.9572317262830483,-0.8402799377916019,-1.4523587350959049,-0.6872472783825817,0.0
2019-05-07,1.0,-0.2442716433385174,-0.9602903058579575,-0.8435458786936237,-1.4499222395023328,-0.6860549507516849,0.0
2019-05-08,1.0,-0.2411658498839309,-0.9371163270570028,-0.8650502966210989,-1.4176940933711633,-0.6975496517926232,0.0
2019-05-09,1.0,-0.24056774193548386,-0.9386322580645161,-0.8638967741935484,-1.4168774193548386,-0.701316129032258,0.0
2019-05-10,1.0,-0.23927171446255416,-0.9366618526923871,-0.8661543222611925,-1.4192283886940376,-0.6965648854961832,0.0
2019-05-13,1.0,-0.24633718530747006,-0.9379900949236484,-0.8556025588113908,-1.4190569541890217,-0.6999071399092035,0.0
2019-05-14,1.0,-0.18050045773573392,-0.8540840199369342,-0.952802359882006,-1.4077916793815481,-0.6907740819855559,0.0
2019-05-15,1.0,-0.15329024377830933,-0.868186676166726,-0.9727212580792916,-1.4219044226169273,-0.6731640287037508,0.0
2019-05-16,1.0,-0.13302217036172695,-0.8736745979402364,-0.9963472172898382,-1.4081477347673885,-0.6621175993100299,0.0
2019-05-17,1.0,-0.1314625590971481,-0.8633013064917899,-1.0105739413349601,-1.4055208174470033,-0.672767017436836,0.0
2019-05-20,1.0,-0.1273436708219317,-0.8559339211513125,-1.013986013986014,-1.4023512719164892,-0.6677814938684504,0.0
2019-05-21,1.0,-0.11409905803707081,-0.8586549174516358,-1.0254735136230122,-1.3985110908538438,-0.6675782436949256,0.0
2019-05-22,1.0,-0.1101042826769262,-0.8512706287334211,-1.0355371064088286,-1.4000708717221828,-0.6652829806621444,0.0
2019-05-23,1.0,-0.11059418457648545,-0.843843236409608,-1.0436409608091024,-1.4043994943109988,-0.6544121365360303,0.0
2019-05-24,1.0,-0.09835322556277383,-0.8300851085259606,-1.0615903711537493,-1.4016215943999597,-0.6444075137231203,0.0
2019-05-28,1.0,-0.0954889858999448,-0.8316021877665712,-1.0683927944201916,-1.3914897887500628,-0.6308896582869186,0.0
2019-05-29,1.0,-0.12533400554575247,-0.853995462566171,-1.0664481976304512,-1.4027728762288882,-0.593042601462062,0.0
2019-05-30,1.0,-0.12627486620216097,-0.8570130263556498,-1.0611430879531454,-1.4109865697263453,-0.5935575078259113,0.0
2019-05-31,1.0,-0.1326499697030903,-0.8567461118965866,-1.0669056756210866,-1.4109775802868108,-0.5822056150272672,0.0
2019-06-03,1.0,-0.12881185631750816,-0.8615423260487315,-1.0889223813112283,-1.4028636021100225,-0.5417231851293645,0.0
2019-06-04,1.0,-0.25487898089171973,-0.8156433121019108,-1.0876942675159236,-1.467108280254777,-0.4702165605095541,0.0
2019-06-05,1.0,-0.24463692214724542,-0.8076845603786886,-1.117383422298318,-1.474871588276765,-0.3911773592506798,0.0
2019-06-06,1.0,-0.2434432418827083,-0.8159073747797635,-1.1020891014346843,-1.4681600805436699,-0.4043795620437956,0.0
2019-06-07,1.0,-0.24843970203342058,-0.819861083148782,-1.0992550835514396,-1.4588785987517616,-0.40673444735252673,0.0
2019-06-10,1.0,-0.23789273564138483,-0.8172403442065239,-1.0620372223334,-1.4737842705623374,-0.412097258355013,0.0
2019-06-11,1.0,-0.233192855709412,-0.8179309652819587,-1.0832329921733894,-1.4719546457957053,-0.4107465382299819,0.0
2019-06-12,1.0,-0.22743282680889604,-0.8301801348495522,-1.0964073664083729,-1.474942135453356,-0.40273724464123983,0.0
2019-06-13,1.0,-0.21609311740890688,-0.8604757085020243,-1.1248987854251014,-1.476265182186235,-0.38299595141700404,0.0
2019-06-14,1.0,-0.21632281553398058,-0.8566444174757282,-1.1261630258899678,-1.477346278317152,-0.38010720064724923,0.0
2019-06-17,1.0,-0.2181781417450207,-0.8535537357193408,-1.1255686988171065,-1.4771003942978467,-0.38069962592255585,0.0
2019-06-18,1.0,-0.22271319010615062,-0.8795266392401848,-1.1163085987099395,-1.488292955457362,-0.3721367260907105,0.0
2019-06-19,1.0,-0.22496452463004257,-0.8687918102574499,-1.1320697344415163,-1.4858605311169675,-0.35622339347253196,0.0
2019-06-20,1.0,-0.22552802599512592,-0.8814480097481722,-1.130635662063363,-1.4834991876523151,-0.35601137286758733,0.0
2019-06-21,1.0,-0.2246767789880892,-0.8953985544131121,-1.1247073195561437,-1.4749058332484986,-0.37035528860836814,0.0
2019-06-24,1.0,-0.21422743498215197,-0.8839877613462519,-1.1392146863844976,-1.4655277919428862,-0.3964813870474248,0.0
2019-06-25,1.0,-0.21479896040360802,-0.8683687509555115,-1.1411099220302707,-1.4718442643836316,-0.39998980787850996,0.0
2019-06-26,1.0,-0.2086165482700465,-0.8664077272959574,-1.1410027086421013,-1.4805539939694383,-0.41406449634588843,0.0
2019-06-27,1.0,-0.2136314793020519,-0.8585682853195518,-1.1573453410428287,-1.4801207593511745,-0.4072046256971806,0.0
2019-06-28,1.0,-0.21482277121374868,-0.8526418086031405,-1.1579970333998262,-1.483402383509795,-0.406015037593985,0.0
2019-07-01,1.0,-0.22402613978659316,-0.8412722724255886,-1.1602083014244142,-1.484147648950835,-0.395823760657579,0.0
2019-07-02,1.0,-0.21228964813870474,-0.8483426823049465,-1.1597654258031616,-1.4820499745028046,-0.3969913309535951,0.0
2019-07-03,1.0,-0.20323584953810037,-0.861991527586383,-1.1533711019241566,-1.4794569489103253,-0.40580819680498137,0.0
2019-07-05,1.0,-0.20409308972134324,-0.8564866795957946,-1.1487189956109012,-1.4799938756762274,-0.41431050321526997,0.0
