Date,CTAS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-05-22,1.0,-0.0,-0.0,-0.0,-0.08340990301174069,-0.0,-0.18550280755487494,-0.0,-0.2619959162838183,-0.0,-0.04943848902501276,-0.0,-0.2745533435426238,-0.0,-0.0,-0.0942572741194487,-0.0,-0.13483920367534458,-0.4683511995916284
2020-05-26,1.0,-0.0,-0.0,-0.0,-0.08642258986928104,-0.0,-0.18729575163398693,-0.0,-0.26427185457516345,-0.0,-0.04881535947712419,-0.0004595588235294118,-0.27593954248366015,-0.0,-0.0,-0.08529922385620917,-0.0,-0.1354421977124183,-0.4691584967320262
2020-05-27,1.0,-0.0,-0.0,-0.0,-0.09293310550610798,-0.0,-0.17319119634796357,-0.0,-0.2632169544260539,-0.0,-0.040345821325648415,-0.013006554283236847,-0.2947132182295784,-0.0,-0.0,-0.09048481293514574,-0.0,-0.11950728112009384,-0.46293132029277495
2020-05-28,1.0,-0.0,-0.0,-0.0,-0.0745608427727633,-0.0,-0.192794497430259,-0.0,-0.29172313278273543,-0.0,-0.048531028663479,-0.0,-0.2626249712342428,-0.0,-0.0,-0.08499322406607175,-0.0,-0.13247590068782122,-0.4692781712649262
2020-05-29,1.0,-0.0,-0.0,-0.0,-0.07429857541113584,-0.0,-0.19335532878078723,-0.0,-0.2909793089337323,-0.0,-0.049975702703393944,-0.0,-0.25972531266784316,-0.0,-0.0,-0.08621703879894625,-0.0,-0.13649965472262718,-0.4665848231412568
2020-06-01,1.0,-0.0,-0.0,-0.0,-0.07980884720554036,-0.0,-0.18982392476553117,-0.0,-0.29056246965321614,-0.0,-0.048835961258337376,-0.0,-0.26480284173673047,-0.0,-0.0,-0.09043980475837571,-0.0,-0.12723927321049808,-0.46397996473384273
2020-06-02,1.0,-0.0,-0.0,-0.0,-0.08077168774754057,-0.0,-0.18845023636131342,-0.0,-0.29086495464418044,-0.0,-0.04980196754823049,-0.0,-0.26602785230611986,-0.0,-0.0,-0.08920403730675865,-0.0,-0.12635748051616202,-0.46377922575699504
2020-06-03,1.0,-0.0,-0.0,-0.0,-0.08249476426418757,-0.0,-0.18851202942228126,-0.0,-0.28954896051488993,-0.0,-0.05005874240179803,-0.0,-0.26462175001277005,-0.0,-0.0,-0.09066762016652193,-0.0,-0.12328242325177505,-0.4648567196199622
2020-06-04,1.0,-0.0,-0.0,-0.0,-0.10108856748607348,-0.0,-0.17148770889763376,-0.0,-0.29064240813614756,-0.0,-0.04208616548270046,-0.0,-0.29176675014054276,-0.0,-0.0,-0.09344815250166096,-0.0,-0.09965758675320692,-0.4651709510911228
2020-06-05,1.0,-0.0,-0.0,-0.0,-0.09881150159744409,-0.0,-0.17300958466453675,-0.0,-0.28782108626198083,-0.0,-0.04350159744408946,-0.0,-0.2862108626198083,-0.0,-0.0,-0.09850479233226837,-0.0,-0.10100958466453674,-0.4670415335463259
2020-06-08,1.0,-0.0,-0.0,-0.0,-0.1075541225241824,-0.0,-0.16835559649930906,-0.0,-0.27880137161574287,-0.0,-0.053252469420134084,-0.0,-0.2879881263114796,-0.0,-0.0,-0.09711346537693842,-0.0,-0.10105430165310404,-0.46483955166589896
2020-06-09,1.0,-0.0,-0.0,-0.0,-0.10810949091839345,-0.0,-0.16352008186236888,-0.0,-0.29068815553850086,-0.0,-0.05042210283960091,-0.0,-0.28697876694806856,-0.0,-0.0,-0.0940905602455871,-0.0,-0.10209772320286518,-0.46234331030954207
2020-06-10,1.0,-0.0,-0.0,-0.0,-0.11172240845466873,-0.0,-0.16105836894495762,-0.0,-0.2861127459760997,-0.0,-0.05442820952429694,-0.0,-0.28539624862458096,-0.0,-0.0,-0.0942705801069628,-0.0,-0.10675810537628905,-0.45917244555899583
2020-06-11,1.0,-0.0,-0.0,-0.0,-0.10790261884647877,-0.0,-0.1642474976320303,-0.0,-0.28935309628036765,-0.0,-0.052684125643191776,-0.0,-0.28479635460666103,-0.0,-0.0,-0.09203082200547834,-0.0,-0.10808181655274814,-0.4608709008524691
2020-06-12,1.0,-0.0,-0.0,-0.0,-0.10862773982170523,-0.0,-0.1936860284966855,-0.0,-0.2532954054809133,-0.0,-0.04696111548523099,-0.0,-0.287836842506286,-0.0,-0.0,-0.0850582886749803,-0.0,-0.08429634521118531,-0.48010057653722094
2020-06-15,1.0,-0.0,-0.0,-0.0,-0.11039621585880677,-0.0,-0.20642388484817661,-0.0,-0.24988556024617262,-0.0,-0.04590305681298001,-0.0,-0.2857687808351559,-0.0,-0.0,-0.07202075174202736,-0.0,-0.08730481664208331,-0.4854534357357205
2020-06-16,1.0,-0.0,-0.0,-0.0,-0.10620009155180306,-0.0,-0.20698336808911041,-0.0,-0.24894461115914757,-0.0,-0.04722547174609633,-0.0,-0.2856416255531255,-0.0,-0.0,-0.07039316413203804,-0.0,-0.09147550989268094,-0.48624179848430904
2020-06-17,1.0,-0.0,-0.0,-0.0,-0.10393108530480523,-0.0,-0.2070744288872513,-0.0,-0.24966330394124972,-0.0,-0.04716285924834193,-0.0,-0.2891012121058115,-0.0,-0.0,-0.07021065738317282,-0.0,-0.08975173430234035,-0.4842324600411659
2020-06-18,1.0,-0.0,-0.0,-0.0,-0.1021860701576004,-0.0,-0.2098373157092018,-0.0,-0.2512709710218607,-0.0,-0.045094051855617684,-0.0,-0.2891204880528724,-0.0,-0.0,-0.06845449923741738,-0.0,-0.08934926283680732,-0.48660396542958817
2020-06-19,1.0,-0.0,-0.0,-0.0,-0.10445901972747611,-0.0,-0.2147905226764287,-0.0,-0.2522371364653244,-0.0,-0.0466239576977832,-0.0,-0.2850061012812691,-0.0,-0.0,-0.06408887533048607,-0.0,-0.08460443359772218,-0.4903650599959325
2020-06-22,1.0,-0.0,-0.0,-0.0,-0.10604712640756463,-0.0,-0.21837269006888488,-0.0,-0.24930733840014235,-0.0,-0.04656719452987977,-0.0,-0.28735924353727665,-0.0,-0.0,-0.0649703871279327,-0.0,-0.07638341679164232,-0.4928700338069698
2020-06-23,1.0,-0.0,-0.0,-0.0,-0.10731174047897492,-0.0,-0.21632684191793358,-0.0,-0.24848731377434277,-0.0,-0.04632124879239335,-0.0,-0.2877408857476992,-0.0,-0.0,-0.06602430467280215,-0.0,-0.07993084862968425,-0.49016118370875067
2020-06-24,1.0,-0.0,-0.0,-0.0,-0.10666700569568754,-0.0,-0.21564788445890967,-0.0,-0.2494406021155411,-0.0,-0.0464300244100895,-0.0,-0.286920260374288,-0.0,-0.0,-0.06578010577705451,-0.0,-0.08068043124491456,-0.49115134255492265
2020-06-25,1.0,-0.0,-0.0,-0.0,-0.1050517377265909,-0.0,-0.21617979813388247,-0.0,-0.24653598759311518,-0.0,-0.045991915185721904,-0.0,-0.2912821295095721,-0.0,-0.0,-0.06368698039813897,-0.0,-0.0797040652886889,-0.49396181323570537
2020-06-26,1.0,-0.0,-0.0,-0.0,-0.10506638180985808,-0.0,-0.2132865354290656,-0.0,-0.248817335571494,-0.0,-0.04387303525103007,-0.0,-0.28976550180578875,-0.0,-0.0,-0.061651152144056164,-0.0,-0.08029401292029097,-0.5006104074469709
2020-06-29,1.0,-0.0,-0.0,-0.0,-0.10247349823321554,-0.0,-0.21308183135470424,-0.0,-0.25169687571497573,-0.0,-0.04288583267661489,-0.0,-0.2916592521036175,-0.0,-0.0,-0.06172305971477235,-0.0,-0.08005185957241273,-0.49858911457406513
2020-06-30,1.0,-0.0,-0.0,-0.0,-0.09998475067351192,-0.0,-0.21511716565851677,-0.0,-0.2519442891272302,-0.0,-0.04442637116860672,-0.0,-0.2870177400498145,-0.0,-0.0,-0.06351344482285366,-0.0,-0.0810501702841458,-0.4985004828953388
2020-07-01,1.0,-0.0,-0.0,-0.0,-0.09886847980515526,-0.0,-0.21772884107976453,-0.0,-0.2494925918408768,-0.0,-0.04665618023137812,-0.0,-0.28960320681956564,-0.0,-0.0,-0.06286787091536432,-0.0,-0.07436066571950477,-0.497462959204384
2020-07-02,1.0,-0.0,-0.0,-0.0,-0.09986812740921079,-0.0,-0.2150030432136336,-0.0,-0.2500253601136133,-0.0,-0.04643436802596876,-0.0,-0.28935889632785555,-0.0,-0.0,-0.06436396835057821,-0.0,-0.07417833231892879,-0.4967539054574964
2020-07-06,1.0,-0.0,-0.0,-0.0,-0.10037787527579822,-0.0,-0.21541426796175597,-0.0,-0.2486875808374122,-0.0,-0.046283381096091904,-0.0,-0.29000025360756765,-0.0,-0.0,-0.0636301387233395,-0.0,-0.07367299840227233,-0.497983819837184
2020-07-07,1.0,-0.0,-0.0,-0.0,-0.10190017734988599,-0.0,-0.2192804661768432,-0.0,-0.24398277172536104,-0.0,-0.05003800354699772,-0.0,-0.285533316442868,-0.0,-0.0,-0.06833037750190019,-0.0,-0.07458829490752471,-0.489916392196605
2020-07-08,1.0,-0.0,-0.0,-0.0,-0.10043070686597416,-0.0,-0.22105396503673674,-0.0,-0.2487965543450722,-0.0,-0.048999239929060044,-0.0,-0.2848745882949075,-0.0,-0.0,-0.06620217887002787,-0.0,-0.07529769445148214,-0.4879148720547251
2020-07-09,1.0,-0.0,-0.0,-0.0,-0.10214264005673183,-0.0,-0.21996251646236448,-0.0,-0.24404822206463375,-0.0,-0.05004558808631344,-0.0,-0.28495086617363996,-0.0,-0.0,-0.06587478472292574,-0.0,-0.0736500861108297,-0.49202208489514737
2020-07-10,1.0,-0.0,-0.0,-0.0,-0.10579772548820952,-0.0,-0.21972594412502214,-0.0,-0.24110331551885716,-0.0,-0.05073326410171981,-0.0,-0.28735341050125374,-0.0,-0.0,-0.06428408601605835,-0.0,-0.07327575289379702,-0.49056508193814746
2020-07-13,1.0,-0.0,-0.0,-0.0,-0.08841571609632447,-0.0,-0.22111533586818757,-0.0,-0.24179974651457542,-0.0,-0.04732572877059569,-0.0,-0.29176172370088715,-0.0,-0.0,-0.07138149556400507,-0.0,-0.08187579214195184,-0.49120405576679343
2020-07-14,1.0,-0.0,-0.0,-0.0,-0.09049659053461431,-0.0,-0.21947324393520748,-0.0,-0.2419072726811833,-0.0,-0.04684529392380035,-0.0,-0.29410124464498466,-0.0,-0.0,-0.06938071940987096,-0.0,-0.08451418286902077,-0.48822530355649063
2020-07-15,1.0,-0.0,-0.0,-0.0,-0.09430091185410334,-0.0,-0.21605876393110438,-0.0,-0.23733535967578523,-0.0,-0.04513677811550152,-0.0,-0.2914893617021277,-0.0,-0.0,-0.07444275582573455,-0.0,-0.0800405268490375,-0.4940982776089159
2020-07-16,1.0,-0.0,-0.0,-0.0,-0.09862902612706216,-0.0,-0.21276703580750617,-0.0,-0.23942626897443042,-0.0,-0.04546260865158004,-0.0,-0.28896885532551125,-0.0,-0.0,-0.0696383771318517,-0.0,-0.08423506753503458,-0.4950203998884975
2020-07-17,1.0,-0.0,-0.0,-0.0,-0.09958674543011435,-0.0,-0.2099485333265725,-0.0,-0.2384707045610121,-0.0,-0.04571153309839515,-0.0,-0.28694571913901074,-0.0,-0.0,-0.06951803868874071,-0.0,-0.08759475699110107,-0.4975280784930152
2020-07-20,1.0,-0.0,-0.0,-0.0,-0.09588311391827105,-0.0,-0.2096999213657002,-0.0,-0.2431321817213302,-0.0,-0.044796184968165786,-0.0,-0.2894503208786749,-0.0,-0.0,-0.06866549983512163,-0.0,-0.08938944271110773,-0.4956243817061106
2020-07-21,1.0,-0.0,-0.0,-0.0,-0.09921148043913694,-0.0,-0.20686595167465327,-0.0,-0.2494105119038564,-0.0,-0.04409117415887021,-0.0,-0.2921325524200705,-0.0,-0.0,-0.0677721153114779,-0.0,-0.08757384447655993,-0.48837504120078096
2020-07-22,1.0,-0.0,-0.0,-0.0,-0.10919132549655451,-0.0,-0.20733684637211186,-0.0,-0.2414623023915687,-0.0,-0.052366234292663155,-0.0,-0.2847081475476287,-0.0,-0.0,-0.06723753546817998,-0.0,-0.08679570328334009,-0.48431799756789623
2020-07-23,1.0,-0.0,-0.0,-0.0,-0.10399716117912453,-0.0,-0.19798240944921805,-0.0,-0.2504245558005728,-0.0,-0.04904569994677211,-0.0,-0.2865688287329227,-0.0,-0.0,-0.06775150178693636,-0.0,-0.09279395736699363,-0.4860973816946747
2020-07-24,1.0,-0.0,-0.0,-0.0,-0.12949383847642326,-0.0,-0.2087534372135655,-0.0,-0.2522914757103575,-0.0,-0.048350137488542624,-0.0,-0.28992259904267237,-0.0,-0.0,-0.06013850697627049,-0.0,-0.10426214482126489,-0.4528719828903147
2020-07-27,1.0,-0.0,-0.0,-0.0,-0.12970977596741345,-0.0,-0.20860488798370672,-0.0,-0.25348778004073325,-0.0,-0.04806517311608962,-0.0,-0.2887983706720978,-0.0,-0.0,-0.06023421588594705,-0.0,-0.10269857433808555,-0.4542006109979634
2020-07-28,1.0,-0.0,-0.0,-0.0,-0.13531437316668793,-0.0,-0.212141308506568,-0.0,-0.2413212600433618,-0.0,-0.04693278918505293,-0.0,-0.2962632317306466,-0.0,-0.0,-0.051855630659354675,-0.0,-0.1066190536921311,-0.46024741742124725
2020-07-29,1.0,-0.0,-0.0,-0.0,-0.134275798713892,-0.0,-0.21259058895580277,-0.0,-0.24675921200367457,-0.0,-0.04672348678166786,-0.0,-0.29662141471879144,-0.0,-0.0,-0.04657037868735327,-0.0,-0.10766050831887312,-0.4606001837297132
