Date,IWF,IWM,MTUM,PRSP,SPY,VLUE,VXX
2020-03-12,-0.1536920046192514,-0.7083757896882005,-1.0976835812784458,1.0,-0.43679097887371776,-0.0,0.0
2020-03-13,-0.2770091812350648,-0.5755879763551754,-0.8807068293296442,1.0,-0.4109545969060496,-0.0,0.0
2020-03-16,-0.18793262232256913,-0.6416030420961943,-0.8207123971361516,1.0,-0.3205787112682333,-0.0,0.0
2020-03-17,-0.29254626747410717,-0.5112343652725111,-0.5971475465504555,1.0,-0.38728847133397476,-0.041626577621823535,0.0
2020-03-18,-0.29603915319826996,-0.5001422717960392,-0.6166628727521056,1.0,-0.3920441611654906,-0.04051900751195083,0.0
2020-03-19,-0.30096814929142696,-0.4549740423740704,-0.6076329451382069,1.0,-0.3886347691875965,-0.053991861933492355,0.0
2020-03-20,-0.30841068437934654,-0.5448636066876721,-0.5841778080558631,1.0,-0.38976411479179085,-0.011354281983593064,0.0
2020-03-23,-0.31551311272034854,-0.5179596664839445,-0.6240731658059491,1.0,-0.4039987305617264,-0.023542309800640492,0.0
2020-03-24,-0.3215385944202919,-0.5231624103878156,-0.604094089194714,1.0,-0.39800765842282554,-0.032303572970949816,0.0
2020-03-25,-0.32202299365017206,-0.5170214551455985,-0.5463929060952755,1.0,-0.3889339561945789,-0.02293770455117626,0.0
2020-03-26,-0.3164947297600359,-0.5167638483965015,-0.5532910966584436,1.0,-0.39162368244000895,-0.025117739403453687,0.0
2020-03-27,-0.31294784202632897,-0.5138865744598122,-0.5445759040159973,1.0,-0.3873798811309226,-0.01855246347830917,0.0
2020-03-30,-0.30882271391338106,-0.5154161814451284,-0.5505462208173904,1.0,-0.3870681528309211,-0.01086896245771641,0.0
2020-03-31,-0.2967503244153621,-0.5271818658715038,-0.5429746817968469,1.0,-0.37737099312515526,-0.01670393992103592,0.0
2020-04-01,-0.29770149830302695,-0.5337049198421677,-0.5382025882288016,1.0,-0.3770039458072349,-0.012665213432300433,0.0
2020-04-02,-0.29862486248624864,-0.5275577557755775,-0.5391639163916392,1.0,-0.3783278327832783,-0.006600660066006601,0.0
2020-04-03,-0.29520487751290786,-0.5321048006151818,-0.5405635504778644,1.0,-0.36982313523014393,-0.008623530704163463,0.0
2020-04-06,-0.29524384222941463,-0.5250425146744199,-0.5395249327993856,1.0,-0.37124910856327825,-0.01182182237094739,0.0
2020-04-07,-0.2940563943770038,-0.5250870029868743,-0.5393911161044583,1.0,-0.37059162031074455,-0.011125421313676597,0.0
2020-04-08,-0.2962069721552291,-0.5235967989475993,-0.5452203464152598,1.0,-0.3714371848278887,-0.0041657531243148435,0.0
2020-04-09,-0.2968544857768053,-0.5173140043763677,-0.5461706783369803,1.0,-0.3706783369803064,-0.004184901531728665,0.0
2020-04-13,-0.28731374001811144,-0.547076095606597,-0.5387887269833429,1.0,-0.37101067478938554,-0.0,0.0
2020-04-14,-0.28936754012896143,-0.5553025106324598,-0.5281657291809576,1.0,-0.3710248319385375,-0.0,0.0
2020-04-15,-0.27041067424946685,-0.5682178596817411,-0.5139443320391535,1.0,-0.37201290534259307,-0.009569639634713184,0.0
2020-04-16,-0.27188310801584054,-0.5680458828349038,-0.5179844326095863,1.0,-0.3710501160726479,-0.002157585688925304,0.0
2020-04-17,-0.2660425253159375,-0.5719627698774463,-0.5106313289843601,1.0,-0.37202827742446165,-0.008816224035810793,0.0
2020-04-20,-0.2635576318880966,-0.5762915608010272,-0.5085102314017976,1.0,-0.37327541458350405,-0.010381662705242739,0.0
2020-04-21,-0.2673662349018965,-0.5798218287150899,-0.510110947149806,1.0,-0.3704159151773515,-0.004973492922336995,0.0
2020-04-22,-0.2621748377597208,-0.586355456181491,-0.5079620439548455,1.0,-0.3690625511261384,-0.0011724927741724382,0.0
2020-04-23,-0.25474881619768136,-0.5929080716268438,-0.5027758123333151,1.0,-0.36695150492570616,-0.004000435421542481,0.0
2020-04-24,-0.24994557526940245,-0.5961684989659302,-0.504707739196691,1.0,-0.3665505605747251,-0.0038641558724284318,0.0
2020-04-27,-0.25590840943164783,-0.5948480305301894,-0.4989505247376312,1.0,-0.36731634182908546,-0.0088864658579801,0.0
2020-04-28,-0.25424144891167966,-0.6024766788500354,-0.49528121760951394,1.0,-0.3655283399705417,-0.010119469750695543,0.0
2020-04-29,-0.25785151027313163,-0.6001800867690796,-0.4964119075554586,1.0,-0.36658571857349453,-0.007530901252421621,0.0
2020-04-30,-0.25836131815327495,-0.6032162066235291,-0.4978021677997106,1.0,-0.3670789308433669,-0.003767712343353264,0.0
2020-05-01,-0.247908578927224,-0.6156432828476134,-0.4977582153206846,1.0,-0.36262234129804805,-0.009951336869156323,0.0
2020-05-04,-0.24821340897932465,-0.6113414434564399,-0.5023457530958486,1.0,-0.3657192733620643,-0.0,0.0
2020-05-05,-0.24752475247524752,-0.6109429124730654,-0.4974497449744974,1.0,-0.36936420914818757,-0.002291138204729564,0.0
2020-05-06,-0.24768890949251451,-0.6119822202830575,-0.49357803168716424,1.0,-0.36816558043140357,-0.005535709416159909,0.0
2020-05-07,-0.2475112505113869,-0.6105550252284195,-0.49251329605891175,1.0,-0.3685531160507296,-0.00826401200054548,0.0
2020-05-08,-0.24609470843215833,-0.6089256018102014,-0.49529729287642105,1.0,-0.36768354188817093,-0.008205883154766773,0.0
2020-05-11,-0.24418446098884614,-0.6097248356922741,-0.49518666993918564,1.0,-0.36791295099402765,-0.0100629959911642,0.0
2020-05-12,-0.24619455507665447,-0.6084074417589612,-0.4993452997981341,1.0,-0.366904904795679,-0.007038027170058377,0.0
2020-05-13,-0.24495967741935487,-0.6056560592850916,-0.5047678727114211,1.0,-0.3679163034001744,-0.0011987794245858763,0.0
2020-05-14,-0.24575117115154158,-0.6039601263754222,-0.5040037041072012,1.0,-0.3693212768275411,-0.0005719577296001743,0.0
2020-05-15,-0.2384879163945134,-0.6112834748530372,-0.5051709122577837,1.0,-0.3665904637491835,-0.0,0.0
2020-05-18,-0.24146874146874145,-0.6189189189189189,-0.5072618072618073,1.0,-0.36229866229866226,-0.0,0.0
2020-05-19,-0.23937781416291448,-0.612225405921681,-0.5172056215036158,1.0,-0.3601036976395142,-0.0,0.0
2020-05-20,-0.23856414173099477,-0.6128583508360382,-0.5176345435203622,1.0,-0.3586372439376995,-0.0,0.0
2020-05-21,-0.21353480493641278,-0.6154115021643858,-0.5110370230957438,1.0,-0.34869464684214774,-0.0,0.0
