Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WWW
2019-02-14,-0.0,-1.0728543217378095,-0.0,-0.45842321130183805,-0.506820598511317,0.0,1.0
2019-02-15,-0.0,-1.0971593498404983,-0.0,-0.44545040255202795,-0.49551876044356674,0.0,1.0
2019-02-19,-0.0,-1.0912574121940095,-0.0,-0.4535806598753231,-0.4960620343621712,0.0,1.0
2019-02-20,-0.0,-1.0931569343065695,-0.0,-0.45550486618004865,-0.49270072992700736,0.0,1.0
2019-02-21,-0.0,-1.0993953011928759,-0.0,-0.603310973796385,-0.6016257476125962,0.0,1.0
2019-02-22,-0.0,-1.088865379529225,-0.0,-0.6268844221105527,-0.5902208410473418,0.0,1.0
2019-02-25,-0.0,-1.081262458471761,-0.0,-0.6396013289036545,-0.6013621262458472,0.0,1.0
2019-02-26,-0.0,-1.0812265373243415,-0.0,-0.6408424969270123,-0.6000797315703797,0.0,1.0
2019-02-27,-0.0,-1.0783675097211605,-0.0,-0.647645318887301,-0.5974276313602979,0.0,1.0
2019-02-28,-0.0,-1.0826797820018608,-0.0,-0.6518343745846071,-0.5886282068323807,0.0,1.0
2019-03-01,-0.0,-1.0829787234042552,-0.0,-0.6501994680851064,-0.5913231382978723,0.0,1.0
2019-03-04,-0.0,-1.0769486013869993,-0.0,-0.6540797026910441,-0.5871851876430965,0.0,1.0
2019-03-05,-0.0,-1.0729479229179169,-0.0,-0.6637660865506435,-0.5973194638927787,0.0,1.0
2019-03-06,-0.0,-1.068935573294145,-0.0,-0.6778330717076917,-0.5930997628669716,0.0,1.0
2019-03-07,-0.0,-1.0492584569238461,-0.0,-0.7003832694550909,-0.583136143976004,0.0,1.0
2019-03-08,-0.0,-1.047860890622898,-0.0,-0.7302905959908517,-0.5852280371317099,0.0,1.0
2019-03-11,-0.0,-1.0434679092547874,-0.0,-0.7431379885037924,-0.6146389578585763,0.0,1.0
2019-03-12,-0.0,-1.0027163635113296,-0.0,-0.7680088023931507,-0.667709658563422,0.0,1.0
2019-03-13,-0.0,-1.018041058961775,-0.0,-0.7735190433400153,-0.6645814612566531,0.0,1.0
2019-03-14,-0.0,-1.0141569697178967,-0.0,-0.7779427505956287,-0.6608197230758607,0.0,1.0
2019-03-15,-0.0,-1.0022858726145534,-0.0,-0.7840889412253663,-0.677103175977557,0.0,1.0
2019-03-18,-0.0,-1.0149979023912739,-0.0,-0.7949237868829534,-0.6861278142917073,0.0,1.0
