Date,IWF,IWM,LANC,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-04-22,-0.0,-0.0,1.0,-0.0,-0.5518864706283687,-0.0,-0.38763048372791153,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.441086170430511,-0.033635805417206795,-0.9970662482090468,-0.0,-0.0
2019-04-23,-0.0,-0.0,1.0,-0.0,-0.5639524934113701,-0.0,-0.38327001403292604,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.43382277441215733,-0.054283465105931475,-0.9873019132696718,-0.0,-0.0
2019-04-24,-0.0,-0.0,1.0,-0.0,-0.462201370865775,-0.0,-0.2584680907699474,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5185333067145805,-0.16660011978438813,-0.9215079523524323,-0.0,-0.0
2019-04-25,-0.0,-0.0,1.0,-0.0,-0.4460856720827179,-0.0,-0.2996881667487281,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.48918430986377814,-0.14797308386673233,-0.8995568685376663,-0.0,-0.0
2019-04-26,-0.0,-0.0,1.0,-0.0,-0.5798674749753278,-0.0,-0.25613280699280977,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6072536303397715,-0.16424644015226278,-0.9170661215282672,-0.0,-0.0
2019-04-29,-0.0,-0.0,1.0,-0.0,-0.5878858597645061,-0.0,-0.23319543156182593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6196032672112018,-0.17255401152717373,-0.9227042890986882,-0.0,-0.0
2019-04-30,-0.0,-0.0,1.0,-0.0,-0.6491787029170206,-0.0,-0.18376522231662418,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6597281223449447,-0.15211696403285188,-0.8952492211838006,-0.0,-0.0
2019-05-01,-0.0,-0.0,1.0,-0.0,-0.6859698351455629,-0.0,-0.1672044896527534,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6359522974394949,-0.14917572781480182,-0.8692388635566468,-0.0,-0.0
2019-05-02,-0.0,-0.0,1.0,-0.0,-0.6778194303331815,-0.0,-0.15268191850891635,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6203622604491469,-0.20127526889254807,-0.8513821252145884,-0.0,-0.0
2019-05-03,-0.0,-0.0,1.0,-0.0,-0.661585155549424,-0.0,-0.1453059253638684,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.6092984755466649,-0.20445609436435125,-0.8283437952679865,-0.0,-0.0
2019-05-06,-0.0,-0.0,1.0,-0.0,-0.654645264401362,-0.0,-0.20919324577861162,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5708776318532416,-0.1995344312417483,-0.8401778889583768,-0.0,-0.0
2019-05-07,-0.0,-0.0,1.0,-0.0,-0.6414818933759644,-0.0,-0.22697574198929593,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5762493918120526,-0.19521095433377353,-0.8354417182178355,-0.0,-0.0
2019-05-08,-0.0,-0.0,1.0,-0.0,-0.6325804669153199,-0.0,-0.22510015195468988,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5712114933001796,-0.17644011603812684,-0.848217985909656,-0.0,-0.0
2019-05-09,-0.0,-0.0,1.0,-0.0,-0.6240046878770122,-0.0,-0.2867877701561477,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5550997897349281,-0.1521147151080625,-0.8289269587397884,-0.0,-0.0
2019-05-10,-0.0,-0.0,1.0,-0.0,-0.6179709344471677,-0.0,-0.29590251648313715,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5552141944837585,-0.15841071490213676,-0.8244675342607615,-0.0,-0.0
2019-05-13,-0.0,-0.0,1.0,-0.0,-0.6484208353402602,-0.0,-0.3123580816073763,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5290029587834584,-0.14191839262368405,-0.8087456134315008,-0.0,-0.0
2019-05-14,-0.0,-0.0,1.0,-0.0,-0.5612834809975029,-0.0,-0.27109773201518833,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.546779324735744,-0.17890739917216844,-0.8627236342489653,-0.0,-0.0
