Date,DT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-10-14,1.0,-0.7931187288323364,-0.1739309340676732,-0.6890766942044124,-0.5091317696958186,-0.0,0.0
2020-10-15,1.0,-0.7916996172460696,-0.17511783127194508,-0.6898111536393255,-0.5066270205295289,-0.0,0.0
2020-10-16,1.0,-0.7900603075368634,-0.17116605096144738,-0.6923052634902592,-0.50396261564207,-0.0,0.0
2020-10-19,1.0,-0.7917482164278047,-0.17220152787423448,-0.6877012437653892,-0.5051139592145969,-0.0,0.0
2020-10-20,1.0,-0.7904172716368916,-0.17587273530711445,-0.6863203080613598,-0.5037560760053027,-0.0,0.0
2020-10-21,1.0,-0.7883462679033378,-0.17322859486402928,-0.6914947315288031,-0.5017035775127768,-0.0,0.0
2020-10-22,1.0,-0.7866872188492876,-0.1728270785491837,-0.6863380414608827,-0.49988989902167413,-0.0,0.0
2020-10-23,1.0,-0.7890448024163101,-0.16961364208406746,-0.6878303548955449,-0.49974830103196577,-0.0,0.0
2020-10-26,1.0,-0.7880520133174195,-0.1697656887995477,-0.6845593316163076,-0.49855518562723794,-0.0,0.0
2020-10-27,1.0,-0.7953749566205004,-0.17042622330188978,-0.6821150266586744,-0.5069564943054549,-0.0,0.0
2020-10-28,1.0,-0.7986423206260411,-0.17322983123291116,-0.669191363650649,-0.5017128130990918,-0.0,0.0
2020-10-29,1.0,-0.8161578413985305,-0.1666772232074994,-0.6717443628071953,-0.512351152774259,-0.0,0.0
2020-10-30,1.0,-0.8136398176291793,-0.1657801418439716,-0.6752152988855117,-0.5115248226950355,-0.0,0.0
2020-11-02,1.0,-0.8085287981285958,-0.16684579882405007,-0.6733577796042233,-0.5123917304166403,-0.0,0.0
2020-11-03,1.0,-0.8167926856275113,-0.1603657186244424,-0.674016893922617,-0.5124806226074852,-0.0,0.0
2020-11-04,1.0,-0.8162976029231109,-0.15632973194317576,-0.6697325731565188,-0.5075125208681136,-0.0,0.0
2020-11-05,1.0,-0.7879648115797354,-0.18093336660843523,-0.6539493386573496,-0.49669328674819063,-0.0,0.0
2020-11-06,1.0,-0.7878532659554558,-0.18475887453989645,-0.6510387422796182,-0.49569530226464537,-0.0,0.0
