Date,IWF,IWM,MTUM,SPY,TRTN,VLUE,VXX
2019-09-10,-0.0,-0.4273799708251411,-0.0635504534787848,-0.8317688843787658,1.0,-0.8484492928267902,0.0
2019-09-11,-0.0,-0.4246527557556923,-0.06561172068243801,-0.8326885266696263,1.0,-0.8482590220079914,0.0
2019-09-12,-0.0,-0.4494983277591973,-0.058193979933110374,-0.8320433189998407,1.0,-0.8454849498327759,0.0
2019-09-13,-0.0,-0.4500636942675159,-0.05560509554140127,-0.8312101910828026,1.0,-0.8478343949044587,0.0
2019-09-16,-0.0,-0.4985382733727104,-0.052980132450331126,-0.649155778294851,1.0,-0.7824712129347889,0.0
2019-09-17,-0.0,-0.5094519649352973,-0.04991353092015028,-0.647623591150337,1.0,-0.7747033216053432,0.0
2019-09-18,-0.0,-0.4759969143128412,-0.028601946356515546,-0.6555305008307619,1.0,-0.8068478518870164,0.0
2019-09-19,-0.0,-0.4634932844210402,-0.024140583397432108,-0.6759659191763802,1.0,-0.794775457073546,0.0
2019-09-20,-0.0,-0.47153725466978474,-0.036351795387939964,-0.665137207305882,1.0,-0.787217666735739,0.0
2019-09-23,-0.0,-0.46962879640044997,-0.03300574270321473,-0.6713042448641289,1.0,-0.786187910721686,0.0
2019-09-24,-0.0,-0.4697001095355102,-0.03265342372479944,-0.6717191154267445,1.0,-0.7863169424790551,0.0
2019-09-25,-0.0,-0.4690736904409589,-0.03193252441550755,-0.673394495412844,1.0,-0.7850547499260137,0.0
2019-09-26,-0.0,-0.4635875530242354,-0.020408768651182106,-0.6908427516240989,1.0,-0.7915517190234642,0.0
2019-09-27,-0.0,-0.4506958131756555,-0.014722570626530491,-0.7143283760377471,1.0,-0.8065758824583408,0.0
2019-09-30,-0.0,-0.4400071740300113,-0.01070126143361033,-0.7236204938123991,1.0,-0.8148502421235129,0.0
2019-10-01,-0.0,-0.42732766874102446,-0.02288774533269507,-0.7211883676400191,1.0,-0.8204583532790809,0.0
2019-10-02,-0.0,-0.42428229665071776,-0.026913875598086126,-0.7250897129186603,1.0,-0.8141746411483254,0.0
2019-10-03,-0.0,-0.4757385535358344,-0.01790973730401928,-0.7127896944634516,1.0,-0.7685716835748074,0.0
2019-10-04,-0.0,-0.47353513896264826,-0.003186404673393521,-0.707293326252434,1.0,-0.7663598276981176,0.0
2019-10-07,-0.0,-0.47452482687490793,-0.0,-0.7050537792839252,1.0,-0.767231471931634,0.0
2019-10-08,-0.0,-0.47267421294658646,-0.0,-0.7073753095153873,1.0,-0.7677160712180168,0.0
2019-10-09,-0.0,-0.477375698734922,-0.0,-0.7040600176522507,1.0,-0.7605766401882909,0.0
2019-10-10,-0.0,-0.49269304876241293,-0.009574625759596857,-0.6947976878612717,1.0,-0.7672150585445383,0.0
2019-10-11,-0.0,-0.4954295072204854,-0.03623641506624982,-0.6702099151406878,1.0,-0.7756438886407623,0.0
2019-10-14,-0.0,-0.4733195974797695,-0.06324464749619278,-0.690435665442384,1.0,-0.7590552121592163,0.0
2019-10-15,-0.0,-0.4715731041274958,-0.059301041573402574,-0.6905721192586625,1.0,-0.7630345897872087,0.0
2019-10-16,-0.0,-0.4705479043701186,-0.07386871758182795,-0.6876527752936267,1.0,-0.7489119418112443,0.0
2019-10-17,-0.0,-0.5317554126906334,-0.0,-0.6491480958284084,1.0,-0.7020209300314239,0.0
2019-10-18,-0.0,-0.5362314659897305,-0.0,-0.6469162868516701,1.0,-0.7015231062135809,0.0
2019-10-21,-0.0,-0.4653022615874108,-0.0,-0.6266230974288417,1.0,-0.7744718663112333,0.0
2019-10-22,-0.0,-0.4640616495258831,-0.0,-0.6274099750766322,1.0,-0.7733119431632625,0.0
2019-10-23,-0.0,-0.46288597723558594,-0.0,-0.6056366294905244,1.0,-0.7985320680065369,0.0
2019-10-24,-0.0,-0.45742471443406024,-0.002336448598130841,-0.6334371754932503,1.0,-0.7913349486558209,0.0
2019-10-25,-0.0,-0.45108474379107777,-0.047141278427266904,-0.6246146687605421,1.0,-0.7853196068167277,0.0
2019-10-28,-0.0,-0.4763934713422289,-0.060118543607112614,-0.643989605535928,1.0,-0.7392624602178166,0.0
2019-10-29,-0.0,-0.47489791721747304,-0.09653065421109838,-0.6259216826767722,1.0,-0.7402543991069592,0.0
2019-10-30,-0.0,-0.47565345080763577,-0.0968575624082232,-0.6248751835535976,1.0,-0.7394419970631424,0.0
2019-10-31,-0.0,-0.4669559608280069,-0.10649152641763912,-0.5942649387204598,1.0,-0.7643523133759456,0.0
2019-11-01,-0.0,-0.4711078503301541,-0.10964049889948642,-0.5953631694790902,1.0,-0.758591342626559,0.0
2019-11-04,-0.0,-0.47132169576059846,-0.10374064837905238,-0.6008508141411179,1.0,-0.7579287076426582,0.0
