Date,CSGP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-05-28,1.0,-0.015433499773036766,-0.0,-0.018754330219557063,-0.0,-0.0,-0.16723606565210122,-0.0,-0.0,-0.5183362400554268,-0.0,-0.0,-0.0,-0.0,-0.09716415414387079,-0.08428697708865901,-0.0,-0.31156079030986455,-0.17631459493035814
2020-05-29,1.0,-0.008701680571824723,-0.0,-0.018598646936482513,-0.0,-0.0,-0.15921206760536447,-0.0,-0.0,-0.5263082403002558,-0.0,-0.0,-0.0,-0.0,-0.09875451220386794,-0.08051445100523535,-0.0,-0.3086466974253544,-0.18985919533360426
2020-06-01,1.0,-0.008680264951337908,-0.0,-0.023219110930438318,-0.0,-0.0,-0.1586360266864344,-0.0,-0.0,-0.5238049690332145,-0.0,-0.0,-0.0,-0.0,-0.09751548339271622,-0.07716588153710036,-0.0,-0.3117243358282121,-0.19048757741696357
2020-06-02,1.0,-0.010697362753075193,-0.0,-0.01959986598382233,-0.0,-0.0,-0.16189632891399033,-0.0,-0.0,-0.5195759345235246,-0.0,-0.0,-0.0,-0.0,-0.09570190973053175,-0.07043028765615278,-0.0,-0.32240463313071366,-0.19281577561862825
2020-06-03,1.0,-0.011986506208579563,-0.0,-0.021221618776467208,-0.0,-0.0,-0.16281072804268248,-0.0,-0.0,-0.5207311529535613,-0.0,-0.0,-0.0,-0.0,-0.09223149986841161,-0.06921549393497141,-0.0,-0.32507117735722657,-0.18920018183123188
2020-06-04,1.0,-0.01073033170824969,-0.0,-0.028534556925724118,-0.0,-0.0,-0.1650415830226556,-0.0,-0.0,-0.5192859191281904,-0.0,-0.0,-0.0,-0.0,-0.08806519453207151,-0.0614902972947137,-0.0,-0.33268807953350543,-0.1839929261064908
2020-06-05,1.0,-0.011424201142420116,-0.0,-0.029158002915800292,-0.0,-0.0,-0.16510121651012166,-0.0,-0.0,-0.5196099519609951,-0.0,-0.0,-0.0,-0.0,-0.08833440883344089,-0.0600846060084606,-0.0,-0.3322339332233933,-0.18400611840061185
2020-06-08,1.0,-0.01306206270745278,-0.0025312223893784176,-0.02741361606609834,-0.0,-0.0,-0.17061871671800752,-0.0,-0.0,-0.5095637223296798,-0.0,-0.0,-0.0,-0.0,-0.08200205363325931,-0.041717410511736754,-0.0,-0.346347637127779,-0.1946414499605989
2020-06-09,1.0,-0.004772244625259491,-0.006394807797847717,-0.021212627359278438,-0.0,-0.0,-0.1657877782815147,-0.0,-0.0,-0.5196974396907585,-0.0,-0.0,-0.0,-0.0,-0.07857500775489752,-0.04652938509628003,-0.0,-0.34997255959340473,-0.19318046243050419
2020-06-10,1.0,-0.01368165133241169,-0.0,-0.036110978690947225,-0.0,-0.0,-0.1614625542260571,-0.0,-0.0,-0.5205701482576155,-0.0,-0.0,-0.0,-0.0,-0.07610716499022739,-0.046074271821518804,-0.0,-0.33932402154740904,-0.19020832340182103
2020-06-11,1.0,-0.020529186215437374,-0.0,-0.05179928076400962,-0.0,-0.0,-0.158874943437567,-0.0,-0.0,-0.5180404391626379,-0.0,-0.0,-0.0,-0.0,-0.07354307080425826,-0.0430350806163519,-0.0,-0.3351353926028246,-0.18061873347781562
2020-06-12,1.0,-0.008998555495038954,-0.0,-0.055459518340476924,-0.0,-0.0,-0.1497312273556087,-0.0,-0.0,-0.5334485779914276,-0.0,-0.0,-0.0,-0.0,-0.06635250657131356,-0.055270075066897156,-0.0,-0.32792630656657745,-0.17083047195055528
2020-06-15,1.0,-0.009470369581172904,-0.0,-0.05369699552525037,-0.0,-0.0,-0.14792717285792079,-0.0,-0.0,-0.5345786869332575,-0.0,-0.0,-0.0,-0.0,-0.06475365201126973,-0.05890569879489547,-0.0,-0.3283140374553116,-0.16994578213414777
2020-06-16,1.0,-0.015639417958121377,-0.0,-0.04142907843369218,-0.0,-0.0,-0.1531054063646043,-0.0,-0.0,-0.5249970424701289,-0.0,-0.0,-0.0,-0.0,-0.05813320714539217,-0.05472613273394061,-0.0,-0.34077842186206075,-0.17719152963444929
