Date,IWF,IWM,MTUM,SPY,UHS,VLUE,VXX
2019-11-25,-0.0,-0.33329274232830003,-0.7003470530930346,-0.6686251826595226,1.0,-0.3420908426692645,0.0
2019-11-26,-0.0,-0.32413289965650366,-0.699060704623522,-0.6734656655622093,1.0,-0.34313159254643283,0.0
2019-11-27,-0.0,-0.33724536333231986,-0.6840377014290058,-0.6671632715110976,1.0,-0.3519914867740954,0.0
2019-11-29,-0.0,-0.3428779069767442,-0.6105232558139536,-0.5944186046511628,1.0,-0.35915697674418606,0.0
2019-12-02,-0.0,-0.34770494207361785,-0.6346385100454612,-0.5922275993547441,1.0,-0.3583809942806863,0.0
2019-12-03,-0.0,-0.34258392794478887,-0.6196338753070535,-0.5981693765352674,1.0,-0.3639314539712247,0.0
2019-12-04,-0.0,-0.3524614125350795,-0.6314020112254443,-0.5898620205799813,1.0,-0.34956735266604305,0.0
2019-12-05,-0.0,-0.34095866988974705,-0.6551795295088733,-0.5736984847591533,1.0,-0.37807322681445665,0.0
2019-12-06,-0.0,-0.37300193481172794,-0.6649203750558118,-0.5910700997172198,1.0,-0.34767078434290816,0.0
2019-12-09,-0.0,-0.3393589548837916,-0.688804496430199,-0.6363967795837764,1.0,-0.37359866322345436,0.0
2019-12-10,-0.0,-0.3322594292036838,-0.8300628071203099,-0.7390738390445507,1.0,-0.3528588629633245,0.0
2019-12-11,-0.0,-0.32361658469856364,-0.8375728756147607,-0.7357912907533465,1.0,-0.3600625346057388,0.0
2019-12-12,-0.0,-0.32621365545534464,-0.8373327255559535,-0.7341842216650929,1.0,-0.3581870869013121,0.0
2019-12-13,-0.0,-0.32658987829151304,-0.8552223708682741,-0.7286846999706332,1.0,-0.3524651678794009,0.0
2019-12-16,-0.0,-0.3280933394339499,-0.8591084384600302,-0.7283809399307145,1.0,-0.352637427282829,0.0
2019-12-17,-0.0,-0.3072064505291449,-0.9286074248278178,-0.7827313959348227,1.0,-0.3411389215521586,0.0
2019-12-18,-0.0,-0.3212157122442578,-0.986685720260709,-0.8167369558398104,1.0,-0.3607751559722561,0.0
2019-12-19,-0.0,-0.3461149649667097,-0.991633841112699,-0.7887544880956531,1.0,-0.3594311011956635,0.0
2019-12-20,-0.0,-0.3416570891233936,-0.9902134921464146,-0.7884581896701843,1.0,-0.36244906488350226,0.0
2019-12-23,-0.0,-0.34707700857966584,-0.9802355066171108,-0.7950606134287402,1.0,-0.35121053180034045,0.0
2019-12-24,-0.0,-0.3454943071369064,-0.9811510691474591,-0.7928353235212441,1.0,-0.3517772840877534,0.0
2019-12-26,-0.0,-0.3436805555555556,-0.9809027777777778,-0.7936805555555556,1.0,-0.3539583333333334,0.0
2019-12-27,-0.0,-0.35562902383852446,-0.9919610231425092,-0.7816251957543066,1.0,-0.3508613189490169,0.0
2019-12-30,-0.0,-0.35425554234561857,-1.0089516749423038,-0.7934820616826351,1.0,-0.34005874536680886,0.0
2019-12-31,-0.0,-0.34546213517932306,-1.01158381744182,-0.780359689706752,1.0,-0.34118342783594807,0.0
2020-01-02,-0.0,-0.34706394842307026,-1.0147760933960621,-0.7814601847011675,1.0,-0.3416274612301795,0.0
2020-01-03,-0.0,-0.3542454812946616,-1.0322614543926019,-0.7654826958105646,1.0,-0.35091775255709684,0.0
2020-01-06,-0.0,-0.36395348837209307,-1.0427061310782242,-0.7656448202959831,1.0,-0.3513037350246653,0.0
2020-01-07,-0.0,-0.3624158708904472,-1.044363790126502,-0.763839458754713,1.0,-0.3531132175199972,0.0
2020-01-08,-0.0,-0.3601591941675765,-1.0421582784489134,-0.7552213573768182,1.0,-0.36449124784277814,0.0
2020-01-09,-0.0,-0.3643887945670628,-1.0464063384267117,-0.762698075834748,1.0,-0.3635752688172043,0.0
2020-01-10,-0.0,-0.36907253059053025,-1.0497960631317609,-0.7596027664479518,1.0,-0.3682567831175741,0.0
2020-01-13,-0.0,-0.3731496564912529,-1.0626814930235853,-0.7475741908067144,1.0,-0.3579219491465401,0.0
2020-01-14,-0.0,-0.3632360837658851,-1.0980490424199034,-0.7716842670485056,1.0,-0.3467692858421335,0.0
2020-01-15,-0.0,-0.3681777459236696,-1.1003762766529295,-0.7707220928149077,1.0,-0.34431105536642176,0.0
2020-01-16,-0.0,-0.3593309796369602,-1.074605042616169,-0.7806782925002674,1.0,-0.3515566491922542,0.0
