Date,IWF,IWM,LFUS,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-03-30,-0.0,-0.47484326018808776,1.0,-0.0,-0.26384535005224663,-0.0,-0.0,-0.0,-0.1649947753396029,-0.16470741901776384,-0.041666666666666664,-0.0,-0.0,-0.0,-0.011024033437826541,-0.0,-0.0,-0.09532392894461861,-0.39592476489028217
2020-03-31,-0.0,-0.47347838639405787,1.0,-0.0,-0.2631426996666754,-0.0,-0.0,-0.0,-0.16721345896433165,-0.17059919687147318,-0.03574709325214561,-0.0,-0.0,-0.0,-0.013674181780005774,-0.0,-0.0,-0.1072150337261489,-0.39350673210676884
2020-04-01,-0.0,-0.4767816453209712,1.0,-0.0,-0.2538697257798382,-0.0,-0.0,-0.0,-0.1564652575888531,-0.18556350017024173,-0.050627275346376475,-0.0,-0.0,-0.0,-0.00578821927136534,-0.0,-0.0,-0.11895969199339987,-0.3710484272282025
2020-04-02,-0.0,-0.4945948782535684,1.0,-0.0,-0.25684823677581864,-0.0,-0.0,-0.0,-0.15577770780856423,-0.18185873215785053,-0.04363455079764903,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11749580184718723,-0.3736356003358522
2020-04-03,-0.0,-0.4511773857553463,1.0,-0.0,-0.24341428684439523,-0.0,-0.0,-0.0,-0.11974263639479998,-0.18318698415209766,-0.10624159481053713,-0.0,-0.0,-0.0,-0.037628879571763835,-0.0,-0.0,-0.14740395010943227,-0.34815283600980934
2020-04-06,-0.0,-0.43085865257595773,1.0,-0.0,-0.22068692206076615,-0.0,-0.0,-0.0,-0.10261558784676354,-0.17210039630118892,-0.12367239101717305,-0.0,-0.0,-0.0,-0.08060766182298547,-0.0,-0.0,-0.15429326287978865,-0.35717305151915457
2020-04-07,-0.0,-0.402154445165477,1.0,-0.0,-0.21232965606748866,-0.0,-0.0,-0.0,-0.05783257624918885,-0.16511356262167423,-0.17321219987021416,-0.0,-0.0,-0.0,-0.13692407527579495,-0.0,-0.0,-0.16765736534717715,-0.280519143413368
2020-04-08,-0.0,-0.4104209979209979,1.0,-0.0,-0.20932952182952183,-0.0,-0.0,-0.0,-0.043191268191268194,-0.16146049896049897,-0.17344074844074844,-0.0,-0.0,-0.0,-0.14833679833679833,-0.0,-0.0,-0.17531185031185034,-0.27723492723492726
2020-04-09,-0.0,-0.3969177993191091,1.0,-0.0,-0.2050469087034486,-0.0,-0.0,-0.0,-0.02242781777073209,-0.1895839288962811,-0.1661425712726422,-0.0,-0.0,-0.0,-0.17965643597806594,-0.0,-0.0,-0.14808077132981626,-0.2909639023883157
2020-04-13,-0.0,-0.32765392919387143,1.0,-0.0,-0.18294618005878835,-0.0,-0.0,-0.0,-0.0,-0.214733501547746,-0.19725307598262362,-0.0,-0.0,-0.0,-0.19171240537939288,-0.0,-0.0,-0.17836797336316107,-0.3085867388081055
2020-04-14,-0.0,-0.34004683840749417,1.0,-0.0,-0.19138693728857667,-0.0,-0.0,-0.0,-0.0,-0.21150143117356235,-0.19266198282591726,-0.0,-0.0,-0.0,-0.1884465261514442,-0.0,-0.0,-0.17822014051522247,-0.29984387197501955
2020-04-15,-0.0,-0.3478406860212832,1.0,-0.0,-0.20025312532286393,-0.0,-0.0,-0.0,-0.0,-0.21365843578882115,-0.20358508110341977,-0.0,-0.0,-0.0,-0.17091125116231018,-0.0,-0.0,-0.17080793470399833,-0.2758549436925302
2020-04-16,-0.0,-0.35014070689076493,1.0,-0.0,-0.20186920713603385,-0.0,-0.0,-0.0,-0.0,-0.2111636072599592,-0.20408953605452712,-0.0,-0.0,-0.0,-0.17083623783337207,-0.0,-0.0,-0.16882245113985492,-0.27485606588696976
2020-04-17,-0.0,-0.35060141448557125,1.0,-0.0,-0.20189974704455113,-0.0,-0.0,-0.0,-0.0,-0.2129213773166073,-0.20579732589954056,-0.0,-0.0,-0.0,-0.17167415208301068,-0.0,-0.0,-0.1670022198131227,-0.2712818130194621
2020-04-20,-0.0,-0.3484539278241327,1.0,-0.0,-0.19518999767507944,-0.0,-0.0,-0.0,-0.007930562372452274,-0.2246389915011237,-0.18586448296349875,-0.0,-0.0,-0.0,-0.1737748960243858,-0.0,-0.0,-0.17188912712149002,-0.2755030869778616
2020-04-21,-0.0,-0.34723298713377765,1.0,-0.0,-0.19686870252674005,-0.0,-0.0,-0.0,-0.003306980829845502,-0.21937167364232935,-0.18650855164573968,-0.0,-0.0,-0.0,-0.17813775642019325,-0.0,-0.0,-0.17129127267090372,-0.280835012659536
2020-04-22,-0.0,-0.3520224372169617,1.0,-0.0,-0.20427645121449156,-0.0,-0.0,-0.0,-0.0,-0.20890798682585426,-0.19084499794153972,-0.0,-0.0,-0.0,-0.18073281185673115,-0.0,-0.0,-0.1576780568135035,-0.27866405928365584
2020-04-23,-0.0,-0.3569353387324849,1.0,-0.0,-0.20686463555726958,-0.0,-0.0,-0.0,-0.0,-0.20282812700861294,-0.18850752024681833,-0.0,-0.0,-0.0,-0.1810772592878262,-0.0,-0.0,-0.15801516904486437,-0.27677079316107467
2020-04-24,-0.0,-0.34288397117043956,1.0,-0.0,-0.22581463810780633,-0.0,-0.0,-0.0,-0.007740330930869963,-0.18546340473048423,-0.17170845599431528,-0.0,-0.0,-0.0,-0.15480661861739925,-0.0,-0.0,-0.1512790579636585,-0.29814232057659124
2020-04-27,-0.0,-0.34356918079382803,1.0,-0.0,-0.22827631712516497,-0.0,-0.0,-0.0,-0.01378032687036849,-0.1793980306567861,-0.16866307989036647,-0.0,-0.0,-0.0,-0.1527256116130342,-0.0,-0.0,-0.15011166379047813,-0.30131458735153793
2020-04-28,-0.0,-0.3522663824171362,1.0,-0.0,-0.2385665702248617,-0.0,-0.0,-0.0,-0.00994873356682402,-0.17156489518298562,-0.16296127100147204,-0.0,-0.0,-0.0,-0.14603319628445258,-0.0,-0.0,-0.1533424699253845,-0.30330947667631086
