Date,IWF,IWM,MTUM,SMFG,SPY,VLUE,VXX
2020-01-07,-0.041813751167186684,-0.12330046231979777,-0.1883668496208067,1.0,-0.5212826527591155,-0.40265093716550143,0.0
2020-01-08,-0.03577931536780773,-0.12240531682447198,-0.19403222869628553,1.0,-0.5302030225782958,-0.3936179898033504,0.0
2020-01-09,-0.04264202600958247,-0.12265571526351814,-0.19358886607346565,1.0,-0.5310746064339493,-0.39158110882956876,0.0
2020-01-10,-0.04683359225075391,-0.12471442931554419,-0.1949191263821621,1.0,-0.525678515946267,-0.39241981175180485,0.0
2020-01-13,-0.050387685551565614,-0.12531735321698956,-0.19498639097916334,1.0,-0.5251938427757828,-0.3913451201939572,0.0
2020-01-14,-0.0627789279963193,-0.12309638831377963,-0.20427881297446518,1.0,-0.5273982056590752,-0.38286174373130893,0.0
2020-01-15,-0.07988584421912343,-0.11587275806863269,-0.20947121742963876,1.0,-0.5416366969071209,-0.3733729320865914,0.0
2020-01-16,-0.07073070042658593,-0.10770148158341361,-0.1985918077152424,1.0,-0.5240126599697261,-0.3924361267831751,0.0
2020-01-17,-0.07507101621918812,-0.10531018051864748,-0.19369101072115824,1.0,-0.5259552826903693,-0.39079538165490696,0.0
2020-01-21,-0.08481867063265072,-0.1045189337604393,-0.18469282690767647,1.0,-0.5272852076421461,-0.38677496853906873,0.0
2020-01-22,-0.08609407888716024,-0.10602178090967328,-0.1814084378145877,1.0,-0.5293996522375767,-0.38496385101125646,0.0
2020-01-23,-0.08480339578721559,-0.11052283256121773,-0.18279741664574728,1.0,-0.5256395627467537,-0.3783518565006047,0.0
2020-01-24,-0.08485401459854014,-0.11329835766423357,-0.18380474452554743,1.0,-0.5261405109489051,-0.37290145985401457,0.0
2020-01-27,-0.0827955763310911,-0.11186865807775624,-0.18244213886671987,1.0,-0.5300877893056665,-0.373024740622506,0.0
2020-01-28,-0.06326127883503074,-0.12879080000907298,-0.19722367137704994,1.0,-0.5234422845736839,-0.3555243042166625,0.0
2020-01-29,-0.0588754783632617,-0.12988836303525736,-0.1971649192726614,1.0,-0.5224972260591925,-0.35601548877969247,0.0
2020-01-30,-0.07135428442233777,-0.13352927877006557,-0.18803979199638252,1.0,-0.5269952520913407,-0.3409676690029392,0.0
2020-01-31,-0.0718323234150312,-0.12939766663651986,-0.19220855566609388,1.0,-0.5272677941575472,-0.34030478429953875,0.0
2020-02-03,-0.07554524152847872,-0.12770367700072097,-0.18734228550829127,1.0,-0.5261580749819754,-0.33633741888969,0.0
2020-02-04,-0.07818140794223827,-0.13014440433212998,-0.18860559566787005,1.0,-0.5256317689530686,-0.3337319494584838,0.0
2020-02-05,-0.06885695653151634,-0.1331264476376802,-0.19451752906519149,1.0,-0.5228586206121119,-0.32939800760080057,0.0
2020-02-06,-0.08873543569211391,-0.1345989473210671,-0.20938863646587794,1.0,-0.5069953664132439,-0.3095955733501283,0.0
