Date,IWF,IWM,MTUM,PFL,SPY,VLUE,VXX
2019-07-08,-0.0,-0.03010756104923659,-0.10023672963569055,1.0,-0.29325876614607327,-0.16517055655296228,0.0
2019-07-09,-0.0,-0.02916335926337514,-0.10044451500238134,1.0,-0.29304651531989206,-0.16489919034767422,0.0
2019-07-10,-0.0,-0.03676225804917487,-0.10270921513609486,1.0,-0.28334997859894423,-0.16244193972828586,0.0
2019-07-11,-0.0,-0.034111452948079546,-0.10731390148751942,1.0,-0.2844365504773383,-0.1599955596435028,0.0
2019-07-12,-0.0,-0.03521595737933659,-0.1066626498382698,1.0,-0.28126783788926235,-0.16242785564787213,0.0
2019-07-15,-0.0,-0.044038736307350376,-0.11133513256072392,1.0,-0.27270995396094616,-0.1594856326401016,0.0
2019-07-16,-0.0,-0.04592848867658028,-0.12142324356064814,1.0,-0.2692387043532082,-0.15044992144228786,0.0
2019-07-17,-0.0,-0.044677908991210644,-0.12217683614921244,1.0,-0.2718343214075687,-0.15069059236772256,0.0
2019-07-18,-0.0,-0.04465023190799924,-0.12232352754304593,1.0,-0.2719677234894212,-0.1494535866319334,0.0
2019-07-19,-0.0,-0.045974821799939676,-0.12835166928608852,1.0,-0.26321220491816294,-0.14998968106554905,0.0
2019-07-22,-0.0,-0.04371914339688537,-0.12676011620338767,1.0,-0.26302922546949664,-0.15396948867334467,0.0
2019-07-23,-0.0,-0.04390964075373455,-0.1265696188465385,1.0,-0.2629181020113346,-0.15408061213150667,0.0
2019-07-24,-0.0,-0.04404860097709536,-0.130036165217943,1.0,-0.2607068079436584,-0.15140219529217688,0.0
2019-07-25,-0.0,-0.039454078559426814,-0.1324699616396665,1.0,-0.26440097644485305,-0.14881273182639573,0.0
2019-07-26,-0.0,-0.03485314153543931,-0.13269541522765438,1.0,-0.2663730553531257,-0.15029625170305122,0.0
2019-07-29,-0.0,-0.02811251347751633,-0.13265047250586667,1.0,-0.26702923828248876,-0.1577979323904357,0.0
2019-07-30,-0.0,-0.026505718319242418,-0.1332106657360849,1.0,-0.26678616182605525,-0.15971638405532732,0.0
2019-07-31,-0.0,-0.031220750376774808,-0.13310065836440074,1.0,-0.2634726739113191,-0.15864202427222973,0.0
2019-08-01,-0.0,-0.037055821472723245,-0.13250071322154247,1.0,-0.26102323517291665,-0.15437284052366312,0.0
2019-08-02,-0.0,-0.03491832341395466,-0.1360801570216538,1.0,-0.2599563125237432,-0.1519247815626187,0.0
2019-08-05,-0.0,-0.03251080264011776,-0.13124614191424366,1.0,-0.266797511831463,-0.15223412842875006,0.0
2019-08-06,-0.0,-0.033763170309797134,-0.13178172668658594,1.0,-0.2542223620066048,-0.15282277087592389,0.0
2019-08-07,-0.0,-0.03404415690461983,-0.12973838761345433,1.0,-0.2527244747338337,-0.15379542099808421,0.0
2019-08-08,-0.0,-0.034558015387030926,-0.130130318731355,1.0,-0.25225310095776415,-0.15316376197205211,0.0
2019-08-09,-0.0,-0.028900559567351276,-0.13071680890306042,1.0,-0.24478727062427708,-0.1586326549751477,0.0
2019-08-12,-0.0,-0.027793392042970457,-0.13681219161826244,1.0,-0.2442227218787084,-0.15259821372806195,0.0
2019-08-13,-0.0,-0.02622680026803385,-0.13661934518707827,1.0,-0.2436303002914089,-0.1518598743980926,0.0
2019-08-14,-0.0,-0.03194232980144797,-0.1374328061398875,1.0,-0.23444054314389584,-0.14978404747848242,0.0
2019-08-15,-0.0,-0.016334757719906477,-0.12979117955333389,1.0,-0.27175683302426834,-0.1946303313714424,0.0
2019-08-16,-0.0,-0.024685919399575786,-0.12222222222222223,1.0,-0.27023984336759665,-0.21442323380649372,0.0
2019-08-19,-0.0,-0.03599907355325415,-0.11716242596697878,1.0,-0.27626311087582306,-0.22492803494027727,0.0
2019-08-20,-0.0,-0.036091695100539965,-0.11357538013051977,1.0,-0.2802199622353993,-0.2264385331434061,0.0
2019-08-21,-0.0,-0.03744828727453252,-0.11798775442660932,1.0,-0.2770312758563628,-0.22235644547410227,0.0
2019-08-22,-0.0,-0.03863519838578965,-0.11580636091493972,1.0,-0.2778558788019119,-0.22159006334452472,0.0
2019-08-23,-0.0,-0.03896920175989944,-0.11609712527705184,1.0,-0.27807734294882397,-0.220897151741705,0.0
2019-08-26,-0.0,-0.035444203327415005,-0.11734727428158084,1.0,-0.2750378115341619,-0.2161668968238311,0.0
2019-08-27,-0.0,-0.03387909940387237,-0.11584254347790388,1.0,-0.27333191007176527,-0.21918775557124795,0.0
2019-08-28,-0.0,-0.033001132874710626,-0.11637414418703926,1.0,-0.2738601474378971,-0.2186119822023741,0.0
2019-08-29,-0.0,-0.02860753676470588,-0.11940323004201679,1.0,-0.277031906512605,-0.21623883928571427,0.0
2019-08-30,-0.0,-0.026432656539337622,-0.12052832538551038,1.0,-0.27773134719695847,-0.21403405273421497,0.0
2019-09-03,-0.0,-0.029428159223555645,-0.1219588169716047,1.0,-0.2801331234835071,-0.20791527313266445,0.0
2019-09-04,-0.0,-0.023840734065213833,-0.12831394396198592,1.0,-0.2753072259544487,-0.211076519744388,0.0
2019-09-05,-0.0,-0.02379081114713299,-0.12669875888266693,1.0,-0.2766480007859318,-0.21022038838130794,0.0
2019-09-06,-0.0,-0.021980356588387182,-0.12990472455099608,1.0,-0.2782925593633051,-0.2040496151394813,0.0
2019-09-09,-0.0,-0.01781278598509609,-0.12973918159236503,1.0,-0.2786638776310629,-0.2079847038828605,0.0
2019-09-10,-0.0,-0.01665032679738562,-0.13447712418300653,1.0,-0.2792156862745098,-0.2036437908496732,0.0
2019-09-11,-0.0,-0.01473952545918034,-0.13564612066148116,1.0,-0.28018171122295576,-0.20354271521014447,0.0
2019-09-12,-0.0,-0.0014671122340859074,-0.14043524329611215,1.0,-0.2807400766158611,-0.20749857364088348,0.0
2019-09-13,-0.0,-0.0008151553686132577,-0.14102187877009356,1.0,-0.28121229906420164,-0.20727770713097915,0.0
