Date,FTAI,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-05-24,1.0,-0.0,-0.2779660098121595,-0.0,-0.9374407069091698,-0.49513457837530156,0.0
2019-05-28,1.0,-0.0,-0.2833080177932082,-0.0,-0.9357708581968102,-0.4933004231311707,0.0
2019-05-29,1.0,-0.0,-0.28193272766601774,-0.0,-0.9356478477179321,-0.4862643305213065,0.0
2019-05-30,1.0,-0.0,-0.2845579247589298,-0.0,-0.9455385033274482,-0.48618769523292144,0.0
2019-05-31,1.0,-0.0,-0.2874144114770134,-0.0,-0.9406042821432453,-0.48907727420932506,0.0
2019-06-03,1.0,-0.0,-0.287320289698411,-0.0,-0.9435736677115989,-0.4715165928007783,0.0
2019-06-04,1.0,-0.0,-0.2838955386289445,-0.0,-1.0056311207834603,-0.43082154515778026,0.0
2019-06-05,1.0,-0.0,-0.28340354288183195,-0.0,-1.0109904947072803,-0.40597321235688055,0.0
2019-06-06,1.0,-0.0,-0.28723002159827216,-0.0,-0.9924676025917926,-0.4201133909287257,0.0
2019-06-07,1.0,-0.0,-0.30904862350586837,-0.0,-0.9777976093893667,-0.4174644383146736,0.0
2019-06-10,1.0,-0.0,-0.31331642016625283,-0.0,-0.9657238475655835,-0.4198423836769945,0.0
2019-06-11,1.0,-0.0,-0.31639747855964073,-0.0,-0.9751372994616238,-0.4139003868733598,0.0
2019-06-12,1.0,-0.0,-0.3143754739464847,-0.0,-0.9746235510778898,-0.4192666016682916,0.0
2019-06-13,1.0,-0.0,-0.3198449696444059,-0.0,-0.9712434952298352,-0.4192324371205551,0.0
2019-06-14,1.0,-0.0,-0.324744787141616,-0.0,-0.9727953953084275,-0.41749022589053,0.0
2019-06-17,1.0,-0.0,-0.3264103817125482,-0.0,-0.9669598740294293,-0.42148558397133085,0.0
2019-06-18,1.0,-0.0,-0.31079571767141567,-0.0,-0.9766542264839685,-0.43670489525729383,0.0
2019-06-19,1.0,-0.0,-0.2974236330035873,-0.0,-0.9832590498967279,-0.4369768453092727,0.0
2019-06-20,1.0,-0.0,-0.29471012119226986,-0.0,-0.9906103286384976,-0.4442351785129381,0.0
2019-06-21,1.0,-0.0,-0.2985152027949124,-0.0,-0.9850428516840439,-0.4458485725203341,0.0
2019-06-24,1.0,-0.0,-0.3026852434784989,-0.0,-0.9833848848985849,-0.4511811239153642,0.0
2019-06-25,1.0,-0.0,-0.29779140096882784,-0.0,-0.9873833438244068,-0.4515996606365801,0.0
2019-06-26,1.0,-0.0,-0.2938080749938327,-0.0,-0.9570484883370338,-0.4901460954417126,0.0
2019-06-27,1.0,-0.0,-0.28001871010345586,-0.0,-0.9555084745762713,-0.5159861325115562,0.0
2019-06-28,1.0,-0.0,-0.2883128319436418,-0.0,-0.9484300613665759,-0.5151214948127356,0.0
2019-07-01,1.0,-0.0,-0.28048008368431193,-0.0,-0.9697745478569659,-0.502491259944394,0.0
2019-07-02,1.0,-0.0,-0.2867167505985305,-0.0,-0.9606208206059605,-0.5044992982745811,0.0
2019-07-03,1.0,-0.0,-0.2841137445976822,-0.0,-0.9645442783604481,-0.5041153962617337,0.0
2019-07-05,1.0,-0.0,-0.2917639946137569,-0.0,-0.9545741845063069,-0.5017450328395944,0.0
2019-07-08,1.0,-0.0,-0.2906868131868132,-0.0,-0.9561263736263736,-0.5004395604395604,0.0
2019-07-09,1.0,-0.0,-0.2867729805396207,-0.0,-0.9551779979688744,-0.502813383471029,0.0
2019-07-10,1.0,-0.0,-0.2802713987473904,-0.0,-0.9639600043951215,-0.5026920118668279,0.0
2019-07-11,1.0,-0.0,-0.2790084098279558,-0.0,-0.9683394712251964,-0.5009619084263178,0.0
2019-07-12,1.0,-0.0,-0.27664018909930466,-0.0,-0.9712228238463019,-0.5006733914190693,0.0
2019-07-15,1.0,-0.0,-0.2931883858538599,-0.0,-0.9632860877941378,-0.495692858125774,0.0
2019-07-16,1.0,-0.0,-0.2967356600242211,-0.0012661015083122317,-0.9654024000880768,-0.48899042166685025,0.0
