Date,IWF,IWM,MTUM,RRR,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-05-02,-0.0,-0.5537536964609368,-0.0,1.0,-0.08680721167604694,-0.0,-0.19522083373080223,-0.42869407612324717,-0.0,-0.261852523132691,-0.0,-0.7311838214251645,-0.0,-0.0,-0.4803968329676619,-0.3498521415625298,-0.6819612706286368,-0.0,-0.0
2019-05-03,-0.0,-0.5355076275644398,-0.0,1.0,-0.1103247094830472,-0.0,-0.19186074314953855,-0.4276218258332935,-0.018220075558318588,-0.2654583711921955,-0.0,-0.7225861986514276,-0.0,-0.0,-0.48027354024197794,-0.34359906269427576,-0.6866720864616709,-0.0,-0.0
2019-05-06,-0.0,-0.4984653161448741,-0.0,1.0,-0.09156159984889267,-0.0,-0.33172781791566325,-0.4852434244699438,-0.01997450063748406,-0.2648628228738726,-0.0,-0.6715304339613731,-0.0,-0.0,-0.3211030835340228,-0.3068895499834726,-0.6902771875147565,-0.0,-0.04037399065023374
2019-05-07,-0.0,-0.5498927997141325,-0.0,1.0,-0.06396283723423263,-0.0,-0.20837055565481508,-0.5258174021797392,-0.04953546542790781,-0.3179381811684831,-0.0,-0.5626675004466679,-0.0,-0.0,-0.26013936037162766,-0.24696265856708952,-0.6558870823655529,-0.0,-0.025549401465070575
2019-05-08,-0.0,-0.4934579439252336,-0.0,1.0,-0.06620299934796783,-0.0,-0.26659421864812,-0.5122799391436644,-0.00808519886981091,-0.2599000217344056,-0.0,-0.5521408389480548,-0.0,-0.0,-0.3092371223647033,-0.21286676809389263,-0.6033470984568572,-0.0,-0.06276896326885459
2019-05-09,-0.0,-0.48168609709413607,-0.0,1.0,-0.052114146511223244,-0.0,-0.30890029580650774,-0.5003915086131895,-0.00848268661910562,-0.2564816425961371,-0.0,-0.5611188446145815,-0.0,-0.0,-0.31807899773795023,-0.21372020184444057,-0.5692970245345397,-0.0,-0.07982425613363495
2019-05-10,-0.0,-0.5369057110486342,-0.0,1.0,-0.019554361965507115,-0.0,-0.30523268012252947,-0.534849565691746,-0.02408627418068902,-0.25676639671016743,-0.0,-0.45260375141622256,-0.0,-0.0,-0.3266333766942218,-0.17783559229574925,-0.49087323234442537,-0.0,-0.07083210943728757
2019-05-13,-0.0,-0.5515417418402493,-0.0,1.0,-0.0,-0.0,-0.250738067902247,-0.6040265704444808,-0.0,-0.17533213055601113,-0.0,-0.45637198622273245,-0.0,-0.0,-0.2728801049696572,-0.12871084139740857,-0.5115220600295227,-0.0,-0.14925373134328357
2019-05-14,-0.0,-0.626609787508049,-0.0,1.0,-0.01122826786864134,-0.0,-0.3228428847392144,-0.5993641339343206,-0.0,-0.1936976819059884,-0.0,-0.46273341918866706,-0.0,-0.0,-0.23486799742434,-0.08479555698647778,-0.4481648422408242,-0.0,-0.040164198325820986
2019-05-15,-0.0,-0.6233713021388183,-0.0,1.0,-0.01655330656395968,-0.0,-0.35142997623535194,-0.5844054740637549,-0.0,-0.18347947226091946,-0.0,-0.5004916823731869,-0.0,-0.0,-0.15828075063508973,-0.11357862820617881,-0.5657215438826518,-0.0,-0.0
