Date,FBK,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-04-17,1.0,-0.0,-0.775076588595711,-0.0,-0.648746582336858,-0.8703099779293079,0.0
2019-04-18,1.0,-0.0,-0.7626162675638235,-0.0,-0.6501088462299623,-0.8856454911273831,0.0
2019-04-22,1.0,-0.0,-0.7693350527394769,-0.0,-0.6523823694739279,-0.8848328538835434,0.0
2019-04-23,1.0,-0.0,-0.7683656931167929,-0.0,-0.6491912810505077,-0.8900869910362849,0.0
2019-04-24,1.0,-0.0,-0.791515517936316,-0.0,-0.6809418245331184,-0.8864033319897892,0.0
2019-04-25,1.0,-0.0,-0.8069088582875998,-0.0,-0.686778222955456,-0.8731692535604862,0.0
2019-04-26,1.0,-0.0,-0.7963924477410654,-0.0,-0.7038098449089684,-0.871341874578557,0.0
2019-04-29,1.0,-0.0,-0.7852276559865093,-0.0,-0.703035413153457,-0.8844519392917369,0.0
2019-04-30,1.0,-0.0,-0.7780361234667744,-0.0,-0.6996899851732038,-0.891966572314328,0.0
2019-05-01,1.0,-0.0,-0.7702060221870048,-0.0,-0.7129851299861752,-0.8887277877061066,0.0
2019-05-02,1.0,-0.0,-0.7711858693453787,-0.0,-0.698206701274186,-0.9014696959482236,0.0
2019-05-03,1.0,-0.0,-0.7644326253071666,-0.0,-0.701147877604605,-0.9006294812670415,0.0
2019-05-06,1.0,-0.0,-0.7472272635612018,-0.0,-0.705384150030248,-0.9082812394972103,0.0
2019-05-07,1.0,-0.0,-0.7471175501697537,-0.0,-0.7050657164946721,-0.9092742613197083,0.0
2019-05-08,1.0,-0.0,-0.7280833083807433,-0.0,-0.6898559403799448,-0.9090727617526698,0.0
2019-05-09,1.0,-0.0,-0.7298316409221712,-0.0,-0.6902391426586842,-0.8876062580623821,0.0
2019-05-10,1.0,-0.0,-0.7271073778894805,-0.0,-0.6929131254340422,-0.8869340917358378,0.0
2019-05-13,1.0,-0.0,-0.7263801652892562,-0.0,-0.6891900826446281,-0.8902479338842975,0.0
2019-05-14,1.0,-0.0,-0.6949135931527882,-0.0,-0.6987357485871092,-0.8731501747737742,0.0
2019-05-15,1.0,-0.0,-0.7035981124655919,-0.0,-0.7054332153624329,-0.8679381308166207,0.0
2019-05-16,1.0,-0.0,-0.7096795485297516,-0.0,-0.7078974291277516,-0.8826441371571896,0.0
2019-05-17,1.0,-0.0,-0.7041797455807038,-0.0,-0.7030563357013052,-0.8968775813646127,0.0
2019-05-20,1.0,-0.0,-0.6896790351281882,-0.0,-0.7074408488762934,-0.8982073419890594,0.0
2019-05-21,1.0,-0.0,-0.6975558406526531,-0.0,-0.6953518207835785,-0.8967071285239646,0.0
2019-05-22,1.0,-0.0,-0.6892673944495594,-0.0,-0.7044916480336709,-0.8944166776272523,0.0
2019-05-23,1.0,-0.0,-0.6884281771586279,-0.0,-0.7143514259429622,-0.8828032592981994,0.0
2019-05-24,1.0,-0.0,-0.6635517083087416,-0.0,-0.7206374188471376,-0.8946816184667847,0.0
2019-05-28,1.0,-0.0,-0.66773654734222,-0.0,-0.7124095241214423,-0.8949988536992762,0.0
2019-05-29,1.0,-0.0,-0.685418160484975,-0.0,-0.7079069161071638,-0.8659148686526303,0.0
2019-05-30,1.0,-0.0,-0.6833843548492151,-0.0,-0.7044877222692634,-0.8688529929004104,0.0
2019-05-31,1.0,-0.0,-0.679876160990712,-0.0,-0.7123024278963662,-0.8667427081635978,0.0
2019-06-03,1.0,-0.0,-0.6879499319021987,-0.0,-0.7154484726635969,-0.839354043712303,0.0
2019-06-04,1.0,-0.0,-0.6798858588151366,-0.0,-0.7159116702876228,-0.8468173416777457,0.0
2019-06-05,1.0,-0.0,-0.668654228377252,-0.0,-0.731743283964865,-0.8053151247034686,0.0
2019-06-06,1.0,-0.0,-0.6695498958833894,-0.0,-0.7203908377382668,-0.8136472849591543,0.0
2019-06-07,1.0,-0.0,-0.6767767350991256,-0.0,-0.7154021074208116,-0.8105883483329596,0.0
2019-06-10,1.0,-0.0,-0.6718250415654177,-0.0,-0.7061964445581277,-0.8193183271518096,0.0
2019-06-11,1.0,-0.0,-0.6734373498221894,-0.0,-0.7119149072501841,-0.8184730721173868,0.0
2019-06-12,1.0,-0.0,-0.6717226782965623,-0.0,-0.7117111339148281,-0.8233388917393534,0.0
2019-06-13,1.0,-0.0,-0.6838084232152027,-0.0,-0.7121854134565999,-0.8140408320493066,0.0
2019-06-14,1.0,-0.0,-0.6753634350630596,-0.0,-0.7252334649080582,-0.8085427296941691,0.0
2019-06-17,1.0,-0.0,-0.6660134288559771,-0.0,-0.7397757573810518,-0.8068557843672696,0.0
2019-06-18,1.0,-0.0,-0.6496348016345442,-0.0,-0.748479680813411,-0.8194922616557805,0.0
2019-06-19,1.0,-0.0,-0.6481964153554076,-0.0,-0.768639186536667,-0.800978215400457,0.0
2019-06-20,1.0,-0.0,-0.6489776203509902,-0.0,-0.7690549025921751,-0.8020608597649332,0.0
2019-06-21,1.0,-0.0,-0.6525281803542674,-0.0,-0.7666022544283414,-0.8014814814814815,0.0
2019-06-24,1.0,-0.0,-0.6511830594919138,-0.0,-0.7654862971690499,-0.811323799993544,0.0
2019-06-25,1.0,-0.0,-0.6353332472229398,-0.0,-0.7778674761043658,-0.8159390338413847,0.0
2019-06-26,1.0,-0.0,-0.6315038739585697,-0.0,-0.7434758647518397,-0.8668265957791681,0.0
2019-06-27,1.0,-0.0,-0.6311861106603928,-0.0,-0.7693655687165343,-0.8446535778030181,0.0
2019-06-28,1.0,-0.0,-0.6300454250486697,-0.0,-0.7698247890979883,-0.8448085658663206,0.0
2019-07-01,1.0,-0.0,-0.6325365679628969,-0.0,-0.7682677650569196,-0.8424415399085395,0.0
2019-07-02,1.0,-0.0,-0.6352617079889807,-0.0,-0.7660670879922217,-0.8396370118295253,0.0
2019-07-03,1.0,-0.0,-0.6437493916485514,-0.0,-0.7556860582070667,-0.8451056098114922,0.0
2019-07-05,1.0,-0.0,-0.6428941908713693,-0.0,-0.752204356846473,-0.846635114107884,0.0
2019-07-08,1.0,-0.0,-0.6479530647304788,-0.0,-0.7434767106414703,-0.8499886551489417,0.0
2019-07-09,1.0,-0.0,-0.6456294952374781,-0.0,-0.7428562171969157,-0.8513250826151754,0.0
2019-07-10,1.0,-0.0,-0.7012534373601074,-0.0,-0.6755771567436208,-0.8207136918846326,0.0
2019-07-11,1.0,-0.0,-0.7076927983670346,-0.0,-0.6590546660713147,-0.8226063660139057,0.0
2019-07-12,1.0,-0.0,-0.7092578423871462,-0.0,-0.6485909206834991,-0.8301453710788065,0.0
2019-07-15,1.0,-0.0,-0.7165402027673277,-0.0,-0.6511509277561691,-0.8204743990307978,0.0
2019-07-16,1.0,-0.0,-0.7241434313788042,-0.0,-0.655043705735979,-0.8110444713839087,0.0
2019-07-17,1.0,-0.0,-0.7363180904362256,-0.0,-0.6488496027060664,-0.8059482400995629,0.0
2019-07-18,1.0,-0.0,-0.7370483655132862,-0.0,-0.6494296820238323,-0.7996558975339323,0.0
2019-07-19,1.0,-0.0,-0.7360740175505531,-0.0,-0.6491797024036626,-0.7941943278646827,0.0
2019-07-22,1.0,-0.0,-0.7044756263659688,-0.0,-0.6395109435874695,-0.8235089164106301,0.0
2019-07-23,1.0,-0.0,-0.7031720378996735,-0.0,-0.6423614412016351,-0.8233355515416547,0.0
2019-07-24,1.0,-0.0,-0.705046220083576,-0.0,-0.6437571229580854,-0.8169558060022793,0.0
2019-07-25,1.0,-0.0,-0.7068539965824947,-0.0,-0.6419530409467754,-0.8155180051895449,0.0
