Date,IWF,IWM,MTUM,PFPT,SPY,VLUE,VXX
2019-06-06,-0.0,-0.6473627197733521,-0.5715357053578868,1.0,-1.335972002333139,-0.6114073827181068,0.0
2019-06-07,-0.0,-0.6640416666666668,-0.570875,1.0,-1.321875,-0.6098750000000001,0.0
2019-06-10,-0.0,-0.6634371491538109,-0.5438479770468626,1.0,-1.3314898748388706,-0.6194436359100169,0.0
2019-06-11,-0.0,-0.6652039451688398,-0.5664911400869275,1.0,-1.32255098629221,-0.624958207957205,0.0
2019-06-12,-0.0,-0.6769815418023887,-0.5741251148417271,1.0,-1.3129541468303683,-0.6120020045101479,0.0
2019-06-13,-0.0,-0.6986627664020059,-0.5915169243627246,1.0,-1.2937317175094023,-0.5949435854575845,0.0
2019-06-14,-0.0,-0.6860450537050193,-0.6068876165001881,1.0,-1.3046767250386593,-0.5818113428344548,0.0
2019-06-17,-0.0,-0.6899017353125653,-0.6068576207401213,1.0,-1.302864311101819,-0.581852393895045,0.0
2019-06-18,-0.0,-0.6943921716221302,-0.6053192823986953,1.0,-1.3031405511646386,-0.5789737799523271,0.0
2019-06-19,-0.0,-0.6868180107864041,-0.611062335381914,1.0,-1.3014758142062794,-0.5814624357205569,0.0
2019-06-20,-0.0,-0.6971347184986596,-0.6106317024128687,1.0,-1.298760053619303,-0.5824815683646113,0.0
2019-06-21,-0.0,-0.701553146062712,-0.6094528404571524,1.0,-1.2897810524553104,-0.5855486247749822,0.0
2019-06-24,-0.0,-0.6929920268569031,-0.6176248426353336,1.0,-1.2799832144355854,-0.6057910197230381,0.0
2019-06-25,-0.0,-0.6833382285066925,-0.6180925607351152,1.0,-1.2851927998992994,-0.609281248688793,0.0
2019-06-26,-0.0,-0.674671121319691,-0.5957820004176237,1.0,-1.2413029860096054,-0.6644393401545208,0.0
2019-06-27,-0.0,-0.6646515533165407,-0.5749790092359361,1.0,-1.2441645675902604,-0.7143576826196474,0.0
2019-06-28,-0.0,-0.6541059963912551,-0.5779027317359742,1.0,-1.2498846040871134,-0.7142797196928371,0.0
2019-07-01,-0.0,-0.6556227429243302,-0.5768455530360292,1.0,-1.2485932644662803,-0.7181489879902578,0.0
2019-07-02,-0.0,-0.6585723871833584,-0.5730582117094447,1.0,-1.2441285019292065,-0.7181680926019124,0.0
2019-07-03,-0.0,-0.6548917603624769,-0.5765648598758181,1.0,-1.2462241986910556,-0.7176959221345863,0.0
2019-07-05,-0.0,-0.6485738255033557,-0.5792785234899329,1.0,-1.2466442953020136,-0.7201342281879195,0.0
2019-07-08,-0.0,-0.6456088870257808,-0.5830643470970446,1.0,-1.2463215258855587,-0.7169985328023475,0.0
2019-07-09,-0.0,-0.6437133277451802,-0.5824811399832355,1.0,-1.2472338642078793,-0.7177284157585918,0.0
2019-07-10,-0.0,-0.6105827642548913,-0.5775273367128911,1.0,-1.2809501864342872,-0.7205161506556621,0.0
2019-07-11,-0.0,-0.6101723342697807,-0.5818692607656506,1.0,-1.281437376829217,-0.719568954673152,0.0
2019-07-12,-0.0,-0.6087994971715902,-0.584789440603394,1.0,-1.2874083385711292,-0.7092394720301697,0.0
2019-07-15,-0.0,-0.5670226858751449,-0.5631727107136943,1.0,-1.2913147872164266,-0.718248054313628,0.0
