Date,AEE,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-08-14,1.0,-0.0,-0.0,-0.11401774909237594,-0.8995764421137555,-0.0033682936668011296,0.0
2019-08-15,1.0,-0.0,-0.0,-0.12243796116698993,-0.8772021036213481,-0.0,0.0
2019-08-16,1.0,-0.0,-0.0,-0.12462729874132032,-0.8764332739679427,-0.0,0.0
2019-08-19,1.0,-0.0,-0.0,-0.1257287756568964,-0.8709168596757448,-0.0,0.0
2019-08-20,1.0,-0.0,-0.0,-0.12219898416492382,-0.8696344985559207,-0.0,0.0
2019-08-21,1.0,-0.0,-0.0,-0.16088040853489569,-0.8184553263924627,-0.0,0.0
2019-08-22,1.0,-0.0,-0.0,-0.15563502726626097,-0.8201809847467003,-0.0,0.0
2019-08-23,1.0,-0.0,-0.0,-0.155400600505689,-0.8199470606826802,-0.0,0.0
2019-08-26,1.0,-0.0,-0.0,-0.1538552344226494,-0.8136030062761918,-0.0,0.0
2019-08-27,1.0,-0.0,-0.0,-0.15400640710677857,-0.8113834240679232,-0.0,0.0
2019-08-28,1.0,-0.0,-0.0,-0.1540275512409849,-0.811110892762395,-0.0,0.0
2019-08-29,1.0,-0.0,-0.0,-0.1561321495914519,-0.8080216844751729,-0.0,0.0
2019-08-30,1.0,-0.0,-0.0,-0.15588530494164882,-0.8121150099384017,-0.0,0.0
2019-09-03,1.0,-0.0,-0.0,-0.15930388219544847,-0.8093550673281361,-0.0,0.0
2019-09-04,1.0,-0.0,-0.0,-0.1649614852854039,-0.8101520837448154,-0.0,0.0
2019-09-05,1.0,-0.0,-0.0,-0.15130752316632637,-0.8119404743207161,-0.0,0.0
2019-09-06,1.0,-0.0,-0.0,-0.16202382124224823,-0.8066738852249237,-0.0,0.0
2019-09-09,1.0,-0.0,-0.0,-0.16426950774390844,-0.8086810693499062,-0.0,0.0
2019-09-10,1.0,-0.0,-0.0,-0.19317105886065963,-0.7793711535426859,-0.0,0.0
2019-09-11,1.0,-0.0,-0.0,-0.20658570669395948,-0.761647017143307,-0.0,0.0
2019-09-12,1.0,-0.0,-0.0,-0.20867756431641124,-0.7537039580839499,-0.0,0.0
2019-09-13,1.0,-0.0,-0.0,-0.220652366951477,-0.7526293979517334,-0.0,0.0
2019-09-16,1.0,-0.0,-0.0,-0.21805889541530335,-0.7530058737730121,-0.0,0.0
2019-09-17,1.0,-0.0,-0.0,-0.2168073524771221,-0.7554433575260333,-0.0,0.0
2019-09-18,1.0,-0.0,-0.0,-0.2244292506581791,-0.740284490549727,-0.0,0.0
2019-09-19,1.0,-0.0,-0.0,-0.22923418380374364,-0.7349007129809676,-0.0,0.0
2019-09-20,1.0,-0.0,-0.0,-0.242216369211416,-0.7233273056057866,-0.0,0.0
2019-09-23,1.0,-0.0,-0.0,-0.2547688454991881,-0.7016805900651498,-0.0,0.0
2019-09-24,1.0,-0.0,-0.0,-0.2656506447831184,-0.6882571316920671,-0.0,0.0
2019-09-25,1.0,-0.0,-0.0,-0.2642812548774777,-0.6867098486030904,-0.0,0.0
2019-09-26,1.0,-0.0,-0.0,-0.29686201574927784,-0.6816904752483084,-0.0,0.0
2019-09-27,1.0,-0.0,-0.0,-0.30170177645024365,-0.6633980506209716,-0.0,0.0
2019-09-30,1.0,-0.0,-0.0,-0.33095833251323636,-0.6372743913240302,-0.0,0.0
2019-10-01,1.0,-0.0,-0.0,-0.3365360004725247,-0.6323167490303401,-0.0,0.0
2019-10-02,1.0,-0.0,-0.0,-0.3463559154651392,-0.6287576535650801,-0.0,0.0
2019-10-03,1.0,-0.0,-0.0,-0.3447542114077431,-0.6254753226283126,-0.0,0.0
2019-10-04,1.0,-0.0,-0.0,-0.3549400399075409,-0.6206807989410672,-0.0,0.0
2019-10-07,1.0,-0.0,-0.0,-0.38170322225931236,-0.5818917273744771,-0.0,0.0
2019-10-08,1.0,-0.0,-0.0,-0.3873677599167795,-0.575379300869497,-0.0,0.0
2019-10-09,1.0,-0.0,-0.0,-0.39131717680383976,-0.5757927452986072,-0.0,0.0
2019-10-10,1.0,-0.0,-0.0,-0.44220528555874494,-0.5374047312679402,-0.0,0.0
2019-10-11,1.0,-0.0,-0.0,-0.5012848389009685,-0.4753903933583712,-0.0,0.0
2019-10-14,1.0,-0.0,-0.0,-0.5027045167403663,-0.47139529374605177,-0.0,0.0
2019-10-15,1.0,-0.0,-0.0,-0.5276259986191932,-0.4449551237794654,-0.0,0.0
2019-10-16,1.0,-0.0,-0.0,-0.5399015557356632,-0.4368909008243224,-0.0,0.0
2019-10-17,1.0,-0.0,-0.0,-0.5693895302862566,-0.4075201644788866,-0.0,0.0
2019-10-18,1.0,-0.0,-0.0,-0.5865228577082922,-0.39251929546803876,-0.0,0.0
2019-10-21,1.0,-0.0,-0.0,-0.5830645959046395,-0.39537046196458603,-0.0,0.0
2019-10-22,1.0,-0.0,-0.0,-0.5829029841920605,-0.388161784996255,-0.0,0.0
2019-10-23,1.0,-0.0,-0.0,-0.5687140266498463,-0.40242844752818735,-0.0,0.0
2019-10-24,1.0,-0.0,-0.0,-0.5839181634352326,-0.39855675825700804,-0.0,0.0
2019-10-25,1.0,-0.0,-0.0,-0.5809878696582891,-0.4010941092523587,-0.0,0.0
2019-10-28,1.0,-0.0,-0.0,-0.5973639877118223,-0.38460013873748883,-0.0,0.0
2019-10-29,1.0,-0.0,-0.0,-0.6413462685380302,-0.3466263766848236,-0.0,0.0
2019-10-30,1.0,-0.0,-0.0,-0.64236276849642,-0.34649960222752585,-0.0,0.0
2019-10-31,1.0,-0.0,-0.0,-0.6505257277388719,-0.3446659085014265,-0.0,0.0
2019-11-01,1.0,-0.0,-0.0,-0.6522173192500449,-0.3444681828165246,-0.0,0.0
2019-11-04,1.0,-0.0,-0.0,-0.6611403718777432,-0.33391189849174047,-0.0,0.0
2019-11-05,1.0,-0.0,-0.0,-0.7546085033671726,-0.25564378329480353,-0.0,0.0
2019-11-06,1.0,-0.0,-0.0,-0.7616379048736572,-0.2614659410467539,-0.0,0.0
2019-11-07,1.0,-0.0,-0.0,-0.7625600128563107,-0.246238524738354,-0.0,0.0
2019-11-08,1.0,-0.0,-0.0,-0.7686604750488547,-0.2459657110623124,-0.0,0.0
2019-11-11,1.0,-0.0,-0.0,-0.7790700034504455,-0.25060382796484604,-0.0,0.0
2019-11-12,1.0,-0.0,-0.0,-0.7796273795058728,-0.2454840016200891,-0.0,0.0
2019-11-13,1.0,-0.0,-0.0,-0.8475457995022236,-0.19252111469256192,-0.0,0.0
2019-11-14,1.0,-0.0,-0.0,-0.8610372068273914,-0.1855429577176538,-0.0,0.0
2019-11-15,1.0,-0.0,-0.0,-0.8575531893067438,-0.19410763012658747,-0.0,0.0
2019-11-18,1.0,-0.0,-0.0,-0.8574674992322653,-0.1898454294195926,-0.0,0.0
2019-11-19,1.0,-0.0,-0.0,-0.8618049034950443,-0.2247887323943662,-0.0,0.0
2019-11-20,1.0,-0.0,-0.0,-0.854344193817878,-0.23421052631578948,-0.0,0.0
2019-11-21,1.0,-0.0,-0.0,-0.887513728140576,-0.22448677874461434,-0.0,0.0
2019-11-22,1.0,-0.0,-0.0,-0.8876171973984289,-0.22404763915871273,-0.0,0.0
2019-11-25,1.0,-0.0,-0.0,-0.888424253944117,-0.22355276774588692,-0.0,0.0
2019-11-26,1.0,-0.0,-0.0,-0.8931288032454362,-0.21978532792427316,-0.0,0.0
2019-11-27,1.0,-0.0,-0.0,-0.884814322207444,-0.22636012413705744,-0.0,0.0
2019-11-29,1.0,-0.0,-0.0,-0.8975433372327981,-0.22943741359140699,-0.0,0.0
2019-12-02,1.0,-0.0,-0.0,-0.8839677582714383,-0.22609301147873057,-0.0,0.0
2019-12-03,1.0,-0.0,-0.0,-0.8834024983674243,-0.22314676328705946,-0.0,0.0
2019-12-04,1.0,-0.0,-0.0,-0.8883910645222648,-0.22501426548597755,-0.0,0.0
2019-12-05,1.0,-0.0,-0.0,-0.8993441505898386,-0.23003705123291174,-0.0,0.0
