Date,EL,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-08,1.0,-0.0,-0.09977193249201764,-0.25078303177740613,-1.1353504637372664,-0.5549642694237494,0.0
2019-07-09,1.0,-0.0,-0.09480819502705332,-0.2511094899385981,-1.1363304760167792,-0.5574199039455285,0.0
2019-07-10,1.0,-0.0,-0.06825917821541454,-0.2427060539752006,-1.162047167517627,-0.5661317772915148,0.0
2019-07-11,1.0,-0.0,-0.06848232469072009,-0.24362442627435485,-1.1617678348885985,-0.5657314812000365,0.0
2019-07-12,1.0,-0.0,-0.07261076862340186,-0.24088189741565183,-1.150353791490783,-0.573020741595554,0.0
2019-07-15,1.0,-0.0,-0.0666646456072273,-0.24082944279391258,-1.1545807312193053,-0.5695143394167222,0.0
2019-07-16,1.0,-0.0,-0.063865851443792,-0.22622434772080635,-1.1537623342817362,-0.5829650705248501,0.0
2019-07-17,1.0,-0.0,-0.07145669887620029,-0.22215490867234122,-1.1532426619816436,-0.58228576621331,0.0
2019-07-18,1.0,-0.0,-0.07190195188379482,-0.2269934937206839,-1.1512482977757603,-0.5760326827054016,0.0
2019-07-19,1.0,-0.0,-0.07242432489642868,-0.2236838126341891,-1.1552813813541383,-0.5725906438053766,0.0
2019-07-22,1.0,-0.0,-0.04872375774052257,-0.21129738710164628,-1.1583446609273522,-0.6023259326385741,0.0
2019-07-23,1.0,-0.0,-0.05517909002904162,-0.20737536302032913,-1.158307115198451,-0.6042775895450145,0.0
2019-07-24,1.0,-0.0,-0.05543130024783896,-0.2147131717342683,-1.1545668862963188,-0.5977452699026778,0.0
2019-07-25,1.0,-0.0,-0.039177867518534144,-0.22539328551624374,-1.1598155626544513,-0.5892652642999217,0.0
2019-07-26,1.0,-0.0,-0.034534670159274986,-0.22759160569656461,-1.1612019389997894,-0.5875410230933671,0.0
2019-07-29,1.0,-0.0,-0.023071594229089484,-0.22794494141742716,-1.1606276919369898,-0.6003132435770006,0.0
2019-07-30,1.0,-0.0,-0.021213125621478292,-0.2311447253442613,-1.1560249495284298,-0.6048754030192546,0.0
2019-07-31,1.0,-0.0,-0.006495272046161747,-0.23343705628228753,-1.1642850669164073,-0.61683937041177,0.0
2019-08-01,1.0,-0.0,-0.011946889271995888,-0.24510782445634094,-1.1527084656564741,-0.614765750234401,0.0
2019-08-02,1.0,-0.0,-0.0036889211417513302,-0.24869980648282536,-1.149915336236091,-0.6214320270924044,0.0
2019-08-05,1.0,-0.0,-0.001448007481371987,-0.24803161483000996,-1.1535491266704878,-0.6136535038764367,0.0
2019-08-06,1.0,-0.0,-0.008980077311923879,-0.24374070770145703,-1.1263157894736842,-0.5944692239072257,0.0
2019-08-07,1.0,-0.0,-0.03889463573222994,-0.2406975025860795,-1.095699719225654,-0.5802275749963056,0.0
2019-08-08,1.0,-0.0,-0.04389724792337935,-0.24981524727304977,-1.091637352567324,-0.5706937834402437,0.0
2019-08-09,1.0,-0.0,-0.034659141017726436,-0.25063938618925835,-1.0807243437104979,-0.5736837463621131,0.0
2019-08-12,1.0,-0.0,-0.03293087747128463,-0.24593872095414354,-1.0846626127317058,-0.5741018183954643,0.0
2019-08-13,1.0,-0.0,-0.030509173366316224,-0.24192360927054807,-1.0972111788438321,-0.5752569426038815,0.0
2019-08-14,1.0,-0.0,-0.03447972298843829,-0.24030166089559246,-1.0920241798227595,-0.5676096015024356,0.0
2019-08-15,1.0,-0.0,-0.04855326929216124,-0.25179208869025166,-1.069826160141626,-0.5319964013117799,0.0
2019-08-16,1.0,-0.0,-0.04899570416811796,-0.25269940787182166,-1.0673400673400673,-0.5335539301056543,0.0
2019-08-19,1.0,-0.0,-0.04121292863762743,-0.25359128822984245,-1.0709279425393883,-0.5304969879518072,0.0
2019-08-20,1.0,-0.0,-0.01760828625235405,-0.2460765850596359,-1.2146264908976774,-0.6604205900816071,0.0
2019-08-21,1.0,-0.0,-0.021795032614149522,-0.254421726041144,-1.2106121424987457,-0.6491783743100853,0.0
