Date,GEF,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-11-29,1.0,-0.0,-0.8786438348319112,-0.0,-0.41360746807170273,-0.0,-0.1418590000572705,-0.22902468358055095,-0.7533932764446482,-0.0,-0.1292022220949545,-0.0,-0.4755168661588684,-0.0,-0.12215795200733062,-0.27352385315846744,-1.2496420594467672,-0.0,-0.06042036538571675
2019-12-02,1.0,-0.0,-0.8920435031482542,-0.0,-0.38740698340011454,-0.0,-0.16645678305666858,-0.21797366914710936,-0.7476244991413853,-0.0,-0.11528334287349744,-0.0,-0.5281625643961076,-0.0,-0.11270749856897538,-0.2519175729822553,-1.2763022323983972,-0.0,-0.02821980538065255
2019-12-03,1.0,-0.0,-0.8805793507664563,-0.0,-0.41027953110910736,-0.0,-0.191726780883679,-0.2607078449053201,-0.7019274120829576,-0.0,-0.18513300270513977,-0.0,-0.3595581605049594,-0.0,-0.29238052299368805,-0.13965284039675385,-1.1797790802524797,-0.0,-0.03392696122633003
2019-12-04,1.0,-0.0,-0.931395152673902,-0.0,-0.3698476072653658,-0.0,-0.12989934206826745,-0.24219760445369173,-0.725974245065512,-0.0,-0.1930495416971265,-0.0,-0.32396108643086097,-0.0,-0.29292020468987234,-0.15975932069954452,-1.1913625372546814,-0.0,-0.06286903222178486
2019-12-05,1.0,-0.0,-0.906444208051061,-0.0,-0.3443256256648564,-0.0,-0.14708023067017525,-0.23677285706287443,-0.7375846817087509,-0.0,-0.16885952634231008,-0.0,-0.35272381165668215,-0.0,-0.25429707183248423,-0.15782990873971223,-1.2039079558815295,-0.0,-0.08896478360674095
2019-12-06,1.0,-0.0,-0.9872261781812253,-0.0,-0.2348208947110942,-0.0,-0.07501223025493287,-0.21128444855139428,-0.6610316899494483,-0.0,-0.2016089579822797,-0.0,-0.33413056476599445,-0.0,-0.26346686959830407,-0.2521606783714736,-1.0832200902321032,-0.0,-0.13165189976626623
2019-12-09,1.0,-0.0,-0.9772812718191096,-0.0,-0.2086041140770181,-0.0,-0.11531231537676567,-0.22095708684676946,-0.6295182340619797,-0.0,-0.19093399215854773,-0.0,-0.4323003383640368,-0.0,-0.1864761802459853,-0.239593963155916,-1.0497878511198238,-0.0,-0.12014608733014663
2019-12-10,1.0,-0.0,-0.9887187751813054,-0.0,-0.21912436207359656,-0.0,-0.1281224818694601,-0.22266988987375771,-0.5994627988181573,-0.0,-0.18930969648133225,-0.0,-0.42476497448294387,-0.0,-0.18839645447219983,-0.24131077088369593,-1.049368788611335,-0.0,-0.12076282567821649
2019-12-11,1.0,-0.0,-0.9443240901213171,-0.0,-0.17655979202772962,-0.0,-0.11584705372616984,-0.11221837088388215,-0.6421685441941074,-0.0,-0.2535745233968804,-0.0,-0.525021663778163,-0.0,-0.21273830155979204,-0.2409553726169844,-1.0670493934142113,-0.0,-0.12554159445407279
2019-12-12,1.0,-0.0,-0.8691140428638474,-0.0,-0.22563487511080985,-0.0,-0.11451217604421965,-0.10079783073473432,-0.6279918652552536,-0.0,-0.2981696824320801,-0.0,-0.47212807008395474,-0.0,-0.1606090629399802,-0.1255149397716014,-1.0801480940710226,-0.0,-0.1399071804766126
2019-12-13,1.0,-0.0,-0.8913508159115792,-0.0,-0.21198060580783065,-0.0,-0.0924873572806423,-0.09613680204368907,-0.6084667118502685,-0.0,-0.29341535894895987,-0.0,-0.4825608675251551,-0.0,-0.1669881653719827,-0.1479589176789531,-1.0796100307596057,-0.0,-0.14253688545956936
2019-12-16,1.0,-0.0,-0.8615902397980649,-0.0,-0.35059949516196887,-0.0,-0.0733066891039125,-0.07146613378207825,-0.6008098443416071,-0.0,-0.30537442153975597,-0.0,-0.4759150189314262,-0.0,-0.07940681531342028,-0.22686159023979807,-1.0557951198990325,-0.0,-0.15755153554901136
2019-12-17,1.0,-0.0,-0.8858761849282424,-0.0,-0.40904517290684744,-0.0,-0.09156384049144733,-0.018111528888418153,-0.5905841232854948,-0.0,-0.2736853254249854,-0.0,-0.5157019541386432,-0.0,-0.10755706190753589,-0.2226870730286501,-1.0676799237409311,-0.0,-0.11322353439601758
2019-12-18,1.0,-0.0,-0.8443764507280017,-0.0,-0.3990293310825068,-0.0,-0.09748892171344165,-0.0011605824013504959,-0.5945347119645494,-0.0,-0.29415488499683473,-0.0,-0.5388267566997257,-0.0,-0.11088837307448829,-0.20093901667018357,-1.0720616163747627,-0.0,-0.12201941337834986
2019-12-19,1.0,-0.0,-0.8617933516832522,-0.0,-0.3960406521278848,-0.0,-0.08945585432987507,-0.02905991954266356,-0.6070823629049333,-0.0,-0.2958924412449714,-0.0,-0.537105653186534,-0.0,-0.05838450137624391,-0.23464958712682618,-1.0916790175735762,-0.0,-0.09210247723904297
2019-12-20,1.0,-0.0,-0.8508934726125457,-0.0,-0.4279124025664139,-0.0,-0.09873270056736837,-0.014634922318256534,-0.6113791823532531,-0.0,-0.3013945596267034,-0.0,-0.5251604008696114,-0.0,-0.0502677766583594,-0.20229068349329235,-1.1133145978047616,-0.0,-0.10647436237340262
2019-12-23,1.0,-0.0,-0.89072708113804,-0.0,-0.40648050579557427,-0.0,-0.08008429926238146,-0.0,-0.6103266596417282,-0.0,-0.2870916754478398,-0.0,-0.5213382507903056,-0.0,-0.039673340358271865,-0.18245521601685985,-1.1086933614330876,-0.0,-0.14188619599578503
2019-12-24,1.0,-0.0,-0.8850291231568453,-0.0,-0.37991289290024666,-0.0,-0.07619247520596106,-0.0,-0.6118486645327177,-0.0,-0.29537702681429395,-0.0,-0.5476727711602036,-0.0,-0.04218922180825944,-0.18313480610799182,-1.0912000839586504,-0.0,-0.13485858214829197
2019-12-26,1.0,-0.0,-0.875724065297525,-0.0,-0.39615587151132176,-0.0,-0.08241179568193786,-0.0,-0.5963665086887835,-0.0,-0.2944181147972617,-0.0,-0.5756187467087941,-0.0,-0.036914165350184304,-0.17888362295945234,-1.105423907319642,-0.0,-0.12411795681937862
2019-12-27,1.0,-0.0,-0.9095323551145361,-0.0,-0.409954607832788,-0.0,-0.11353319961997256,-0.0,-0.6006544917132904,-0.0,-0.28375382666525917,-0.0,-0.5918399662197825,-0.0,-0.0488229705478729,-0.15734191913860446,-1.1133220732608466,-0.0,-0.04935078644568775
2019-12-30,1.0,-0.0,-0.9099573482175767,-0.0,-0.40824601126849563,-0.0,-0.13248380811963562,-0.0,-0.5722710757727345,-0.0,-0.28524037702069405,-0.0,-0.5972302669685641,-0.0,-0.028013269443420568,-0.16692117318729924,-1.1061555473645412,-0.0,-0.059133273655942294
2019-12-31,1.0,-0.0,-0.914508317540535,-0.0,-0.42298378606022324,-0.0,-0.13023794483049064,-0.0,-0.5798589176668772,-0.0,-0.2793746051800379,-0.0,-0.5981259212465783,-0.0,-0.004685196883554433,-0.1707727942724784,-1.1200779111391872,-0.0,-0.04369340913876606
2020-01-02,1.0,-0.0,-0.931834968872006,-0.0,-0.4357391579613802,-0.0,-0.1420280679539939,-0.0,-0.5331328479476628,-0.0,-0.2632689669726707,-0.0,-0.6303682599978897,-0.0,-0.027276564313601353,-0.15553445183074813,-1.1196581196581197,-0.0,-0.03708979634905561
2020-01-03,1.0,-0.0,-0.935040303461356,-0.0,-0.43443443443443447,-0.0,-0.15194141509930983,-0.0,-0.5289500026342132,-0.0,-0.2711132184816395,-0.0,-0.6120857699805068,-0.0,-0.022864970233391287,-0.158052789631737,-1.120488909962594,-0.0,-0.033454507138717664
2020-01-06,1.0,-0.0,-0.9352866779089375,-0.0,-0.43444350758853284,-0.0,-0.15972807757166946,-0.0,-0.5126475548060708,-0.0,-0.26981450252951095,-0.0,-0.6221016020236088,-0.0,-0.021237352445193928,-0.16431281618887014,-1.12231239460371,-0.0,-0.027930016863406407
2020-01-07,1.0,-0.0,-0.9343733474352196,-0.0,-0.4556848228450555,-0.0,-0.17979904812268643,-0.0,-0.5264410364886304,-0.0,-0.28508725542041247,-0.0,-0.5772607086197779,-0.0,-0.0,-0.15854045478582762,-1.1442094130089902,-0.0,-0.02675832892649392
2020-01-08,1.0,-0.0,-0.9144778648591401,-0.0,-0.44238508790510483,-0.0,-0.1586528277907223,-0.0,-0.5204405846219021,-0.0,-0.28018428299089176,-0.0,-0.638847701758102,-0.0,-0.0,-0.18009955517898749,-1.1315399279813598,-0.0,-0.028913365812327892
2020-01-09,1.0,-0.0,-0.9333581336025935,-0.0,-0.4422065153850242,-0.0,-0.17659563160971464,-0.0,-0.5298400382632725,-0.0,-0.2647074453951214,-0.0,-0.6451081468884519,-0.0,-0.006536642397831747,-0.15693256098209066,-1.159058298347239,-0.0,-0.0
2020-01-10,1.0,-0.0,-0.9992507759820186,-0.0,-0.4829819115915659,-0.0,-0.17344536016268866,-0.029647864711548753,-0.4786471154875308,-0.0,-0.23852081772449962,-0.0,-0.542224125013379,-0.0,-0.0,-0.2020229048485497,-1.1829176923900246,-0.0,-0.02188804452531307
2020-01-13,1.0,-0.0,-0.9998396665063332,-0.0,-0.46865480198813536,-0.0,-0.1748169525947304,-0.03297525519747742,-0.4777403666292555,-0.0,-0.2419966864411309,-0.0,-0.5404307626529848,-0.0,-0.0,-0.20821976377531934,-1.1775960664849554,-0.0,-0.02217946662391107
2020-01-14,1.0,-0.0,-0.9882290279627164,-0.0,-0.4765379494007989,-0.0,-0.1666577896138482,-0.040532623169107856,-0.4830359520639148,-0.0,-0.23925432756324902,-0.0,-0.5375233022636484,-0.0,-0.0,-0.21496671105193077,-1.1539280958721705,-0.0,-0.02561917443408788
2020-01-15,1.0,-0.0,-1.0114294913071473,-0.0,-0.46860914359304573,-0.0,-0.17659368963296845,-0.06771839450525864,-0.4599162910495814,-0.0,-0.2336874865851041,-0.0,-0.5365421764327108,-0.0,-0.0,-0.19548186306074264,-1.1989697359948488,-0.0,-0.01701008800171711
2020-01-16,1.0,-0.0,-1.0483572297762023,-0.0,-0.4139992592984498,-0.0,-0.07174223586053648,-0.10962382942701443,-0.46568964605047347,-0.0,-0.2548542405163748,-0.0,-0.46325591238558805,-0.0,-0.0,-0.23538437119729114,-1.1531664991270303,-0.0,-0.07475794931485107
2020-01-17,1.0,-0.0,-1.1028154983484506,-0.0,-0.4356944371624809,-0.0,-0.1297121585487338,-0.10213390656949614,-0.455722749436376,-0.0,-0.2479421171289257,-0.0,-0.3781785770460861,-0.0,-0.006920778063230744,-0.19855292822314266,-1.118806690085461,-0.0,-0.0666911340638599
2020-01-21,1.0,-0.0,-1.0918618665828224,-0.0,-0.48524865063145206,-0.0,-0.12089294136142116,-0.11177487816381071,-0.4235707173924435,-0.0,-0.25158518052717077,-0.0,-0.38631242467117327,-0.0,-0.024105224545406905,-0.2145889011161767,-1.0992506419326102,-0.0,-0.03112718126080805
2020-01-22,1.0,-0.0,-1.1199558057557744,-0.0,-0.4647235229126112,-0.0,-0.09901615194402064,-0.031935602672699535,-0.47372020834429424,-0.0,-0.28610511916662285,-0.0,-0.4252643762824223,-0.0,-0.04024832956279266,-0.20734466249276584,-1.0881780396695955,-0.0,-0.0247277318882517
2020-01-23,1.0,-0.0,-1.1055206892883735,-0.0,-0.4507499202212531,-0.0,-0.10121263695351558,-0.08509733007126902,-0.4811190298904372,-0.0,-0.2597064142112541,-0.0,-0.421657270503138,-0.0,-0.16429103286884375,-0.1733858100202106,-1.0691947665142005,-0.0,-0.006754600574406979
2020-01-24,1.0,-0.0,-1.110087370929309,-0.0,-0.5324331480010591,-0.0,-0.09753772835583796,-0.05522901773894626,-0.45713529256023305,-0.0,-0.2764098490865767,-0.0,-0.38443208895949166,-0.0,-0.21249669049510195,-0.15599682287529787,-0.9881387344453271,-0.0,-0.025258141382049248
2020-01-27,1.0,-0.0,-1.1067689053410894,-0.0,-0.456795346377578,-0.0,-0.10370174510840825,-0.09317821258593338,-0.4977789529349551,-0.0,-0.2786885245901639,-0.0,-0.40148069804336334,-0.0,-0.17191961924907456,-0.1251718667371761,-1.0507667900581703,-0.0,-0.0019566367001586462
2020-01-28,1.0,-0.0,-1.2919496715287828,-0.0,-0.5263890435363545,-0.0,-0.17982407304309098,-0.05645251085625209,-0.2667297628326467,-0.0,-0.26110678098207324,-0.0,-0.42923950562298185,-0.0,-0.4545150874067476,-0.09798463422781428,-1.0031176929072487,-0.0,-0.0
2020-01-29,1.0,-0.0,-1.2782766852336023,-0.0,-0.5768443787654882,-0.0,-0.2899852222348528,-0.050528589291804024,-0.1102080254632261,-0.0,-0.22143912697510515,-0.0,-0.5638285779242923,-0.0,-0.4678299420256905,-0.09298624531090144,-1.0318858701830167,-0.0,-0.0
2020-01-30,1.0,-0.0,-1.2742779167614282,-0.0,-0.5572549465544689,-0.0,-0.273823061178076,-0.0,-0.14640664089151692,-0.0,-0.21605640209233568,-0.0,-0.616329315442347,-0.0,-0.4624744143734364,-0.08124857857630202,-1.0577666590857402,-0.0,-0.0
2020-01-31,1.0,-0.0,-1.3224432646870077,-0.0,-0.48847791844116445,-0.0,-0.2963070999358264,-0.0,-0.26433696983839916,-0.0,-0.2550609649378683,-0.0,-0.5402251910623651,-0.0,-0.3762907648328569,-0.1876203255352663,-1.046321684849192,-0.0,-0.05682282247243452
2020-02-03,1.0,-0.0,-1.3133329520105244,-0.0,-0.4371103357547331,-0.0,-0.2178687868214837,-0.0,-0.230109248984728,-0.0,-0.23005205056340441,-0.0,-0.4703998169650517,-0.0,-0.35131270376937596,-0.1357318538008351,-1.0749299319338785,-0.0,-0.258937253331808
2020-02-04,1.0,-0.0,-1.292954335793358,-0.0,-0.441190036900369,-0.0,-0.22549584870848707,-0.0,-0.22065267527675275,-0.0,-0.23679658671586715,-0.0,-0.4960216789667896,-0.0,-0.3739621771217712,-0.1222901291512915,-1.072705258302583,-0.0,-0.28361392988929884
2020-02-05,1.0,-0.0,-1.2940935192780967,-0.0,-0.44825969764443924,-0.0,-0.29198406187741704,-0.0,-0.192722371967655,-0.0,-0.2724715809211297,-0.0,-0.4594515410758232,-0.0,-0.3942927458103832,-0.019160904722840735,-1.2099496074065392,-0.0,-0.27727645611156687
