Date,AFIN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-11-01,1.0,-0.0,-0.2458130533093167,-0.7275131261257809,-1.4426091288851415,-0.4165101751427586,0.0
2019-11-04,1.0,-0.0,-0.2408357771260997,-0.7671187683284458,-1.2871700879765398,-0.3705645161290323,0.0
2019-11-05,1.0,-0.0,-0.2708356473768004,-0.8820022955311192,-1.2223703210041097,-0.32726128327594506,0.0
2019-11-06,1.0,-0.0,-0.2563344436543284,-0.8940454358321794,-1.220479808376062,-0.37175792507204614,0.0
2019-11-07,1.0,-0.0,-0.27906021216196025,-0.8945166591961751,-1.2003212311370088,-0.36134767667712536,0.0
2019-11-08,1.0,-0.0,-0.2614044271612324,-0.8976218965001496,-1.2070744839964103,-0.373055638647921,0.0
2019-11-11,1.0,-0.0,-0.24277913763886272,-0.9342496704951986,-1.2000753153831671,-0.3886650348333647,0.0
2019-11-12,1.0,-0.0,-0.21820585457979227,-0.9473465533522191,-1.2101605288007555,-0.40139754485363555,0.0
2019-11-13,1.0,-0.0,-0.23407544836116265,-1.0678339517625233,-1.1635745207173778,-0.39973716759431044,0.0
2019-11-14,1.0,-0.0,-0.2387467242176661,-1.0537999075073226,-1.1652921227069526,-0.39602281486049024,0.0
2019-11-15,1.0,-0.0,-0.23935372186959028,-1.0392767839969226,-1.1758030390459702,-0.39246008847855357,0.0
2019-11-18,1.0,-0.0,-0.22504217144609723,-1.0346189234779941,-1.1834457905229259,-0.39066094157337833,0.0
2019-11-19,1.0,-0.0,-0.28184656732935454,-1.0486937275206514,-1.2135883957155842,-0.40824473340974665,0.0
2019-11-20,1.0,-0.0,-0.2731041016935771,-1.0305949232166123,-1.2195333780742963,-0.4244996249654574,0.0
2019-11-21,1.0,-0.0,-0.2351149931885568,-1.1147527846782597,-1.1715682346341854,-0.4853353634105297,0.0
2019-11-22,1.0,-0.0,-0.2339012878969682,-1.1020718342532596,-1.1692664586833053,-0.4944404447644188,0.0
2019-11-25,1.0,-0.0,-0.23471794666773274,-1.105185303642106,-1.1703514172630232,-0.48770639267580856,0.0
2019-11-26,1.0,-0.0,-0.2103980179028133,-1.110813618925831,-1.174672314578005,-0.5002797314578005,0.0
2019-11-27,1.0,-0.0,-0.2559936595997622,-1.0839310481474143,-1.137903705171389,-0.4849613631860511,0.0
2019-11-29,1.0,-0.0,-0.25806451612903225,-1.080506629724916,-1.133940233524639,-0.48549376607955674,0.0
2019-12-02,1.0,-0.0,-0.28046344386735916,-1.1419496604075108,-1.102237315221734,-0.4705553335996803,0.0
2019-12-03,1.0,-0.0,-0.2826333268216448,-1.0909943348310216,-1.0853291658527056,-0.4480562609884743,0.0
2019-12-04,1.0,-0.0,-0.31910632951154383,-1.1030705198680697,-1.0737395947856132,-0.4305795508088581,0.0
2019-12-05,1.0,-0.0,-0.2991761071060762,-1.143230610789828,-1.0388576408143864,-0.4797195595341836,0.0
2019-12-06,1.0,-0.0,-0.33444614270774675,-1.1656343013434156,-1.0674121148741051,-0.45466977716997825,0.0
2019-12-09,1.0,-0.0,-0.2780483777759432,-1.2236440188227524,-1.1275901923553209,-0.4985139932304136,0.0
2019-12-10,1.0,-0.0,-0.26747845122451774,-1.5027135495051764,-1.3291375929219682,-0.4612122041318922,0.0
2019-12-11,1.0,-0.0,-0.251390788873689,-1.5130414956680347,-1.3230734154126769,-0.4724122207022344,0.0
2019-12-12,1.0,-0.0,-0.26035475907470057,-1.518606564871537,-1.3248605650544025,-0.4678156715735577,0.0
2019-12-13,1.0,-0.0,-0.27169274537695587,-1.5873445601798744,-1.3035837195429725,-0.42600835130546505,0.0
2019-12-16,1.0,-0.0,-0.2750138709080821,-1.5824856667283151,-1.309136304790087,-0.4570001849454411,0.0
2019-12-17,1.0,-0.0,-0.228017744571562,-1.6617791267802942,-1.3590940929255193,-0.42077982722390844,0.0
2019-12-18,1.0,-0.0,-0.2568018170395786,-1.7389455371381626,-1.3869424443048373,-0.44981394674527614,0.0
2019-12-19,1.0,-0.0,-0.2773280333511077,-1.7496243152843083,-1.3698676620291823,-0.4506762324882447,0.0
2019-12-20,1.0,-0.0,-0.29193634726750695,-1.7605722906224146,-1.373254172952455,-0.4407027105941895,0.0
2019-12-23,1.0,-0.0,-0.30690958426204085,-1.7522046709952515,-1.3527958135478244,-0.43352068998934,0.0
2019-12-24,1.0,-0.0,-0.31851745301112394,-1.716100882240123,-1.3417242040659763,-0.41839278864595325,0.0
2019-12-26,1.0,-0.0,-0.31443793798598446,-1.7167610636459634,-1.3455409426898342,-0.42310646059326107,0.0
2019-12-27,1.0,-0.0,-0.3319840007710472,-1.7358199604838322,-1.3307792395547202,-0.4205098549467496,0.0
