Date,ACAD,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-16,1.0,-1.7081878589931299,-2.13582610654353,-1.9602432706385857,-2.2338101137515487,-2.2244622142133124,0.0
2019-10-17,1.0,-1.6991337183474011,-2.082074633496224,-1.9482452243447357,-2.1920257663260774,-2.184584629053754,0.0
2019-10-18,1.0,-1.710610932475884,-2.073289721698636,-1.9482204235502827,-2.1798425546069407,-2.1756292271870494,0.0
2019-10-21,1.0,-1.7099811676082861,-2.0620361138805805,-1.946604630552786,-2.177689154757948,-2.181677190650271,0.0
2019-10-22,1.0,-1.696363435392948,-2.053940532773295,-1.942632916989057,-2.1768542058140823,-2.183596772410744,0.0
2019-10-23,1.0,-1.6964404156533277,-2.054941410568207,-1.9398629228388238,-2.17764757904046,-2.1858279902719433,0.0
2019-10-24,1.0,-1.674239965379206,-1.9945905009196148,-1.9178838039597534,-2.115979660283458,-2.116304230228281,0.0
2019-10-25,1.0,-1.6717871051492863,-1.9970791864993511,-1.912916486369537,-2.1168325400259627,-2.119212462137603,0.0
2019-10-28,1.0,-1.679878379845803,-2.012162015419698,-1.9247475295906176,-2.122054511890542,-2.120099902269519,0.0
2019-10-29,1.0,-1.699738048461035,-2.014734774066798,-1.9529578694608167,-2.1254092992796334,-2.1219166120934294,0.0
2019-10-30,1.0,-1.6962342185459294,-2.0088158467566393,-1.9464518937744884,-2.1177622986504137,-2.1144971702220285,0.0
2019-10-31,1.0,-1.7008509709797077,-2.0116735762600917,-1.953196596116081,-2.121645210560768,-2.122518001309186,0.0
2019-11-01,1.0,-1.7097374179431073,-2.0184901531728663,-1.961706783369803,-2.126477024070022,-2.124398249452954,0.0
2019-11-04,1.0,-1.7098077763215376,-2.0070991699432064,-1.9673438182612495,-2.1240716470074266,-2.11347750109218,0.0
2019-11-05,1.0,-1.7592243767313018,-2.0302493074792243,-2.031578947368421,-2.1441551246537394,-2.1150138504155125,0.0
2019-11-06,1.0,-1.7624026696329256,-2.0367074527252504,-2.0371523915461625,-2.1515016685205786,-2.1357063403781984,0.0
2019-11-07,1.0,-1.7648368778532457,-2.0424228927736334,-2.0381917381137957,-2.151987529228371,-2.137067141743681,0.0
2019-11-08,1.0,-1.7675844387470738,-2.0420243005239103,-2.042470181696578,-2.1553895886746184,-2.1396722773380894,0.0
2019-11-11,1.0,-1.7871910112359553,-2.051910112359551,-2.0693258426966294,-2.1719101123595506,-2.1555056179775285,0.0
2019-11-12,1.0,-1.763775171498119,-2.0073025005532195,-2.0364018588183224,-2.1358707678689974,-2.1209338349192297,0.0
2019-11-13,1.0,-1.804149007361142,-2.02264108855677,-2.058777604282846,-2.1415346865937988,-2.126143207673433,0.0
2019-11-14,1.0,-1.8051991520696196,-2.0229833761017515,-2.06013611514002,-2.1419167689389713,-2.1267432779203395,0.0
2019-11-15,1.0,-1.7919113573407204,-2.006980609418283,-2.0490858725761774,-2.1226592797783934,-2.1094736842105264,0.0
2019-11-18,1.0,-1.8022222222222224,-2.0117777777777777,-2.057,-2.127888888888889,-2.112222222222222,0.0
2019-11-19,1.0,-1.8850045998160077,-2.1047608095676176,-2.1233900643974244,-2.1974471021159157,-2.1888224471021163,0.0
2019-11-20,1.0,-1.8880313327957607,-2.1097799792650616,-2.129247782513535,-2.201704872710517,-2.1906462389125676,0.0
2019-11-21,1.0,-1.9390386869871041,-2.1356389214536926,-2.181711606096131,-2.2368112543962484,-2.2300117233294254,0.0
2019-11-22,1.0,-1.9393477240732053,-2.136790239324261,-2.180079774753637,-2.239558892538714,-2.2359221022993903,0.0
2019-11-25,1.0,-1.9408520126745687,-2.137190470602042,-2.1815514610961158,-2.2404647341861286,-2.2356530923600517,0.0
2019-11-26,1.0,-1.937338955258843,-2.1237994846568284,-2.1801358631998125,-2.2377605996720544,-2.2333099086437103,0.0
2019-11-27,1.0,-1.9384669479606191,-2.1271683075480547,-2.1795593061415848,-2.2388654477262073,-2.2365213314580403,0.0
2019-11-29,1.0,-1.965472389736313,-2.1397658744235546,-2.212013716447913,-2.262267943715265,-2.245004138583422,0.0
2019-12-02,1.0,-1.9892639866396278,-2.1594894429201954,-2.2437075032804485,-2.2792556364070142,-2.25730645353692,0.0
2019-12-03,1.0,-1.9836885343493276,-2.154542207405644,-2.2362185974520776,-2.2751518037861653,-2.256578164067151,0.0
2019-12-04,1.0,-2.0109519797809603,-2.183776627753039,-2.262005054759899,-2.2988325911662058,-2.2794560115537372,0.0
2019-12-05,1.0,-2.0422912858013405,-2.2071907373552713,-2.2982327848872637,-2.326264472882389,-2.3135892748324194,0.0
2019-12-06,1.0,-2.1526483726866625,-2.3183152520740267,-2.4251435864709636,-2.4487555839183153,-2.418506700701978,0.0
2019-12-09,1.0,-2.175802915000645,-2.3241325938346447,-2.467560944150651,-2.48368373532826,-2.447181736102154,0.0
2019-12-10,1.0,-2.4544163589889236,-2.544589605225788,-2.782022152797501,-2.7560352172678217,-2.6633058790116446,0.0
2019-12-11,1.0,-2.450410881269481,-2.5338622839331255,-2.777415698498158,-2.749079059223576,-2.657551714366676,0.0
2019-12-12,1.0,-2.4552164655784248,-2.5388218594748047,-2.783250532292406,-2.75471965933286,-2.6623136976579134,0.0
2019-12-13,1.0,-2.4720479178551056,-2.5492013690815742,-2.8086138049058755,-2.766685681688534,-2.6645750142612665,0.0
2019-12-16,1.0,-2.4702279202279205,-2.545868945868946,-2.805982905982906,-2.762962962962963,-2.6598290598290597,0.0
2019-12-17,1.0,-2.5496438435819155,-2.579153946794592,-2.883558656781509,-2.824974560255851,-2.6996656490769,0.0
2019-12-18,1.0,-2.713827349121467,-2.7223834988540876,-3.0345301757066467,-2.9677616501145914,-2.840336134453782,0.0
2019-12-19,1.0,-2.7463678516228747,-2.7601236476043276,-3.073724884080371,-3.0017001545595057,-2.8741885625965997,0.0
2019-12-20,1.0,-2.7574441687344917,-2.775899503722085,-3.0862282878411915,-3.010390818858561,-2.878722084367246,0.0
2019-12-23,1.0,-2.7510052582740494,-2.770955768635942,-3.073925146922363,-3.0001546551190845,-2.869625734611816,0.0
2019-12-24,1.0,-2.7466419638721633,-2.7667129844063614,-3.0673151150223874,-2.9936699089084455,-2.8645978076269882,0.0
2019-12-26,1.0,-2.7469507488034584,-2.767176161803304,-3.0674695074880347,-2.9936699089084455,-2.8639802377643973,0.0
2019-12-27,1.0,-2.759150124069479,-2.7838089330024816,-3.084212158808933,-3.005738213399504,-2.8757754342431765,0.0
2019-12-30,1.0,-2.779925187032419,-2.7956670822942646,-3.1062967581047385,-3.021976309226933,-2.8820137157107233,0.0
2019-12-31,1.0,-2.7731445464446867,-2.7925937451377005,-3.10066905243504,-3.016337326902132,-2.87661428349152,0.0
2020-01-02,1.0,-2.7722818478768083,-2.7934359931560118,-3.0992378285892053,-3.014621247472391,-2.8749416705552964,0.0
2020-01-03,1.0,-2.771593389460555,-2.802931088244465,-3.108356719675709,-3.0204240723417524,-2.8877455565949486,0.0
2020-01-06,1.0,-2.7984922255379296,-2.828490654939532,-3.1300455473535416,-3.0403643788283334,-2.9084341133972043,0.0
2020-01-07,1.0,-2.8125591669296304,-2.840801514673398,-3.146891763963395,-3.056642473966551,-2.920795203534238,0.0
2020-01-08,1.0,-2.805192761605036,-2.8333595594020458,-3.1367427222659323,-3.04720692368214,-2.9132966168371364,0.0
2020-01-09,1.0,-2.822078127471137,-2.850861932626918,-3.1511940534556384,-3.0623121935789976,-2.9289894037640365,0.0
2020-01-10,1.0,-2.8329896907216496,-2.858207771609834,-3.1620935765265665,-3.071054718477399,-2.9360824742268044,0.0
2020-01-13,1.0,-2.8321711568938195,-2.8554675118858954,-3.1610142630744846,-3.0675118858954042,-2.9315372424722663,0.0
2020-01-14,1.0,-2.92797783933518,-2.927000162946065,-3.268698060941828,-3.1622942805931236,-3.0086361414371843,0.0
2020-01-15,1.0,-2.94527281664755,-2.94461740127806,-3.2896935933147633,-3.1805669342946095,-3.0253973455677534,0.0
2020-01-16,1.0,-2.945582691362072,-2.9449270611375185,-3.2910998197016883,-3.1821012948696934,-3.027208654318964,0.0
2020-01-17,1.0,-2.9585798816568047,-2.9524983563445106,-3.298323471400394,-3.1934582511505587,-3.0335305719921104,0.0
2020-01-21,1.0,-2.9657387580299783,-2.9607972327458407,-3.3040685224839397,-3.200625926535991,-3.040355789820458,0.0
2020-01-22,1.0,-2.965744400527009,-2.9581686429512515,-3.306159420289855,-3.200098814229249,-3.038866930171278,0.0
2020-01-23,1.0,-2.991209155747222,-2.978437551832808,-3.3255929673245976,-3.2257422458119085,-3.065516669431083,0.0
2020-01-24,1.0,-2.9963449077919924,-2.9837182256188735,-3.3326133909287257,-3.2317660740986875,-3.06977903306197,0.0
2020-01-27,1.0,-2.9753800396563124,-2.9656311962987445,-3.316754791804362,-3.211996034368804,-3.053701255783212,0.0
2020-01-28,1.0,-3.0098728246318607,-3.014390896921017,-3.3771753681392234,-3.252844712182062,-3.079317269076305,0.0
2020-01-29,1.0,-2.9938312770923643,-3.00433477825942,-3.3654551517172395,-3.2404134711570527,-3.0683561187062356,0.0
2020-01-30,1.0,-2.9923384410393066,-3.0003331112591605,-3.361925383077948,-3.2380079946702196,-3.062791472351765,0.0
2020-01-31,1.0,-3.008542713567839,-3.0256281407035175,-3.377219430485762,-3.255443886097152,-3.083752093802345,0.0
2020-02-03,1.0,-2.988842631140716,-3.001332223147377,-3.3610324729392174,-3.2368026644462944,-3.0647793505412158,0.0
2020-02-04,1.0,-2.973941908713693,-2.9888796680497927,-3.348215767634855,-3.227551867219917,-3.058921161825726,0.0
2020-02-05,1.0,-2.944435284418796,-2.9704863973619124,-3.3319043693322343,-3.2074196207749384,-3.033800494641385,0.0
2020-02-06,1.0,-2.950592885375494,-2.962121212121212,-3.3410737812911724,-3.2007575757575757,-3.0144927536231885,0.0
2020-02-07,1.0,-2.946034879894702,-2.962158604804212,-3.336459361632116,-3.1964461994077,-3.0115169463639355,0.0
2020-02-10,1.0,-2.9436411436082817,-2.9539927702924746,-3.334045349983569,-3.1930660532369375,-3.00624383831745,0.0
2020-02-11,1.0,-2.8863599677159,-2.901049233252623,-3.2653753026634385,-3.130589184826473,-2.9585149313962873,0.0
2020-02-12,1.0,-2.874337136429375,-2.8876747549413464,-3.2455407359794313,-3.1155391290374417,-2.9463281375542345,0.0
2020-02-13,1.0,-2.8715272201702264,-2.8877469086237357,-3.245543600449655,-3.1138590011241365,-2.940420748353943,0.0
2020-02-14,1.0,-2.875603476021886,-2.8970067589314454,-3.257483102671387,-3.1171548117154813,-2.9456066945606696,0.0
2020-02-18,1.0,-2.8771138669673055,-2.900467063939443,-3.25897890159446,-3.1193428893541633,-2.9497503623771943,0.0
2020-02-19,1.0,-2.8908678756476682,-2.928108808290155,-3.2729922279792745,-3.1321243523316062,-2.9676165803108807,0.0
2020-02-20,1.0,-2.900032456994482,-2.9345991561181433,-3.279454722492697,-3.1398896462187604,-2.974521259331386,0.0
2020-02-21,1.0,-2.895120765115902,-2.9320797536067436,-3.2762198087210246,-3.1360025936132274,-2.970821851191441,0.0
2020-02-24,1.0,-2.900130123617436,-2.9500650618087185,-3.2867599219258294,-3.1468770331815223,-2.981620039037085,0.0
2020-02-25,1.0,-2.7467978756638556,-2.8388003748828496,-3.182442986566698,-3.0110902842861607,-2.840830990315527,0.0
2020-02-26,1.0,-2.655881463562141,-2.7322346537647415,-3.0875415784699123,-2.9148775325068033,-2.728757181735712,0.0
2020-02-27,1.0,-2.655000754261578,-2.721979182380449,-3.079197465681098,-2.9099411675969225,-2.7191129883843717,0.0
2020-02-28,1.0,-2.4990624549257174,-2.6441655848838885,-2.926006057983557,-2.758113370835136,-2.596278667243617,0.0
2020-03-02,1.0,-2.582323381613952,-2.6866686373041677,-3.0079810818799886,-2.8414129470883833,-2.661395211350872,0.0
2020-03-03,1.0,-2.44016973125884,-2.6254596888260258,-2.825742574257426,-2.7005657708628004,-2.552192362093352,0.0
2020-03-04,1.0,-2.364669994453688,-2.5967831392124237,-2.7882695507487516,-2.6340820854132,-2.4818358291736,0.0
2020-03-05,1.0,-2.234787219939016,-2.5373193689513456,-2.619779928410447,-2.4954262229882014,-2.3702770780856426,0.0
2020-03-06,1.0,-2.2286472148541114,-2.580106100795756,-2.612466843501326,-2.48342175066313,-2.3580901856763927,0.0
2020-03-09,1.0,-2.2005516154452325,-2.553322826372472,-2.5921985815602837,-2.4581034935644865,-2.329393223010244,0.0
2020-03-10,1.0,-1.9843839706051212,-2.093696176369273,-2.3429785279595823,-2.154667585256631,-1.9066482948673786,0.0
2020-03-11,1.0,-1.8448256900912792,-2.087209941713406,-2.252501924557352,-2.0266138788078742,-1.7862091718904654,0.0
2020-03-12,1.0,-1.7283189478010685,-1.9042334566378956,-2.0951500205507605,-1.8988902589395806,-1.64878750513769,0.0
2020-03-13,1.0,-1.580718508412915,-1.592633015006821,-1.9056844020009094,-1.6975898135516143,-1.3184174624829468,0.0
2020-03-16,1.0,-1.421321961620469,-1.6457995735607678,-1.789765458422175,-1.5686993603411516,-1.1031130063965886,0.0
2020-03-17,1.0,-1.1705840455840455,-1.295014245014245,-1.389957264957265,-1.3842592592592593,-0.8826923076923077,0.0
2020-03-18,1.0,-1.1097577665252498,-1.2808266046257015,-1.2702203366634734,-1.3285890242233476,-0.8532913644450528,0.0
2020-03-19,1.0,-1.1036300547177367,-1.1700253569998667,-1.2296143066862404,-1.3130922194047778,-0.8565994928600028,0.0
2020-03-20,1.0,-1.1030618371022616,-1.1691681675672072,-1.2299379627776665,-1.3139216863451406,-0.8546461210059371,0.0
2020-03-23,1.0,-1.0768476769260928,-1.1980657387440372,-1.1491864340325426,-1.2792262954976148,-0.831340260079723,0.0
2020-03-24,1.0,-1.0966494000393416,-1.2231984787882761,-1.1191397285423905,-1.2771621533014228,-0.8408628942364434,0.0
2020-03-25,1.0,-1.0231445016661618,-1.163344441078461,-0.9338988185398364,-1.1932141775219631,-0.7451681308694335,0.0
2020-03-26,1.0,-1.02962873382513,-1.1625347684121417,-0.9203047526907728,-1.189865763695731,-0.7442858870480107,0.0
2020-03-27,1.0,-1.007416563658838,-1.133851315557125,-0.8652657601977749,-1.1719936429454352,-0.7075754900229559,0.0
2020-03-30,1.0,-0.9926870648803604,-1.1226817995670741,-0.8783712630901539,-1.169660094775639,-0.6870063768794243,0.0
2020-03-31,1.0,-0.9769574554530153,-1.1246735155841894,-0.8647048580881073,-1.1560740611759244,-0.6816994602124326,0.0
2020-04-01,1.0,-0.9741150697567162,-1.1298282024674275,-0.8312579268995735,-1.1509281678773204,-0.6788308543756485,0.0
2020-04-02,1.0,-0.9713995026000454,-1.0744404250508706,-0.8078227447433868,-1.144698168663803,-0.6539678950938277,0.0
2020-04-03,1.0,-0.9688505163365498,-1.0759550815416736,-0.8050335759832967,-1.1416962925342813,-0.6514869364031375,0.0
2020-04-06,1.0,-0.9697977122894011,-1.06834958021074,-0.8025581788471291,-1.1419394827294755,-0.652110215811123,0.0
2020-04-07,1.0,-0.9251756248978926,-1.0199313837608235,-0.7624571148505146,-1.1203507052224582,-0.6178184392528454,0.0
2020-04-08,1.0,-0.9291441662575683,-1.0220367643048056,-0.7684503354606448,-1.122238586156112,-0.6127747777232313,0.0
2020-04-09,1.0,-0.9318883771335682,-0.9950690869683013,-0.7758331075589272,-1.1175291248984016,-0.5982660525602818,0.0
2020-04-13,1.0,-0.9414723860009737,-0.963920592849029,-0.7839562936117271,-1.1194352788445934,-0.6004219181046141,0.0
2020-04-14,1.0,-0.9364848092385731,-0.9545626247908909,-0.7892180670228266,-1.1156440559063192,-0.6004532944795208,0.0
2020-04-15,1.0,-0.9168632075471699,-0.9611385077186964,-0.7689215265866208,-1.110098627787307,-0.6031839622641509,0.0
2020-04-16,1.0,-0.9294619072988812,-0.9266382525306339,-0.7778902503995738,-1.1100692594565795,-0.5835375599360682,0.0
2020-04-17,1.0,-0.9307880985389783,-0.9280153567238988,-0.7793004159112722,-1.1097899114855496,-0.5842486936120294,0.0
2020-04-20,1.0,-0.9381569168701561,-0.9058817284212761,-0.7853275294617262,-1.1056906253317762,-0.5733623526913685,0.0
2020-04-21,1.0,-0.9431473701005159,-0.9133648885816094,-0.7928522044354623,-1.1014199861724192,-0.5675158219433069,0.0
2020-04-22,1.0,-0.9294123858296817,-0.9213874663428542,-0.7741407528641572,-1.0970909666860251,-0.5575207222427538,0.0
2020-04-23,1.0,-0.9201747000631446,-0.9266996421805935,-0.7652599452746791,-1.0932435276783836,-0.556672279520101,0.0
2020-04-24,1.0,-0.9196926639301126,-0.9242185033154405,-0.7684980528365435,-1.0937269761077781,-0.5564677402378697,0.0
2020-04-27,1.0,-0.9268524382520582,-0.9283301667722187,-0.764355077052987,-1.093571880937302,-0.5644922947012877,0.0
