Date,IWF,IWM,MTUM,NPTN,SPY,VLUE,VXX
2019-07-09,-0.0,-1.02809121754912,-0.7027538862147873,1.0,-2.7066203740235144,-2.453247060680186,0.0
2019-07-10,-0.0,-1.0160904890871434,-0.7129998406882269,1.0,-2.7631830492273375,-2.473235622112474,0.0
2019-07-11,-0.0,-1.014908714023758,-0.7196842860559675,1.0,-2.7654468627919955,-2.472534481384039,0.0
2019-07-12,-0.0,-0.9809765377298668,-0.7316899175649969,1.0,-2.7693405199746355,-2.444435637285986,0.0
2019-07-15,-0.0,-1.024233784746971,-0.7673239882790845,1.0,-2.7422190544072227,-2.3857606715767803,0.0
2019-07-16,-0.0,-1.018124754805806,-0.7176932130247154,1.0,-2.708513142408788,-2.401804629266379,0.0
2019-07-17,-0.0,-1.0273133976924889,-0.714622086178479,1.0,-2.7073228161054863,-2.39941919786516,0.0
2019-07-18,-0.0,-1.0289012801382234,-0.7233173643289091,1.0,-2.7138930338490534,-2.387497054896725,0.0
2019-07-19,-0.0,-1.0351841671247939,-0.7335270556820859,1.0,-2.7065106416398335,-2.378386868766198,0.0
2019-07-22,-0.0,-1.0363507890398052,-0.7252885294810395,1.0,-2.698202088403862,-2.3912224228625263,0.0
2019-07-23,-0.0,-1.0389111163410998,-0.721816898093669,1.0,-2.6923197615125125,-2.3919353573389817,0.0
2019-07-24,-0.0,-0.9435137457044673,-0.5666523482245132,1.0,-2.4606958762886597,-2.1883591065292096,0.0
2019-07-25,-0.0,-0.9281087621894797,-0.5659477542885615,1.0,-2.460744536977721,-2.1631432842195175,0.0
2019-07-26,-0.0,-0.9027797475535385,-0.5604878740604169,1.0,-2.4624875904127075,-2.1654375265919725,0.0
2019-07-29,-0.0,-0.8897872340425532,-0.5656737588652483,1.0,-2.457872340425532,-2.178794326241135,0.0
2019-07-30,-0.0,-0.8985733550997232,-0.568244729931152,1.0,-2.4537582511178937,-2.177159486123927,0.0
2019-07-31,-0.0,-0.9184427394146065,-0.5677749360613811,1.0,-2.445439045183291,-2.172705314009662,0.0
