Date,AAP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-03-24,1.0,-0.0,-0.09851526501576353,-0.0,-0.0,-0.0,-0.21055751663927139,-0.0,-0.0,-0.21513836867775052,-0.0,-0.0,-0.0,-0.0,-0.30349492064347494,-0.0,-0.16809032362372342,-0.1874646331276441,-0.5113308722481206
2020-03-25,1.0,-0.0,-0.11122912296540187,-0.0,-0.0,-0.0,-0.18735561987201613,-0.0,-0.0,-0.24659462042962213,-0.0,-0.0,-0.0,-0.0,-0.34059106237221526,-0.0,-0.1279573033111176,-0.18371790446350336,-0.45779453546108706
2020-03-26,1.0,-0.0,-0.11297205035203756,-0.0,-0.0,-0.0,-0.20935566460422445,-0.0,-0.0,-0.19871452954981866,-0.0,-0.0,-0.0,-0.0,-0.31928739065500317,-0.0,-0.14310859825048006,-0.19738105397909111,-0.4861318540644335
2020-03-27,1.0,-0.0,-0.10202947635805572,-0.0,-0.0,-0.0,-0.19630619426877996,-0.0,-0.0,-0.19376604133040512,-0.0,-0.0,-0.0,-0.0,-0.32640965258116583,-0.0,-0.12864816235810864,-0.19027333104013971,-0.5085862461302357
2020-03-30,1.0,-0.0,-0.09462922357541013,-0.0,-0.0,-0.0,-0.19163606583361953,-0.0,-0.0,-0.1765513961905265,-0.0,-0.0,-0.0,-0.0,-0.3426148521913719,-0.0,-0.14429503606055002,-0.1864053047314612,-0.5056666578606716
2020-03-31,1.0,-0.0,-0.11317050184559804,-0.0,-0.0,-0.0,-0.1940888504934684,-0.0,-0.0,-0.15830257336579492,-0.0,-0.0,-0.0,-0.0,-0.32736459069609153,-0.0,-0.15215057985811148,-0.14717662766040995,-0.5256420325139401
2020-04-01,1.0,-0.0,-0.11258832766291547,-0.0,-0.0,-0.0,-0.1949489662392044,-0.0,-0.0,-0.15723632556922273,-0.0,-0.0,-0.0,-0.0,-0.3274797173514786,-0.0,-0.15336299398063336,-0.14472651138445433,-0.5267730960481549
2020-04-02,1.0,-0.0,-0.08261676380648703,-0.0,-0.0,-0.0,-0.20286976294398995,-0.0,-0.0,-0.1521653903452602,-0.0,-0.0,-0.002247719610046784,-0.0,-0.36062831603983164,-0.0,-0.12791092757638325,-0.1440631452392776,-0.541151564256031
2020-04-03,1.0,-0.0,-0.08632868499934836,-0.0,-0.0,-0.0,-0.19483904600547375,-0.0,-0.0,-0.15391632998827057,-0.0,-0.0,-0.0047699726313045745,-0.0,-0.3555845171380165,-0.0,-0.1238107650202007,-0.12761631695555845,-0.559650723315522
2020-04-06,1.0,-0.0,-0.09023202520767688,-0.0,-0.0,-0.0,-0.194786594099112,-0.0,-0.0,-0.16356344886851906,-0.0,-0.0,-0.0,-0.0,-0.3292622587953438,-0.0,-0.14806906070154421,-0.12072602275982396,-0.5574854821489024
2020-04-07,1.0,-0.0,-0.08433830112170204,-0.0,-0.0,-0.0,-0.19953657380588763,-0.0,-0.0,-0.16922955395228814,-0.0,-0.0,-0.0,-0.0,-0.31228606035072937,-0.0,-0.16140923692664175,-0.1117489072620991,-0.594581073252936
2020-04-08,1.0,-0.0,-0.07533866751168501,-0.0,-0.0,-0.0,-0.20982861971533442,-0.0,-0.0,-0.17637117431144206,-0.0,-0.0,-0.0,-0.0,-0.3087221738097124,-0.0,-0.15360849243444505,-0.09313686656632074,-0.6236763579708996
2020-04-09,1.0,-0.0,-0.06359036525588994,-0.0,-0.0,-0.0,-0.20755810889158274,-0.0,-0.0,-0.18394560691508985,-0.0,-0.0,-0.0,-0.0,-0.32675380804300846,-0.0,-0.14096347441100512,-0.08456754335107784,-0.6279449744373583
2020-04-13,1.0,-0.0,-0.08185409533842508,-0.0,-0.0,-0.0,-0.21193047142480906,-0.0,-0.0,-0.17584935475375296,-0.0,-0.0,-0.0,-0.0,-0.32122728469844614,-0.0,-0.15209375823018173,-0.06879115090861207,-0.6219120358177509
2020-04-14,1.0,-0.0,-0.036308100929614874,-0.0,-0.0,-0.0,-0.19086321381142096,-0.0,-0.0,-0.20494023904382472,-0.0,-0.0,-0.0,-0.0,-0.34690571049136787,-0.0,-0.12491367861885791,-0.08807436918990705,-0.6640371845949535
2020-04-15,1.0,-0.0,-0.03700860357379219,-0.0,-0.0,-0.0,-0.19282594308405032,-0.0,-0.0,-0.20418266048974193,-0.0,-0.0,-0.0,-0.0,-0.3356717405691595,-0.0,-0.1285506287227002,-0.08926538716082065,-0.6597220383851754
2020-04-16,1.0,-0.0,-0.026099155615553614,-0.0,-0.0,-0.0,-0.1974112602239339,-0.0,-0.0,-0.20971968553958545,-0.0,-0.0,-0.0,-0.0,-0.33349215172450297,-0.0,-0.12509595277799837,-0.09031472511183461,-0.6648137854363535
2020-04-17,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.19784710721726587,-0.0,-0.0,-0.20209412895988035,-0.0,-0.0,-0.0,-0.0,-0.3410171483519419,-0.0,-0.10716384422244779,-0.1359046957636626,-0.6870292216464555
2020-04-20,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18202918656457595,-0.0,-0.0,-0.22380812635061229,-0.0,-0.0,-0.0,-0.0,-0.3456500280126991,-0.0,-0.10148600698983538,-0.1429448016434117,-0.6719312755115652
