Date,IWF,IWM,MTUM,SASR,SPY,VLUE,VXX
2020-02-12,-0.0,-0.6684349418354157,-0.1799601464885825,1.0,-0.42734812580784143,-0.4170616113744075,0.0
2020-02-13,-0.0,-0.6776103336921422,-0.17995156081808397,1.0,-0.42836383207750267,-0.4051399354144241,0.0
2020-02-14,-0.0,-0.6821366968520914,-0.18944049159120313,1.0,-0.41798727899956883,-0.4055627425614489,0.0
2020-02-18,-0.0,-0.6839724256785867,-0.1872845756139595,1.0,-0.4133455407152089,-0.4082292115467471,0.0
2020-02-19,-0.0,-0.6736876041050991,-0.1849175218956531,1.0,-0.4192413089033367,-0.408709902745688,0.0
2020-02-20,-0.0,-0.6724899007464084,-0.18430134567537923,1.0,-0.41057813210626287,-0.4079295861312502,0.0
2020-02-21,-0.0,-0.6789753736730929,-0.1828391133452766,1.0,-0.40530495467793254,-0.40672210486911414,0.0
2020-02-24,-0.0,-0.6863925914030299,-0.18154809699694877,1.0,-0.4050907339007548,-0.40348482415288256,0.0
2020-02-25,-0.0,-0.6831076979917136,-0.20180508273295858,1.0,-0.36162351885572536,-0.39247354392631884,0.0
2020-02-26,-0.0,-0.6768363626961761,-0.18196861183649196,1.0,-0.3542673940584844,-0.37244357111461596,0.0
2020-02-27,-0.0,-0.6732189905460556,-0.1795732809836235,1.0,-0.36113550653510357,-0.36911711525546315,0.0
2020-02-28,-0.0,-0.6879133036634734,-0.14932991375625454,1.0,-0.31253928742048226,-0.3646124060244902,0.0
2020-03-02,-0.0,-0.7231917658148836,-0.17586813074826116,1.0,-0.2898779648926142,-0.35879340653741304,0.0
2020-03-03,-0.0,-0.6973039530051561,-0.19777851884154632,1.0,-0.2967960392991817,-0.3733422260985558,0.0
2020-03-04,-0.0,-0.7091301039817399,-0.19259447121481105,1.0,-0.291858990616282,-0.34255642911488715,0.0
2020-03-05,-0.0,-0.7525898389095415,-0.14052044609665426,1.0,-0.2552168525402726,-0.3299876084262701,0.0
2020-03-06,-0.0,-0.7287261474987107,-0.14612343132198727,1.0,-0.24656794125592477,-0.33446302708809156,0.0
2020-03-09,-0.0,-0.7307107843137256,-0.1442401960784314,1.0,-0.24421568627450985,-0.3318137254901961,0.0
2020-03-10,-0.0,-0.6162538661990696,-0.19363873261732545,1.0,-0.27987628162977035,-0.34565646233652375,0.0
2020-03-11,-0.0,-0.7350929582891822,-0.21406897216067816,1.0,-0.19355071765725845,-0.2655572680859262,0.0
2020-03-12,-0.0,-0.6876042768182352,-0.18843849136411703,1.0,-0.20359534719774408,-0.2702620138644108,0.0
2020-03-13,-0.009620852002638344,-0.5997452634930743,-0.18720858825937634,1.0,-0.22303090954579569,-0.2548274842495508,0.0
2020-03-16,-0.0007370348863179523,-0.6208290525751552,-0.17869745834636172,1.0,-0.21041229284852817,-0.22276321079197747,0.0
2020-03-17,-0.09481553785744393,-0.4750316125740399,-0.17104066375313354,1.0,-0.23772655678061982,-0.23983406171661822,0.0
2020-03-18,-0.09651129222091448,-0.47340720836756905,-0.17254780040416604,1.0,-0.2379693988585641,-0.24025671204281496,0.0
2020-03-19,-0.09584130598009058,-0.6134376438104003,-0.25216169738658656,1.0,-0.2889529391818248,-0.17167631457843874,0.0
2020-03-20,-0.10490884968797602,-0.7144366370202938,-0.2249520908063486,1.0,-0.2903542823448479,-0.12225443467151491,0.0
2020-03-23,-0.10597142508242764,-0.7316644278910734,-0.20085480522652338,1.0,-0.28606667480766884,-0.11774331420197827,0.0
2020-03-24,-0.12925203291738907,-0.7440843935435032,-0.16654049962149886,1.0,-0.2786500940147982,-0.12341578960220752,0.0
2020-03-25,-0.1326334963090787,-0.7383280605886301,-0.13385581439938643,1.0,-0.2740389224427188,-0.11784584411849296,0.0
2020-03-26,-0.14751976994967647,-0.7396117900790798,-0.11988976755331895,1.0,-0.2730889048646058,-0.11622334052240595,0.0
2020-03-27,-0.1448936778869076,-0.7413225898731763,-0.11380757127872602,1.0,-0.27045389529894154,-0.11342614665776675,0.0
2020-03-30,-0.1433470670889995,-0.7473624044392578,-0.11141013122484461,1.0,-0.2695467860630165,-0.10990973826478363,0.0
2020-03-31,-0.1358880056946257,-0.7542057183533041,-0.11363151026219007,1.0,-0.26230869616799146,-0.10675050421165026,0.0
2020-04-01,-0.1397918296701994,-0.767954098205183,-0.10128743153851626,1.0,-0.26405386822201676,-0.09787324845294829,0.0
2020-04-02,-0.15840349969424714,-0.7310550825532716,-0.09403076344136602,1.0,-0.2795286702102639,-0.08892704266428338,0.0
2020-04-03,-0.1528,-0.7454117647058824,-0.10065882352941176,1.0,-0.2574588235294118,-0.09661176470588236,0.0
2020-04-06,-0.15345165788292014,-0.7556070238460993,-0.10455415593316475,1.0,-0.25609150851984025,-0.09363552572495451,0.0
2020-04-07,-0.15082917177047017,-0.7531093941392631,-0.10272778667671724,1.0,-0.2556534438895694,-0.09325826816168849,0.0
2020-04-08,-0.14997055706041693,-0.7536214815687199,-0.1002708750441644,1.0,-0.2552585090095395,-0.0963137439641974,0.0
2020-04-09,-0.15967768459135012,-0.7323983367397279,-0.1129513472878051,1.0,-0.2573120022552682,-0.08689830150116287,0.0
2020-04-13,-0.14403867573524184,-0.7864066165841174,-0.10294570704078489,1.0,-0.26075313410905987,-0.0756925847809086,0.0
2020-04-14,-0.14071579346820673,-0.7930175746507601,-0.0977397244029125,1.0,-0.2622678651898584,-0.0779830657211299,0.0
2020-04-15,-0.12331292693880445,-0.803909518519394,-0.08438319899780179,1.0,-0.26291157491668043,-0.0891814593329709,0.0
2020-04-16,-0.10694970576322874,-0.8319634050461011,-0.07268958616253306,1.0,-0.2676482500655183,-0.10323303075786816,0.0
2020-04-17,-0.09717150017901899,-0.845279866332498,-0.05793054063730756,1.0,-0.2723952738990333,-0.11416636830170665,0.0
2020-04-20,-0.08485884960015416,-0.8695201849889199,-0.047018017150014454,1.0,-0.28381828692552274,-0.12349455631563735,0.0
2020-04-21,-0.08787528311888584,-0.870054455206978,-0.04932292419642426,1.0,-0.2821791720880922,-0.12011469326779432,0.0
2020-04-22,-0.07733122058964756,-0.8886488043791415,-0.03610871026601364,1.0,-0.2852924229328724,-0.11348794775761067,0.0
2020-04-23,-0.07237725354813963,-0.8933640199462985,-0.032556578442654395,1.0,-0.28392309167625623,-0.11514672036823936,0.0
2020-04-24,-0.07923319606001493,-0.8803795486838619,-0.04368663150543073,1.0,-0.2931387423837391,-0.11188979601666547,0.0
2020-04-27,-0.08846302748741774,-0.8784843205574913,-0.04394115369725126,1.0,-0.2950300038714673,-0.11377274487030585,0.0
2020-04-28,-0.07823865709767668,-0.9060941491302761,-0.0406519888091473,1.0,-0.2910351538742245,-0.11679844301179904,0.0
2020-04-29,-0.0621647976596782,-0.9245002437835202,-0.026938078985860557,1.0,-0.28737201365187715,-0.13686006825938568,0.0
2020-04-30,-0.061362530413625306,-0.9161070559610707,-0.030024330900243312,1.0,-0.29218978102189785,-0.13340632603406327,0.0
2020-05-01,-0.06701043465570501,-0.9158660277771021,-0.026682557828424103,1.0,-0.2938486610074672,-0.12888867268260648,0.0
