Date,CDNS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-05-21,1.0,-0.0,-0.11871313020738308,-0.0,-0.0,-0.0,-0.473697013926899,-0.0,-0.3821382959313994,-0.10822234385452775,-0.0,-0.09998175515416895,-0.0,-0.27014535060512074,-0.0,-0.0850513896490908,-0.3657787508362221,-0.13707960834397617,-0.0
2019-05-22,1.0,-0.0,-0.1095890410958904,-0.0,-0.0,-0.0,-0.47643835616438357,-0.0,-0.3704109589041096,-0.1136986301369863,-0.0,-0.11083713850837137,-0.0,-0.2760121765601218,-0.0,-0.07896499238964992,-0.374337899543379,-0.13382039573820395,-0.0
2019-05-23,1.0,-0.0,-0.08947464429040497,-0.0,-0.0,-0.0,-0.4598078560136204,-0.0,-0.3478353399002797,-0.11577283229964734,-0.0,-0.1323118083424541,-0.0,-0.2914690502249787,-0.0,-0.0838805788641615,-0.37422473549799345,-0.1454761036118205,-0.0
2019-05-24,1.0,-0.0,-0.09449321143273698,-0.0,-0.0,-0.0,-0.45372535917139994,-0.0,-0.35121343741457334,-0.11775962093369376,-0.0,-0.13182273790359322,-0.0,-0.28803571970962544,-0.0,-0.08313337180694347,-0.37602891595541105,-0.14117789994836435,-0.0
2019-05-28,1.0,-0.0,-0.09115605191669182,-0.0,-0.0,-0.0,-0.44406881980078483,-0.0,-0.38843948083308183,-0.13492303048596438,-0.0,-0.09773619076365832,-0.0,-0.2616661635979475,-0.0,-0.07799577422275883,-0.3626320555387866,-0.1597947479625717,-0.0
2019-05-29,1.0,-0.0,-0.0913858347486666,-0.0,-0.0,-0.0,-0.4462322338428533,-0.0,-0.3861625100563153,-0.15967938976788534,-0.0,-0.07756026340097136,-0.0,-0.27153541312833346,-0.0,-0.07413366705402102,-0.3348529543219808,-0.1380769345371115,-0.0
2019-05-30,1.0,-0.0,-0.08381314180566272,-0.0,-0.0,-0.0,-0.44895233572742915,-0.0,-0.3896539443224312,-0.1606517480857126,-0.0,-0.08158722621238203,-0.0,-0.2657446429631388,-0.0,-0.07366296670030271,-0.3207692764290378,-0.14308185433608359,-0.0
2019-05-31,1.0,-0.0,-0.09900574988021082,-0.0,-0.0,-0.0,-0.4481312889314806,-0.0,-0.3773957834211787,-0.15830138955438428,-0.0,-0.11293124101581217,-0.0,-0.266441063727839,-0.0,-0.08385241974125539,-0.31190105414470537,-0.13673933876377575,-0.0
2019-06-03,1.0,-0.0,-0.09912950790548944,-0.0,-0.0,-0.0,-0.41608929946112394,-0.0,-0.34846331497601707,-0.17087108426600345,-0.0,-0.08926985254929828,-0.0,-0.2887132113460058,-0.0,-0.149493693373601,-0.2740273583229703,-0.12482975069580152,-0.0
2019-06-04,1.0,-0.013983506633201866,-0.04368351858491694,-0.0,-0.0,-0.0,-0.4189076132425003,-0.0,-0.19257200908330344,-0.26619457392135776,-0.0,-0.13475558742679575,-0.0,-0.37056292577984945,-0.0,-0.17897693318991276,-0.2577088562208677,-0.11061312298314808,-0.0
