Date,IWF,IWM,MTUM,PFN,SPY,VLUE,VXX
2019-04-30,-0.0,-0.1131980037766388,-0.03737860803884543,1.0,-0.3499291880226599,-0.1854768006474238,0.0
2019-05-01,-0.0,-0.11490882124919946,-0.03851080324940169,1.0,-0.3448275862068966,-0.18712711093133785,0.0
2019-05-02,-0.0,-0.11391125635928707,-0.0385094841817998,1.0,-0.3472423435868064,-0.18489943061217612,0.0
2019-05-03,-0.0,-0.11255936142265333,-0.03987740392711596,1.0,-0.34699067057357447,-0.18456771412212455,0.0
2019-05-06,-0.0,-0.10838878806210929,-0.04359077771055992,1.0,-0.3463567923640518,-0.18210996840760904,0.0
2019-05-07,-0.0,-0.10887611749680715,-0.04458224104322108,1.0,-0.3452813067150635,-0.18172346575250384,0.0
2019-05-08,-0.0,-0.10912415493784704,-0.054553689755246514,1.0,-0.32941906695073053,-0.1844458237573602,0.0
2019-05-09,-0.0,-0.10873721281234276,-0.054469226899211805,1.0,-0.32899547207781316,-0.1848063055508972,0.0
2019-05-10,-0.0,-0.10814345354861425,-0.05469208456985732,1.0,-0.3303824421977432,-0.18342471035997518,0.0
2019-05-13,-0.0,-0.10897511103662112,-0.05297913349534903,1.0,-0.3304449844967737,-0.18360848068381797,0.0
2019-05-14,-0.0,-0.08748357916091591,-0.08197948018690657,1.0,-0.3127359196501322,-0.18067080166952126,0.0
2019-05-15,-0.0,-0.08861412500832057,-0.08282300472608667,1.0,-0.31458430406709714,-0.17809358982892898,0.0
2019-05-16,-0.0,-0.08885194114223958,-0.08255050295120125,1.0,-0.31272757502701803,-0.17851858009809624,0.0
2019-05-17,-0.0,-0.08587875158048847,-0.08508018899314568,1.0,-0.306448392892793,-0.18626472349770415,0.0
2019-05-20,-0.0,-0.08350515463917525,-0.08696375124709012,1.0,-0.30585300964416356,-0.18646491519787162,0.0
2019-05-21,-0.0,-0.08118926999418653,-0.08735154887467818,1.0,-0.3063865127481107,-0.1860642803753841,0.0
2019-05-22,-0.0,-0.0778287004749095,-0.09102985619873137,1.0,-0.30605094483743484,-0.18561323104513303,0.0
2019-05-23,-0.0,-0.07817038155776476,-0.09460109870047964,1.0,-0.3053291952267937,-0.18156772276899075,0.0
2019-05-24,-0.0,-0.07121455412273006,-0.09927328709298283,1.0,-0.3021569633663858,-0.18272111771424787,0.0
2019-05-28,-0.0,-0.07143801871507456,-0.09693152134378204,1.0,-0.30063155110273454,-0.18425751413550243,0.0
2019-05-29,-0.0,-0.07540507540507539,-0.09814209814209814,1.0,-0.3001353001353001,-0.1763026763026763,0.0
2019-05-30,-0.0,-0.0740612477118686,-0.09828658124309438,1.0,-0.2987846105641584,-0.17797127261333465,0.0
2019-05-31,-0.0,-0.07661110836342054,-0.09876848508828329,1.0,-0.298217847898841,-0.1750168982969814,0.0
2019-06-03,-0.0,-0.07520480249411297,-0.08936685350402972,1.0,-0.3046830950880568,-0.18904845610427515,0.0
2019-06-04,-0.0,-0.06703975555481749,-0.07927862101032913,1.0,-0.2985984257198844,-0.21571623102726756,0.0
2019-06-05,-0.0,-0.06128979053273957,-0.0884380669635494,1.0,-0.29897740392544947,-0.20064324591786245,0.0
2019-06-06,-0.0,-0.05726864982520941,-0.08889585119715059,1.0,-0.3026185607809511,-0.20018468438757336,0.0
2019-06-07,-0.0,-0.060123609394313965,-0.08809229501442109,1.0,-0.3005026782035434,-0.19940667490729294,0.0
2019-06-10,-0.0,-0.06138040042149631,-0.08643967334035826,1.0,-0.29661156480505796,-0.20203832982086406,0.0
2019-06-11,-0.0,-0.060499391387307956,-0.08479455209395663,1.0,-0.29815442313386187,-0.20145080106589464,0.0
2019-06-12,-0.0,-0.06178444532175287,-0.08560336886432425,1.0,-0.29724305829714437,-0.20032241084353203,0.0
2019-06-13,-0.0,-0.061534161899125396,-0.08593082133228118,1.0,-0.2969027421582166,-0.19962846057736566,0.0
2019-06-14,-0.0,-0.06050312607689657,-0.08323077175536192,1.0,-0.29618142732896835,-0.2010863322338732,0.0
2019-06-17,-0.0,-0.0597989785227868,-0.08456652697747512,1.0,-0.29912585123101104,-0.19349135673127293,0.0
2019-06-18,-0.0,-0.05835092369872204,-0.08404103873153013,1.0,-0.30016526761900086,-0.19377219249586833,0.0
2019-06-19,-0.0,-0.05266253819382036,-0.09048871750461593,1.0,-0.29852453391284456,-0.19226810019444124,0.0
2019-06-20,-0.0,-0.05141430133677183,-0.0944064504545677,1.0,-0.2951344116734947,-0.19124487897236683,0.0
2019-06-21,-0.0,-0.05406596275927346,-0.09445632129510256,1.0,-0.2925404311568778,-0.1908709630040635,0.0
2019-06-24,-0.0,-0.04910561136976232,-0.09300008167932697,1.0,-0.29559748427672955,-0.1958833619210978,0.0
2019-06-25,-0.0,-0.046796620970245575,-0.09262920540514043,1.0,-0.2973154033430826,-0.19721899968954754,0.0
2019-06-26,-0.0,-0.04674454701413283,-0.09128339187974839,1.0,-0.29321133894289686,-0.20261416550935382,0.0
2019-06-27,-0.0,-0.04160065332788894,-0.10273581053491221,1.0,-0.29068191098407514,-0.19830134748877096,0.0
2019-06-28,-0.0,-0.03812570384031597,-0.10481304369114264,1.0,-0.2913613291769353,-0.19780973054136541,0.0
2019-07-01,-0.0,-0.03665519322686416,-0.10556108383223764,1.0,-0.29345361413353777,-0.19562486745730084,0.0
2019-07-02,-0.0,-0.03832673089776821,-0.10498687664041995,1.0,-0.29164832656787465,-0.1952853719372035,0.0
2019-07-03,-0.0,-0.03183123409254062,-0.11009593421653723,1.0,-0.29690661097696275,-0.19270051556483717,0.0
2019-07-05,-0.0,-0.0272386233893329,-0.11130321317892676,1.0,-0.2974555537432719,-0.1950579024628935,0.0
2019-07-08,-0.0,-0.030881179898744893,-0.10688762636539745,1.0,-0.29298865356753323,-0.19713815950121277,0.0
2019-07-09,-0.0,-0.028119765153609706,-0.10750239888106429,1.0,-0.29145998341112755,-0.19927789614064761,0.0
2019-07-10,-0.0,-0.029805798375413063,-0.10650974263808174,1.0,-0.2893327473099901,-0.20219433185199653,0.0
2019-07-11,-0.0,-0.026572173346366898,-0.11114369501466276,1.0,-0.29154447702834796,-0.19991854024112088,0.0
2019-07-12,-0.0,-0.023264913510605344,-0.11135203873681465,1.0,-0.2928085820956356,-0.20291178244778846,0.0
2019-07-15,-0.0,-0.027244269084031693,-0.11491179443701699,1.0,-0.29223595395702223,-0.19604134737665896,0.0
2019-07-16,-0.0,-0.029569498100966634,-0.12378763427714476,1.0,-0.2891094919066947,-0.1875886351410827,0.0
2019-07-17,-0.0,-0.029057822130906952,-0.1240909239148159,1.0,-0.28984443792192544,-0.18762025894400416,0.0
2019-07-18,-0.0,-0.02871671175722807,-0.12275497897584667,1.0,-0.29171420189706315,-0.1865934352488673,0.0
2019-07-19,-0.0,-0.02944723290528649,-0.12098298676748583,1.0,-0.29512417704191385,-0.18408187210742458,0.0
2019-07-22,-0.0,-0.02614251254970989,-0.11822804615685506,1.0,-0.294429232674881,-0.19104896016689485,0.0
2019-07-23,-0.0,-0.026049392778547557,-0.11873828347868612,1.0,-0.29457983535740484,-0.19074089167821337,0.0
2019-07-24,-0.0,-0.026056349503804976,-0.12026007463294604,1.0,-0.2936431632636433,-0.18956442387602457,0.0
2019-07-25,-0.0,-0.01749470597817234,-0.12402671444860726,1.0,-0.30294836292555793,-0.18446000977357874,0.0
2019-07-26,-0.0,-0.012797967956232904,-0.1253582128435587,1.0,-0.30492054187833784,-0.18514719291389867,0.0
2019-07-29,-0.0,-0.007903399276472314,-0.12529739595215592,1.0,-0.30560896913600366,-0.1907733924322915,0.0
2019-07-30,-0.0,-0.007662835249042147,-0.12598027227520994,1.0,-0.3046710687209587,-0.19207630227439473,0.0
2019-07-31,-0.0,-0.008216766115621638,-0.1259415044507483,1.0,-0.3043953177475626,-0.19174084580521047,0.0
2019-08-01,-0.0,-0.013151897910020183,-0.12176899537730321,1.0,-0.30543980727911973,-0.18734943681229246,0.0
2019-08-02,-0.0,-0.009626485844837959,-0.1269492820788006,1.0,-0.30357578418459435,-0.18594402979007105,0.0
2019-08-05,-0.0,-0.007768694436769654,-0.122836386094362,1.0,-0.3081148726616717,-0.18652992897658013,0.0
2019-08-06,-0.0,-0.009309905287445342,-0.12422350226697,1.0,-0.29244719815415393,-0.1875211772109008,0.0
2019-08-07,-0.0,-0.007838836110259841,-0.12406651720189035,1.0,-0.2933595703156502,-0.18764818787399795,0.0
2019-08-08,-0.0,-0.005580375143138235,-0.12125219747431576,1.0,-0.29521152202312795,-0.1907810912375208,0.0
2019-08-09,-0.0,-0.0005300608766885652,-0.12143212811410765,1.0,-0.28857799122990185,-0.19570490065374177,0.0
2019-08-12,-0.0,-0.0,-0.12884183509785052,1.0,-0.2876965030478024,-0.1875681745267886,0.0
2019-08-13,-0.0,-0.0,-0.12818870402100982,1.0,-0.2866430733261806,-0.186526174195718,0.0
2019-08-14,-0.0,-0.0023097999235376578,-0.13049573085255514,1.0,-0.2723333758124124,-0.1878265579202243,0.0
2019-08-15,-0.0,-0.0,-0.12875452817622118,1.0,-0.28851995646452994,-0.2071833525560844,0.0
2019-08-16,-0.0,-0.0011887857874054752,-0.12110755209193277,1.0,-0.2925073473566027,-0.23628768616055212,0.0
2019-08-19,-0.0,-0.010370814992663733,-0.11728024543150595,1.0,-0.29593504068293985,-0.24374749899959983,0.0
2019-08-20,-0.0,-0.013383270911360799,-0.11384103204327925,1.0,-0.2971452351227632,-0.24021639617145235,0.0
2019-08-21,-0.0,-0.01636508781266631,-0.11751596593932942,1.0,-0.2950705162320383,-0.23416711016498137,0.0
2019-08-22,-0.0,-0.016959015712029263,-0.11660154626319726,1.0,-0.2951533793332779,-0.2339346579100507,0.0
2019-08-23,-0.0,-0.016876444474003622,-0.11672181301232062,1.0,-0.295146567347821,-0.23394243719136057,0.0
2019-08-26,-0.0,-0.013453878320083303,-0.11771317124770675,1.0,-0.2920351056972382,-0.22960844916780987,0.0
2019-08-27,-0.0,-0.011787624645050516,-0.11708380109621606,1.0,-0.29018358317374365,-0.23188932179885094,0.0
2019-08-28,-0.0,-0.015917355371900827,-0.11294214876033058,1.0,-0.2889752066115703,-0.23505785123966944,0.0
2019-08-29,-0.0,-0.014736285000744255,-0.1125481699551792,1.0,-0.2894993632469444,-0.23713676132510794,0.0
2019-08-30,-0.0,-0.014058215217894077,-0.11342386097069415,1.0,-0.2886807414015264,-0.23580136782634553,0.0
2019-09-03,-0.0,-0.013458616817491246,-0.11161569456370962,1.0,-0.2905575004954092,-0.23573221480943257,0.0
2019-09-04,-0.0,-0.009835308095976766,-0.11102676655995249,1.0,-0.29164328855737814,-0.23771411597742503,0.0
2019-09-05,-0.0,-0.008011449628216096,-0.10345791932618281,1.0,-0.2963742843982365,-0.2372343225636639,0.0
2019-09-06,-0.0,-0.007195781103681678,-0.10474954410290953,1.0,-0.29560203059028406,-0.23532504230396428,0.0
2019-09-09,-0.0,-0.005091231585343822,-0.10483010067499876,1.0,-0.29553778186536156,-0.23685723201235032,0.0
2019-09-10,-0.0,-0.004451233533720968,-0.10577839098584146,1.0,-0.2971650077198515,-0.235126966919615,0.0
2019-09-11,-0.0,-0.004599136019447775,-0.10628931850659484,1.0,-0.29697278297005636,-0.2346873408781065,0.0
2019-09-12,-0.0,-0.0,-0.10885057471264369,1.0,-0.29883415435139576,-0.23436781609195403,0.0
2019-09-13,-0.0,-0.0,-0.10976570190982476,1.0,-0.2981229900899127,-0.2328542363982411,0.0
2019-09-16,-0.0,-0.0,-0.11141732283464566,1.0,-0.29791666666666666,-0.2310695538057743,0.0
2019-09-17,-0.0,-0.0,-0.11114027030573416,1.0,-0.2979923894502034,-0.23107203779031624,0.0
2019-09-18,-0.0,-0.0,-0.10739719733517114,1.0,-0.2989071576252831,-0.23460011158150376,0.0
2019-09-19,-0.0,-0.0,-0.10896173787490974,1.0,-0.2925936864212115,-0.2391875041018573,0.0
2019-09-20,-0.0,-0.0,-0.10423185936399233,1.0,-0.29413306682831725,-0.23998558251552338,0.0
2019-09-23,-0.0,-0.0,-0.09988563960137233,1.0,-0.2959647116484235,-0.2378532919457605,0.0
2019-09-24,-0.0,-0.0,-0.09932032807241119,1.0,-0.29640884880567264,-0.23811391040094107,0.0
2019-09-25,-0.0,-0.0,-0.09882164773469121,1.0,-0.29654654654654655,-0.23669865517691602,0.0
2019-09-26,-0.0,-0.0,-0.088079287579685,1.0,-0.2992911482749112,-0.23469967071647557,0.0
2019-09-27,-0.0,-0.0,-0.08929667560494943,1.0,-0.2919426226860078,-0.23409685652440795,0.0
2019-09-30,-0.0,-0.003937957084304428,-0.07295668247207265,1.0,-0.29687374427388896,-0.2335610383348067,0.0
2019-10-01,-0.0,-0.0,-0.08478931140801643,1.0,-0.28650115621788286,-0.23456770298047275,0.0
2019-10-02,-0.0,-0.0,-0.08547994361143149,1.0,-0.29000064077918747,-0.22646738433935665,0.0
2019-10-03,-0.0,-0.0,-0.08390102263843909,1.0,-0.29040698138191795,-0.22107177613630927,0.0
2019-10-04,-0.0,-0.000575383189221155,-0.08788978215353142,1.0,-0.2869244170249493,-0.2229130372240958,0.0
2019-10-07,-0.0,-0.006211378478930813,-0.09361776869401377,1.0,-0.27716480112411584,-0.21976144474427964,0.0
2019-10-08,-0.0,-0.007024265644955301,-0.09256066411238825,1.0,-0.2772030651340996,-0.21963601532567054,0.0
2019-10-09,-0.0,-0.012711392525892106,-0.09485021556867175,1.0,-0.271823345053057,-0.2115436625992332,0.0
2019-10-10,-0.0,-0.021080898551190722,-0.11408770039717633,1.0,-0.25150750132660116,-0.22132531476627698,0.0
2019-10-11,-0.0,-0.026873476766144266,-0.1375308681827719,1.0,-0.2270929838436335,-0.22252529980470326,0.0
2019-10-14,-0.0,-0.026948276694731082,-0.13741367375521177,1.0,-0.22714467393229124,-0.21830679824208374,0.0
2019-10-15,-0.0,-0.025370012870012868,-0.13375160875160874,1.0,-0.22784749034749033,-0.22179858429858426,0.0
2019-10-16,-0.0,-0.03204808017659475,-0.1384883102653755,1.0,-0.22298309781995715,-0.2177303707523001,0.0
2019-10-17,-0.0,-0.03642245541749823,-0.13283010365029294,1.0,-0.2259383248567566,-0.21430180905169638,0.0
