Date,AMK,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-10-06,1.0,-0.25833638695492855,-0.3702962482735293,-0.34351833582320945,-0.5545282859317304,-0.2920765566423317,0.0
2020-10-07,1.0,-0.2568321406434891,-0.37200653631599706,-0.3423958978982363,-0.5536428692173325,-0.2924719670930298,0.0
2020-10-08,1.0,-0.25725627093831815,-0.3696123419948762,-0.34371217026547674,-0.5537569325187917,-0.2908983418259621,0.0
2020-10-09,1.0,-0.2586493257889255,-0.3696478337978212,-0.3443965881260029,-0.553359795062354,-0.2890240126115475,0.0
2020-10-12,1.0,-0.2582688247712878,-0.36942997888810697,-0.3435890218156228,-0.5523434201266714,-0.2912878254750176,0.0
2020-10-13,1.0,-0.2570134218745604,-0.3700723149216354,-0.34317228959734375,-0.5514505191479783,-0.2920734967219112,0.0
2020-10-14,1.0,-0.25701670510152425,-0.3716182012486642,-0.3436076269756454,-0.5482310591146858,-0.2918330614770234,0.0
2020-10-15,1.0,-0.2560807580912746,-0.37024435508815345,-0.34375615105587265,-0.5477884317970925,-0.29401344093580406,0.0
2020-10-16,1.0,-0.2560872743631558,-0.3700725411910251,-0.34412078951807906,-0.5476578754990722,-0.2937355901703875,0.0
2020-10-19,1.0,-0.2523519801701313,-0.36775392935609263,-0.34502281561602166,-0.5524759168497549,-0.2991099093008845,0.0
2020-10-20,1.0,-0.24833572090671613,-0.36788292463694844,-0.3386140838740485,-0.5484115614729923,-0.3056655711918205,0.0
2020-10-21,1.0,-0.24267173864399194,-0.36062318191989257,-0.34098791675990153,-0.5441094204520027,-0.3086820317744462,0.0
2020-10-22,1.0,-0.24314043576762787,-0.35876709646742927,-0.33930019858473415,-0.5454926859284536,-0.3102117304841551,0.0
2020-10-23,1.0,-0.24138027460082212,-0.3593859232124381,-0.3403987584239815,-0.5439445205670983,-0.3112329073571768,0.0
2020-10-26,1.0,-0.24033674553896067,-0.3564356435643564,-0.3411086871399004,-0.5428763215304581,-0.31616042960228224,0.0
2020-10-27,1.0,-0.2393006993006993,-0.356,-0.33994405594405597,-0.5456503496503496,-0.3162797202797203,0.0
2020-10-28,1.0,-0.2364180607620433,-0.35545235830582445,-0.3411290773792872,-0.5457114082694567,-0.3188328764057517,0.0
2020-10-29,1.0,-0.22281669731928885,-0.3555146853926322,-0.34032770439725796,-0.5421891545449479,-0.32575377584573373,0.0
2020-10-30,1.0,-0.2206738942615869,-0.35383629218806606,-0.34369164738998353,-0.5424876675677934,-0.3263286976394192,0.0
2020-11-02,1.0,-0.22465241982669748,-0.35844640717728676,-0.34328940402886515,-0.5409991362737177,-0.31879858460338245,0.0
2020-11-03,1.0,-0.22146958800245306,-0.36201705970898146,-0.34573786028878856,-0.5405028711601717,-0.31780676813290964,0.0
