Date,APEI,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-31,1.0,-0.0,-0.7135113520238149,-0.6693473141689252,-1.2919091838094814,-0.768294308437375,0.0
2019-11-01,1.0,-0.0,-0.7276853252647504,-0.681632108213936,-1.2907804574174602,-0.7495327934502091,0.0
2019-11-04,1.0,-0.0,-0.720948827292111,-0.687810945273632,-1.29295486851457,-0.740316275764037,0.0
2019-11-05,1.0,-0.0,-0.7456069571454187,-0.799354491662184,-1.2427380311995695,-0.6950421373498297,0.0
2019-11-06,1.0,-0.0,-0.7401335210500023,-0.7983559653026931,-1.2537808256505745,-0.7493074163222672,0.0
2019-11-07,1.0,-0.0,-0.7518281328064678,-0.7988826815642458,-1.2461734114547849,-0.7450152155152837,0.0
2019-11-08,1.0,-0.0,-0.7260932680094357,-0.799129014697877,-1.2519506441662132,-0.7592088550172383,0.0
2019-11-11,1.0,-0.0,-0.6974615627395284,-0.840209206907435,-1.2108300644754049,-0.7602687226655845,0.0
2019-11-12,1.0,-0.0,-0.6899896242161772,-0.8451301484188207,-1.2127937925745478,-0.7632967925294356,0.0
2019-11-13,1.0,-0.0,-0.6972771936268882,-0.9334221038615179,-1.2013866568712979,-0.7595390054639791,0.0
2019-11-14,1.0,-0.0,-0.6780662133320098,-1.1670223854668187,-1.3255571549114011,-0.7928723879485778,0.0
2019-11-15,1.0,-0.0,-0.6756300014911277,-1.1794323773547393,-1.3210398131119838,-0.794373477807048,0.0
2019-11-18,1.0,-0.0,-0.6774741469750712,-1.1983813758305442,-1.3313683369136236,-0.7884797921766499,0.0
2019-11-19,1.0,-0.0,-0.7280946476544741,-1.236050836949783,-1.3763690845215952,-0.8257904525728457,0.0
2019-11-20,1.0,-0.0,-0.7174407779042101,-1.2308368676942174,-1.3809868625219819,-0.8429709320368264,0.0
2019-11-21,1.0,-0.0,-0.6883384387873667,-1.3159395795922677,-1.375039611281293,-0.9021865427273688,0.0
2019-11-22,1.0,-0.0,-0.6866451919522628,-1.316628821883086,-1.3765643977398743,-0.9008818714685536,0.0
2019-11-25,1.0,-0.0,-0.6865198796134959,-1.316172976397909,-1.3764718306140766,-0.9009451396589049,0.0
2019-11-26,1.0,-0.0,-0.6535902851108764,-1.3240760295670537,-1.388806758183738,-0.9133579725448785,0.0
2019-11-27,1.0,-0.0,-0.6394888313882875,-1.3165232085335585,-1.3959972540529122,-0.928605375719491,0.0
2019-11-29,1.0,-0.0,-0.6282174005530737,-1.3777387789831952,-1.426770899808551,-0.885343543926824,0.0
2019-12-02,1.0,-0.0,-0.6457244463602565,-1.443720028018751,-1.4224365536936256,-0.8763403200603481,0.0
2019-12-03,1.0,-0.0,-0.6369399376813152,-1.4252713011711613,-1.42645320726335,-0.8836359729236059,0.0
2019-12-04,1.0,-0.0,-0.6738413282137257,-1.4416202476880644,-1.4222053972202693,-0.8703693688821589,0.0
2019-12-05,1.0,-0.0,-0.6587058694939337,-1.4810361788173572,-1.407804131599082,-0.9174773199256749,0.0
2019-12-06,1.0,-0.0,-0.7145716350697726,-1.5161505531772947,-1.4431533885584031,-0.8856952243286819,0.0
2019-12-09,1.0,-0.0,-0.6667427658238685,-1.587181096969351,-1.516523029507448,-0.9369898978368815,0.0
2019-12-10,1.0,-0.0,-0.6868693239152371,-1.9497351160443994,-1.7516397578203833,-0.9185166498486377,0.0
2019-12-11,1.0,-0.0,-0.676753000631712,-1.9609602021478205,-1.7524952621604548,-0.9269109286165509,0.0
2019-12-12,1.0,-0.0,-0.669923721868499,-1.9544222404337135,-1.7521275925108746,-0.9274412154069218,0.0
2019-12-13,1.0,-0.0,-0.6666455375253549,-1.9797160243407705,-1.7606490872210951,-0.9317951318458416,0.0
2019-12-16,1.0,-0.0,-0.6687267452859936,-1.9429274137604844,-1.7456013117235292,-0.949107649618465,0.0
2019-12-17,1.0,-0.005517064408519374,-0.6252245316910444,-2.0501026430587634,-1.8100461893764437,-0.9242365922504492,0.0
2019-12-18,1.0,-0.10865000338684548,-0.6630766104450315,-2.1553884711779445,-1.8757705073494546,-0.9708731287678656,0.0
2019-12-19,1.0,-0.10572955421768249,-0.70932828248664,-2.15105188392072,-1.8310221200027057,-0.9673949807210986,0.0
2019-12-20,1.0,-0.10657133129043242,-0.728702757916241,-2.171058903643173,-1.8429009193054136,-0.9605039155600953,0.0
2019-12-23,1.0,-0.10916763084461988,-0.7442319471857347,-2.1636153270264753,-1.8404682501871639,-0.948410807867692,0.0
2019-12-24,1.0,-0.1105438703968416,-0.7458307807501191,-2.1622081546525083,-1.8410591518616837,-0.9472466135729357,0.0
2019-12-26,1.0,-0.11148924584808058,-0.7470732371358563,-2.161992921317724,-1.8402531990198747,-0.9456166621290498,0.0
2019-12-27,1.0,-0.11735356434966852,-0.754015446654364,-2.1755860843414667,-1.8425944911489305,-0.9452532294443307,0.0
2019-12-30,1.0,-0.13814745844541002,-0.759983447134285,-2.2101524243051243,-1.8632319470308296,-0.925581074556866,0.0
2019-12-31,1.0,-0.12309810671256455,-0.767435456110155,-2.2125989672977626,-1.8612048192771087,-0.9204130808950087,0.0
2020-01-02,1.0,-0.1210468167380196,-0.7700593840629747,-2.2227592873912445,-1.8683883441513602,-0.9228697693688717,0.0
2020-01-03,1.0,-0.1013888888888889,-0.7716666666666667,-2.2460416666666667,-1.8780555555555558,-0.9473611111111113,0.0
2020-01-06,1.0,-0.13618840681292493,-0.7917572019345344,-2.261232214200603,-1.8715216934183783,-0.9485526039111237,0.0
2020-01-07,1.0,-0.12920639371845205,-0.7929753224901852,-2.2656337633202472,-1.8677790241166574,-0.9549915872125633,0.0
2020-01-08,1.0,-0.13336596964822714,-0.7925729071963074,-2.2485488495698998,-1.8506189244003077,-0.9683893978599902,0.0
2020-01-09,1.0,-0.13292691472216384,-0.8002943031322263,-2.249316796300189,-1.8488543199495477,-0.975895172027188,0.0
2020-01-10,1.0,-0.14083614864864863,-0.8129926801801801,-2.249859234234234,-1.8445945945945943,-0.9900056306306306,0.0
2020-01-13,1.0,-0.14721420018313724,-0.8131999718250333,-2.2587166302740016,-1.8401775022892157,-0.984503768401775,0.0
