Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XYL
2019-07-31,-0.0,-0.0,-0.0,-0.05505531258039619,-0.0,-0.1119850049615936,-0.0,-0.10683964864566871,-0.17174464331654968,-0.37164173619023116,-0.19453122128707412,-0.6500790179719946,-0.0,-0.32121724429416737,-0.1070601639163512,-0.5545959057664743,-0.0,-0.03046785989929803,1.0
2019-08-01,-0.0,-0.0,-0.0,-0.08700691853515413,-0.0,-0.06958380120983809,-0.0,-0.08378309848951354,-0.16296591444198938,-0.3717897634657877,-0.21842286376643605,-0.6492918462708733,-0.0,-0.25113195928568843,-0.12884413373419784,-0.5749990944325715,-0.0,-0.02441409787372768,1.0
2019-08-02,-0.0,-0.0,-0.0,-0.05512209218321052,-0.0,-0.08170784568703945,-0.0,-0.10294755093194627,-0.1681837884698743,-0.3670712324808554,-0.20903771131339402,-0.6474859124403988,-0.0,-0.24729085392284353,-0.1266435486201416,-0.5830082358040746,-0.0,-0.023659875740499933,1.0
2019-08-05,-0.0,-0.0,-0.0,-0.04805574610968697,-0.0,-0.09242878290067517,-0.0,-0.11734122829187277,-0.18695165541394376,-0.3652381124309492,-0.1970610535437051,-0.6445824457522475,-0.0,-0.2398093656352674,-0.109398129761346,-0.5908582156912301,-0.0,-0.018738491533379066,1.0
2019-08-06,-0.0,-0.0,-0.0,-0.09647058823529411,-0.0,-0.05739130434782609,-0.0,-0.19427109974424553,-0.1505541346973572,-0.33299232736572887,-0.1384484228473998,-0.5936572890025575,-0.0,-0.16160272804774084,-0.08538789428815004,-0.5496334185848252,-0.0,-0.049616368286445015,1.0
2019-08-07,-0.0,-0.0,-0.0,-0.121158970553513,-0.0,-0.017775828920295476,-0.0,-0.20561945559415792,-0.14193678955712213,-0.3495125982392822,-0.12314905386717037,-0.5769555098323608,-0.0,-0.16689715654197726,-0.09930178432893716,-0.5257192970620973,-0.0,-0.044996121024049644,1.0
2019-08-08,-0.0,-0.0,-0.0,-0.11840950516438263,-0.0,-0.014750556943225543,-0.0,-0.20326740025653142,-0.13788564099102138,-0.3446972254101127,-0.13413893201917232,-0.575001687706744,-0.0,-0.1797407682441099,-0.09511915209613177,-0.5252818470262607,-0.0,-0.04715452642948761,1.0
2019-08-09,-0.0,-0.0,-0.0,-0.08522445743732039,-0.0,-0.0,-0.0,-0.20103722789284179,-0.12991774848875234,-0.3065437848908268,-0.1467644435635715,-0.601526112377366,-0.0,-0.2001123113004988,-0.07792422290489875,-0.5159052621147557,-0.0,-0.03835100584679418,1.0
2019-08-12,-0.0,-0.0,-0.0,-0.08139649561129557,-0.0,-0.0,-0.0,-0.21207140274170747,-0.1174266083697689,-0.3053683553042506,-0.15375258884249973,-0.5805582037542325,-0.0,-0.19435221407672834,-0.07113974818370097,-0.523488609093001,-0.0,-0.04783194713830172,1.0
2019-08-13,-0.0,-0.0,-0.0,-0.08020656294940515,-0.0,-0.0,-0.0,-0.200875931494313,-0.11903516799581644,-0.30958295201987185,-0.13998561903516799,-0.5913844947051902,-0.0,-0.1984246306706759,-0.07847431036736828,-0.5162439534579684,-0.0,-0.03425284350895542,1.0
2019-08-14,-0.0,-0.0,-0.0,-0.059123707989338886,-0.0,-0.0,-0.0,-0.2073717740362738,-0.128388480790483,-0.3203861405447572,-0.14555028277969187,-0.5933172983163233,-0.0,-0.1914776051485406,-0.08840928297471234,-0.5022102320743679,-0.0,-0.014171488006240657,1.0
2019-08-15,-0.0,-0.0,-0.0,-0.07163991186654076,-0.0,-0.0,-0.0,-0.18731507711677683,-0.0975448536355052,-0.29099779666351905,-0.09924457034938623,-0.610324205225055,-0.0,-0.20522505508341202,-0.07101038715769595,-0.4923197985520932,-0.0,-0.022001888574126535,1.0
