Date,ACC,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-04-09,1.0,-0.0,-0.0,-0.0,-0.07584909396969998,-0.0,-0.11676898702841865,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7796068917714625,-0.5032676502624023,-0.0,-0.0
2019-04-10,1.0,-0.0,-0.0,-0.0,-0.09413312155655928,-0.0,-0.1040601578398769,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7817789249019705,-0.5017868665309971,-0.0,-0.0
2019-04-11,1.0,-0.0,-0.0,-0.0,-0.09711528847115289,-0.0,-0.11486351364863513,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.791970802919708,-0.49577542245775424,-0.0,-0.0
2019-04-12,1.0,-0.0,-0.0,-0.0,-0.09466583385384135,-0.0,-0.11402873204247345,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7960024984384759,-0.4937414116177389,-0.0,-0.0
2019-04-15,1.0,-0.0,-0.0,-0.0,-0.09474078700811993,-0.0,-0.11410368519675204,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7952279825109307,-0.494366021236727,-0.0,-0.0
2019-04-16,1.0,-0.0,-0.0,-0.0,-0.0899222091598089,-0.0,-0.10017759323644915,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8011205883088622,-0.510117811851222,-0.0,-0.0
2019-04-17,1.0,-0.0,-0.0,-0.0,-0.09449055094490551,-0.0,-0.09816518348165183,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.796920307969203,-0.5101739826017399,-0.0,-0.0
2019-04-18,1.0,-0.0,-0.0,-0.0,-0.06308595677489391,-0.0,-0.08918878910490477,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.016801539524326458,-0.8187358136780815,-0.4793989933879404,-0.0,-0.0
2019-04-22,1.0,-0.0,-0.0,-0.0,-0.09611471994116927,-0.0,-0.13043265106017896,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.807844098541488,-0.41686481186419905,-0.0,-0.0
2019-04-23,1.0,-0.0,-0.0,-0.0,-0.10140324963072378,-0.0,-0.12481536189069424,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8098473658296405,-0.42577548005908417,-0.0,-0.0
2019-04-24,1.0,-0.0,-0.0,-0.0,-0.09224642190416926,-0.0,-0.11810827629122589,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00848786558805227,-0.8313130056004978,-0.438954573739888,-0.0,-0.0
2019-04-25,1.0,-0.0,-0.0,-0.0,-0.10260708566853483,-0.0,-0.0656775420336269,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.030224179343474784,-0.8512309847878303,-0.45228682946357085,-0.0,-0.0
2019-04-26,1.0,-0.0,-0.0,-0.0,-0.12805827681487061,-0.0,-0.029113288118563174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08399899522732981,-0.8686510926902788,-0.40211002260738504,-0.0,-0.0
2019-04-29,1.0,-0.0,-0.0,-0.0,-0.12540732942297086,-0.0,-0.03837669825036346,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07572567303353887,-0.8648668972777861,-0.4022409384869905,-0.0,-0.0
2019-04-30,1.0,-0.0,-0.0,-0.0,-0.1415690719053016,-0.0,-0.02898879234353356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07437350459639844,-0.8746253620450826,-0.39901775595013217,-0.0,-0.0
2019-05-01,1.0,-0.0,-0.0,-0.0,-0.13923892076057817,-0.0,-0.01959065059999499,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07508079264473783,-0.8848109827892877,-0.38647693964977325,-0.0,-0.0
2019-05-02,1.0,-0.0,-0.0,-0.0,-0.12830169729838303,-0.0,-0.0058752636336245855,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0857939138294667,-0.9041629004720296,-0.3866877573566335,-0.0,-0.0
2019-05-03,1.0,-0.0,-0.0,-0.0,-0.12340233572252017,-0.0,-0.008019648137937948,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08563480527291865,-0.9041652047516415,-0.3849180492205905,-0.0,-0.0
2019-05-06,1.0,-0.0,-0.0,-0.0,-0.11064869040795475,-0.0,-0.008099284770852543,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0910858025768186,-0.9024347696064994,-0.3798190744386572,-0.0,-0.0
2019-05-07,1.0,-0.0,-0.0,-0.0,-0.10958665338645418,-0.0,-0.009437250996015936,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09033864541832669,-0.9006972111553784,-0.37995517928286854,-0.0,-0.0
2019-05-08,1.0,-0.0,-0.0,-0.0,-0.11713278028910636,-0.0,-0.007649893199542994,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07806368287715464,-0.9001539913566142,-0.38075604788634443,-0.0,-0.0
2019-05-09,1.0,-0.0,-0.0,-0.0,-0.11988653329352045,-0.0,-0.007863043694635214,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07780929630735542,-0.8964118642380811,-0.3863342291231213,-0.0,-0.0
2019-05-10,1.0,-0.0,-0.0,-0.0,-0.1227886840337389,-0.0,-0.003956109576770919,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0765345475355179,-0.8958473290040059,-0.389017441715807,-0.0,-0.0
2019-05-13,1.0,-0.0,-0.0,-0.0,-0.1313033551717292,-0.0,-0.00861127655350407,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06812090530077428,-0.8888723446495931,-0.38475282906491964,-0.0,-0.0
2019-05-14,1.0,-0.0,-0.0,-0.0,-0.12622297079731504,-0.0,-0.006662868748916356,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0640279394644936,-0.8910658113095387,-0.3888985212889803,-0.0,-0.0
2019-05-15,1.0,-0.0,-0.0,-0.0,-0.12683035603676815,-0.0,-0.004930502217487178,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06216397016922277,-0.8936597210178142,-0.3900547558286464,-0.0,-0.0
2019-05-16,1.0,-0.0,-0.0,-0.0,-0.11982527548893081,-0.0,-0.03156954234091135,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0630149905688474,-0.8890598630000992,-0.3783877692842252,-0.0,-0.0
2019-05-17,1.0,-0.0,-0.0,-0.0,-0.12949374569092878,-0.0,-0.0027331823106471,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10570767260908107,-0.9047079680882498,-0.319708460553531,-0.0,-0.0
2019-05-20,1.0,-0.0,-0.0,-0.0,-0.1085164156998272,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1259442113058504,-0.8944705011108368,-0.339595161688472,-0.0,-0.0
2019-05-21,1.0,-0.0,-0.0,-0.0,-0.10919682085205115,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12348817692649454,-0.8966776916621415,-0.3389198795478106,-0.0,-0.0
2019-05-22,1.0,-0.0,-0.0,-0.0,-0.11596817238311753,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11829099535435407,-0.8969309083720471,-0.3398734802807156,-0.0,-0.0
2019-05-23,1.0,-0.0,-0.0,-0.0,-0.10414762481164004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.13285244929720116,-0.8968157901237617,-0.33647884192584177,-0.0,-0.0
2019-05-24,1.0,-0.0,-0.0,-0.0,-0.10822789511476465,-0.0,-0.00527397429866046,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.13506821501968455,-0.8955356921781761,-0.33196325550300837,-0.0,-0.0
2019-05-28,1.0,-0.0,-0.0,-0.0,-0.11754888529082079,-0.0,-0.0026404284468800597,-0.0,-0.0,-0.0,-0.0,-0.01312741312741313,-0.0,-0.0,-0.11757379499314984,-0.9001120936604808,-0.33999252708930133,-0.0,-0.0
2019-05-29,1.0,-0.0,-0.0,-0.0,-0.11972893428635026,-0.0,-0.010263893354438206,-0.0,-0.0,-0.0,-0.0,-0.011426310192169761,-0.0,-0.0,-0.09380951203225088,-0.9064625429723245,-0.33153612148492567,-0.0,-0.0
