Date,GRTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-09-25,1.0,-0.9979135921836039,-0.7693756042949468,-0.7462215663325021,-1.3535189048903364,-0.22176988448425017,0.0
2020-09-28,1.0,-0.99294022042765,-0.7668241149880644,-0.7385849966986642,-1.3516684443090048,-0.22901112296206003,0.0
2020-09-29,1.0,-0.9920876445526475,-0.7615642118076689,-0.740312436599716,-1.3508825319537432,-0.22712517752079528,0.0
2020-09-30,1.0,-0.9924915022068895,-0.7622139921871037,-0.7429861498655572,-1.3493480797524224,-0.22626959565724722,0.0
2020-10-01,1.0,-0.9931468602467131,-0.7614599725874409,-0.7445555611959997,-1.3505254073810853,-0.22676277983653995,0.0
2020-10-02,1.0,-1.0002037697401935,-0.7700458481915435,-0.751299032093734,-1.3522159959246052,-0.2205298013245033,0.0
2020-10-05,1.0,-0.9841319228375855,-0.8121758971167807,-0.7324206596141879,-1.3928126944617298,-0.2641568139390168,0.0
2020-10-06,1.0,-0.984575569358178,-0.800879917184265,-0.7262422360248446,-1.3954451345755694,-0.26878881987577635,0.0
2020-10-07,1.0,-0.9785532533624137,-0.8189229890429455,-0.7254504855377265,-1.3934673105883577,-0.2765228228696059,0.0
2020-10-08,1.0,-0.9789320741009808,-0.8143324165845052,-0.7253904831093353,-1.395724145088475,-0.27476519121996784,0.0
2020-10-09,1.0,-0.9871661643977969,-0.8149225813155981,-0.7316845058713499,-1.3972773563337837,-0.2648342512729918,0.0
2020-10-12,1.0,-0.9858708638512285,-0.8146070334008623,-0.7310269596384603,-1.3967586099423408,-0.2662718819801569,0.0
2020-10-13,1.0,-0.9740010378827192,-0.8221069019200831,-0.7293201868188894,-1.3918526206538662,-0.27213284898806434,0.0
2020-10-14,1.0,-0.9792056560615512,-0.8224682886254938,-0.7379912663755459,-1.390673736743606,-0.26819505094614265,0.0
2020-10-15,1.0,-0.9770813844714686,-0.8196133458060492,-0.7378131171395905,-1.390032221182829,-0.272424903856148,0.0
2020-10-16,1.0,-0.9777546777546778,-0.8188669438669439,-0.7384615384615386,-1.3902806652806654,-0.2721933471933472,0.0
2020-10-19,1.0,-0.9999474982936944,-0.8256943350658896,-0.7514569223499764,-1.4086732818816612,-0.26439859295427104,0.0
2020-10-20,1.0,-0.9990001052520787,-0.8271234606883486,-0.7524997368698032,-1.4077465529944218,-0.276181454583728,0.0
2020-10-21,1.0,-0.9988947950107888,-0.827272248829009,-0.7538024314509763,-1.4068733224567127,-0.27603810325772327,0.0
2020-10-22,1.0,-0.9991580276798401,-0.8257117297268852,-0.7528811240330474,-1.407409356417408,-0.27711413987265165,0.0
2020-10-23,1.0,-0.9971048060220035,-0.8279728378164974,-0.7525398747170606,-1.4075380323208928,-0.278886139916829,0.0
2020-10-26,1.0,-0.998841312476958,-0.8307789540211723,-0.7524622109864644,-1.4100173803128455,-0.274661610575657,0.0
2020-10-27,1.0,-0.9951101530048899,-0.829275987170724,-0.7657079762342921,-1.406383090593617,-0.26137020873862976,0.0
2020-10-28,1.0,-0.9881431293669278,-0.8318335803514716,-0.7676794410332415,-1.4202837179758627,-0.2853059496082998,0.0
2020-10-29,1.0,-0.9977675011959815,-0.833997767501196,-0.7673417317812151,-1.4461808324031253,-0.2701855100196673,0.0
2020-10-30,1.0,-0.989514933276848,-0.8221245498834993,-0.7673162465579326,-1.4383075619572125,-0.2782249523406058,0.0
2020-11-02,1.0,-0.9829892563724458,-0.8257847061301875,-0.7578997261428271,-1.4283231514640826,-0.2714872551084896,0.0
2020-11-03,1.0,-0.9902357079111764,-0.8127460759094967,-0.7482807496456507,-1.4251666754160324,-0.273190193710956,0.0
2020-11-04,1.0,-1.0088760560367875,-0.8362741952732329,-0.7697037749973265,-1.4592556945781199,-0.2729119880226714,0.0
2020-11-05,1.0,-0.9765480895915678,-0.8349934123847167,-0.7288010540184453,-1.438418972332016,-0.29127799736495386,0.0
2020-11-06,1.0,-0.9717546812539448,-0.827319587628866,-0.7324847464759099,-1.441195034714917,-0.28702924468756574,0.0
