Date,IWF,IWM,LAMR,MTUM,SPY,VLUE,VXX
2019-05-28,-0.0,-0.31514992109416096,1.0,-0.0,-0.8675697001578117,-0.4474750131509732,0.0
2019-05-29,-0.0,-0.31143967645359527,1.0,-0.0,-0.8675087977309733,-0.44723987604390986,0.0
2019-05-30,-0.0,-0.3111366846262489,1.0,-0.0,-0.8616937804048751,-0.4426426740597374,0.0
2019-05-31,-0.0,-0.3125049041404023,1.0,-0.0,-0.859179243062276,-0.44385740067480967,0.0
2019-06-03,-0.0,-0.3162107898099137,1.0,-0.0,-0.860838048551537,-0.4304190242757685,0.0
2019-06-04,-0.0,-0.32327867142894384,1.0,-0.0,-0.8827071981646113,-0.40110019031728233,0.0
2019-06-05,-0.0,-0.3282314680982862,1.0,-0.0,-0.8886021061325624,-0.36421123270699984,0.0
2019-06-06,-0.0,-0.32502327505948064,1.0,-0.0,-0.905037757318713,-0.3560566877004241,0.0
2019-06-07,-0.0,-0.34234700478716523,1.0,-0.0,-0.8916289300038814,-0.3536809419071031,0.0
2019-06-10,-0.0,-0.3418896213002455,1.0,-0.0,-0.8840894403515573,-0.35900219723407006,0.0
2019-06-11,-0.0,-0.342520398912058,1.0,-0.0,-0.8944696282864913,-0.353348011915555,0.0
2019-06-12,-0.0,-0.34292006736623915,1.0,-0.0,-0.8931726907630523,-0.3549164399533618,0.0
2019-06-13,-0.0,-0.3513296355813592,1.0,-0.0,-0.8926960758903115,-0.3478565134000311,0.0
2019-06-14,-0.0,-0.3485601823078517,1.0,-0.0,-0.8942407292314067,-0.3467992541951523,0.0
2019-06-17,-0.0,-0.34546866908337653,1.0,-0.0,-0.8995080269290523,-0.34435525634386327,0.0
2019-06-18,-0.0,-0.3581625514936394,1.0,-0.0,-0.8955100137316372,-0.33720237324144364,0.0
2019-06-19,-0.0,-0.3571336212469937,1.0,-0.0,-0.9010059737774445,-0.3279112467351108,0.0
2019-06-20,-0.0,-0.3609094680078814,1.0,-0.0,-0.9026495903764388,-0.3289692004562895,0.0
2019-06-21,-0.0,-0.35961103455448373,1.0,-0.0,-0.9113647591066275,-0.32906060684849586,0.0
2019-06-24,-0.0,-0.35512533222158527,1.0,-0.0,-0.9049455417166085,-0.3455886184793371,0.0
2019-06-25,-0.0,-0.3551822916666667,1.0,-0.0,-0.9045572916666667,-0.34445312499999997,0.0
2019-06-26,-0.0,-0.3501926151104589,1.0,-0.0,-0.9220367410047433,-0.3484105977619959,0.0
2019-06-27,-0.0,-0.3600179008608208,1.0,-0.0,-0.9492194698186223,-0.32324216179219206,0.0
2019-06-28,-0.0,-0.3620281778992745,1.0,-0.0,-0.9455104615708126,-0.3209967406161287,0.0
2019-07-01,-0.0,-0.36116581331232767,1.0,-0.0,-0.9503479059997373,-0.3141919390836287,0.0
2019-07-02,-0.0,-0.36408709338929696,1.0,-0.0,-0.9451993704092341,-0.31400839454354673,0.0
2019-07-03,-0.0,-0.3651745724089158,1.0,-0.0,-0.9393645721469918,-0.3147017994185285,0.0
2019-07-05,-0.0,-0.3486938732689887,1.0,-0.0,-0.954495383969786,-0.319555182543013,0.0
2019-07-08,-0.0,-0.3471810866773255,1.0,-0.0,-0.9566482321180511,-0.31719655072995573,0.0
2019-07-09,-0.0,-0.34795835409509324,1.0,-0.0,-0.9581180666649184,-0.3164616716057801,0.0
2019-07-10,-0.0,-0.34137315626476294,1.0,-0.0,-0.9624954070652458,-0.32066558185921995,0.0
2019-07-11,-0.0,-0.34174088962455,1.0,-0.0,-0.9656078400462416,-0.3200126113344368,0.0
2019-07-12,-0.0,-0.3319440075495439,1.0,-0.0,-0.9803659431687114,-0.30908566635210233,0.0
2019-07-15,-0.0,-0.33711604990040883,1.0,-0.0,-0.9827287975678792,-0.30100115316070863,0.0
2019-07-16,-0.0,-0.34469389358971,1.0,-0.0,-0.9895999790427789,-0.2853849579545752,0.0
2019-07-17,-0.0,-0.34032291885091215,1.0,-0.0,-0.9934734745229606,-0.2872981757181799,0.0
2019-07-18,-0.0,-0.3421390234323864,1.0,-0.0,-0.9946328053410133,-0.2813719073177117,0.0
2019-07-19,-0.0,-0.3477738608173391,1.0,-0.0,-0.9859772816294555,-0.27755581668625146,0.0
2019-07-22,-0.0,-0.3403004572175049,1.0,-0.0,-0.9878510777269759,-0.2845199216198563,0.0
2019-07-23,-0.0,-0.3425398484452574,1.0,-0.0,-0.9862294225241703,-0.2842696629213483,0.0
2019-07-24,-0.0,-0.3431764183702775,1.0,-0.0,-0.9859794783426019,-0.2817419910707292,0.0
2019-07-25,-0.0,-0.3350814026299311,1.0,-0.0,-0.9985389271550824,-0.2754383218534753,0.0
2019-07-26,-0.0,-0.3401007280603325,1.0,-0.0,-0.9968685577098719,-0.27256595600323585,0.0
2019-07-29,-0.0,-0.3311573010236055,1.0,-0.0,-0.9966576143722582,-0.2834499686651347,0.0
2019-07-30,-0.0,-0.3341944574917802,1.0,-0.0,-0.990292782213872,-0.28500600177443763,0.0
2019-07-31,-0.0,-0.3577706491406515,1.0,-0.0,-0.9793965000130401,-0.27087082387919564,0.0
2019-08-01,-0.0,-0.3734999349212547,1.0,-0.0,-0.969985682676038,-0.2596902251724587,0.0
2019-08-02,-0.0,-0.37079383269090527,1.0,-0.0,-0.9712730492759661,-0.26237108032086676,0.0
2019-08-05,-0.0,-0.36844159900062456,1.0,-0.0,-0.9695502810743284,-0.26454819904226523,0.0
2019-08-06,-0.0,-0.3696541082679697,1.0,-0.0,-0.9337790921949338,-0.2682268226822683,0.0
2019-08-07,-0.0,-0.38127771475714134,1.0,-0.0,-0.9342322367742601,-0.2625812106837166,0.0
2019-08-08,-0.0,-0.37523383911868635,1.0,-0.0,-0.9426054874246519,-0.2803731033049262,0.0
2019-08-09,-0.0,-0.3681227679726722,1.0,-0.0,-0.9332332694995084,-0.2865276124424202,0.0
2019-08-12,-0.0,-0.3649699129671238,1.0,-0.0,-0.9432349371142275,-0.27439890498695796,0.0
2019-08-13,-0.0,-0.35166365746711375,1.0,-0.0,-0.9480526180036111,-0.2795976270312097,0.0
2019-08-14,-0.0,-0.3592746699542816,1.0,-0.0,-0.9384856423691375,-0.27071454255920274,0.0
2019-08-15,-0.0,-0.36748386438429553,1.0,-0.0,-0.9270389550753846,-0.25656266741498507,0.0
2019-08-16,-0.0,-0.37667680200321946,1.0,-0.0,-0.9120014308710428,-0.2664486291744385,0.0
2019-08-19,-0.0,-0.3634256901293675,1.0,-0.0,-0.9219975552612815,-0.26117958643170014,0.0
2019-08-20,-0.0,-0.36270580727504786,1.0,-0.0,-0.9257689853222719,-0.26414805360561583,0.0
2019-08-21,-0.0,-0.35837558252675783,1.0,-0.0,-0.9308137450709275,-0.2713422440723101,0.0
2019-08-22,-0.0,-0.3600102341051555,1.0,-0.0,-0.9267749776128951,-0.27174107713956763,0.0
2019-08-23,-0.0,-0.3570313499680102,1.0,-0.0,-0.9262699936020473,-0.2758797184900832,0.0
2019-08-26,-0.0,-0.35066155369885976,1.0,-0.0,-0.9217055641618203,-0.26718642862584757,0.0
2019-08-27,-0.0,-0.34932913992948994,1.0,-0.0,-0.920866411342481,-0.26611205519060543,0.0
2019-08-28,-0.0,-0.3459521094640821,1.0,-0.0,-0.9278854681363233,-0.26005321170657547,0.0
2019-08-29,-0.0,-0.3461518987341772,1.0,-0.0,-0.9293924050632911,-0.2561012658227848,0.0
2019-08-30,-0.0,-0.3399004824328762,1.0,-0.0,-0.935515647495643,-0.25041044681872143,0.0
2019-09-03,-0.0,-0.3477547103096429,1.0,-0.0,-0.9331969490326817,-0.24470879426175685,0.0
2019-09-04,-0.0,-0.3433675657944539,1.0,-0.0,-0.9343695591834675,-0.2455401074916101,0.0
2019-09-05,-0.0,-0.3412019327561909,1.0,-0.0,-0.9334608415542582,-0.2419216831085162,0.0
2019-09-06,-0.0,-0.3351085209003215,1.0,-0.0,-0.9576969453376206,-0.2192524115755627,0.0
2019-09-09,-0.0,-0.3322539347842458,1.0,-0.0,-0.9571754901222481,-0.22079975901799834,0.0
2019-09-10,-0.0,-0.3294262336228101,1.0,-0.0,-0.9721650519552232,-0.20834797449927211,0.0
2019-09-11,-0.0,-0.3265562248995984,1.0,-0.0,-0.9695783132530121,-0.21390562248995987,0.0
2019-09-12,-0.0,-0.33362645093211396,1.0,-0.0,-0.9654791216521783,-0.21335611275815286,0.0
2019-09-13,-0.0,-0.33592081794659234,1.0,-0.0,-0.9696786997261789,-0.20652146607380614,0.0
2019-09-16,-0.0,-0.3335593050115496,1.0,-0.0,-0.9707241136888621,-0.20651300592547955,0.0
2019-09-17,-0.0,-0.33329143517936605,1.0,-0.0,-0.9770230523643129,-0.20354961160411272,0.0
2019-09-18,-0.0,-0.3462040898357031,1.0,-0.0,-0.9686479425212279,-0.19733206049339294,0.0
2019-09-19,-0.0,-0.3542812649134705,1.0,-0.0,-0.954311405822219,-0.20314972496420766,0.0
2019-09-20,-0.0,-0.3452261053479706,1.0,-0.0,-0.961526840568033,-0.21112398025984488,0.0
2019-09-23,-0.0,-0.3475304133188928,1.0,-0.0,-0.9603304536181145,-0.2108404906430245,0.0
2019-09-24,-0.0,-0.3490556534877865,1.0,-0.0,-0.9600352556031226,-0.20916645681188617,0.0
2019-09-25,-0.0,-0.3334677724282221,1.0,-0.0013864031660406847,-0.9801366237301807,-0.20576743717072923,0.0
2019-09-26,-0.0,-0.32449758331213435,1.0,-0.011294835919613331,-1.0275756804884253,-0.18048842533706436,0.0
2019-09-27,-0.0,-0.316597574082604,1.0,-0.011105993141921285,-1.036593479707252,-0.1947131378269103,0.0
2019-09-30,-0.0,-0.26064687956157645,1.0,-0.05603216471612589,-1.0282977797126687,-0.21590821788009934,0.0
2019-10-01,-0.0,-0.23846350832266322,1.0,-0.07416133162612036,-1.0213060179257363,-0.2268886043533931,0.0
