Date,IWF,IWM,MTUM,SPY,VLUE,VXX,ZEAL
2019-08-09,-0.0,-0.0508913381167246,-0.6256379909756639,-3.2964716325171977,-2.423995857681781,0.0,1.0
2019-08-12,-0.0,-0.0325227289526203,-0.6565156330844851,-3.3161357084780843,-2.3862813216054404,0.0,1.0
2019-08-13,-0.0,-0.0,-0.6482178437015719,-3.32875802523799,-2.4025533170983695,0.0,1.0
2019-08-14,-0.0,-0.007903981264637002,-0.6432230679156907,-3.29032494145199,-2.376975995316159,0.0,1.0
2019-08-15,-0.0,-0.06887919319075889,-0.6875759959945641,-3.208425720620843,-2.1876117588155357,0.0,1.0
2019-08-16,-0.0,-0.08429338103756708,-0.6840787119856887,-3.192343470483005,-2.1949194991055454,0.0,1.0
2019-08-19,-0.0,-0.016531301660317688,-0.715877237116366,-3.26148206713146,-2.1936318550995475,0.0,1.0
2019-08-20,-0.0,-0.02871536523929471,-0.7394026628283555,-3.261388988844909,-2.1673263763943864,0.0,1.0
2019-08-21,-0.0,-0.04735962809617201,-0.7993026803225104,-3.2778383089997822,-2.1392460230987145,0.0,1.0
2019-08-22,-0.0,-0.060339777387229065,-0.7948154657293498,-3.325058582308143,-2.142574692442883,0.0,1.0
2019-08-23,-0.0,-0.013830087496471915,-0.783093423652272,-3.18854078464578,-2.070632232571267,0.0,1.0
2019-08-26,-0.0,-0.0,-0.7740097289784573,-3.1642807505211956,-2.010979847116053,0.0,1.0
2019-08-27,-0.0,-0.0,-0.7599832156094831,-3.1832995314357646,-2.0502133016294843,0.0,1.0
2019-08-28,-0.0,-0.0,-0.7488174735670562,-3.1704924874791316,-2.036727879799666,0.0,1.0
2019-08-29,-0.0,-0.0,-0.7660180681028491,-3.176025017373176,-2.0072967338429466,0.0,1.0
2019-08-30,-0.0,-0.0,-0.7832810867293625,-3.2043887147335424,-1.978544061302682,0.0,1.0
2019-09-03,-0.0,-0.0,-0.7735901536749878,-3.1897642723037345,-1.990264932897573,0.0,1.0
2019-09-04,-0.0,-0.0,-0.7698819177692418,-3.2793427230046945,-2.064162754303599,0.0,1.0
2019-09-05,-0.0,-0.0,-0.7533587894215811,-3.2830575590439826,-2.0346485645594683,0.0,1.0
2019-09-06,-0.0,-0.0,-0.7452936218038776,-3.266296712559708,-2.012924978926665,0.0,1.0
2019-09-09,-0.0,-0.0,-0.7376889998612844,-3.213205715078374,-1.9848800110972395,0.0,1.0
2019-09-10,-0.0,-0.0,-0.7514727285328159,-3.216231201053434,-1.9627832836648418,0.0,1.0
2019-09-11,-0.0,-0.0,-0.7884628718019829,-3.2195105040560215,-1.9253969354503224,0.0,1.0
2019-09-12,-0.0,-0.0,-0.8009843338416748,-3.21953417440732,-1.911479273533897,0.0,1.0
2019-09-13,-0.0,-0.0,-0.8015510317130592,-3.2158288325716664,-1.906868854729262,0.0,1.0
2019-09-16,-0.0,-0.0,-0.7964540480642704,-3.2179513816746312,-1.911281944733015,0.0,1.0
2019-09-17,-0.0,-0.0,-0.7963168097479921,-3.2208529493215177,-1.9061201883134864,0.0,1.0
2019-09-18,-0.0,-0.0,-0.7993079584775088,-3.219377162629758,-1.9017301038062284,0.0,1.0
2019-09-19,-0.0,-0.0,-0.7995157384987893,-3.2213766862677273,-1.8971290210999652,0.0,1.0
2019-09-20,-0.0,-0.0,-0.814325259515571,-3.2043598615916955,-1.9017301038062284,0.0,1.0
2019-09-23,-0.0,-0.0,-0.8213122704912353,-3.1980877156516314,-1.9091664934525046,0.0,1.0
2019-09-24,-0.0,-0.0,-0.7958929682638457,-3.2023784830256514,-1.9159233907211506,0.0,1.0
2019-09-25,-0.0,-0.0,-0.8457077396720842,-3.3577718908856595,-1.9563256246867617,0.0,1.0
2019-09-26,-0.0,-0.0,-1.0408026256899894,-3.5233477547366845,-1.8951215873489482,0.0,1.0
2019-09-27,-0.0,-0.0,-1.0881064042438686,-3.641500730375952,-1.9585607749673253,0.0,1.0
2019-09-30,-0.0,-0.0,-1.239512426784866,-3.6883805603925914,-1.9872566091499129,0.0,1.0
