Date,CLDR,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-08-27,1.0,-0.13762886597938145,-0.23865979381443295,-0.6208762886597938,-1.4278350515463916,-0.6914948453608247,-2.656443298969072,-0.8579896907216494,-0.47989690721649486,-1.2041237113402061,-1.2309278350515462,-0.5056701030927835,-0.9298969072164949,-0.0,-2.599226804123711,-3.1059278350515465,-5.3345360824742265,-1.8007731958762887,-0.9515463917525774
2019-08-28,1.0,-0.16525096525096525,-0.19073359073359072,-0.6404118404118404,-1.4164736164736165,-0.6998712998712998,-2.656113256113256,-0.8288288288288288,-0.5163449163449163,-1.235006435006435,-1.2066924066924065,-0.5202059202059202,-0.9099099099099098,-0.0,-2.6072072072072072,-3.0718146718146717,-5.289832689832689,-1.8,-0.9855855855855855
2019-08-29,1.0,-0.19639175257731958,-0.1631443298969072,-0.6646907216494845,-1.4172680412371133,-0.7092783505154638,-2.672680412371134,-0.8074742268041236,-0.5239690721649485,-1.2690721649484535,-1.1917525773195876,-0.520360824742268,-0.8845360824742269,-0.0,-2.5798969072164946,-3.085567010309278,-5.338917525773196,-1.7863402061855669,-0.9621134020618557
2019-08-30,1.0,-0.24680406991912338,-0.18053743803809025,-0.6535350900078267,-1.4182102791547089,-0.7318027654578658,-2.7072788938168535,-0.8085050873989041,-0.5536133576832768,-1.3055048265066527,-1.2387164101226193,-0.4625619619097312,-0.7597182363683798,-0.0,-2.744847378032872,-3.194625619619097,-5.331854943908166,-1.8105922254109053,-0.9410383511609703
2019-09-03,1.0,-0.24139742579458892,-0.16390858944050432,-0.6556343577620173,-1.433412135539795,-0.7396900446545837,-2.714210664565275,-0.8297872340425532,-0.581297609666404,-1.3175728920409773,-1.2729183083793014,-0.4736012608353034,-0.7144733385868137,-0.0,-2.74100341476228,-3.224323614394536,-5.385868137641188,-1.8473863934856845,-0.930916732335172
2019-09-04,1.0,-0.2601156069364162,-0.17813977929584868,-0.6749868628481346,-1.4245927482921703,-0.7501313715186548,-2.7086179716237524,-0.8137151865475566,-0.5851287440882817,-1.3158171308460327,-1.2821860220704153,-0.4894902785076196,-0.7606410930110353,-0.0,-2.7259590120861796,-3.1841828691539678,-5.315291644771414,-1.9033105622701,-0.902259590120862
2019-09-05,1.0,-0.3896249719290366,-0.3114754098360656,-0.701998652593757,-1.2142375926341793,-0.7201886368740176,-2.189310577139007,-0.6626993038401078,-0.49068044015270607,-1.0312149112957558,-1.0128003593083315,-0.5324500336851561,-0.6418145070738828,-0.0,-2.1991915562542106,-2.6543902986750507,-4.225241410285201,-1.684257803727824,-0.7951942510666965
2019-09-06,1.0,-0.3449443638122883,-0.27721335268505076,-0.6739235607160134,-1.2977745524915336,-0.7404450895016932,-2.4194484760522497,-0.7522980164489598,-0.41074020319303334,-1.113933236574746,-1.1313497822931784,-0.5986937590711175,-0.6913401064344461,-0.0,-2.383164005805515,-2.836719883889695,-4.753749395258829,-1.8659893565553942,-0.8979196903725205
2019-09-09,1.0,-0.3254496181325449,-0.24094604582409462,-0.6674057649667405,-1.331608770633161,-0.7447647203744765,-2.4855875831485585,-0.7740822862774082,-0.4230105937423011,-1.130820399113082,-1.1727026361172703,-0.5957132298595713,-0.7006651884700665,-0.0,-2.4483863020448386,-2.9036708548903674,-4.863020448386302,-1.9162355259916235,-0.9130327666913033
2019-09-10,1.0,-0.28718957462503075,-0.29309073026801086,-0.6026555200393411,-1.3609540201622818,-0.7342021145807721,-2.4639783624293092,-0.7986230636833047,-0.3926727317432998,-1.1288418982050652,-1.2043275141381855,-0.6592082616179002,-0.70518809933612,-0.0,-2.4357019916400295,-2.8977133021883454,-4.903368576346201,-1.8389476272436684,-0.88148512417015
2019-09-11,1.0,-0.26378244746600743,-0.33646477132262054,-0.5475896168108776,-1.4061804697156983,-0.7330037082818294,-2.441779975278121,-0.8526576019777503,-0.42496909765142155,-1.131025957972806,-1.2205191594561187,-0.6657601977750309,-0.7327564894932015,-0.0,-2.4289245982694685,-2.8595797280593325,-4.950309023485785,-1.8783683559950557,-0.8482076637824475
2019-09-12,1.0,-0.32033983008495753,-0.31409295352323835,-0.5459770114942529,-1.4227886056971513,-0.7471264367816092,-2.51824087956022,-0.9382808595702149,-0.42403798100949525,-1.1714142928535731,-1.2433783108445777,-0.46501749125437286,-0.7183908045977012,-0.0,-2.472263868065967,-3.02423788105947,-4.971264367816092,-1.7596201899050474,-0.9310344827586208
2019-09-13,1.0,-0.38754148583099307,-0.49782997191728356,-0.5248914985958641,-1.435282103650753,-0.7840183814143477,-2.5003829461322438,-0.9573653306101607,-0.5672708705642072,-1.1393923921368394,-1.316058207812101,-0.5465917794230277,-0.738575440388052,-0.0,-2.3964768955833544,-3.0508041868777123,-4.883329078376308,-1.864692366607097,-0.9389839162624457
2019-09-16,1.0,-0.3717038539553752,-0.4956896551724138,-0.49847870182555776,-1.4183569979716022,-0.7728194726166329,-2.4774340770791077,-0.9409229208924947,-0.5948275862068966,-1.1320993914807302,-1.3273326572008113,-0.561866125760649,-0.7459432048681541,-0.0,-2.3653651115618657,-3.0060851926977685,-4.857251521298174,-1.8658722109533468,-0.922920892494929
2019-09-17,1.0,-0.3449936628643853,-0.5313054499366286,-0.5021546261089987,-1.4453738910012675,-0.7713561470215462,-2.473510773130545,-0.9340937896070977,-0.5561470215462612,-1.1003802281368822,-1.4167300380228138,-0.5984790874524715,-0.7262357414448669,-0.0,-2.3657794676806083,-3.0083650190114066,-4.842332065906211,-1.8656527249683144,-0.8656527249683144
2019-09-18,1.0,-0.342280163599182,-0.5524028629856851,-0.49130879345603273,-1.4391615541922291,-0.7916666666666666,-2.460889570552147,-0.9729038854805725,-0.5184049079754601,-1.13420245398773,-1.5074130879345602,-0.6137525562372188,-0.7183026584867075,-0.0,-2.3923824130879345,-2.983384458077709,-4.885480572597137,-1.9251022494887524,-0.8333333333333333
2019-09-19,1.0,-0.3396467878167392,-0.556693114921935,-0.4847709239825953,-1.442539032505759,-0.7893524443306885,-2.46736626567699,-0.9713335039672382,-0.5206040440235474,-1.1289992321474278,-1.5119017148707448,-0.6150499104171999,-0.7197338111082672,-0.0,-2.3997952393140514,-2.9982083439979523,-4.885589966726388,-1.9280778090606603,-0.8349116969541849
2019-09-20,1.0,-0.3585246324477689,-0.5478462728914109,-0.49264895537786946,-1.4457054423523343,-0.7988135156048491,-2.4856848078411145,-0.9976786174877482,-0.5354655661594017,-1.114521537271086,-1.4978075831828732,-0.6040753159659531,-0.7598658756770699,-0.0,-2.4284240392055714,-2.988908950219242,-4.922620582924942,-1.976012380706732,-0.8385349497033788
2019-09-23,1.0,-0.3419540229885057,-0.5472831765935214,-0.4814524555903866,-1.4524555903866248,-0.8111285266457681,-2.513845350052246,-1.0373563218390804,-0.571055381400209,-1.1337513061650992,-1.5425809822361545,-0.6507314524555904,-0.7917972831765935,-0.0,-2.421368861024033,-2.998955067920585,-4.991118077324974,-2.0370950888192265,-0.7996342737722048
2019-09-24,1.0,-0.33211868818323786,-0.5517959396147839,-0.4888079125455492,-1.4612181155648098,-0.8042686100989068,-2.5065070275897967,-1.0421655387818844,-0.5510150963040084,-1.1132222800624674,-1.5458094742321706,-0.6473191046330036,-0.7847475273295158,-0.0,-2.4390942217595,-2.963300364393545,-4.965382613222279,-2.03331598125976,-0.7975013014055179
2019-09-25,1.0,-0.32001044932079414,-0.5253396029258098,-0.48458725182863116,-1.4757053291536049,-0.807471264367816,-2.5308254963427377,-1.0284743991640544,-0.516980146290491,-1.0914315569487982,-1.5566875653082548,-0.644723092998955,-0.8197492163009403,-0.0,-2.496865203761755,-2.9723092998955067,-5.042842215256008,-2.0292580982236155,-0.7800417972831766
2019-09-26,1.0,-0.3087091757387247,-0.5181441161223431,-0.4753758424053913,-1.461378952825298,-0.7986003110419906,-2.505961638154484,-1.0163297045101087,-0.5336962156557802,-1.0821669258683255,-1.555987558320373,-0.6410057024364955,-0.8172628304821151,-0.0,-2.4823742871954377,-2.9414204250907203,-4.977708657335406,-2.018921721099015,-0.7846034214618972
2019-09-27,1.0,-0.30731070496083546,-0.5584856396866841,-0.4639686684073107,-1.4762402088772846,-0.7955613577023498,-2.5117493472584855,-1.018537859007833,-0.48929503916449085,-1.0652741514360313,-1.6660574412532638,-0.6033942558746735,-0.7953002610966058,-0.0,-2.480417754569191,-2.9746736292428198,-5.050913838120104,-2.0511749347258488,-0.802088772845953
2019-09-30,1.0,-0.2705942361642438,-0.5488395817393522,-0.41698546289211935,-1.4605967865340475,-0.7719969395562356,-2.4361132364192803,-0.990053557765876,-0.4769191532772252,-1.033664881407804,-1.6164243815353228,-0.6345320071410354,-0.8084672277480234,-0.0,-2.3970925784238712,-2.9102269829125222,-4.948227492986483,-2.0076511094108644,-0.7755674572813057
2019-10-01,1.0,-0.26045918367346943,-0.5793367346938776,-0.40102040816326534,-1.4826530612244897,-0.7653061224489796,-2.430357142857143,-0.9951530612244899,-0.4594387755102041,-0.9803571428571428,-1.648979591836735,-0.6589285714285714,-0.8505102040816327,-0.0,-2.3806122448979594,-2.928571428571429,-4.93061224489796,-1.978316326530612,-0.7795918367346939
2019-10-02,1.0,-0.30428211586901766,-0.5652392947103275,-0.3780856423173804,-1.4483627204030227,-0.7803526448362721,-2.4259445843828717,-0.9919395465994962,-0.31309823677581866,-1.0083123425692697,-1.57632241813602,-0.5617128463476071,-0.7103274559193955,-0.0,-2.4682619647355164,-2.883375314861461,-4.935012594458438,-1.9727959697732997,-0.8654911838790933
