Date,IWF,IWM,MTUM,SDY,SPY,TFC,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-06-03,-0.0,-0.0,-0.0,-0.2168340838240388,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0599770856092299,-0.0,-0.0,-0.034078495110708484,-0.0,-0.35360102315419256,-0.0,-0.0
2019-06-04,-0.0,-0.0,-0.0,-0.23382513806995545,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0578960006403244,-0.0,-0.0,-0.048397854913156,-0.0,-0.32787278887969906,-0.0,-0.0
2019-06-05,-0.0,-0.0,-0.0,-0.22981648921941042,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0729227970681077,-0.0,-0.0,-0.0427745973998181,-0.0,-0.3295703814670162,-0.0,-0.0
2019-06-06,-0.0,-0.0,-0.0,-0.23208200212992544,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.071964856230032,-0.0,-0.0,-0.040069222577209795,-0.0,-0.31829073482428116,-0.0,-0.0
2019-06-07,-0.0,-0.0028443073978574656,-0.0,-0.2348813099763417,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0717456604375448,-0.0,-0.0,-0.02745952842978282,-0.0,-0.32127382439724606,-0.0,-0.0
2019-06-10,-0.0,-0.0,-0.0,-0.22097905814818752,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.073641968746678,-0.0,-0.0,-0.02628361858190709,-0.0,-0.3367173381524397,-0.0,-0.0
2019-06-11,-0.0,-0.0,-0.0,-0.2166350495631496,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.078766665776044,-0.0,-0.0,-0.05212814278462073,-0.0,-0.3243380447270687,-0.0,-0.0
2019-06-12,-0.0,-0.0,-0.0,-0.2336592755818758,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0651149979341688,-0.0,-0.0,-0.08307395675526787,-0.02586420603222697,-0.3467015562594684,-0.0,-0.0
2019-06-13,-0.0,-0.0,-0.0,-0.22317713291087599,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0707661345154886,-0.0,-0.0,-0.04737686638200658,-0.05790203704207348,-0.32046017025211454,-0.0,-0.0
2019-06-14,-0.0,-0.0,-0.0,-0.225032637075718,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0670691906005223,-0.0,-0.0,-0.049309181897302004,-0.05803959965187119,-0.3203057006092254,-0.0,-0.0
2019-06-17,-0.0,-0.0,-0.0,-0.215624399747551,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.062755536042587,-0.0,-0.0,-0.09071701012540132,-0.07449990395960816,-0.30041434569053044,-0.0,-0.0
2019-06-18,-0.0,-0.0,-0.0,-0.21266690825969392,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0827920720318902,-0.0,-0.0,-0.10553898475176315,-0.07727260056309761,-0.30934128731915367,-0.0,-0.0
