Date,GSBC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-13,1.0,-0.0,-0.7626603199788444,-0.0510379479042708,-0.42874520692846757,-0.4020097844770594,0.0
2019-12-16,1.0,-0.0,-0.7625402183659475,-0.06709214621024316,-0.42889920354449074,-0.3787383300807004,0.0
2019-12-17,1.0,-0.0,-0.748279094683273,-0.09666532744073925,-0.4511316459086648,-0.3823757867952323,0.0
2019-12-18,1.0,-0.0,-0.7556071574921459,-0.11957382871192461,-0.467149296544188,-0.38956426717661524,0.0
2019-12-19,1.0,-0.0,-0.7663911996497373,-0.12385070052539406,-0.4570107267950963,-0.38917469352014017,0.0
2019-12-20,1.0,-0.0,-0.7726687309895048,-0.126380401720878,-0.4568547392650646,-0.38434768311731016,0.0
2019-12-23,1.0,-0.0,-0.7838880981057703,-0.1224679732836965,-0.454806744771707,-0.37616336362640973,0.0
2019-12-24,1.0,-0.0,-0.7873212870069161,-0.11896886361772505,-0.4537874853065799,-0.3735819141084169,0.0
2019-12-26,1.0,-0.0,-0.7826632822948225,-0.1179344414421791,-0.4444717377657687,-0.38428996424574907,0.0
2019-12-27,1.0,-0.0,-0.7853244556022485,-0.11930360748785679,-0.43963870545216394,-0.3845713038257927,0.0
2019-12-30,1.0,-0.0,-0.783341989448651,-0.12489407648361261,-0.4436213541809037,-0.3816526802066534,0.0
2019-12-31,1.0,-0.0,-0.765776146198987,-0.11892065703796993,-0.410943487231705,-0.3839599131809534,0.0
2020-01-02,1.0,-0.0,-0.7720946416144746,-0.11755259354424281,-0.4069375301108078,-0.3799047160216263,0.0
2020-01-03,1.0,-0.0,-0.7705951805935705,-0.121665861643321,-0.40143830837760963,-0.389684967530725,0.0
2020-01-06,1.0,-0.0,-0.7755547177940542,-0.1302240413614821,-0.3988851788022404,-0.38816781559672553,0.0
2020-01-07,1.0,-0.0,-0.7833377908531692,-0.12161005616474992,-0.374752607649104,-0.3948114469109387,0.0
2020-01-08,1.0,-0.0,-0.7760549456267236,-0.10583276965502889,-0.3720016650189916,-0.3477027941099953,0.0
2020-01-09,1.0,-0.0,-0.7873019994806544,-0.0972474681900805,-0.36580109062581145,-0.34637756426902105,0.0
2020-01-10,1.0,-0.0,-0.7857828014414227,-0.10185881315946387,-0.36287040157623207,-0.3419749565758432,0.0
2020-01-13,1.0,-0.0,-0.7843868095459957,-0.10068851270901277,-0.36064088626598334,-0.34267743438422116,0.0
2020-01-14,1.0,-0.0,-0.7815792218629394,-0.12861166162511736,-0.3752998852612913,-0.32218107854386147,0.0
2020-01-15,1.0,-0.0,-0.776641761698781,-0.13676759732599292,-0.3916896054528771,-0.31647660243806525,0.0
2020-01-16,1.0,-0.0,-0.7704763401980821,-0.1272598648011319,-0.39791961431640727,-0.3244772834459991,0.0
2020-01-17,1.0,-0.0,-0.771188217411814,-0.12712930447088422,-0.39847476282824046,-0.3238901409927145,0.0
2020-01-21,1.0,-0.0,-0.7738506649910986,-0.12001256676091736,-0.4041522672531155,-0.3200596921143575,0.0
2020-01-22,1.0,-0.0,-0.775872450716025,-0.11715579757572585,-0.4057386705762233,-0.3192659109354138,0.0
2020-01-23,1.0,-0.0,-0.7681235415956582,-0.1056343567289793,-0.41755591096195693,-0.3305104742927558,0.0
2020-01-24,1.0,-0.0,-0.7703037001947471,-0.10832149060476869,-0.4216537712511185,-0.33143849676298753,0.0
2020-01-27,1.0,-0.0,-0.7707255586775558,-0.10798035765867493,-0.4146949922533547,-0.33260681179590873,0.0
2020-01-28,1.0,-0.0,-0.789510892333473,-0.1137672811059908,-0.4026497695852535,-0.3124214495182237,0.0
2020-01-29,1.0,-0.0,-0.7928943034169041,-0.11427152231314214,-0.3954144989673472,-0.3117304122768032,0.0
2020-01-30,1.0,-0.0,-0.7943028877564354,-0.11402064549849733,-0.39485169214687055,-0.31017901476545146,0.0
2020-01-31,1.0,-0.0,-0.7928057931468752,-0.12420632838327125,-0.3967833342079026,-0.3099123681586819,0.0
2020-02-03,1.0,-0.0,-0.7939032644348416,-0.1158171499973968,-0.392669339303379,-0.30082782318946216,0.0
2020-02-04,1.0,-0.0,-0.7874590717738164,-0.11452107478821266,-0.3913518008419521,-0.3052596018917936,0.0
2020-02-05,1.0,-0.0,-0.7901055682053406,-0.11351169530117988,-0.38778203270544404,-0.2960567170358104,0.0
2020-02-06,1.0,-0.0,-0.795804883095386,-0.12355162424994828,-0.38247465342437414,-0.28455410717980556,0.0
2020-02-07,1.0,-0.0,-0.799891385864646,-0.11939796736403839,-0.3814166386511159,-0.28537071038816625,0.0
2020-02-10,1.0,-0.0,-0.7927786094048417,-0.11833479584989418,-0.3827233778970732,-0.2871006039333092,0.0
2020-02-11,1.0,-0.0,-0.7835770934184778,-0.11965701926047996,-0.3718714594705943,-0.2998249047275724,0.0
2020-02-12,1.0,-0.0,-0.7813255801986312,-0.11408428961045643,-0.3758555035249318,-0.30167755879174596,0.0
2020-02-13,1.0,-0.0,-0.7837134389898209,-0.12294807370184255,-0.37482283210926426,-0.29550315680968947,0.0
2020-02-14,1.0,-0.0,-0.7855577047066409,-0.12763378465506126,-0.37106382978723407,-0.29470019342359766,0.0
