Date,IWF,IWM,KFRC,MTUM,SPY,VLUE,VXX
2019-06-07,-0.0,-1.0339142264835448,1.0,-0.0,-0.7007968385592122,-0.5045024617776627,0.0
2019-06-10,-0.0,-1.0338714373523987,1.0,-0.0,-0.6928601468732813,-0.5083627187732522,0.0
2019-06-11,-0.0,-1.040920466733838,1.0,-0.0,-0.6958429486137745,-0.5134722267364384,0.0
2019-06-12,-0.0,-1.036680227827502,1.0,-0.0,-0.696794141578519,-0.5212367778681855,0.0
2019-06-13,-0.0,-1.0384377542717655,1.0,-0.0,-0.6981285598047192,-0.5181122864117168,0.0
2019-06-14,-0.0,-1.0335825747724317,1.0,-0.0,-0.701885565669701,-0.5155396618985696,0.0
2019-06-17,-0.0,-1.028253730858016,1.0,-0.0,-0.709724615534675,-0.5133140423318269,0.0
2019-06-18,-0.0,-1.0030848162098973,1.0,-0.0,-0.7173658916742434,-0.5267567216521626,0.0
2019-06-19,-0.0,-1.0161884451337728,1.0,-0.0,-0.7121623368230581,-0.5028757916505106,0.0
2019-06-20,-0.0,-1.0188270306990586,1.0,-0.0,-0.711577653414421,-0.504480315724776,0.0
2019-06-21,-0.0,-1.0218347674192922,1.0,-0.0,-0.7094520282072846,-0.5035259105906709,0.0
2019-06-24,-0.0,-1.0456528155849267,1.0,-0.0,-0.7245088714702699,-0.5094618084024795,0.0
2019-06-25,-0.0,-1.0259104791304063,1.0,-0.0,-0.7424715116088142,-0.5156152507306822,0.0
2019-06-26,-0.0,-1.0212304456421717,1.0,-0.0,-0.7194031812803997,-0.5458130669120547,0.0
2019-06-27,-0.0,-1.0267404333794377,1.0,-0.0,-0.737008496344596,-0.5294408219719423,0.0
2019-06-28,-0.0,-1.0069119873609376,1.0,-0.0,-0.7537028503719307,-0.5308077150944639,0.0
2019-07-01,-0.0,-1.001940023674865,1.0,-0.0,-0.7673286860449823,-0.5189070103906352,0.0
2019-07-02,-0.0,-1.0083774105588226,1.0,-0.0,-0.7574821774696935,-0.5193994546469989,0.0
2019-07-03,-0.0,-0.9975626626263956,1.0,-0.0,-0.7778729290866572,-0.5182306248147295,0.0
2019-07-05,-0.0,-0.9890341489116475,1.0,-0.0,-0.7787730101755195,-0.5252082853097112,0.0
2019-07-08,-0.0,-0.9879644853666557,1.0,-0.0,-0.7792502466293982,-0.5211772443275239,0.0
2019-07-09,-0.0,-0.9859713527155923,1.0,-0.0,-0.7750172080369727,-0.5167327673801174,0.0
2019-07-10,-0.0,-0.9683533925819041,1.0,-0.0,-0.7877217722100155,-0.5233332240186273,0.0
2019-07-11,-0.0,-0.9666129933291709,1.0,-0.0,-0.79313857579442,-0.5263382734711314,0.0
2019-07-12,-0.0,-0.9620306750464035,1.0,-0.0,-0.8096323553355694,-0.48471132241362475,0.0
2019-07-15,-0.0,-0.976188146263496,1.0,-0.0,-0.8037316110513096,-0.48197801480901586,0.0
2019-07-16,-0.0,-0.9704856015393145,1.0,-0.0,-0.8010631705964842,-0.48971072628249024,0.0
2019-07-17,-0.0,-0.9669437652811734,1.0,-0.0,-0.8019233903830479,-0.4911165444172779,0.0
2019-07-18,-0.0,-0.9660848499906827,1.0,-0.0,-0.7163177837132741,-0.42338033418224735,0.0
2019-07-19,-0.0,-0.9658896924175177,1.0,-0.0,-0.716626835097303,-0.42127316179893853,0.0
2019-07-22,-0.0,-0.9816794364804744,1.0,-0.0,-0.697015570934256,-0.41080696984676224,0.0
2019-07-23,-0.0,-0.9841799530342357,1.0,-0.0,-0.695834878259795,-0.4098380917068348,0.0
2019-07-24,-0.0,-0.9848686038971065,1.0,-0.0,-0.6961059815335207,-0.4070654355680449,0.0
2019-07-25,-0.0,-0.9953908497540755,1.0,-0.0,-0.6854022952949547,-0.412596281745909,0.0
2019-07-26,-0.0,-1.0015171218032075,1.0,-0.0,-0.6835717381881231,-0.41110904699981426,0.0
2019-07-29,-0.0,-0.9912604208634209,1.0,-0.0,-0.6875445501596057,-0.4203365667710044,0.0
2019-07-30,-0.0,-0.992857584564962,1.0,-0.0,-0.684064065302084,-0.41503308391565147,0.0
2019-07-31,-0.0,-0.973751898106542,1.0,-0.0,-0.6971086801574267,-0.428088877870402,0.0
2019-08-01,-0.0,-0.9603863204559847,1.0,-0.0,-0.7409436352121596,-0.4652311589613679,0.0
2019-08-02,-0.0,-0.9489669618204323,1.0,-0.0,-0.7623853502173982,-0.4623758291281856,0.0
2019-08-05,-0.0,-0.9449552920286639,1.0,-0.0,-0.7611452850529521,-0.46470923964740946,0.0
2019-08-06,-0.0,-0.9421652866739572,1.0,-0.0,-0.7147008279956257,-0.46764568036244336,0.0
2019-08-07,-0.0,-0.9508963367108341,1.0,-0.0,-0.6929696024941544,-0.47382696804364777,0.0
2019-08-08,-0.0,-0.9492542913422756,1.0,-0.0,-0.7016852702998468,-0.4757214770346747,0.0
2019-08-09,-0.0,-0.9431195516811954,1.0,-0.0,-0.6878891656288917,-0.4822851805728518,0.0
2019-08-12,-0.0,-0.9445481122099894,1.0,-0.0,-0.6938794551222244,-0.4716053990172296,0.0
2019-08-13,-0.0,-0.9349459694447896,1.0,-0.0,-0.6941063221960005,-0.47612097876040244,0.0
2019-08-14,-0.0,-0.9491656605058666,1.0,-0.0,-0.6759233460264388,-0.47075941921302744,0.0
2019-08-15,-0.0,-0.9705945154500807,1.0,-0.0,-0.6618064240612512,-0.4179605283226062,0.0
2019-08-16,-0.0,-0.9677813033927264,1.0,-0.0,-0.659995118379302,-0.4232670246521845,0.0
2019-08-19,-0.0,-0.9645366343258615,1.0,-0.0,-0.6611514948751482,-0.4157669028863408,0.0
2019-08-20,-0.0,-0.9734478363779815,1.0,-0.0,-0.6591916004126965,-0.40189354858287313,0.0
2019-08-21,-0.0,-0.9757820077594569,1.0,-0.011790737148399611,-0.651248787584869,-0.3922466052376334,0.0
2019-08-22,-0.0,-0.9800707654156711,1.0,-0.0005141077206882995,-0.6456588139232466,-0.3979193758127438,0.0
2019-08-23,-0.0,-0.9833544800918375,1.0,-0.0,-0.6444021509274365,-0.39323907920971546,0.0
2019-08-26,-0.0,-0.9806824925816023,1.0,-0.007477744807121662,-0.618486646884273,-0.36071216617210683,0.0
2019-08-27,-0.0,-0.9793395778989804,1.0,-0.00797367797012094,-0.6159888546359972,-0.3608608015176666,0.0
2019-08-28,-0.0,-0.9739017092751133,1.0,-0.01214562905471458,-0.6177977900879819,-0.3585330449980745,0.0
2019-08-29,-0.0,-0.9729177765938555,1.0,-0.014384656366542355,-0.6181554490025455,-0.3543479547741668,0.0
2019-08-30,-0.0,-0.9700748864909488,1.0,-0.02025473200070759,-0.612860428091279,-0.3450675157733357,0.0
2019-09-03,-0.0,-0.9747477727299545,1.0,-0.025635730721576492,-0.6144020296182666,-0.33524101716915455,0.0
2019-09-04,-0.0,-0.963330088208396,1.0,-0.031536714163495294,-0.6133286131516064,-0.34194766498510193,0.0
2019-09-05,-0.0,-0.9532580364900087,1.0,-0.0,-0.6041702867072112,-0.33863307269041415,0.0
2019-09-06,-0.0,-0.955957644868513,1.0,-0.0,-0.6015824994181987,-0.3514661391668606,0.0
2019-09-09,-0.0,-0.9805334418037074,1.0,-0.0,-0.5972746818525191,-0.3276773781161021,0.0
2019-09-10,-0.0,-0.9772370942453981,1.0,-0.0086522269322339,-0.602287904302886,-0.3152836652923756,0.0
2019-09-11,-0.0,-0.9588738293293001,1.0,-0.04304577976848351,-0.6147402710720725,-0.2918096678494561,0.0
