Date,IWF,IWM,MTUM,RF,SPY,VLUE,VXX
2019-05-22,-0.0,-0.4389663379802788,-0.0,1.0,-0.40388756658732855,-0.9906211039329026,0.0
2019-05-23,-0.0,-0.4358734743578852,-0.0,1.0,-0.4103587913799451,-0.9855860447993657,0.0
2019-05-24,-0.0,-0.43199886829820344,-0.0,1.0,-0.40695996604894613,-0.9902956570943556,0.0
2019-05-28,-0.0,-0.43346050586406665,-0.0,1.0,-0.40093259855871133,-0.9916631340963685,0.0
2019-05-29,-0.0,-0.43301239517745715,-0.0,1.0,-0.39927153626789397,-0.9912189061750007,0.0
2019-05-30,-0.0,-0.427002858193961,-0.0,1.0,-0.3997509692390412,-1.0031411834620936,0.0
2019-05-31,-0.0,-0.43633281536940244,-0.0,1.0,-0.3955360926684561,-0.9933606441587796,0.0
2019-06-03,-0.0,-0.44126009965935636,-0.0,1.0,-0.39838405450297004,-0.9755919033810985,0.0
2019-06-04,-0.0,-0.43381566353245876,-0.0,1.0,-0.3982039299588987,-0.9831372107426384,0.0
2019-06-05,-0.0,-0.4225670508777315,-0.0,1.0,-0.40917082972844737,-0.9591694342887443,0.0
2019-06-06,-0.0,-0.4323736190157349,-0.0,1.0,-0.38740095971431765,-0.970092623591117,0.0
2019-06-07,-0.0,-0.4406808035714286,-0.0,1.0,-0.38473772321428573,-0.9647600446428573,0.0
2019-06-10,-0.0,-0.43484312797527913,-0.0,1.0,-0.37682692575373744,-0.9722168091088779,0.0
2019-06-11,-0.0,-0.4372174786539428,-0.0,1.0,-0.37775545510352143,-0.9753613482895253,0.0
2019-06-12,-0.0,-0.43057314087954757,-0.0,1.0,-0.38659576264033085,-0.996482935201598,0.0
2019-06-13,-0.0,-0.427041650228259,-0.0,1.0,-0.38967480133010196,-1.001296285859212,0.0
2019-06-14,-0.0,-0.42866805704300776,-0.0,1.0,-0.38512485203765284,-1.0045375119779043,0.0
2019-06-17,-0.0,-0.41961591607681675,-0.0,1.0,-0.40325991934801614,-0.9971236005752799,0.0
