Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WDAY
2020-03-24,-0.5041645188420739,-0.4621666350145148,-0.4177541441710302,-0.3289562928999702,-0.0,0.0,1.0
2020-03-25,-0.508280088668666,-0.4498891641674273,-0.3253357673751467,-0.32437084365627855,-0.0,0.0,1.0
2020-03-26,-0.5066266631881033,-0.4497260631359249,-0.3278893816853639,-0.32468040699191236,-0.0,0.0,1.0
2020-03-27,-0.5060010346611484,-0.4446197620279358,-0.315028453181583,-0.3210294878427315,-0.0,0.0,1.0
2020-03-30,-0.5132390279289083,-0.4472511529094772,-0.3098347064614747,-0.32048292657650657,-0.0,0.0,1.0
2020-03-31,-0.5032246414198741,-0.45516458569807045,-0.3112939841089671,-0.31002992467237644,-0.0,0.0,1.0
2020-04-01,-0.5024334679507093,-0.44315004659832247,-0.3290618204411308,-0.31417624521072796,-0.0,0.0,1.0
2020-04-02,-0.5181356453929817,-0.40493535809562897,-0.3213626103016622,-0.3207469731171763,-0.0,0.0,1.0
2020-04-03,-0.5154019919909641,-0.4215781907793407,-0.3289865489269945,-0.3010319334633946,-0.0,0.0,1.0
2020-04-06,-0.5126635982618086,-0.42631971407266467,-0.3325705176004732,-0.2997608701241933,-0.0,0.0,1.0
2020-04-07,-0.515306385834495,-0.4290176036342987,-0.3349078519436271,-0.30192039646894847,-0.0,0.0,1.0
2020-04-08,-0.5142658136415231,-0.43610050562377467,-0.32561139201320816,-0.3037354246207822,-0.0,0.0,1.0
2020-04-09,-0.5137137085286576,-0.44497682007718004,-0.32133329880085987,-0.30991168319908835,-0.0,0.0,1.0
2020-04-13,-0.5177198477827538,-0.4357865852080043,-0.32413471744026506,-0.31106163762976,-0.0,0.0,1.0
2020-04-14,-0.5170698855100243,-0.4448013262187225,-0.3156504170336217,-0.3127493135782003,-0.0,0.0,1.0
2020-04-15,-0.5215102559448176,-0.44166688276327054,-0.3181028446956928,-0.3119051940979696,-0.0,0.0,1.0
2020-04-16,-0.5260977630488815,-0.43548053024026506,-0.32034486329743167,-0.30714063794531893,-0.0,0.0,1.0
2020-04-17,-0.5192985182882603,-0.4483214174696923,-0.3098124546679101,-0.31299865298932755,-0.0,0.0,1.0
2020-04-20,-0.5179904603898797,-0.451342803815844,-0.30814496059726254,-0.3147812111157196,-0.0,0.0,1.0
2020-04-21,-0.5184253520396255,-0.45501932003838075,-0.31269935945644567,-0.30717564378517154,-0.0,0.0,1.0
2020-04-22,-0.5265089404232061,-0.4502485619843315,-0.31841961427344423,-0.30759220218109884,-0.0,0.0,1.0
2020-04-23,-0.5289049688955986,-0.44839792810848805,-0.3179416434576642,-0.3076602722611208,-0.0,0.0,1.0
2020-04-24,-0.5325419139852129,-0.4432208684786004,-0.31857232114964074,-0.3090180152035822,-0.0,0.0,1.0
