Date,EPRT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-05-07,1.0,-0.5784334095158944,-1.2728443798046958,-0.4540619156451278,-0.7188032412216913,-0.1312694784957407,0.0
2020-05-08,1.0,-0.5789889415481833,-1.275837698511682,-0.45293922008813503,-0.7197971231396025,-0.12979130290180427,0.0
2020-05-11,1.0,-0.5907522142292818,-1.2539398727597821,-0.466131647885567,-0.7290531830845358,-0.1183417189903946,0.0
2020-05-12,1.0,-0.5892508007820625,-1.2547110944714839,-0.4617912558758684,-0.7303964391197638,-0.12371562876991556,0.0
2020-05-13,1.0,-0.5883917071752046,-1.2614150982591716,-0.459803066184719,-0.7319373467946321,-0.11321617017740662,0.0
2020-05-14,1.0,-0.5887330954948975,-1.2640006637351697,-0.45225255123205843,-0.7330540114494317,-0.11030448850908488,0.0
2020-05-15,1.0,-0.5884256378344742,-1.2645094378759596,-0.4517320058079237,-0.7334577888404896,-0.11043352001659408,0.0
2020-05-18,1.0,-0.5876796884709392,-1.261154148887692,-0.4363063921454907,-0.7265006835411575,-0.13099134181200547,0.0
2020-05-19,1.0,-0.5859355586846682,-1.2699826058146275,-0.4302575996024186,-0.7270355338358321,-0.12821999503023276,0.0
2020-05-20,1.0,-0.5878115426016395,-1.266912312660429,-0.4325163533990229,-0.7271259418729817,-0.12577626894096217,0.0
2020-05-21,1.0,-0.5972833762565423,-1.245700756002326,-0.4555537093960289,-0.7352330314862506,-0.12004652322007144,0.0
2020-05-22,1.0,-0.5974500602184476,-1.250757921840608,-0.45151376718302255,-0.7338344615640184,-0.11948170605091574,0.0
2020-05-26,1.0,-0.598387900947316,-1.2526175835133788,-0.4535482798736912,-0.733754362639189,-0.11658633870699685,0.0
2020-05-27,1.0,-0.5928776469609353,-1.259183758372509,-0.43953072346798683,-0.7359071431543037,-0.13275367142322253,0.0
2020-05-28,1.0,-0.6043764040269572,-1.251435227556369,-0.44774939678841835,-0.7393709959231217,-0.11714784923870539,0.0
2020-05-29,1.0,-0.5991172919182246,-1.2636882208435691,-0.4419785984927343,-0.7348128409043594,-0.12412041470624974,0.0
2020-06-01,1.0,-0.5997084548104956,-1.2623073719283633,-0.44427321949187837,-0.7351103706788837,-0.12353186172428154,0.0
2020-06-02,1.0,-0.6062445067593019,-1.2697024233038965,-0.4459883647930356,-0.7382496965638471,-0.1250994014983468,0.0
2020-06-03,1.0,-0.6063967848620588,-1.2703143969523172,-0.445263113827605,-0.7389793611587894,-0.1253820069493867,0.0
2020-06-04,1.0,-0.6117592357764815,-1.2892467664215064,-0.4308479161383042,-0.7557274494885451,-0.13927635472144728,0.0
2020-06-05,1.0,-0.6022938886067377,-1.2843236837650247,-0.42242254951752156,-0.7586338242762823,-0.16459285593363807,0.0
