Date,IWF,IWM,MTUM,RUSHA,SPY,VLUE,VXX
2019-06-13,-0.0,-0.7730471185534871,-0.0,1.0,-0.2627594192571479,-0.9332264481458389,0.0
2019-06-14,-0.0,-0.7672503184902082,-0.0,1.0,-0.2821675110360561,-0.9132817823600865,0.0
2019-06-17,-0.0,-0.7670409100334745,-0.0,1.0,-0.28035666676541166,-0.9149509731314988,0.0
2019-06-18,-0.0,-0.765768968684265,-0.0,1.0,-0.2810416851835392,-0.9158889580185466,0.0
2019-06-19,-0.0,-0.7540203381813882,-0.0,1.0,-0.2895234716802648,-0.9125872058649638,0.0
2019-06-20,-0.0,-0.7568911917098445,-0.0,1.0,-0.2893560325684678,-0.9145225758697261,0.0
2019-06-21,-0.0,-0.7575730630149978,-0.0,1.0,-0.2932894658841662,-0.9131839468848182,0.0
2019-06-24,-0.0,-0.7594121140142518,-0.0,1.0,-0.29263657957244654,-0.9170427553444181,0.0
2019-06-25,-0.0,-0.7632504655768719,-0.0,1.0,-0.28434183688551246,-0.9084217683053003,0.0
2019-06-26,-0.0,-0.7676969679145957,-0.0,1.0,-0.2650354380495839,-0.908213981119313,0.0
2019-06-27,-0.0,-0.7557704212481208,-0.0,1.0,-0.2663679509477346,-0.9257141172655721,0.0
2019-06-28,-0.0,-0.7416324133881386,-0.0,1.0,-0.27284204345273044,-0.9215502055196712,0.0
2019-07-01,-0.0,-0.7345285953226327,-0.0,1.0,-0.28692156459990026,-0.9129375861967781,0.0
2019-07-02,-0.0,-0.7386550187617262,-0.0,1.0,-0.2807223264540338,-0.9121423545966229,0.0
2019-07-03,-0.0,-0.7365877943071336,-0.0,1.0,-0.28273983835070865,-0.9091308422162352,0.0
2019-07-05,-0.0,-0.7322442765969905,-0.0,1.0,-0.282071549856549,-0.9132267697171965,0.0
2019-07-08,-0.0,-0.7306565922802085,-0.0,1.0,-0.2842792713641422,-0.9136648509342236,0.0
2019-07-09,-0.0,-0.7258550571988649,-0.0,1.0,-0.28140086017730187,-0.9185172181749027,0.0
2019-07-10,-0.0,-0.673793364597594,-0.0,1.0,-0.3079432582796889,-0.931111823133611,0.0
2019-07-11,-0.0,-0.6713773711355226,-0.0,1.0,-0.3164719251726449,-0.9259885194790058,0.0
2019-07-12,-0.0,-0.6668600266836824,-0.0,1.0,-0.33160276118104304,-0.9019374673704973,0.0
2019-07-15,-0.0,-0.6981017243877699,-0.0,1.0,-0.31977974206636717,-0.8802202579336327,0.0
2019-07-16,-0.0,-0.6987536231884058,-0.0,1.0,-0.32159420289855073,-0.8782028985507248,0.0
2019-07-17,-0.0,-0.6945811381925548,-0.0,1.0,-0.3162450066577896,-0.8838360446940311,0.0
2019-07-18,-0.0,-0.694898077368543,-0.0,1.0,-0.31344104702339587,-0.8871612230715775,0.0
2019-07-19,-0.0,-0.6992702860478692,-0.0,1.0,-0.33736135434909514,-0.8822533566841797,0.0
2019-07-22,-0.0,-0.675964789553457,-0.0,1.0,-0.330914072519529,-0.9078932027515447,0.0
2019-07-23,-0.0,-0.6727416335127546,-0.0,1.0,-0.34434238240112336,-0.908290428270536,0.0
2019-07-24,-0.0,-0.6704608795141843,-0.0,1.0,-0.34702379206148976,-0.9162143925836829,0.0
2019-07-25,-0.0,-0.6827401454267126,-0.0,1.0,-0.332803438429156,-0.9283169949071213,0.0
2019-07-26,-0.0,-0.6759801182318167,-0.0,1.0,-0.33784300461751127,-0.9272668450927914,0.0
2019-07-29,-0.0,-0.6888376492846162,-0.0,1.0,-0.3516022230105238,-0.9156615821213197,0.0
2019-07-30,-0.0,-0.6946368318238324,-0.0,1.0,-0.3556798674006985,-0.9094891375125792,0.0
2019-07-31,-0.0,-0.7020640232165596,-0.0,1.0,-0.3521573040362463,-0.9070449228582429,0.0
2019-08-01,-0.0,-0.7121781036572747,-0.0,1.0,-0.34716021642077877,-0.8972296957691512,0.0
2019-08-02,-0.0,-0.704360679970436,-0.0,1.0,-0.3571618625277162,-0.8948706577974871,0.0
2019-08-05,-0.0,-0.6999616168177389,-0.0,1.0,-0.36452212938084977,-0.8880687354217721,0.0
2019-08-06,-0.0,-0.6981890176439761,-0.0,1.0,-0.3301112211028941,-0.8832178419612182,0.0
2019-08-07,-0.0,-0.7052946472655456,-0.0,1.0,-0.3119572478289913,-0.8870785048357585,0.0
2019-08-08,-0.0,-0.7049523366658916,-0.0,1.0,-0.3145198790978842,-0.8868286445012789,0.0
2019-08-09,-0.0,-0.692314357508015,-0.0,1.0,-0.2961615111342172,-0.8997776044825694,0.0
2019-08-12,-0.0,-0.6906505940708271,-0.0,1.0,-0.30107278809551274,-0.8920867458761103,0.0
2019-08-13,-0.0,-0.683576063446287,-0.0,1.0,-0.29865897620764237,-0.9016870944484499,0.0
2019-08-14,-0.0,-0.6912715052991355,-0.0,1.0,-0.28135680845563954,-0.8995318378952811,0.0
2019-08-15,-0.0,-0.7155719139297848,-0.0,1.0,-0.2735560588901472,-0.8421291053227632,0.0
2019-08-16,-0.0,-0.7159647681894135,-0.0,1.0,-0.27253674700501285,-0.8436659208700331,0.0
2019-08-19,-0.0,-0.7075442409189693,-0.0,1.0,-0.2762834805678643,-0.8385876774575935,0.0
2019-08-20,-0.0,-0.7110254389914453,-0.0,1.0,-0.2718932913102206,-0.8311289959477712,0.0
2019-08-21,-0.0,-0.7170851021957323,-0.0,1.0,-0.27214709437993756,-0.8222328432061626,0.0
2019-08-22,-0.0,-0.7172908321895745,-0.0,1.0,-0.2771350942550629,-0.806616061174757,0.0
2019-08-23,-0.0,-0.7180879348464917,-0.0,1.0,-0.27449553608911026,-0.8061067420447231,0.0
2019-08-26,-0.0,-0.7079765784676573,-0.0,1.0,-0.257388278185936,-0.7966082969673535,0.0
2019-08-27,-0.0,-0.70499393672142,-0.0,1.0,-0.2523977510748539,-0.7986440304266343,0.0
2019-08-28,-0.0,-0.7408578263841421,-0.0,1.0,-0.25281954887218044,-0.854351788562315,0.0
2019-08-29,-0.0,-0.7346810933940775,-0.0,1.0,-0.25834282460136676,-0.8543280182232346,0.0
2019-08-30,-0.0,-0.7327775090345161,-0.0,1.0,-0.2591127678342771,-0.8536550664428193,0.0
2019-09-03,-0.0,-0.7344631159213898,-0.0,1.0,-0.257675875818855,-0.8560524067217317,0.0
2019-09-04,-0.0,-0.7224437482198803,-0.0,1.0,-0.25947023639988603,-0.8663058957561948,0.0
2019-09-05,-0.0,-0.7294967712570762,-0.0,1.0,-0.25468665547748415,-0.8604955480328847,0.0
2019-09-06,-0.0,-0.73243677238057,-0.0,1.0,-0.2520502379996559,-0.8830073980615931,0.0
2019-09-09,-0.0,-0.7334556189275172,-0.0,1.0,-0.25241466280702757,-0.8801983319480668,0.0
2019-09-10,-0.0,-0.7436847130993374,-0.0,1.0,-0.20431725455018954,-0.9455713417633612,0.0
2019-09-11,-0.0,-0.7416560803787966,-0.0,1.0,-0.2572179235477538,-0.8882954151749625,0.0
2019-09-12,-0.0,-0.7088194524662124,-0.0,1.0,-0.2803511609102461,-0.8986658195679798,0.0
2019-09-13,-0.0,-0.7087905741018828,-0.0,1.0,-0.27983135035231604,-0.8991856301259097,0.0
2019-09-16,-0.0,-0.7171883105654504,-0.0,1.0,-0.2674793936249928,-0.8973139662228371,0.0
2019-09-17,-0.0,-0.739325455015958,-0.0,1.0,-0.25115730757066046,-0.8848155496132725,0.0
