Date,IWF,IWM,MTUM,SBNY,SPY,VLUE,VXX
2019-11-22,-0.0,-0.6652557319223986,-0.17451499118165784,1.0,-0.46293356848912404,-0.6367136978248089,0.0
2019-11-25,-0.0,-0.6655586279931752,-0.17791374948520325,1.0,-0.4656409954697887,-0.6325528034359004,0.0
2019-11-26,-0.0,-0.6388006120527308,-0.18196798493408664,1.0,-0.4777248116760829,-0.6440677966101696,0.0
2019-11-27,-0.0,-0.6112266721354701,-0.18442562915653474,1.0,-0.4871531948554185,-0.6469106143614684,0.0
2019-11-29,-0.0,-0.6073321554770318,-0.19840989399293285,1.0,-0.4965253239104829,-0.6423733804475854,0.0
2019-12-02,-0.0,-0.6158262680351033,-0.23334820764539638,1.0,-0.4879369329168526,-0.6377510040160642,0.0
2019-12-03,-0.0,-0.6147290274684484,-0.22824053452115814,1.0,-0.48688938381588714,-0.6397030438010394,0.0
2019-12-04,-0.0,-0.6276847523815159,-0.24554760073368442,1.0,-0.469853854801491,-0.6153482042482693,0.0
2019-12-05,-0.0,-0.6143057503506311,-0.27119453313837244,1.0,-0.4519113127032914,-0.6466533377100057,0.0
2019-12-06,-0.0,-0.6507539957258526,-0.28094994431568493,1.0,-0.4696445233723625,-0.6086446136712518,0.0
2019-12-09,-0.0,-0.619932070622074,-0.3140968758605918,1.0,-0.4966494293320278,-0.6292035127444081,0.0
2019-12-10,-0.0,-0.6175877763328999,-0.43059167750325106,1.0,-0.5832899869960988,-0.6194733420026008,0.0
2019-12-11,-0.0,-0.5994075791236035,-0.4303100550565054,1.0,-0.5625744550693841,-0.6273543900318749,0.0
2019-12-12,-0.0,-0.5849246885064575,-0.44451673769478517,1.0,-0.5809232571001008,-0.6428315820293439,0.0
2019-12-13,-0.0,-0.5767489171807325,-0.4477949862186639,1.0,-0.5943693398083738,-0.6623244520278252,0.0
2019-12-16,-0.0,-0.5754332983193278,-0.46149553571428564,1.0,-0.5981158088235294,-0.6475512079831932,0.0
2019-12-17,-0.0,-0.5453120309529368,-0.5196290984290051,1.0,-0.6395050198459024,-0.6309996331009639,0.0
2019-12-18,-0.0,-0.5698387541345095,-0.5665656008820287,1.0,-0.6634509371554576,-0.6455691841234841,0.0
2019-12-19,-0.0,-0.5741625138427464,-0.5757544296788483,1.0,-0.6650055370985604,-0.6457641196013288,0.0
2019-12-20,-0.0,-0.5787467073339803,-0.5770483848606682,1.0,-0.6674407320116457,-0.6427630666851518,0.0
2019-12-23,-0.0,-0.5826602419662357,-0.5815509411723923,1.0,-0.6553887752625923,-0.6469996880091518,0.0
2019-12-24,-0.0,-0.5875967920353983,-0.5768113938053098,1.0,-0.6495091261061947,-0.6429410951327433,0.0
2019-12-26,-0.0,-0.5940119347383671,-0.5725914939119037,1.0,-0.6540995481356283,-0.6286433720809906,0.0
2019-12-27,-0.0,-0.6019977879164937,-0.5814323240702336,1.0,-0.6483478501313424,-0.6246370800497718,0.0
2019-12-30,-0.0,-0.6064652630848739,-0.6030661440810239,1.0,-0.6623079324338386,-0.5966494398390622,0.0
2019-12-31,-0.0,-0.6018524918780673,-0.6059998617543375,1.0,-0.6510679477431396,-0.5971867007672634,0.0
2020-01-02,-0.0,-0.5969697954937088,-0.5073316643365738,1.0,-0.5756088044997887,-0.5713821243944468,0.0
2020-01-03,-0.0,-0.6033474163145922,-0.5125446863828405,1.0,-0.5631459213519662,-0.5709132271693208,0.0
2020-01-06,-0.0,-0.6123427006585381,-0.5123231401186673,1.0,-0.5625285257873117,-0.5728956119188889,0.0
2020-01-07,-0.0,-0.6142317216212693,-0.5129023849863156,1.0,-0.5526521569138537,-0.5783917633259481,0.0
2020-01-08,-0.0,-0.619488880218494,-0.5032188841201717,1.0,-0.5453244895304982,-0.5833333333333333,0.0
2020-01-09,-0.0,-0.6227191121266524,-0.5071976497470213,1.0,-0.5524400195854414,-0.5818508242206626,0.0
2020-01-10,-0.0,-0.6184072421936501,-0.5206310679611651,1.0,-0.5626803988454474,-0.5782602991340856,0.0
2020-01-13,-0.0,-0.6195912475806188,-0.5256700455991864,1.0,-0.5598202276678804,-0.5754682938031034,0.0
2020-01-14,-0.0,-0.6140275529419538,-0.5453434206614027,1.0,-0.5736562159304899,-0.5706828768707258,0.0
2020-01-15,-0.0,-0.6155934447939083,-0.5492799205429565,1.0,-0.5768250289687138,-0.5689786459195498,0.0
2020-01-16,-0.0,-0.6041024621400404,-0.5373628922689466,1.0,-0.5858766610332373,-0.5864400039765384,0.0
2020-01-17,-0.0,-0.5917841693359311,-0.5392134200706667,1.0,-0.5750751246573985,-0.5961100287289899,0.0
2020-01-21,-0.0,-0.589345318748141,-0.542185795961532,1.0,-0.5763904953898014,-0.5968802670279916,0.0
2020-01-22,-0.0,-0.5427242850150339,-0.6990420250332144,1.0,-0.6300258723166212,-0.6244668205020628,0.0
2020-01-23,-0.0,-0.5348316180074214,-0.6776587551634811,1.0,-0.6521038997409507,-0.6361058601134215,0.0
2020-01-24,-0.0,-0.5355855067390162,-0.678767722737616,1.0,-0.6525118151584106,-0.6339226325923332,0.0
2020-01-27,-0.0,-0.5150118698505797,-0.6869152353023321,1.0,-0.6414956011730206,-0.6477098170646558,0.0
2020-01-28,-0.0,-0.5415230335318082,-0.7033671088826213,1.0,-0.6197639193565236,-0.6173613287370731,0.0
2020-01-29,-0.0,-0.5421118357152769,-0.6957818787290135,1.0,-0.6108644373525739,-0.6200915776328569,0.0
2020-01-30,-0.0,-0.5471534567644407,-0.6979058317731086,1.0,-0.5968379446640315,-0.6252687053602385,0.0
2020-01-31,-0.0,-0.5581646894626657,-0.7117236566643405,1.0,-0.5952896022330775,-0.6240055826936496,0.0
2020-02-03,-0.0,-0.5524694544828773,-0.6941318189640338,1.0,-0.578110480123903,-0.6170022371364654,0.0
2020-02-04,-0.0,-0.5503950532463071,-0.6874613534867742,1.0,-0.577670903469598,-0.6197183098591549,0.0
2020-02-05,-0.0,-0.5534574014000342,-0.6830800751237835,1.0,-0.5696090148540208,-0.6085709407546526,0.0
2020-02-06,-0.0,-0.5574997436861352,-0.7139879019855782,1.0,-0.5618058166159735,-0.5842589111787021,0.0
2020-02-07,-0.0,-0.5701200686106347,-0.7137907375643225,1.0,-0.5624356775300172,-0.5841852487135506,0.0
2020-02-10,-0.0,-0.564329289190486,-0.7146822948797039,1.0,-0.5642950167934745,-0.5839331002810337,0.0
2020-02-11,-0.0,-0.5564444444444444,-0.7108376068376069,1.0,-0.5539145299145299,-0.5976068376068376,0.0
2020-02-12,-0.0,-0.55344556217067,-0.7128926298501335,1.0,-0.5629576404571273,-0.5923150619311572,0.0
2020-02-13,-0.0,-0.5598371034529961,-0.7124328393963245,1.0,-0.5649703980014372,-0.5849560247767016,0.0
2020-02-14,-0.0,-0.5621273387704748,-0.7179082996367623,1.0,-0.5545199095332739,-0.5922143787266122,0.0
2020-02-18,-0.0,-0.5640797314884581,-0.7164874306459346,1.0,-0.5506541543941366,-0.5936365504486609,0.0
2020-02-19,-0.0,-0.5729516626671237,-0.7186492972231745,1.0,-0.5470346246143297,-0.5895097703119643,0.0
2020-02-20,-0.0,-0.5735364930866066,-0.7173419550113503,1.0,-0.5578179817018641,-0.5907683841232716,0.0
2020-02-21,-0.0,-0.5765898934341698,-0.7173599174974218,1.0,-0.5538329322791338,-0.5898246820213132,0.0
2020-02-24,-0.0,-0.5882454207409449,-0.717463159344443,1.0,-0.5520245145296792,-0.5853188266079054,0.0
2020-02-25,-0.0,-0.6121108541938942,-0.7192788445427432,1.0,-0.4781005998458496,-0.5416038336516873,0.0
2020-02-26,-0.0,-0.5982618355278204,-0.6856601431045185,1.0,-0.46600450877250305,-0.517299964060509,0.0
2020-02-27,-0.0,-0.597560180050884,-0.6801487376867376,1.0,-0.4696327222910822,-0.5144171178811403,0.0
2020-02-28,-0.0,-0.6399651448666479,-0.5961472629384122,1.0,-0.3834998288363987,-0.49245324121619516,0.0
2020-03-02,-0.0,-0.6726059308694831,-0.6265503997985268,1.0,-0.3615186047975823,-0.4873449600201473,0.0
2020-03-03,-0.0,-0.676430538324205,-0.5504584379822677,1.0,-0.3170030562532152,-0.48210124973522556,0.0
2020-03-04,-0.0,-0.6990796079368874,-0.5536994979679656,1.0,-0.2880408797513746,-0.4474659335405212,0.0
2020-03-05,-0.0,-0.7754331988506081,-0.47232461614373206,1.0,-0.23939860099265664,-0.4153194206600296,0.0
2020-03-06,-0.0,-0.800259702784591,-0.45473957581878516,1.0,-0.23139518107055257,-0.3991920357812725,0.0
2020-03-09,-0.0,-0.8338272836644269,-0.47081780568678666,1.0,-0.24173244520085682,-0.3879808679832155,0.0
2020-03-10,-0.0,-0.6971650981759034,-0.4527710003485535,1.0,-0.3431799697920298,-0.41149645637271987,0.0
2020-03-11,-0.0,-0.716891173851854,-0.4432030330011202,1.0,-0.3180917367952437,-0.3940029296033547,0.0
2020-03-12,-0.0,-0.6469275612953613,-0.4103372290870547,1.0,-0.3334356084906976,-0.3986220746980559,0.0
2020-03-13,-0.026689783802243416,-0.5510284498384428,-0.36614390416896525,1.0,-0.3346730764178948,-0.34838574093046465,0.0
2020-03-16,-0.004532375932574542,-0.6016856364423395,-0.34127772260840783,1.0,-0.3100603468031472,-0.2887225320194536,0.0
2020-03-17,-0.11340155826392789,-0.4551449576240138,-0.2530102825879882,1.0,-0.32850548323278705,-0.2923332437779352,0.0
2020-03-18,-0.11371213042949264,-0.45752524638033826,-0.2420732449203066,1.0,-0.3251247110354058,-0.2949507239323519,0.0
2020-03-19,-0.10437490582148777,-0.5296097242453163,-0.27364508513737507,1.0,-0.3433622984579839,-0.26046009342508414,0.0
2020-03-20,-0.13715190708723768,-0.7335093044740663,-0.24072852052263427,1.0,-0.3665830803748185,-0.1615679028639303,0.0
2020-03-23,-0.1498747413135824,-0.6867715935083324,-0.31769415096394726,1.0,-0.39235922012852625,-0.17631521620738483,0.0
2020-03-24,-0.14678518026250206,-0.6665282162042421,-0.36523231987594834,1.0,-0.4123885473777482,-0.17807498477044914,0.0
2020-03-25,-0.15389361302610047,-0.6608814614125915,-0.2989618820247324,1.0,-0.40693151640333697,-0.1618337401754339,0.0
2020-03-26,-0.14545111667878985,-0.6603626175274118,-0.31514857620086745,1.0,-0.4109485708127913,-0.16215415285972143,0.0
2020-03-27,-0.14219973626846794,-0.6627734869076133,-0.3160741677655481,1.0,-0.4088646088430798,-0.1612260825102936,0.0
2020-03-30,-0.1446501835456705,-0.6713722738069532,-0.3090855106888361,1.0,-0.4128427985316347,-0.16125026992010366,0.0
2020-03-31,-0.13048632628317391,-0.6899905698504648,-0.31025191970901256,1.0,-0.4022632358884548,-0.16133638690556382,0.0
2020-04-01,-0.12963757237829723,-0.6740564014582887,-0.3008792622775038,1.0,-0.40001072271070126,-0.1761205232682822,0.0
2020-04-02,-0.12417071795009536,-0.6837850178614595,-0.30240928258709143,1.0,-0.4009830517579437,-0.1745856947167683,0.0
2020-04-03,-0.12223415682062298,-0.684828141783029,-0.3024704618689581,1.0,-0.40075187969924814,-0.17500000000000002,0.0
2020-04-06,-0.12275007376807318,-0.6781834276670511,-0.3018857801979667,1.0,-0.4020225864427694,-0.17763352021245205,0.0
2020-04-07,-0.10915772220166024,-0.6614762332786972,-0.29289377676730294,1.0,-0.40522392005498864,-0.174932586051922,0.0
2020-04-08,-0.10501243846927434,-0.6633409199174297,-0.2799714179854973,1.0,-0.40557349282803157,-0.1926110199544805,0.0
2020-04-09,-0.10807030507758894,-0.6532777367254302,-0.28494141243534254,1.0,-0.40465005805974874,-0.18816636757099126,0.0
