Date,DIOD,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-03-09,1.0,-0.0,-0.7090223284949314,-0.0,-0.12130805240292325,-0.0,-0.0,-0.21119455763984776,-0.0,-0.34287542518438685,-0.11046374566396121,-0.0,-0.0,-0.0,-0.23473545953591754,-0.0,-0.06483009463509917,-0.1807833496110194,-0.39255043276193036
2020-03-10,1.0,-0.0,-0.335356796900226,-0.05092024539877301,-0.18262835001614466,-0.07914110429447854,-0.006877623506619309,-0.20542460445592509,-0.0,-0.32508879560865356,-0.0,-0.0,-0.07471746851792058,-0.0,-0.2543752018082015,-0.0,-0.059089441394898294,-0.29470455279302554,-0.3606716176945431
2020-03-11,1.0,-0.0,-0.3766073741745916,-0.04467473381567723,-0.16918896717323306,-0.04979305551167419,-0.006761239771255252,-0.19010457805440586,-0.0,-0.3014754668098954,-0.0,-0.0,-0.054500647688856596,-0.0,-0.2389497962149695,-0.0,-0.09930175981801523,-0.30046444030204417,-0.3276673722789169
2020-03-12,1.0,-0.0,-0.32452978768513185,-0.03140806251325075,-0.16379440894084865,-0.06081715479904291,-0.015598025259714692,-0.20725686767422843,-0.017566708059484504,-0.31753339188902685,-0.0,-0.0,-0.034497380137504925,-0.0,-0.18657055456280097,-0.0,-0.05351788472605022,-0.3292849138322682,-0.286397916224975
2020-03-13,1.0,-0.06157797117991154,-0.22511057212155802,-0.0765872449707519,-0.16530175488657442,-0.09847339135397347,-0.023027536025110575,-0.1553431302610929,-0.07262091596518762,-0.2541018690255386,-0.007961192752175774,-0.0,-0.06114995006420317,-0.0,-0.10754743900699101,-0.0,-0.004137537451847625,-0.33248680268226566,-0.207989727493223
2020-03-16,1.0,-0.034011539629517154,-0.26066311459569885,-0.06007232973525109,-0.1301659166827706,-0.07785108908704415,-0.0430113463821329,-0.09303481213593573,-0.10380145211605886,-0.19647737625265715,-0.020429009193054137,-0.0,-0.07909339370013527,-0.0,-0.022499516881539353,-0.0,-0.045192281147337324,-0.3269193606272258,-0.26742677304475054
2020-03-17,1.0,-0.004806817886559098,-0.09286252500844441,-0.0,-0.17569568945358174,-0.11201184815652039,-0.02915270091199626,-0.05544729389144387,-0.13516252241016447,-0.17478629147504351,-0.05892898900927586,-0.0,-0.12461350585912127,-0.0,-0.26034764985579545,-0.0,-0.0,-0.2834723413100528,-0.09101774625198118
2020-03-18,1.0,-0.0,-0.09116997231886634,-0.0,-0.1173781649186073,-0.11069913909134774,-0.04025192371181146,-0.05650506640932524,-0.11301013281865048,-0.18188282499936512,-0.10112502222109353,-0.0,-0.1382786906061914,-0.0,-0.21642075323158189,-0.0,-0.0,-0.2621581126038042,-0.11064834802041801
2020-03-19,1.0,-0.0,-0.08202946984657451,-0.0,-0.10835991695782064,-0.11137272773304978,-0.03435616993265482,-0.06342093270545344,-0.11175249379715428,-0.1854777457086435,-0.09633399159451111,-0.0,-0.13575370904855943,-0.0,-0.22266950225327864,-0.0,-0.0,-0.27560889158944757,-0.10461289179198947
2020-03-20,1.0,-0.0,-0.07311811583168368,-0.0,-0.10753261255773819,-0.11463885081975535,-0.044617024516522004,-0.07560529922338968,-0.10222831328358968,-0.18161514643926704,-0.0883711486726562,-0.0,-0.141896350439064,-0.0,-0.23024211968935587,-0.0,-0.0,-0.28800568499060963,-0.09007156997106747
2020-03-23,1.0,-0.0,-0.09998755135067845,-0.0,-0.03592680194198929,-0.11051910867670857,-0.018872152371467697,-0.06928918212373958,-0.10892568156355034,-0.15359143532926678,-0.1498817378314453,-0.0,-0.10080916220590065,-0.0,-0.203585211004606,-0.0,-0.0,-0.3228183742063986,-0.11552346570397111
2020-03-24,1.0,-0.00887551898167715,-0.1717176739676305,-0.0,-0.0,-0.11709718320363972,-0.0,-0.11162767570792831,-0.03642194764189643,-0.24799244213509686,-0.10165825522710888,-0.0,-0.06061208761156552,-0.0,-0.21147104890236929,-0.0,-0.0,-0.22733262063993237,-0.19130845536136043
2020-03-25,1.0,-0.01393111698150825,-0.170039375965708,-0.0,-0.0,-0.1153616109255844,-0.0,-0.11638339231421023,-0.06781139410855805,-0.2292777750087225,-0.09709415341673729,-0.0,-0.09537457010417186,-0.0,-0.18701091561581018,-0.0,-0.0,-0.21963315555998605,-0.18025718985196632
2020-03-26,1.0,-0.005323515510336078,-0.1660240304485186,-0.0,-0.0,-0.11594815791437597,-0.009303714022736883,-0.11074902360755241,-0.06627030523147343,-0.19888554441652775,-0.09913181919948257,-0.0,-0.1363466752904301,-0.0,-0.17346202641856762,-0.0,-0.0,-0.22067713127192218,-0.18547725067787754
