Date,CAH,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-01-03,1.0,-0.0,-0.3843890546845446,-1.0482115085536547,-0.8493968307343113,-0.9212727501996554,0.0
2020-01-06,1.0,-0.0,-0.3936844775109909,-1.0512766317213391,-0.8561887047683463,-0.9260652688535678,0.0
2020-01-07,1.0,-0.0,-0.3958218801539307,-1.0491394257199644,-0.8617160739205819,-0.9221465725039116,0.0
2020-01-08,1.0,-0.0,-0.3966070222822417,-1.0402599594868331,-0.8495526671168129,-0.9337018906144496,0.0
2020-01-09,1.0,-0.0,-0.40150394998098937,-1.0395843014659287,-0.8481686451776436,-0.9353217016602594,0.0
2020-01-10,1.0,-0.0,-0.4033186589908568,-1.0465628174737553,-0.8500253979004402,-0.9330342025059262,0.0
2020-01-13,1.0,-0.0,-0.40505953642103476,-1.0589431755582863,-0.8455019280477987,-0.9279630492817492,0.0
2020-01-14,1.0,-0.0,-0.3938567716099349,-1.1012226813786052,-0.8678481659779321,-0.8972862437694372,0.0
2020-01-15,1.0,-0.0,-0.4070991115328215,-1.1225308375743983,-0.8619425515397222,-0.921331838178211,0.0
2020-01-16,1.0,-0.0,-0.41641061150300773,-1.1454104816722206,-0.8540701951789501,-0.9117583416280781,0.0
2020-01-17,1.0,-0.0,-0.4095365611367857,-1.1412775882175095,-0.8550079903252278,-0.913272578067637,0.0
2020-01-21,1.0,-0.0,-0.4183334053306838,-1.1359021987990843,-0.8530390081644996,-0.9125664175558339,0.0
2020-01-22,1.0,-0.0,-0.4169005570188696,-1.1387365603005313,-0.8575499805691092,-0.9048318148452006,0.0
2020-01-23,1.0,-0.0,-0.3688474285012888,-0.979419827339307,-0.7811055194140993,-0.9621128431733563,0.0
2020-01-24,1.0,-0.0,-0.3793355832960598,-0.9751555320619688,-0.773797422030659,-0.9378684991664294,0.0
2020-01-27,1.0,-0.0,-0.3673717974745219,-0.9777904096796459,-0.7701490113281091,-0.9449023508871656,0.0
2020-01-28,1.0,-0.0,-0.3961569579288026,-1.0005258899676375,-0.7392394822006473,-0.9094255663430421,0.0
2020-01-29,1.0,-0.0,-0.3995483506734414,-0.9993547866763449,-0.7279216065811759,-0.9057585289136221,0.0
2020-01-30,1.0,-0.0,-0.39360715869241003,-0.9924624128340521,-0.7544439517916885,-0.890281752589786,0.0
2020-01-31,1.0,-0.0,-0.41649501191485927,-0.984571267014015,-0.7473242053394725,-0.8905448523769134,0.0
2020-02-03,1.0,-0.0,-0.4104474638402996,-0.9643782125353627,-0.7282543730326333,-0.8814599354504522,0.0
2020-02-04,1.0,-0.0,-0.4042586938419445,-0.9447242158689876,-0.7267536381299813,-0.8895277370236725,0.0
2020-02-05,1.0,-0.0,-0.4107810348219556,-0.9504623253983868,-0.7069447176864057,-0.8665355105252804,0.0
2020-02-06,1.0,-0.0,-0.4167519080966244,-0.9653395231725548,-0.7008419230466598,-0.8512471476906129,0.0
2020-02-07,1.0,-0.0,-0.36597333796517434,-1.1870250553649746,-0.8850579703851665,-0.9043380085978548,0.0
2020-02-10,1.0,-0.0,-0.3440953412784398,-1.1897724810400867,-0.8913109425785481,-0.9085157096424701,0.0
2020-02-11,1.0,-0.0,-0.33910483940784353,-1.1875595186563932,-0.8850748852913168,-0.916847026231495,0.0
2020-02-12,1.0,-0.0,-0.33566463756853604,-1.1722574796010878,-0.8875793291024479,-0.9217286189181021,0.0
2020-02-13,1.0,-0.0,-0.3596160438806993,-1.1507113472745971,-0.8826276996914637,-0.8922694549194377,0.0
2020-02-14,1.0,-0.0,-0.34550178906116885,-1.1165445561424434,-0.9022831828250129,-0.8953399216220821,0.0
2020-02-18,1.0,-0.0,-0.34369551350202,-1.1163937911971082,-0.9040612375079736,-0.8884967042313417,0.0
2020-02-19,1.0,-0.0,-0.34232894177645556,-1.1150871228219295,-0.9050573735656608,-0.8874203144921377,0.0
2020-02-20,1.0,-0.0,-0.3441917901549992,-1.1171010049395333,-0.909896099471981,-0.8870294668710611,0.0
2020-02-21,1.0,-0.0,-0.36052069995731967,-1.121553563807085,-0.899914639351259,-0.8860008536064874,0.0
2020-02-24,1.0,-0.0,-0.3681532475306794,-1.1247274126651559,-0.898918202420148,-0.884080899645102,0.0
2020-02-25,1.0,-0.0,-0.42279882659174484,-1.1009792174523818,-0.7911415940172707,-0.8167582531091186,0.0
2020-02-26,1.0,-0.0,-0.4067383397945726,-1.0489189081171817,-0.7599616322289278,-0.781023939890492,0.0
2020-02-27,1.0,-0.0,-0.40234655599010294,-1.0421821374411364,-0.7716896799425332,-0.7746029212227631,0.0
2020-02-28,1.0,-0.0,-0.46155295891443654,-0.918884281944968,-0.6471541650961177,-0.7417640407086318,0.0
2020-03-02,1.0,-0.0,-0.4379748739938314,-0.9035206499661477,-0.6712179342511096,-0.7486647107500188,0.0
2020-03-03,1.0,-0.0,-0.5096360510101734,-0.7619644648230406,-0.6006591202177962,-0.7099154606677174,0.0
2020-03-04,1.0,-0.0,-0.5476030663793409,-0.7758504963436607,-0.5482036245451656,-0.6610379058183489,0.0
2020-03-05,1.0,-0.0,-0.6156843976480241,-0.6823806919185014,-0.4913852044304663,-0.6291193764528921,0.0
2020-03-06,1.0,-0.0,-0.6553043125042313,-0.6584523728928305,-0.46845169589059643,-0.6028027892492045,0.0
2020-03-09,1.0,-0.0,-0.6636546859254282,-0.6544507893852871,-0.4568693315418206,-0.5841115216661067,0.0
2020-03-10,1.0,-0.04016360672878802,-0.4774733216471384,-0.6052833902266507,-0.48257834363563673,-0.46984654180889995,0.0
2020-03-11,1.0,-0.0,-0.5474003362151777,-0.6023955331412103,-0.4268431796349664,-0.425312199807877,0.0
2020-03-12,1.0,-0.0291501976284585,-0.4624215298767729,-0.548157405254592,-0.4431236921646129,-0.42341897233201575,0.0
2020-03-13,1.0,-0.13852622261562292,-0.40445895109537505,-0.45549347200708123,-0.39995021022350075,-0.36766983845983625,0.0
2020-03-16,1.0,-0.13763517010323317,-0.4256530384332525,-0.4351592079100047,-0.38356985264075394,-0.3418407648516874,0.0
2020-03-17,1.0,-0.21255780860903595,-0.3131829038979519,-0.28924632820043705,-0.4064135793057885,-0.3196371398078976,0.0
2020-03-18,1.0,-0.21249208159128344,-0.315798809071329,-0.28105916634993033,-0.4034460914734575,-0.3210693019130875,0.0
2020-03-19,1.0,-0.21700072567124593,-0.272276856091885,-0.26517028251132296,-0.40359832845381977,-0.3442934714611015,0.0
2020-03-20,1.0,-0.21879404066841152,-0.1979313468894705,-0.3012885041272398,-0.41732937386752567,-0.3812411918663177,0.0
2020-03-23,1.0,-0.22186190381161444,-0.23904909199760527,-0.2533675912991419,-0.4111704250648573,-0.3690630612652165,0.0
2020-03-24,1.0,-0.21915368600596985,-0.2367120676248526,-0.270549577344671,-0.41533097549351594,-0.36659392479995984,0.0
2020-03-25,1.0,-0.22492777548493603,-0.24248015343157486,-0.20458352552742104,-0.40826879658177756,-0.34743026389259785,0.0
2020-03-26,1.0,-0.2481219458828678,-0.24498577784260814,-0.1829674470619697,-0.4090146597622347,-0.3460724965356284,0.0
2020-03-27,1.0,-0.24654751251602294,-0.2420006288243403,-0.17604662974339128,-0.4085907079110939,-0.3453938617070162,0.0
