Date,GPC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-03,1.0,-0.0,-0.0,-0.0,-0.8398566828427594,-0.42781985577577214,0.0
2019-10-04,1.0,-0.0,-0.037682998883952996,-0.016412455959909842,-0.741952425760991,-0.3922576974418452,0.0
2019-10-07,1.0,-0.0,-0.044726827347885044,-0.024058440138226674,-0.7306985696163772,-0.38762521324526483,0.0
2019-10-08,1.0,-0.0,-0.041610973552161624,-0.02616298179109056,-0.7346670464754476,-0.38876350329776277,0.0
2019-10-09,1.0,-0.0,-0.04207779678112528,-0.02756216287330614,-0.7356488181379643,-0.38740516598693153,0.0
2019-10-10,1.0,-0.0,-0.05625776122050736,-0.059717048075217306,-0.6985320205783218,-0.40296256874223874,0.0
2019-10-11,1.0,-0.0,-0.0549254662537044,-0.07678424207312996,-0.6823681454577865,-0.4141357873392901,0.0
2019-10-14,1.0,-0.0,-0.05951130088752767,-0.07638997563211196,-0.6772931523999016,-0.42239162996579555,0.0
2019-10-15,1.0,-0.0,-0.06556168606339491,-0.09542743538767395,-0.6686398463153662,-0.4041593137802399,0.0
2019-10-16,1.0,-0.0,-0.08789982366465034,-0.10044418651369388,-0.6472846588245799,-0.3964420437043816,0.0
2019-10-17,1.0,-0.0,-0.07099096681871031,-0.12467578928539486,-0.6352070476701547,-0.4050397996601377,0.0
2019-10-18,1.0,-0.0,-0.1031847419260853,-0.13973867634864073,-0.6029270041910397,-0.39534727358300276,0.0
2019-10-21,1.0,-0.0,-0.09311604003245876,-0.13860337210350737,-0.6026057163465874,-0.41977729690740245,0.0
2019-10-22,1.0,-0.0,-0.09573989011978745,-0.13872376835089614,-0.6014140322435377,-0.4157434927497073,0.0
2019-10-23,1.0,-0.0,-0.0945821026762564,-0.12051045025139225,-0.6041079521114694,-0.43543841453791177,0.0
2019-10-24,1.0,-0.0,-0.09284695978819216,-0.12722047475730353,-0.6092869588830304,-0.433549817836211,0.0
2019-10-25,1.0,-0.0,-0.09344251170576127,-0.12318758623809632,-0.6099889162840146,-0.43536383994209327,0.0
2019-10-28,1.0,-0.0,-0.11566155593412834,-0.13337876206700738,-0.6272345258375923,-0.39516183986371384,0.0
2019-10-29,1.0,-0.0,-0.11637901474454222,-0.16342439135901246,-0.6039318779289061,-0.40221739627385983,0.0
2019-10-30,1.0,-0.0,-0.11623392934621268,-0.16222511474960608,-0.6024068872599392,-0.40270831906099425,0.0
2019-10-31,1.0,-0.0,-0.11196434693177923,-0.16896354702319735,-0.5878413895554794,-0.41666095303393896,0.0
2019-11-01,1.0,-0.0,-0.12150815621496718,-0.1771717495252694,-0.5816879818801619,-0.4074675696080899,0.0
2019-11-04,1.0,-0.0,-0.12361712361712361,-0.18078746650175223,-0.5732838589981448,-0.41276712705284135,0.0
2019-11-05,1.0,-0.0,-0.13051097583471682,-0.20976295886367827,-0.5521352149049991,-0.4134384799852425,0.0
2019-11-06,1.0,-0.0,-0.12972597988206727,-0.20675222569083132,-0.5519713261648745,-0.42395652676610013,0.0
2019-11-07,1.0,-0.0,-0.12797853143941149,-0.20971174755933927,-0.551010965622542,-0.4247212325914959,0.0
2019-11-08,1.0,-0.0,-0.12664687326034516,-0.21724809797736128,-0.552862312117276,-0.4227825199480423,0.0
2019-11-11,1.0,-0.0,-0.12386931752121846,-0.22164864550633648,-0.5544936635274968,-0.42527613068247877,0.0
2019-11-12,1.0,-0.0,-0.13232048690965686,-0.22145561827769647,-0.54842381582921,-0.4208423351220758,0.0
