Date,IWF,IWM,KKR,MTUM,SPY,VLUE,VXX
2020-03-09,-0.14486762803319553,-0.5635353885961314,1.0,-0.6211542709286547,-0.4975229560443028,-0.32838976365529643,0.0
2020-03-10,-0.2985902819436113,-0.44202159568086385,1.0,-0.5227954409118177,-0.43215356928614285,-0.30380923815236954,0.0
2020-03-11,-0.2740690348723713,-0.4741932621491319,1.0,-0.5185601467064983,-0.40592741577686414,-0.2850720222425981,0.0
2020-03-12,-0.2978717260099917,-0.42135204597302844,1.0,-0.47725894481503944,-0.40919460567732246,-0.282075716884692,0.0
2020-03-13,-0.3501276549513825,-0.344097995545657,1.0,-0.41572057145961216,-0.38513770438372535,-0.2209517084034983,0.0
2020-03-16,-0.35573533029052445,-0.3360846155948509,1.0,-0.42346060291344395,-0.3849244308398699,-0.23285686955095794,0.0
2020-03-17,-0.3529983196807393,-0.2870720436883008,1.0,-0.3396607855492544,-0.3873135895820206,-0.2584541062801932,0.0
2020-03-18,-0.34588119631584396,-0.3207854703508228,1.0,-0.26777398323502016,-0.3941840008279002,-0.2585377212045949,0.0
2020-03-19,-0.34380113769188814,-0.33543728408530094,1.0,-0.26972129146211593,-0.39842593314112057,-0.25005844307644354,0.0
2020-03-20,-0.3475764140847276,-0.39594372373469755,1.0,-0.25008483203257553,-0.3964918691759547,-0.2201195479105218,0.0
2020-03-23,-0.3480366492146597,-0.38871727748691104,1.0,-0.2598952879581152,-0.3980890052356021,-0.22306282722513088,0.0
2020-03-24,-0.349247412982126,-0.3849430333437859,1.0,-0.2605309919514999,-0.39526497334587646,-0.22316295599456465,0.0
2020-03-25,-0.35017782260204894,-0.3868570518605021,1.0,-0.2866659589150167,-0.3978979775996603,-0.23246987632039917,0.0
2020-03-26,-0.3307879114948732,-0.3908796546141392,1.0,-0.32703723691311387,-0.41551538046411224,-0.23413383702104695,0.0
2020-03-27,-0.3293875587858059,-0.38606241983753736,1.0,-0.31343522873022656,-0.4140925609234715,-0.22910431808465154,0.0
2020-03-30,-0.32581032412965183,-0.3850340136054422,1.0,-0.3169000933706816,-0.4148325997065493,-0.22513005202080832,0.0
2020-03-31,-0.31433887043189374,-0.39694352159468443,1.0,-0.3197607973421927,-0.40467774086378744,-0.22211295681063126,0.0
2020-04-01,-0.3128444030347398,-0.3875149740449887,1.0,-0.32921602555570345,-0.4041528018101957,-0.22829761746306404,0.0
2020-04-02,-0.31619401007156106,-0.3763583355420089,1.0,-0.3259210177577524,-0.40710310098065194,-0.22483434932414523,0.0
2020-04-03,-0.3152588123213719,-0.38141738117921037,1.0,-0.3270879644331534,-0.3965809251614269,-0.22602413464591933,0.0
2020-04-06,-0.3198729822704419,-0.3669489282879068,1.0,-0.3250860015877216,-0.40463085472347177,-0.2296374702302196,0.0
2020-04-07,-0.3141723177206539,-0.3598538611154918,1.0,-0.32084844661725276,-0.404562897545077,-0.22895968038690007,0.0
2020-04-08,-0.31495255867742533,-0.36192078219044865,1.0,-0.3214182458538124,-0.4034483664940731,-0.22661445054800644,0.0
2020-04-09,-0.319808256496228,-0.34613369656328585,1.0,-0.327745180217938,-0.40318524727577537,-0.22257439228834872,0.0
2020-04-13,-0.32334075140725227,-0.33645765152506873,1.0,-0.3309857311166383,-0.4035083126063621,-0.22385128943579002,0.0
2020-04-14,-0.31235063946006986,-0.35610178838730006,1.0,-0.3185745423986974,-0.40880800441188053,-0.23028440872922082,0.0
2020-04-15,-0.29544324338472006,-0.366922291726647,1.0,-0.3060957416180281,-0.40953228465987906,-0.2393278718559426,0.0
2020-04-16,-0.29332845149985615,-0.371028061824934,1.0,-0.3055417527525695,-0.407929492376494,-0.23744017574600518,0.0
2020-04-17,-0.28985696728813115,-0.3755981486808043,1.0,-0.30034254634835134,-0.40828386894333607,-0.24077608974191356,0.0
2020-04-20,-0.29219202756676327,-0.3718380452658783,1.0,-0.30529668206855143,-0.4042864228469992,-0.23687576683112746,0.0
2020-04-21,-0.29445781871467447,-0.3698974251622357,1.0,-0.30230793384969645,-0.4091741678877957,-0.24084153234247435,0.0
2020-04-22,-0.2933054393305439,-0.37089435146443517,1.0,-0.30122907949790795,-0.41035564853556483,-0.23927824267782424,0.0
2020-04-23,-0.28774348529949345,-0.3755026372134315,1.0,-0.2970390098699671,-0.40892474802861767,-0.24189252702490993,0.0
2020-04-24,-0.2863647068058717,-0.38752387680875006,1.0,-0.29183347724834496,-0.40788130936494227,-0.2430593714838946,0.0
2020-04-27,-0.2893055410076464,-0.38766104535456164,1.0,-0.29003875563004083,-0.4072483502670996,-0.24436995914947104,0.0
2020-04-28,-0.2807077326343381,-0.40133682830930534,1.0,-0.2906422018348624,-0.40351245085190035,-0.24503276539973787,0.0
2020-04-29,-0.2728559446424827,-0.4092052841266513,1.0,-0.2845198154749423,-0.4009488362340113,-0.2535646886139652,0.0
2020-04-30,-0.2718566008111998,-0.401962580138689,1.0,-0.28627502289676826,-0.403872824807013,-0.2528064895983253,0.0
2020-05-01,-0.2621318520071272,-0.41657059008489683,1.0,-0.28369667749711774,-0.39880515669217065,-0.2590923383293156,0.0
2020-05-04,-0.26322398367603206,-0.4133574007220217,1.0,-0.28470151205985456,-0.4019253910950662,-0.2528383822529169,0.0
2020-05-05,-0.26193963487994976,-0.41206779306376523,1.0,-0.28077104148140397,-0.40422137364649263,-0.2564994507506408,0.0
2020-05-06,-0.26153926619419965,-0.4123015769240827,1.0,-0.2789298883339,-0.40414236773974216,-0.2582180496351892,0.0
2020-05-07,-0.2818483063328424,-0.41095097832947614,1.0,-0.29505049442457393,-0.4012465811066695,-0.24082158636650536,0.0
2020-05-08,-0.2828942173558287,-0.41431316295106996,1.0,-0.29244860895428104,-0.40260047903561186,-0.2398073329297502,0.0
2020-05-11,-0.2977115318779132,-0.3923577278592684,1.0,-0.3054802096226266,-0.4137150080320227,-0.22421194006267609,0.0
2020-05-12,-0.295268437820901,-0.3930066615761342,1.0,-0.2999025777403302,-0.41496616551252,-0.22986387213986675,0.0
2020-05-13,-0.2943589743589744,-0.38903353057199214,1.0,-0.30003944773175545,-0.4168836291913215,-0.22953320184089415,0.0
2020-05-14,-0.28951655281135047,-0.3961114030478193,1.0,-0.2991854965843405,-0.4140304781923279,-0.2286127167630058,0.0
2020-05-15,-0.3025199043539953,-0.39319967417295104,1.0,-0.2999710959875975,-0.41348503560448796,-0.2184880573876028,0.0
2020-05-18,-0.30236224610452744,-0.38747142444228394,1.0,-0.2968967601229734,-0.41445726147620676,-0.22647607536064324,0.0
2020-05-19,-0.3060865455309316,-0.3785054090956832,1.0,-0.3084760004201239,-0.41571263522739205,-0.2170202709799391,0.0
2020-05-20,-0.30839919132512406,-0.3731982041116391,1.0,-0.31170740672670466,-0.4156011237430094,-0.21663559744794814,0.0
2020-05-21,-0.3105368210946528,-0.372885807332703,1.0,-0.31237524950099804,-0.415878768778233,-0.2146759113352243,0.0
2020-05-22,-0.31110819327731093,-0.37379201680672264,1.0,-0.31071428571428567,-0.4154149159663865,-0.215047268907563,0.0
2020-05-26,-0.31149866050323055,-0.3749540368755581,1.0,-0.3118401008562273,-0.4150601460314125,-0.2130850449125387,0.0
2020-05-27,-0.2978902731319304,-0.3852029393947375,1.0,-0.2860378749967077,-0.42020702188742853,-0.24452814286090555,0.0
2020-05-28,-0.30911102914053856,-0.3788796964746799,1.0,-0.2931179849291247,-0.4246456236496812,-0.2290140696632766,0.0
2020-05-29,-0.30837085604444797,-0.37696500513468684,1.0,-0.2927824736024436,-0.42615267135371415,-0.22890170366274323,0.0
2020-06-01,-0.30914643778631984,-0.38620925701648146,1.0,-0.28163340529724606,-0.4269127481438576,-0.22892422726554684,0.0
2020-06-02,-0.3100887472677955,-0.3873015036999974,1.0,-0.2787243567798172,-0.42567087140863247,-0.23169093829826456,0.0
2020-06-03,-0.311087133871944,-0.38582594278796806,1.0,-0.2673491407668623,-0.4303534303534304,-0.23700623700623702,0.0
2020-06-04,-0.310672456902224,-0.3869193314909857,1.0,-0.26498223450454006,-0.4309251217265429,-0.2383997894459797,0.0
2020-06-05,-0.30737047075230906,-0.38623266584217036,1.0,-0.26363708128305663,-0.43033444728047787,-0.2437965423782333,0.0
2020-06-08,-0.30665299792340245,-0.370422942459848,1.0,-0.285098441237547,-0.42935625476434564,-0.2371001235444103,0.0
